label	pval	fdr	signature	geneset	overlap	background	hits	spdomain_sex	clus_set
TS	1	1	31	15	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	31	11	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	31	4	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	0.0054	0.1	34	10	2	2967	PAM , PCDH7	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.021	0.2	34	505	11	2967	AQP4 , C5orf63 , CHGA , GABBR2 , GFAP , GNAS , NEFL , SST , SYP , TUBB3 , VSNL1	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.14	0.7	34	58	2	2967	AQP4 , PAM	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	0.15	0.7	34	14	1	2967	PAM	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.23	0.7	34	144	3	2967	GFAP , GNAS , VSNL1	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.23	0.7	34	365	6	2967	GABBR2 , GFAP , GNAS , SYP , TUBB2A , TUBB3	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.29	0.7	34	1390	18	2967	ATP2B4 , BAIAP3 , BASP1 , CALB2 , CHGA , DOK6 , GNAS , GNG2 , NEFL , NEFM , PAM , PCDH7 , SERPINE2 , SPARC , STMN2 , SULF2 , TUBA1B , TUBB2A	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.3	0.7	34	555	8	2967	AQP4 , GABBR2 , GFAP , NEFL , NEFM , SST , SULF2 , UBE2QL1	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.49	1	34	58	1	2967	GFAP	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.68	1	34	297	3	2967	GABBR2 , GFAP , GNAS	X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	1	1	34	82	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	1	1	34	7	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	1	1	34	124	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	34	46	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	1	1	34	15	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	34	9	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	34	26	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	34	10	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	34	2	0	2967		X10_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.18	1	10	1043	3	6890	NT5DC3 , PUF60 , SNHG32	X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.39	1	10	327	1	6890	NT5DC3	X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.6	1	10	610	1	6890	INTS1	X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.7	1	10	790	1	6890	PUF60	X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.75	1	10	3154	4	6890	IFI27 , MRPL18 , SARS , SNHG32	X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.87	1	10	1260	1	6890	INTS1	X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	1	1	10	170	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	1	1	10	157	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	1	1	10	16	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	1	1	10	317	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	1	1	10	121	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	10	100	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	1	1	10	32	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	10	19	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	10	45	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	10	28	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	10	26	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	10	17	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	10	4	0	6890		X13_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.056	1	58	288	4	11579	CD47 , NMB , SMS , TARS2	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.24	1	58	189	2	11579	RGS4 , SRD5A1	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.4	1	58	1979	11	11579	ADCYAP1 , ALG14 , ARHGAP18 , DIMT1 , KCNK2 , NMB , OCEL1 , S100A10 , SLC17A6 , SRD5A1 , TMEM163	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.5	1	58	533	3	11579	CSTB , MAN1A1 , TARS2	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.58	1	58	4853	24	11579	ACYP2 , ANAPC11 , ARHGAP18 , BOLA2 , C12orf10 , CD47 , CORO1B , CSTB , DBI , DCTN6 , DIMT1 , MAN1A1 , MGST2 , NIPSNAP3A , NOL7 , S100A10 , SH3BGRL3 , SMIM15 , SPTLC1 , TAF10 , THOC7 , UBA52 , UNC45A , ZC3H3	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.7	1	58	235	1	11579	RGS4	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.74	1	58	1647	7	11579	ADCYAP1 , ARHGAP18 , NMB , SLC17A6 , TARS2 , THOC7 , VPS37A	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.76	1	58	544	2	11579	BOLA2 , TBCEL	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.85	1	58	1163	4	11579	ALG14 , CSTB , SLC17A6 , SMS	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.94	1	58	877	2	11579	SCP2 , TBCEL	X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	1	1	58	21	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	58	152	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	1	1	58	43	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	58	30	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	58	73	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	58	47	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	58	35	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	58	28	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	58	7	0	11579		X4_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.043	0.81	56	524	6	11408	COMT , FEZ2 , GPR108 , GSDME , STS , VWA1	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	0.098	0.93	56	21	1	11408	COMT	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.19	1	56	42	1	11408	COMT	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.22	1	56	182	2	11408	COMT , TRH	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.4	1	56	1621	9	11408	ADCYAP1 , COMT , EDEM2 , GSDME , HSPA9 , MAIP1 , SDF4 , SPCS1 , UCP2	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.68	1	56	1156	5	11408	ATN1 , MRPS22 , NANS , SCN1B , TRH	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.68	1	56	231	1	11408	SPCS1	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.75	1	56	280	1	11408	SPCS1	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.8	1	56	4801	21	11408	ATN1 , DCXR , EOGT , FEZ2 , GSDME , HSPA9 , IFNGR1 , LMTK2 , MAIP1 , MPV17L2 , NANS , PPP1R3E , PTPRG , RANBP10 , S100A11 , SDF4 , SPCS1 , STS , TAGLN , UBA1 , UCP2	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.86	1	56	1947	7	11408	ADCYAP1 , COMT , DCXR , HAUS4 , PLTP , RPF2 , TRH	X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	1	1	56	527	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	1	1	56	867	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	56	149	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	56	31	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	56	72	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	56	45	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	56	35	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	56	26	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	56	6	0	11408		X12_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.044	0.6	119	179	5	11032	COMT , FN1 , TAC1 , TRH , VWF	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.063	0.6	119	38	2	11032	COMT , TAC1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.18	0.77	119	276	5	11032	ALAS1 , ANXA7 , NMB , PLPBP , SPCS1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	0.2	0.77	119	20	1	11032	COMT	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	0.2	0.77	119	144	3	11032	FAM216A , PPTC7 , TRNAU1AP	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.35	1	119	1588	19	11032	ALAS1 , ANXA7 , ARHGAP17 , BLOC1S1 , BORCS7 , COMT , FABP3 , FAM216A , FNDC4 , GSDME , HMGN4 , IMMP2L , LPCAT4 , NMB , PPTC7 , SPCS1 , TAC1 , TRNAU1AP , VSNL1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.48	1	119	511	6	11032	ENO1 , ETHE1 , PCDH11X , PSMC6 , PYDC1 , VSNL1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.56	1	119	4666	50	11032	ALAS1 , ANXA7 , ATXN2L , BLOC1S1 , BOLA3 , COPE , DBI , DCTN6 , DPY30 , DUSP28 , FAM216A , GNPTG , GPS2 , GSDME , HIGD1A , HMGN4 , IMMP2L , ISCA1 , JPX , LGALS3 , LMTK2 , MEA1 , MMADHC , MYL12A , NDUFB3 , NELL2 , PNMA1 , PPTC7 , PRDX2 , PYDC1 , RASGEF1B , REPS1 , S100A11 , SEC23B , SELENOK , SF3B6 , SH3BGRL3 , SMIM30 , SPACA9 , SPCS1 , SPRY4 , TAF10 , TAF7 , TAGLN , TRAPPC8 , TRMT112 , TUBG2 , UBR1 , UTP4 , YAE1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.64	1	119	503	5	11032	ANXA7 , COMT , GPR108 , GSDME , VWF	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.69	1	119	1915	19	11032	ADCY8 , ANXA7 , COMT , ENO1 , HACE1 , HMGN4 , IMMP2L , ITGAE , LGALS3 , NDUFA4L2 , NELL1 , NMB , PPTC7 , SNAPC5 , TAC1 , TAF7 , TRH , TRMT112 , TRNAU1AP	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.72	1	119	232	2	11032	COCH , SPCS1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.87	1	119	1134	9	11032	BOLA3 , ETHE1 , GNPTG , HACE1 , MMADHC , MRPS22 , PLPBP , TRH , UBR1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.99	1	119	853	4	11032	IMMP2L , METTL26 , PCDH11X , UBR1	X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	119	30	0	11032		X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	119	72	0	11032		X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	119	45	0	11032		X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	119	35	0	11032		X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	119	26	0	11032		X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	119	6	0	11032		X11_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.012	0.22	29	179	3	10912	FN1 , GGH , TRH	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.1	0.6	29	41	1	10912	ANXA5	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.15	0.6	29	513	3	10912	HBEGF , LGMN , SPI1	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.15	0.6	29	504	3	10912	MVP , TARS2 , VWA1	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.16	0.6	29	268	2	10912	FEN1 , TARS2	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.22	0.7	29	1875	7	10912	FEN1 , GGH , MVP , S100A10 , SH3BP4 , SPI1 , TRH	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.45	1	29	225	1	10912	COL18A1	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.59	1	29	1134	3	10912	COL18A1 , FTSJ1 , TRH	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.76	1	29	4654	11	10912	ANXA2 , ANXA5 , COL18A1 , FXYD5 , HBEGF , LGMN , MVP , NOP16 , S100A10 , S100A11 , SPI1	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.81	1	29	1586	3	10912	HBEGF , MVP , TARS2	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	1	1	29	854	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	1	1	29	22	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	29	147	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	29	31	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	29	69	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	29	46	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	29	34	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	29	28	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	29	7	0	10912		X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.28	1	253	587	14	12720	ABCC8 , CCDC24 , CDC26 , CIC , CLDN5 , CROCC , DCHS1 , GPR108 , MCRS1 , MVP , NME5 , TMEM50A , VWA1 , VWF	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.31	1	253	1757	38	12720	ABCC8 , ABT1 , ACAD8 , ADCYAP1 , ALAS1 , ASAH1 , ASTN1 , B3GAT2 , BLOC1S1 , CFAP65 , CLDN5 , DNPH1 , FAM221A , GABRA4 , GALNT2 , GPT , GTPBP2 , HLA-F , HRH1 , IFT172 , MET , MRPL2 , MSRB1 , MUSTN1 , MVP , NES , NME5 , PLAT , RELN , RGL2 , RGS5 , RRAS , SBNO2 , SYNGAP1 , TIMM10 , TPRKB , TULP3 , VGF	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	0.45	1	253	30	1	12720	HLA-F	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.63	1	253	49	1	12720	TMEM50A	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.69	1	253	1201	22	12720	ASAH1 , ASTN1 , BBS5 , CIC , DCHS1 , DDOST , EMC10 , ETHE1 , GNPTG , GTPBP2 , IFT172 , KDM6A , LAMB1 , MCCC2 , OSGEP , PNOC , PPT1 , RAB11B , RELN , RRAS , SAMHD1 , SYNGAP1	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.75	1	253	255	4	12720	MFSD9 , MRPL39 , MUSTN1 , TIMM10	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.76	1	253	200	3	12720	ASTN1 , FN1 , VWF	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	0.79	1	253	78	1	12720	IKZF4	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	0.84	1	253	162	2	12720	EP400 , TIMM10	X5_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
