label	pval	fdr	signature	geneset	overlap	background	hits	spdomain_sex	clus_set
CannabisUseDisorder	1	1	156	4	0	3999		X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.053	1	332	31	4	7193	COMT , CYBRD1 , HMGN3 , RPL27A	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	0.17	1	332	16	2	7193	COMT , GAL	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	0.24	1	332	20	2	7193	DDAH2 , SULT1A1	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	0.34	1	332	26	2	7193	EMB , FIP1L1	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.37	1	332	334	17	7193	ADAM9 , AKAP1 , BRK1 , C2orf72 , COMT , GPR108 , LSM6 , LYPLAL1 , MRPL21 , NDUFA12 , RIT2 , RPL8 , RPLP2 , RPS20 , SEMA4B , VIM , YBEY	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	0.53	1	332	104	5	7193	ARPC3 , GPN3 , RPL35 , SPATS2L , TMEM69	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.57	1	332	375	17	7193	ATP5MF , C2orf74 , DDAH2 , DHRS4L2 , FAM106A , IQCK , LSM12 , MDK , MRPL51 , MRPS21 , NCK2 , RELN , RPL17 , RPL4 , RPS18 , RPS27L , ZNF771	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.6	1	332	181	8	7193	ARPC3 , BTBD1 , C1orf54 , DCTPP1 , MRPS21 , SLC35E2A , SMIM4 , ZNF771	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.73	1	332	131	5	7193	COMT , GABRA5 , GAL , PAPSS1 , RACK1	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	0.75	1	332	29	1	7193	MDK	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.93	1	332	1309	51	7193	ANKRD9 , ASAP1 , AVP , BANF1 , BRINP3 , CDK4 , COA1 , COMT , CYBRD1 , DCTPP1 , DDAH2 , DIMT1 , EEF1B2 , EEF1G , FAM200B , FAU , GAL , GAS5 , GRHPR , GTF3C6 , LEPROT , LRP1 , LRRC3B , MDK , MRPL33 , MYC , NDUFS5 , NELL1 , NPM1 , NUDCD2 , PFDN5 , PPP1R14B , RELN , RIT2 , RPL23A , RPL35 , RPL37A , RPL4 , RPL41 , RSRC2 , S100A10 , SCNM1 , SLC35E2A , SMIM4 , SNRPG , SPATS2L , ST13 , TXNDC12 , YIF1A , ZFAS1 , ZNF771	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	0.93	1	332	56	1	7193	DCTPP1	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.95	1	332	1127	42	7193	ARPC3 , ASAH1 , ASAP1 , AVP , BTBD1 , C1orf54 , CAV1 , CBWD1 , COMT , DCTPP1 , DDAH2 , EMB , FABP7 , GABRA5 , GPN3 , GSN , HEATR5B , LRP1 , MDK , MRPL33 , MRPS21 , POLR1D , PPP1R14B , PSMA6 , RELN , RPL10 , RPL12 , RPL13 , RPL3 , RSRC2 , SEMA4B , SERF2 , SMIM4 , SNHG32 , SNRNP40 , SPATS2L , ST13 , TMSB10 , TPT1 , TTC14 , WASF2 , ZNF771	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	1	1	332	3435	127	7193	ACYP2 , ADAM9 , AKAP1 , ALCAM , ANKRD9 , APTR , ARPC3 , ARSD , ASAP1 , ATP5MF , B2M , BRINP3 , BRK1 , BTF3 , C1orf54 , CARHSP1 , CDK5RAP3 , CLDN10 , COA1 , COMMD6 , CYBRD1 , DCTN4 , DCTPP1 , DDAH2 , DENND5A , DIMT1 , EIF4A2 , FAU , FMC1 , GPN3 , GSN , GTF2H5 , HMBOX1 , IQCK , ISCU , JPX , LEPROT , LMAN2 , LRP1 , LSM3 , MDK , MGST3 , MRPL21 , MRPL33 , MRPS21 , MTHFS , NDUFS4 , NOL12 , NPM1 , PDE4DIP , PFDN5 , POLR1D , PPP1R14B , PSMA6 , PSME1 , PTRHD1 , PYM1 , RABGGTB , RELN , RIT2 , RPL10A , RPL12 , RPL17 , RPL18 , RPL18A , RPL21 , RPL22L1 , RPL23 , RPL26 , RPL27 , RPL3 , RPL30 , RPL31 , RPL35 , RPL39 , RPL41 , RPL7 , RPL8 , RPL9 , RPS10 , RPS12 , RPS15A , RPS18 , RPS21 , RPS24 , RPS27L , RPS29 , RPS3A , RSRC2 , S100A10 , S100A11 , SAMD11 , SCNM1 , SEMA4B , SERF2 , SERPINB6 , SF3B6 , SFT2D2 , SH3BGRL , SMIM30 , SMIM4 , SNHG19 , SNHG32 , SNRPG , SRSF9 , ST13 , STMN2 , SULT1A1 , THBS4 , TM9SF3 , TMCO1 , TMEM126A , TMEM14B , TMEM69 , TPT1 , TTC14 , TTC17 , UFC1 , UNKL , VIM , WASF2 , XIST , YBEY , YBX1 , YIF1A , ZFAS1 , ZNF771	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	1	1	332	846	22	7193	ASAH1 , COX16 , DENND5A , EEF1B2 , EIF3F , GCSH , GTF2H5 , KDM5C , METTL5 , MPDU1 , NDUFS4 , NPM1 , OBSL1 , PTRHD1 , RELN , RPL10 , RPL26 , RPS23 , SOX4 , TMCO1 , UFC1 , UQCRB	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	1	1	332	611	9	7193	GABRA5 , KDM5C , LRP1 , METTL26 , NUDCD2 , RELN , RIT2 , RPL10 , SAMD11	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	1	1	332	172	2	7193	ASAP1 , RPL35	X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	332	17	0	7193		X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	332	6	0	7193		X8_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.31	1	723	50	4	12853	ANXA5 , COMT , SERPINI1 , TAC1	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.37	1	723	618	37	12853	A2M , ARHGAP29 , ATP5F1C , ATP5MF , BCHE , CD34 , CD46 , CLEC11A , CLIC1 , COX7C , ERCC1 , ETHE1 , FIS1 , GSTK1 , HLA-DQB1 , IAH1 , IDUA , ITGB1BP1 , MED30 , MRPL51 , MYADM , NDUFA2 , NLRP2 , NOTCH4 , PCDH11X , PYDC1 , RPL17 , RPL4 , RPS18 , SEC61G , SHMT1 , TBCEL , TMBIM4 , TSTD1 , VSNL1 , ZNF408 , ZNF575	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.4	1	723	209	13	12853	CDH10 , CDH5 , COMT , CTNNA2 , FN1 , MOG , OPRM1 , OXT , SGCE , SLC6A1 , TAC1 , TRH , VWF	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	0.43	1	723	26	2	12853	CALM2 , COMT	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	0.58	1	723	34	2	12853	HLA-F , SULT1A1	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	0.61	1	723	168	9	12853	ARPC3 , FAM216A , GPN3 , HYAL2 , OPRM1 , PPTC7 , TIMM10 , TMA7 , TMEM69	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	0.67	1	723	61	3	12853	CTNNA2 , OXT , TAFA2	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.73	1	723	1818	97	12853	ACP1 , ADCYAP1 , ADK , AGA , ALAS1 , ARHGAP17 , ARL3 , ARPC3 , ASAH1 , ATP5MC2 , ATP6V1G2 , AVP , AVPR1A , BLOC1S1 , BLOC1S2 , BORCS7 , BTBD1 , CD46 , CLIC1 , COMT , COX7A1 , COX8A , CPNE7 , CTNNA2 , CYB561D2 , DNPH1 , ESAM , FABP3 , FABP5 , FABP7 , FAM216A , FEZ1 , FGFR2 , GPN3 , GSDME , GTPBP2 , HINT1 , HLA-DQB1 , HLA-F , HMGN4 , HSPE1 , IMMP2L , JKAMP , LPCAT4 , MDH1 , MED30 , MET , MFAP4 , MOG , MRPL33 , MUSTN1 , NDUFA2 , NME5 , NOTCH4 , NTNG1 , OAZ1 , OPRM1 , OXT , PCCB , PCDHB5 , PEX13 , PPIA , PPTC7 , PSD2 , PSMA6 , PTGER3 , RCN1 , RGS5 , RIPPLY2 , RPL10 , RPL12 , SERF2 , SERPINI1 , SHANK3 , SHMT1 , SLC35G2 , SLC4A10 , SLC6A1 , SMDT1 , SPA17 , SPCS1 , SRP14 , TAC1 , TDRD9 , TGM2 , THOC7 , TIMM10 , TMSB10 , TPT1 , TSNARE1 , TXNDC5 , UBE2D2 , UCP2 , UQCC2 , VSNL1 , ZNF408 , ZNF530	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.8	1	723	318	15	12853	ALAS1 , ANKRD65 , ARL3 , ARPC3 , BTBD1 , CLIC1 , GPN1 , MUSTN1 , NDUFA2 , NPW , PLPBP , PSD2 , SPCS1 , TMEM258 , UQCR10	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.89	1	723	5354	286	12853	ABHD3 , ACOT13 , ACP1 , ACSBG1 , ACTA2 , ACYP2 , ADAP2 , ADK , ALAS1 , ALS2 , ANAPC10 , ANXA5 , ARL3 , ARL6IP5 , ARPC1A , ARPC3 , ARSK , ATG3 , ATP5F1C , ATP5MF , ATP5MG , ATP5PF , ATP6V1F , ATXN2L , BCHE , BEND7 , BLOC1S1 , BLVRA , BOLA3 , BTF3 , C1QBP , CA2 , CALM2 , CCDC126 , CD34 , CD46 , CHCHD3 , CIDEB , CLDN10 , CLIC1 , CLYBL , CMC2 , COX17 , COX6A1 , COX6C , COX7A2 , COX7B , COX7C , COX8A , CREG1 , CSTB , CYB561D2 , DAB2 , DAD1 , DBI , DCK , DCTN6 , DDX3X , DPH6 , DPY30 , DSEL , ECH1 , EIF3H , EIF4A2 , ERCC1 , ESAM , ETFDH , EWSR1 , FAM216A , FAM66D , FAU , FEZ1 , FEZ2 , FIS1 , FLT1 , FRS3 , GABARAPL2 , GADD45A , GDE1 , GLRX , GNG11 , GPN1 , GPN3 , GPR22 , GPS2 , GPX4 , GSDME , GSTK1 , GTF3A , H2AFZ , HBQ1 , HINT1 , HLA-F , HMGN4 , HSD17B12 , HSDL2 , HSPE1 , HYAL2 , IAH1 , IFI27 , IFT20 , IMMP2L , INSYN1 , ISCA1 , ISCU , ITGB1BP1 , ITM2B , JKAMP , JPX , JRKL , KCTD15 , LANCL1 , LEPROT , LMTK2 , LRFN5 , LSM3 , MED30 , MGP , MGST3 , MMRN1 , MOSPD2 , MPC1 , MRPL14 , MRPL17 , MRPL21 , MRPL33 , MRPL39 , MRPL9 , MRPS18C , MUSTN1 , MYADM , MYL12A , MYL6 , MYL6B , MYOF , NDUFA2 , NDUFA4 , NDUFA6 , NDUFB2 , NDUFB3 , NDUFS4 , NFU1 , NME5 , NMNAT3 , NOP14-AS1 , NOTCH4 , NPM1 , NR2C2AP , NTNG1 , NUDT12 , OAF , OAZ1 , OPRM1 , OSTF1 , PACRG , PANK4 , PCBD1 , PCCB , PCSK6 , PDCL3 , PEX13 , PEX7 , PFDN5 , PGS1 , PIGF , PIK3R4 , PIP4P2 , PLPP1 , PNMA1 , POLR2I , POLR2L , PPT1 , PPTC7 , PSD2 , PSMA5 , PSMA6 , PSMG2 , PTRH2 , PTRHD1 , PTS , PYDC1 , RABGGTB , RAC3 , RAMAC , RAMP2 , RASGEF1B , RCN1 , RECK , REXO2 , RFC5 , RPL10A , RPL12 , RPL17 , RPL18 , RPL18A , RPL23 , RPL26 , RPL27 , RPL30 , RPL31 , RPL41 , RPL9 , RPS12 , RPS15A , RPS18 , RPS24 , RPS3A , S100A10 , S100A11 , SAP30 , SDCBP , SEC61G , SELENOK , SERF2 , SERPINF1 , SERPINI1 , SF3B6 , SH3BGRL3 , SKP1 , SLC10A3 , SLC35G2 , SLC4A10 , SLC6A1 , SMIM30 , SOD1 , SPACA9 , SPCS1 , SPTLC1 , SRP14 , SRP19 , STRAP , STS , SUB1 , SUCLA2 , SULT1A1 , SVBP , SYT3 , TAF10 , TCP1 , TDRD9 , TGM2 , THOC7 , TIMM23B , TINF2 , TM2D1 , TM6SF1 , TMA7 , TMBIM4 , TMEM141 , TMEM17 , TMEM200A , TMEM256 , TMEM258 , TMEM59 , TMEM69 , TMX1 , TNC , TOMM7 , TPGS2 , TPT1 , TRMT112 , TSNARE1 , TXNDC17 , UBE2D2 , UBE2J1 , UCP2 , UNC50 , UQCC2 , UQCR11 , UQCRFS1 , UQCRQ , VDAC2 , VIM , VMP1 , WASHC3 , XIST , XXYLT1 , YAE1 , YEATS4 , ZC3H7A , ZFX , ZNF23 , ZNF408 , ZNF737 , ZNHIT3 , ZSWIM7	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.9	1	723	2201	112	12853	A2M , AC007541.1 , AC124016.2 , ACP1 , ADCY8 , ADCYAP1 , ADK , ADO , ARL3 , ATP5MC3 , AVP , BANF1 , BCHE , C20orf203 , CALM2 , CD34 , CLIC1 , COL6A2 , COMT , COX6A1 , COX7A2 , COX8A , CTNNA2 , CYB561D2 , DECR1 , DHRS7 , ETFDH , FAU , FGFR2 , GDE1 , GPN1 , GRHPR , GTF3C6 , HACE1 , HIBADH , HMGN4 , HSPE1 , HYAL2 , IMMP2L , ITGA6 , ITGAE , JKAMP , KYAT3 , LEPROT , LRFN5 , LXN , MCEE , MGP , MLF1 , MMRN1 , MRPL33 , MUSTN1 , MYC , NACA , NDUFA2 , NDUFA4L2 , NDUFA6 , NDUFB6 , NDUFC1 , NDUFS5 , NELL1 , NOP14-AS1 , NOTCH4 , NPM1 , NTNG1 , NUDT7 , OPRM1 , OXT , PACRG , PCDHB5 , PFDN5 , PGS1 , PIK3C2A , POLR1E , PPIA , PPTC7 , RANBP1 , RCN1 , RFC5 , RIPK2 , RMND1 , RPL23A , RPL4 , RPL41 , S100A10 , SGCE , SHMT1 , SLC6A1 , SNAPC5 , SOD1 , SRP19 , STMN1 , TAC1 , TDRD9 , THAP10 , TIMM10 , TLE1 , TMA7 , TMEM200A , TMEM256 , TMEM258 , TOMM5 , TPGS2 , TRH , TRMT112 , TSNARE1 , TSTD3 , TXNDC9 , UNC50 , UQCC2 , VDAC2 , ZNF408	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.96	1	723	1219	56	12853	ADK , AGA , AIFM1 , ALS2 , ARL3 , ASAH1 , BOLA3 , C1QBP , CA2 , COX16 , CSTB , CTNNA2 , DDOST , DDX3X , DNAJC12 , EIF3F , ERCC1 , ETFDH , ETHE1 , FGFR2 , GCDH , GTPBP2 , HACE1 , IDUA , METTL23 , MGP , MRPS22 , NDUFA1 , NDUFA6 , NDUFS4 , NFU1 , NPM1 , ORC6 , PCBD1 , PCCB , PEX13 , PEX7 , PIGB , PLPBP , PPT1 , PTRH2 , PTRHD1 , PTS , RAC3 , RMND1 , RPL10 , RPL26 , SHANK3 , SLC4A10 , SLC6A1 , TINF2 , TRH , TSEN15 , UBE2A , UQCRB , UQCRQ	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.97	1	723	265	9	12853	COCH , ETFDH , LRFN5 , MRPL39 , MUSTN1 , REXO2 , SPCS1 , TIMM10 , ZNF23	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.98	1	723	605	24	12853	BLOC1S2 , CA2 , CD9 , CDC26 , COMT , CSTB , FEZ2 , GDE1 , GSDME , LSM6 , MED30 , MRPL21 , NDUFA12 , NME5 , PTGER3 , RPLP2 , RPS20 , SLFN11 , STS , TCP1 , THAP10 , VIM , VWA1 , VWF	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	0.99	1	723	80	1	12853	ADK	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	1	1	723	936	26	12853	ADK , AVPR1A , CA2 , CDH10 , CTNNA2 , DDX3X , FABP5 , GNAI1 , ILF2 , IMMP2L , LRFN5 , MDH1 , MET , MLF1 , NTNG1 , OXT , PCCB , PCDH11X , PEX7 , RHEB , RPL10 , SHANK3 , SLC4A10 , SLC6A1 , SOD1 , TBCEL	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	723	38	0	12853		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	723	39	0	12853		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	723	8	0	12853		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	3.3e-07	6.2e-06	660	6616	202	29701	A4GALT , ACSL5 , ACTA2 , ACYP2 , AGRP , ALDH6A1 , ALPL , ANAPC11 , ANGPTL1 , ANGPTL4 , ANXA2 , ANXA5 , AP2M1 , APOC2 , APTR , ARHGAP4 , ASPN , ATXN2L , B3GNT9 , BCL2L12 , BEST1 , BLVRB , C1orf54 , CA2 , CA3 , CAT , CATIP , CAVIN1 , CD34 , CD63 , CDA , CDK16 , CDK5RAP3 , CFH , CISH , CLDN10 , CLDN9 , CLIC1 , CLU , COL8A2 , CORO1B , COX8A , CREG1 , CRIP1 , CROCC , CST3 , CTF1 , CYB561D2 , CYB5A , CYFIP1 , CYSTM1 , DBI , DCAF15 , DCTN6 , DCXR , DECR2 , DIMT1 , DLEC1 , DPEP2 , EHBP1L1 , ELP5 , ENPP2 , ERAP2 , ESAM , ESPN , EWSR1 , FCGR1B , FEZ1 , FMC1 , FOLH1 , FXYD5 , GCNT4 , GIMAP7 , GMIP , GNPTG , GPN3 , GSDME , GZMA , HK3 , HLA-F , HSPE1 , HYAL2 , IFI27 , IGFBP2 , IL20RB , IMMP2L , ISLR , ITM2B , JPX , KCTD13 , KRTCAP2 , KTN1-AS1 , LAMA2 , LEF1 , LEPROT , LPAR6 , LRRC46 , LRRC8A , LSM4 , LSR , MAN1A1 , MED30 , MFAP2 , MGP , MMRN2 , MPC1 , MUSTN1 , MVP , MYCT1 , MYL12A , MYOF , NCSTN , NDUFA4 , NDUFA6 , NDUFAF3 , NDUFB3 , NME5 , NOS3 , NRG2 , OAZ1 , PACRG , PCBD1 , PDE5A , PDE6D , PDLIM1 , PHGDH , PLA2G15 , PLB1 , PMAIP1 , PNP , PPDPF , PRDX4 , PRKAG2 , PSMD8 , PTP4A3 , RAF1 , RAMP2 , RCN3 , RELL1 , REPIN1 , RGCC , RNF5 , S100A10 , S100A11 , SELENOK , SEMA3G , SERF2 , SERINC2 , SERPINI1 , SH3BGRL3 , SIPA1L2 , SLC12A4 , SLC2A1 , SLC2A3 , SLC38A3 , SLC39A8 , SLC6A9 , SLC9A3R2 , SLX1A , SMIM20 , SMIM5 , SNAI1 , SOCS1 , SPDYA , SPINK8 , SPP1 , SREBF2 , STAB1 , STAT6 , STRA6 , SULT1A1 , TAGLN , TDRD9 , TEAD3 , TES , TFEC , TGFBR2 , TGM2 , TLR5 , TM6SF1 , TMC8 , TMEM141 , TMEM256 , TMEM54 , TMEM59 , TMPRSS9 , TNC , TNFAIP3 , TOGARAM2 , TPM2 , UBA1 , UBXN11 , UTP4 , VGF , VIM , VPS51 , XIST , YBX1 , YIF1A , ZDHHC12 , ZFX , ZMYND10	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	9.5e-06	9e-05	660	2379	85	29701	ADAMTS12 , ADCYAP1 , ATP6V1G2 , BCL2L12 , BLOC1S2 , BRINP2 , BTBD1 , C1orf54 , CAV1 , CDK16 , CLDN5 , CLIC1 , CLU , COL3A1 , COL8A2 , COMT , COX8A , CTF1 , CYB561D2 , CYFIP1 , DNAJC18 , DPEP2 , ELP5 , ESAM , FABP3 , FABP7 , FDPS , FEZ1 , FOLH1 , FXYD1 , GFRA1 , GMIP , GPN3 , GRIN2C , GSDME , HLA-C , HLA-DQA2 , HLA-DRB5 , HLA-F , HLA-F-AS1 , HRC , HSPE1 , IMMP2L , KCTD13 , LAMA2 , LPCAT4 , MED30 , MOG , MUSTN1 , MVP , NES , NMB , NME5 , NNMT , OAZ1 , PLA2G15 , PLA2G1B , PLAT , RAMP3 , RCN3 , RGS5 , RIPPLY2 , RNF5 , RPL10 , S100B , SEMA3G , SERF2 , SERPINI1 , SHANK3 , SLC12A4 , SLC39A8 , SLC6A9 , SMDT1 , SPATA2L , SREBF2 , STAB1 , STAT6 , TDRD9 , TEAD4 , TGFBR2 , TGM2 , TIMM10 , TMSB10 , VGF , ZMYND10	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.0045	0.029	660	841	31	29701	A2M , AGRN , APOC2 , ARHGAP4 , CCDC189 , CD33 , CD34 , CLIC1 , CLU , CST3 , CTF1 , CTSH , DYDC2 , ESPN , ETHE1 , FOLH1 , HLA-C , HLA-DQA2 , HLA-DRB5 , KCTD13 , KTN1-AS1 , MED30 , NCSTN , NOS3 , NRG2 , PLAT , RMND5B , RNF5 , RPL4 , SLX1A , TPM2	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.01	0.047	660	59	5	29701	ANXA5 , COMT , NR2F2 , SERPINI1 , VAV3	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.039	0.15	660	2964	80	29701	A2M , AC120049.1 , ACVRL1 , ADCY8 , ADCYAP1 , BEST1 , BRINP2 , CALCA , CAT , CD320 , CD34 , CFH , CLIC1 , COMT , COX8A , CRYM , CTF1 , CYB561D2 , CYSTM1 , DCXR , DECR1 , DECR2 , DIMT1 , ECM2 , EHBP1L1 , FADS3 , FOLH1 , GGH , GMIP , GRHPR , GTF3C6 , HIST1H2BN , HIST1H4J , HLA-C , HLA-DRB5 , HSPA2 , HSPE1 , HYAL2 , IMMP2L , ISLR , ITGA6 , LEPROT , LRRC10B , LSM4 , METTL1 , MGP , MR1 , MUSTN1 , MVP , MYD88 , NDUFA4L2 , NDUFA6 , NDUFAF3 , NMB , NOS3 , PACRG , PCDHB15 , PDZD7 , PLA2G1B , PLTP , RNF181 , RPL23A , RPL4 , S100A10 , S100B , SGCE , SLC38A3 , SPINK8 , ST6GAL1 , STAB1 , STRA6 , TDRD9 , TIMM10 , TMEM256 , TNFRSF4 , TRAPPC1 , VGF , VPS51 , YIF1A , ZMYND10	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.079	0.25	660	413	14	29701	ANKRD65 , BTBD1 , C1orf54 , CLIC1 , CTF1 , GMIP , HIST1H2BN , MUSTN1 , NDUFAF3 , NMB , NUBP2 , PCDHB15 , SEMA3G , STAB1	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.14	0.35	660	301	10	29701	CAT , COMT , FN1 , GAPDH , GGH , MMP2 , MOG , SERINC2 , SGCE , VWF	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.15	0.35	660	735	21	29701	ACSL5 , ANXA1 , BLOC1S2 , CA2 , CLDN5 , COMT , CROCC , DCHS1 , FMO5 , FOLH1 , GSDME , MAN1A1 , MED30 , MVP , MXRA8 , NME5 , PACC1 , SLC6A9 , VIM , VWA1 , VWF	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	0.2	0.42	660	10	1	29701	CLU	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	0.3	0.53	660	49	2	29701	HLA-F , SULT1A1	X6_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
