Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000189339,SLC35E2B,4,-1.8816,6,-1.4392,0,-6.1293,20,0.63195,12,-0.4621,20,0.39635,18,0.19788,25,0.67589
ENSG00000215790,SLC35E2A,14,-0.8778,12,-1.0689,25,0.01069,29,0.28642,29,0.20847,25,0.00291,20,-0.3741,35,0.50976
ENSG00000008130,NADK,12,-1.4197,54,0.80736,5,-2.5961,39,0.47399,26,-0.3452,33,0.02922,26,-0.3255,35,0.13456
ENSG00000078369,GNB1,236,-0.6796,246,-0.6133,363,-0.0181,414,0.29556,301,-0.3095,451,0.35691,313,-0.2494,341,-0.1168
ENSG00000067606,PRKCZ,43,-1.8174,53,-1.5122,141,-0.0214,196,0.82817,141,-0.0256,143,-0.0032,143,-0.0044,76,-0.9729
ENSG00000162585,FAAP20,131,0.40502,120,0.27051,79,-0.3742,85,-0.3785,72,-0.5144,134,0.48884,96,-0.0911,123,0.30347
ENSG00000157933,SKI,91,1.88754,58,1.09760,0,-6.9884,23,-0.5495,35,0.29693,16,-0.9525,23,-0.3586,28,-0.0749
ENSG00000157916,RER1,87,-0.2380,149,0.59731,116,0.19437,95,-0.1596,65,-0.6787,112,0.15733,105,0.04143,105,0.04477
ENSG00000157911,PEX10,42,0.24138,55,0.66023,24,-0.6416,33,-0.2177,18,-1.0629,29,-0.3389,47,0.41842,61,0.83523
ENSG00000197921,HES5,5,-2.4139,0,-8.3031,3,-3.3197,40,0.98411,80,1.73497,16,-0.8976,11,-1.3789,31,0.17710
ENSG00000272449,AL139246.5,0,-7.6040,2,-3.3091,0,-6.7702,29,0.36664,44,0.89076,45,1.03663,19,-0.3814,26,0.03391
ENSG00000157870,PRXL2B,35,-1.1145,13,-2.5250,93,0.36233,109,1.06177,63,-0.2428,52,-0.5743,49,-0.6081,57,-0.4011
ENSG00000158109,TPRG1L,47,-1.9939,108,-0.7545,158,-0.1779,239,0.77979,179,0.01170,198,0.18813,113,-0.6932,111,-0.7218
ENSG00000116213,WRAP73,7,-1.0886,18,0.17642,0,-6.1039,18,0.31881,11,-0.5652,17,0.12403,27,0.84568,18,0.21161
ENSG00000130764,LRRC47,57,-0.8834,89,-0.2054,61,-0.7682,123,0.47461,67,-0.6309,129,0.40914,103,0.02238,72,-0.5359
ENSG00000116198,CEP104,12,-0.5192,30,0.89781,0,-6.1912,16,-0.0823,5,-1.7487,24,0.60718,22,0.42621,21,0.35838
ENSG00000196581,AJAP1,3,-3.2790,4,-2.9406,0,-5.5011,60,2.54731,17,-0.7935,9,-1.7470,26,-0.1945,11,-1.4970
ENSG00000069424,KCNAB2,41,-0.6821,37,-0.8288,114,0.90998,96,1.08982,63,-0.0401,21,-1.7746,39,-0.7488,22,-1.5930
ENSG00000116254,CHD5,33,-1.5999,23,-2.0926,67,-0.5335,142,1.09794,115,0.30329,94,-0.0094,45,-1.1178,54,-0.8502
ENSG00000116251,RPL22,684,0.56550,702,0.60623,247,-1.0140,374,-0.5430,518,0.12073,568,0.29335,583,0.30824,492,0.04149
ENSG00000116237,ICMT,37,-0.1385,31,-0.4080,20,-1.0983,48,0.41877,34,-0.2926,40,-0.0199,47,0.23454,39,-0.0852
ENSG00000097021,ACOT7,77,-2.4000,143,-1.4808,481,0.36935,571,1.12677,331,-0.2147,346,-0.1633,228,-0.7874,140,-1.5107
ENSG00000171680,PLEKHG5,9,-0.9944,13,-0.4364,3,-2.5493,22,0.54014,25,0.50831,18,0.02979,11,-0.7432,24,0.44280
ENSG00000162408,NOL9,15,-1.0475,26,-0.2567,19,-0.6995,41,0.79045,40,0.42594,22,-0.5308,20,-0.6628,26,-0.2542
ENSG00000204859,ZBTB48,3,-2.5688,44,1.48006,0,-5.9428,17,-0.0828,14,-0.3728,27,0.73131,10,-0.9255,21,0.25949
ENSG00000162413,KLHL21,7,-3.0496,106,0.96299,6,-3.1998,43,-0.6734,23,-1.3640,41,-0.5671,76,0.41234,243,2.49256
ENSG00000116273,PHF13,11,-1.4936,69,1.29989,2,-3.9430,28,-0.1962,46,0.61936,26,-0.2625,33,0.11720,46,0.63612
ENSG00000041988,THAP3,7,-1.7392,31,0.43540,8,-1.5812,26,0.26594,28,0.28827,20,-0.2494,18,-0.4256,41,0.90230
ENSG00000007923,DNAJC11,25,-0.4020,31,-0.1086,27,-0.2898,42,0.62246,46,0.52275,22,-0.6356,19,-0.8032,24,-0.4502
ENSG00000171735,CAMTA1,69,-1.3438,115,-0.5758,91,-0.9234,213,0.61690,215,0.39282,181,0.13915,108,-0.6726,149,-0.1771
ENSG00000049245,VAMP3,76,0.33335,121,1.08476,21,-1.6396,28,-1.5442,20,-1.6672,98,0.83141,141,1.34443,87,0.53283
ENSG00000049246,PER3,36,-0.3932,26,-0.8848,13,-1.9065,42,-0.2234,25,-0.9287,71,0.75923,74,0.75661,76,0.79141
ENSG00000116288,PARK7,290,-0.5273,409,-0.0004,360,-0.1952,397,-0.0643,434,0.09597,519,0.41836,412,0.01431,380,-0.1123
ENSG00000116285,ERRFI1,48,0.39275,184,2.84529,0,-7.3403,22,-1.0657,13,-1.5367,38,0.03302,6,-2.6350,48,0.38876
ENSG00000162426,SLC45A1,23,-0.8192,38,-0.0682,18,-1.1652,62,1.27993,36,-0.1296,23,-0.8896,20,-1.0017,22,-0.9075
ENSG00000142599,RERE,24,-2.3247,122,0.11123,60,-0.9764,122,0.16338,112,-0.0307,175,0.76694,98,-0.2338,105,-0.1292
ENSG00000074800,ENO1,515,-0.4480,875,0.38069,678,-0.0230,656,-0.1103,636,-0.1226,600,-0.2288,613,-0.1798,1146,0.81868
ENSG00000171612,SLC25A33,88,0.30147,61,-0.2822,19,-1.9994,49,-0.8419,66,-0.1489,66,-0.1743,120,0.79472,218,1.83197
ENSG00000188807,TMEM201,15,-0.5278,20,-0.1084,22,0.05089,22,0.05466,18,-0.2644,22,0.07815,24,0.17125,25,0.22632
ENSG00000171603,CLSTN1,165,-1.4601,310,-0.5157,440,0.02362,543,0.57684,399,-0.1278,354,-0.3394,340,-0.3729,552,0.38265
ENSG00000178585,CTNNBIP1,26,-1.0167,70,0.51067,28,-0.9009,47,-0.1947,72,0.54875,55,0.15023,57,0.17546,63,0.34685
ENSG00000162441,LZIC,52,0.87071,28,-0.1161,18,-0.7913,18,-1.0111,32,0.08622,33,0.14558,62,1.18260,41,0.50802
ENSG00000130939,UBE4B,19,-1.2822,42,-0.0978,37,-0.2983,57,0.57173,41,-0.1642,43,-0.0685,44,-0.0523,34,-0.4308
ENSG00000054523,KIF1B,117,-0.8693,130,-0.7072,170,-0.2995,227,0.22597,198,-0.0663,201,-0.0450,278,0.47202,255,0.33214
ENSG00000142657,PGD,65,-0.5181,76,-0.2805,35,-1.4601,118,0.65976,106,0.22815,60,-0.6881,110,0.28855,85,-0.1059
ENSG00000160049,DFFA,35,0.20950,29,-0.0917,33,0.11504,33,0.12301,36,0.21317,30,-0.0678,24,-0.3581,22,-0.5218
ENSG00000142655,PEX14,18,-0.7107,17,-0.7851,20,-0.5863,38,0.66710,38,0.44475,27,-0.0853,10,-1.6208,30,0.06515
ENSG00000120948,TARDBP,20,-1.8716,131,1.02758,29,-1.3224,68,-0.0259,49,-0.5273,84,0.34946,66,-0.0771,93,0.47737
ENSG00000116649,SRM,59,-1.2157,109,-0.2777,140,0.10363,162,0.52827,150,0.21200,123,-0.1108,76,-0.8331,116,-0.1922
ENSG00000171824,EXOSC10,20,-0.9071,51,0.51515,15,-1.3175,40,0.20342,21,-0.8581,45,0.35191,40,0.12945,40,0.14485
ENSG00000198793,MTOR,2,-4.1110,43,0.04266,38,-0.1233,50,0.44775,49,0.26817,46,0.19117,25,-0.7555,40,-0.0443
ENSG00000204624,DISP3,9,-0.7527,6,-1.3284,0,-6.0683,21,0.76042,8,-0.8797,18,0.31197,15,0.01525,20,0.41662
ENSG00000116661,FBXO2,739,1.65213,84,-1.7790,221,-0.3318,236,-0.3307,169,-0.7380,328,0.31434,282,0.05026,225,-0.3035
ENSG00000132879,FBXO44,58,-1.2457,66,-1.0573,106,-0.3421,196,1.06611,123,-0.1136,122,-0.1386,82,-0.7383,66,-1.0694
ENSG00000116663,FBXO6,1,-3.5658,14,-0.3988,6,-1.6735,21,0.35264,8,-1.2742,33,1.06649,13,-0.5337,24,0.42698
ENSG00000116670,MAD2L2,60,1.06189,44,0.54042,41,0.41740,27,-0.2941,18,-0.7919,32,0.06057,21,-0.6154,20,-0.6925
ENSG00000177674,AGTRAP,70,1.57856,70,1.57064,10,-1.4906,14,-1.2787,23,-0.2016,8,-1.8008,33,0.30785,56,1.17093
ENSG00000177000,MTHFR,8,-1.0007,38,1.38358,0,-6.1539,14,-0.2486,7,-1.3080,23,0.57895,19,0.20821,22,0.44015
ENSG00000011021,CLCN6,24,-2.0452,33,-1.5566,117,0.35558,130,0.89171,86,-0.1291,105,0.19816,46,-1.0696,46,-1.0857
ENSG00000116685,KIAA2013,62,0.22930,50,-0.0920,13,-2.0850,62,0.33833,25,-1.1517,46,-0.2708,64,0.27597,83,0.69771
ENSG00000083444,PLOD1,33,-0.4399,89,1.12186,18,-1.3651,57,0.65283,42,-0.0879,23,-1.0293,29,-0.6569,33,-0.4646
ENSG00000116688,MFN2,50,-1.0417,72,-0.4931,74,-0.4538,126,0.62755,70,-0.5370,104,0.08567,89,-0.1615,92,-0.1201
ENSG00000116691,MIIP,17,-0.3898,37,0.77908,1,-4.1535,23,0.02398,17,-0.3761,22,-0.0378,23,0.05853,39,0.85805
ENSG00000028137,TNFRSF1B,77,2.34525,44,1.31526,0,-6.4135,9,-1.4689,38,1.06689,9,-1.1875,17,-0.1974,14,-0.5098
ENSG00000048707,VPS13D,37,-0.2953,47,0.08357,49,0.13695,42,-0.1411,50,0.17005,30,-0.6499,75,0.82091,53,0.27707
ENSG00000162496,DHRS3,132,1.73436,131,1.73272,1,-4.7094,24,-1.3022,19,-1.3156,27,-0.8828,52,0.17466,92,1.11101
ENSG00000162493,PDPN,64,1.73996,65,1.75957,19,-0.2190,4,-2.9358,27,0.27202,7,-1.7758,33,0.63398,48,1.22998
ENSG00000116731,PRDM2,38,0.47313,44,0.71268,13,-1.1019,29,0.08458,23,-0.3025,30,0.12490,11,-1.4421,30,0.09429
ENSG00000189337,KAZN,54,-0.0098,11,-2.3018,15,-1.9683,79,0.97691,42,-0.3990,39,-0.5622,57,0.05431,61,0.17101
ENSG00000142634,EFHD2,39,-0.4734,68,0.38595,22,-1.3048,85,1.36341,72,0.48215,15,-1.9298,24,-1.1896,7,-2.9168
ENSG00000132906,CASP9,54,2.02875,24,0.61723,0,-6.1368,9,-1.1161,11,-0.5560,14,-0.1982,6,-1.3629,39,1.45622
ENSG00000116138,DNAJC16,8,-1.5770,9,-1.4884,3,-2.9901,32,0.74658,15,-0.7561,20,-0.3144,45,0.97904,33,0.50983
ENSG00000197312,DDI2,4,-2.0949,28,0.75297,0,-6.2268,21,0.51794,15,-0.1739,9,-0.9892,12,-0.5054,40,1.35980
ENSG00000116786,PLEKHM2,32,-0.6531,84,0.85768,30,-0.7255,46,-0.1512,50,0.01890,55,0.18937,42,-0.2185,60,0.31565
ENSG00000065526,SPEN,27,-0.2167,50,0.76247,42,0.49080,26,-0.3375,16,-0.9974,29,-0.0748,33,0.09345,42,0.48636
ENSG00000185519,FAM131C,33,0.31285,5,-2.5114,33,0.33067,29,0.14104,10,-1.4354,16,-0.8385,91,2.03206,4,-2.7114
ENSG00000037637,FBXO42,32,-0.2763,33,-0.1913,76,1.11395,36,-0.1118,17,-1.2270,47,0.39007,29,-0.4118,31,-0.3188
ENSG00000055070,SZRD1,76,1.07455,130,2.04288,9,-2.0635,18,-1.5198,29,-0.4482,31,-0.3824,62,0.74865,47,0.31261
ENSG00000157191,NECAP2,46,1.14645,53,1.41051,0,-6.6097,11,-1.3112,13,-0.7724,23,0.03918,29,0.39307,47,1.17422
ENSG00000219481,NBPF1,37,0.59204,13,-1.0566,11,-1.1874,30,0.35384,21,-0.3019,33,0.44467,23,-0.1275,12,-1.0779
ENSG00000058453,CROCC,28,0.53511,27,0.47534,0,-6.4377,16,-0.4709,16,-0.2875,22,0.14585,11,-0.8155,52,1.58583
ENSG00000238142,BX284668.5,21,-0.0195,25,0.29715,17,-0.3222,20,-0.0757,24,0.19150,25,0.32039,5,-1.9382,28,0.46550
ENSG00000159363,ATP13A2,114,-0.9828,69,-1.7215,228,0.07863,318,1.04756,228,0.08023,164,-0.4641,143,-0.6437,119,-0.9167
ENSG00000117118,SDHB,67,-0.4403,57,-0.6774,54,-0.7576,111,0.54952,99,0.15642,94,0.08478,73,-0.3157,68,-0.4230
ENSG00000117115,PADI2,460,3.43398,25,-1.6265,9,-3.0969,15,-2.8211,4,-4.2023,13,-2.6848,298,2.41459,67,-0.1617
ENSG00000179051,RCC2,38,0.60997,46,0.90968,21,-0.3119,23,-0.2081,24,-0.1373,25,-0.0768,19,-0.4583,21,-0.3057
ENSG00000074964,ARHGEF10L,33,0.12511,53,0.84977,24,-0.3717,29,-0.1407,23,-0.4457,30,-0.0735,14,-1.2148,50,0.76657
ENSG00000117154,IGSF21,23,-0.8883,29,-0.5399,39,-0.0849,57,0.89130,61,0.63018,13,-1.8090,41,0.00833,28,-0.6011
ENSG00000159423,ALDH4A1,42,0.82688,16,-0.6119,14,-0.8567,20,-0.4674,16,-0.6187,14,-0.9197,43,0.87625,62,1.51528
ENSG00000169991,IFFO2,8,-1.0334,26,0.67568,25,0.59608,15,-0.2892,13,-0.4688,16,-0.1371,15,-0.2372,29,0.82264
ENSG00000127463,EMC1,17,-1.4855,64,0.57156,46,0.04272,51,0.31366,46,0.05938,45,-0.0044,19,-1.2787,45,0.02409
ENSG00000053372,MRTO4,29,-0.3303,41,0.20073,7,-2.3425,43,0.43967,28,-0.3670,46,0.41364,35,-0.0155,20,-0.8680
ENSG00000053371,AKR7A2,74,0.07402,53,-0.4341,89,0.37449,59,-0.3777,45,-0.6778,81,0.23767,79,0.17689,117,0.80167
ENSG00000040487,SLC66A1,13,-0.2400,20,0.41849,9,-0.7623,17,0.28312,14,-0.1653,22,0.60584,7,-1.1425,6,-1.2976
ENSG00000077549,CAPZB,218,0.25132,255,0.50434,108,-0.8215,194,0.10035,181,-0.0349,186,0.00720,141,-0.4190,167,-0.1596
ENSG00000173436,MICOS10,87,-1.6529,184,-0.5242,308,0.27034,261,0.02029,323,0.34541,414,0.84020,177,-0.5839,155,-0.7842
ENSG00000158747,NBL1,584,1.97245,304,0.82275,35,-2.4469,177,-0.0571,168,-0.1265,135,-0.4889,51,-1.8950,64,-1.5738
ENSG00000169914,OTUD3,14,-0.2553,25,0.66292,0,-5.4794,22,0.69661,13,-0.3774,17,0.05595,5,-1.7895,15,-0.1398
ENSG00000162545,CAMK2N1,163,-1.2731,179,-1.1340,245,-0.6590,472,0.57330,509,0.47547,387,0.04565,513,0.48938,154,-1.3560
ENSG00000090432,MUL1,14,-1.7817,50,0.11138,51,0.12699,50,0.13801,64,0.48138,45,-0.0704,28,-0.7698,64,0.48483
ENSG00000183114,FAM43B,10,-1.9466,14,-1.5464,16,-1.3203,62,1.27166,36,-0.1467,38,-0.0406,26,-0.6230,23,-0.7949
ENSG00000158828,PINK1,249,-0.1702,118,-1.3006,407,0.60754,324,0.38064,331,0.27652,210,-0.4637,276,-0.0116,189,-0.5887
ENSG00000244038,DDOST,32,-0.0363,61,0.96155,2,-3.6781,37,0.26157,36,0.10951,20,-0.8405,34,0.04077,42,0.36316
ENSG00000117245,KIF17,7,-1.4296,6,-1.5202,11,-0.6929,25,0.81464,13,-0.4785,26,0.66098,3,-2.5096,17,-0.0406
ENSG00000189410,SH2D5,0,-7.3567,0,-5.8169,7,-1.6172,43,2.40384,35,0.81849,5,-2.1412,4,-2.3007,5,-2.0767
ENSG00000127483,HP1BP3,80,-0.7756,122,-0.1212,56,-1.3009,126,-0.1077,156,0.25941,187,0.61560,120,-0.1473,179,0.47875
ENSG00000075151,EIF4G3,37,-1.3466,67,-0.4638,144,0.74605,110,0.49204,92,0.03527,89,-0.0221,49,-0.9182,56,-0.7221
ENSG00000117298,ECE1,43,-0.0279,321,3.89020,12,-1.9197,15,-1.9731,5,-3.1766,26,-0.8763,19,-1.2422,46,0.05324
ENSG00000076864,RAP1GAP,16,-3.0553,32,-2.0922,62,-1.1196,240,1.95668,123,-0.0869,58,-1.2997,69,-0.9659,73,-0.8767
ENSG00000090686,USP48,32,-0.5986,45,-0.0857,27,-0.8535,54,0.33931,41,-0.2320,50,0.09399,64,0.47434,35,-0.4673
ENSG00000218510,LINC00339,13,-0.4781,21,0.19480,2,-3.2952,19,0.12585,15,-0.3063,27,0.71900,13,-0.5418,22,0.33271
ENSG00000070831,CDC42,203,-0.7555,273,-0.3030,251,-0.4329,418,0.58660,359,0.12133,288,-0.2390,270,-0.3226,295,-0.1843
ENSG00000162552,WNT4,45,0.21317,27,-0.5730,0,-7.2131,61,1.26513,31,-0.3376,40,0.04759,9,-2.0756,9,-2.1438
ENSG00000173372,C1QA,250,3.05957,190,2.43463,3,-3.8138,14,-2.2190,48,0.04219,15,-1.7258,6,-2.8902,7,-2.6651
ENSG00000159189,C1QC,129,2.84765,90,2.07881,0,-6.8263,10,-1.8775,15,-0.8550,17,-0.7336,13,-1.0659,13,-1.0893
ENSG00000173369,C1QB,354,2.86635,223,1.91072,0,-8.2646,23,-2.0954,69,-0.0522,37,-1.0815,71,-0.0119,24,-1.6580
ENSG00000133216,EPHB2,7,-1.3420,17,-0.0680,22,0.28445,22,0.53331,25,0.50274,11,-0.7553,11,-0.7678,18,0.02076
ENSG00000004487,KDM1A,29,-1.0894,70,0.27051,37,-0.6956,64,0.19057,60,0.01449,84,0.62038,20,-1.6184,64,0.12324
ENSG00000169641,LUZP1,24,-0.0149,28,0.19389,14,-0.8475,36,0.99373,32,0.38285,7,-1.9728,5,-2.3609,26,0.05751
ENSG00000125944,HNRNPR,38,-1.6692,129,0.16751,63,-0.9299,112,-0.0745,139,0.28848,152,0.47236,102,-0.2010,171,0.61384
ENSG00000117318,ID3,639,3.33393,138,0.40022,19,-2.5708,38,-1.9596,86,-0.3488,21,-2.5344,195,0.95670,85,-0.3599
ENSG00000142676,RPL11,1227,1.06789,1249,1.09900,346,-0.9273,461,-0.6863,539,-0.2530,595,-0.1066,745,0.25244,643,0.02099
ENSG00000011007,ELOA,25,0.26647,23,0.17490,0,-6.4968,22,0.17647,17,-0.2914,27,0.48246,32,0.68875,6,-1.8039
ENSG00000057757,PITHD1,86,-1.7583,101,-1.5227,313,0.19619,345,0.56964,257,-0.1121,342,0.37526,233,-0.2648,187,-0.5993
ENSG00000011009,LYPLA2,13,-1.7719,84,1.12038,67,0.74770,42,-0.0057,51,0.31704,35,-0.3045,29,-0.5466,21,-0.9992
ENSG00000117308,GALE,8,-1.0837,34,1.06179,26,0.61282,19,0.20950,14,-0.3355,12,-0.6612,10,-0.8310,16,-0.1110
ENSG00000117305,HMGCL,29,-0.1725,50,0.68306,52,0.74507,26,-0.4948,25,-0.3801,37,0.23632,39,0.29934,23,-0.5527
ENSG00000179163,FUCA1,15,-1.1562,34,0.03925,24,-0.4963,44,0.68917,32,-0.0517,36,0.13199,11,-1.5927,26,-0.3862
ENSG00000189266,PNRC2,42,-0.2032,105,1.26538,49,0.04431,37,-0.5395,28,-0.8080,46,-0.0859,57,0.26055,65,0.46774
ENSG00000188529,SRSF10,10,-2.7409,114,0.93950,35,-0.9182,60,-0.1419,59,-0.1149,75,0.27883,62,-0.0452,99,0.69886
ENSG00000001461,NIPAL3,53,-0.1694,21,-1.5440,147,1.50345,71,0.46957,41,-0.5603,21,-1.6360,85,0.58762,21,-1.5251
ENSG00000117602,RCAN3,9,-1.6246,7,-1.9624,54,1.12571,31,0.37164,32,0.26720,32,0.30191,12,-1.1797,15,-0.9244
ENSG00000133226,SRRM1,60,0.00467,49,-0.3021,29,-1.1010,53,-0.2584,57,-0.0691,86,0.65176,69,0.22648,73,0.32207
ENSG00000169504,CLIC4,181,2.00349,190,2.09844,9,-2.5780,16,-2.3048,25,-1.1672,22,-1.4458,121,1.27472,68,0.32202
ENSG00000117614,SYF2,55,-0.1269,65,0.12663,40,-0.6101,52,-0.2891,96,0.75926,79,0.50107,44,-0.4547,54,-0.1482
ENSG00000117616,RSRP1,35,-0.6446,133,1.46650,30,-0.9020,51,-0.1521,21,-1.4046,66,0.35361,46,-0.2423,53,-0.0459
ENSG00000183726,TMEM50A,47,-0.6290,109,0.69213,23,-1.6777,76,0.15798,77,0.12477,48,-0.6331,84,0.26764,106,0.63504
ENSG00000204178,MACO1,8,-2.0187,22,-0.5619,60,0.99539,34,0.13143,31,-0.0350,34,0.12595,21,-0.6592,36,0.18728
ENSG00000117643,MAN1C1,75,2.00840,16,-0.5271,11,-1.1147,24,0.14166,20,-0.2219,9,-1.5097,14,-0.7142,22,-0.0595
ENSG00000162430,SELENON,77,0.80639,114,1.48077,0,-6.4172,33,-0.7355,28,-0.7661,31,-0.6555,46,-0.0197,111,1.43672
ENSG00000117640,MTFR1L,116,0.41235,131,0.60674,54,-0.7806,93,0.08964,54,-0.7593,94,0.09237,71,-0.3654,83,-0.1068
ENSG00000182749,PAQR7,26,0.47265,37,1.04864,13,-0.5102,19,0.01053,23,0.30336,10,-0.9991,19,0.00976,13,-0.5553
ENSG00000117632,STMN1,843,-0.3745,411,-1.4571,1817,0.84432,1145,0.15398,971,-0.1564,1209,0.20420,1169,0.13271,605,-0.8785
ENSG00000142684,ZNF593,75,0.46167,90,0.75829,92,0.78850,57,0.06135,43,-0.4029,36,-0.7327,28,-1.0539,41,-0.4779
ENSG00000142669,SH3BGRL3,454,0.80414,302,0.15109,546,1.11437,227,-0.4214,214,-0.3828,234,-0.2660,230,-0.2720,219,-0.3520
ENSG00000158062,UBXN11,5,-2.9715,52,0.44586,22,-0.9137,46,0.38352,20,-1.0418,42,0.11945,30,-0.4381,69,0.89622
ENSG00000117682,DHDDS,24,-0.0493,18,-0.5070,52,1.18886,22,-0.2352,23,-0.0864,29,0.29429,14,-0.8663,21,-0.2659
ENSG00000198830,HMGN2,172,-0.5549,424,0.87474,26,-3.3138,170,-0.7898,146,-0.7968,482,1.24566,248,0.01230,369,0.64635
ENSG00000117713,ARID1A,53,-0.2648,39,-0.7084,29,-1.1418,73,0.38697,61,-0.0303,53,-0.2856,69,0.15828,90,0.57128
ENSG00000204160,ZDHHC18,52,0.25619,42,-0.0720,27,-0.7569,50,0.28834,36,-0.3069,55,0.36190,11,-2.0568,48,0.13833
ENSG00000142751,GPN2,29,0.10743,33,0.26689,28,0.04315,29,0.14909,20,-0.4493,29,0.09203,25,-0.1536,17,-0.7086
ENSG00000090273,NUDC,105,-0.7101,154,-0.1185,132,-0.3541,194,0.38007,180,0.11992,168,0.01165,113,-0.5944,174,0.06632
ENSG00000253368,TRNP1,48,-0.0552,22,-1.1944,60,0.30879,68,0.84401,64,0.41346,41,-0.3128,14,-1.8935,12,-2.1200
ENSG00000090020,SLC9A1,1,-4.0655,17,-0.3255,16,-0.4046,34,1.29419,27,0.35668,9,-1.2979,16,-0.4855,13,-0.7615
