ensg	z	p	f	symbol	dx	twas_method	twas_citation	method_thresh	tissue
ENSG00000033170	NA	NA	NA	FUT8	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000035664	NA	NA	NA	DAPK2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000038945	NA	NA	NA	MSR1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000041802	NA	NA	NA	LSG1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000041802	NA	NA	NA	LSG1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000041802	NA	NA	NA	LSG1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000042832	NA	NA	NA	TG	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000049167	NA	NA	NA	ERCC8	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000049245	NA	NA	NA	VAMP3	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000049249	NA	NA	NA	TNFRSF9	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000050628	NA	NA	NA	PTGER3	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000051825	NA	NA	NA	MPHOSPH9	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000055211	NA	NA	NA	GINM1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000057704	NA	NA	NA	TMCC3	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000058272	NA	NA	NA	PPP1R12A	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000058453	NA	NA	NA	CROCC	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000058453	NA	NA	NA	CROCC	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000059588	NA	NA	NA	TARBP1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000065060	NA	NA	NA	UHRF1BP1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000065413	NA	NA	NA	ANKRD44	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000066322	NA	NA	NA	ELOVL1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000067141	NA	NA	NA	NEO1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000068976	NA	NA	NA	PYGM	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000069275	NA	NA	NA	NUCKS1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000070669	NA	NA	NA	ASNS	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000072071	NA	NA	NA	ADGRL1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000072952	NA	NA	NA	IRAG1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000073060	NA	NA	NA	SCARB1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000073417	NA	NA	NA	PDE8A	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000074527	NA	NA	NA	NTN4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000079974	NA	NA	NA	RABL2B	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000081014	NA	NA	NA	AP4E1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000081842	NA	NA	NA	PCDHA6	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000082258	NA	NA	NA	CCNT2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000082258	NA	NA	NA	CCNT2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000082293	NA	NA	NA	COL19A1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000082641	NA	NA	NA	NFE2L1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000084764	NA	NA	NA	MAPRE3	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000086205	NA	NA	NA	FOLH1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000087365	NA	NA	NA	SF3B2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000088854	NA	NA	NA	DNAAF9	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000089692	NA	NA	NA	LAG3	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000090863	NA	NA	NA	GLG1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000091844	NA	NA	NA	RGS17	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000092108	NA	NA	NA	SCFD1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000092108	NA	NA	NA	SCFD1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000092108	NA	NA	NA	SCFD1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000092203	NA	NA	NA	TOX4	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000093183	NA	NA	NA	SEC22C	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000099219	NA	NA	NA	ERMP1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000099282	NA	NA	NA	TSPAN15	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000099326	NA	NA	NA	MZF1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000099834	NA	NA	NA	CDHR5	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000099968	NA	NA	NA	BCL2L13	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000100106	NA	NA	NA	TRIOBP	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000100106	NA	NA	NA	TRIOBP	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000100221	NA	NA	NA	JOSD1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000100239	NA	NA	NA	PPP6R2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000100239	NA	NA	NA	PPP6R2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000100241	NA	NA	NA	SBF1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000100292	NA	NA	NA	HMOX1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000100297	NA	NA	NA	MCM5	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000100592	NA	NA	NA	DAAM1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000100726	NA	NA	NA	TELO2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000100731	NA	NA	NA	PCNX1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000100865	NA	NA	NA	CINP	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000101017	NA	NA	NA	CD40	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000101017	NA	NA	NA	CD40	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000101017	NA	NA	NA	CD40	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000101204	NA	NA	NA	CHRNA4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000101222	NA	NA	NA	SPEF1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000101236	NA	NA	NA	RNF24	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000101421	NA	NA	NA	CHMP4B	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000101421	NA	NA	NA	CHMP4B	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000101558	NA	NA	NA	VAPA	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000101558	NA	NA	NA	VAPA	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000103248	NA	NA	NA	MTHFSD	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000103479	NA	NA	NA	RBL2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000103479	NA	NA	NA	RBL2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000103479	NA	NA	NA	RBL2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000103528	NA	NA	NA	SYT17	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000103995	NA	NA	NA	CEP152	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000104267	NA	NA	NA	CA2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000104824	NA	NA	NA	HNRNPL	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000104872	NA	NA	NA	PIH1D1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000104885	NA	NA	NA	DOT1L	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000105229	NA	NA	NA	PIAS4	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000105339	NA	NA	NA	DENND3	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000105778	NA	NA	NA	AVL9	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000105928	NA	NA	NA	GSDME	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000106069	NA	NA	NA	CHN2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000106624	NA	NA	NA	AEBP1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000106952	NA	NA	NA	TNFSF8	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000107099	NA	NA	NA	DOCK8	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000107104	NA	NA	NA	KANK1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000107147	NA	NA	NA	KCNT1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000107551	NA	NA	NA	RASSF4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000107651	NA	NA	NA	SEC23IP	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000107736	NA	NA	NA	CDH23	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000107872	NA	NA	NA	FBXL15	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000108175	NA	NA	NA	ZMIZ1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000108578	NA	NA	NA	BLMH	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000108861	NA	NA	NA	DUSP3	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000109323	NA	NA	NA	MANBA	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000110002	NA	NA	NA	VWA5A	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000110274	NA	NA	NA	CEP164	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000110768	NA	NA	NA	GTF2H1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000110768	NA	NA	NA	GTF2H1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000110987	NA	NA	NA	BCL7A	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000111181	NA	NA	NA	SLC6A12	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000111276	NA	NA	NA	CDKN1B	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000111885	NA	NA	NA	MAN1A1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000112039	NA	NA	NA	FANCE	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000112149	NA	NA	NA	CD83	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000112305	NA	NA	NA	SMAP1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000112305	NA	NA	NA	SMAP1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000112981	NA	NA	NA	NME5	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000113319	NA	NA	NA	RASGRF2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000113504	NA	NA	NA	SLC12A7	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000113719	NA	NA	NA	ERGIC1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000114378	NA	NA	NA	HYAL1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000114378	NA	NA	NA	HYAL1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000114480	NA	NA	NA	GBE1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000114650	NA	NA	NA	SCAP	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000114698	NA	NA	NA	PLSCR4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000114742	NA	NA	NA	WDR48	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000115138	NA	NA	NA	POMC	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000115232	NA	NA	NA	ITGA4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000115526	NA	NA	NA	CHST10	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000115685	NA	NA	NA	PPP1R7	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000115806	NA	NA	NA	GORASP2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000116857	NA	NA	NA	TMEM9	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000116857	NA	NA	NA	TMEM9	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000116871	NA	NA	NA	MAP7D1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000116874	NA	NA	NA	WARS2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000116977	NA	NA	NA	LGALS8	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000117280	NA	NA	NA	RAB29	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000117280	NA	NA	NA	RAB29	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000117450	NA	NA	NA	PRDX1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000117475	NA	NA	NA	BLZF1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000117519	NA	NA	NA	CNN3	SCZ	FUSION	TWASP000052	by_publication	Brain
ENSG00000117697	NA	NA	NA	NSL1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000118004	NA	NA	NA	COLEC11	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000118432	NA	NA	NA	CNR1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000118640	NA	NA	NA	VAMP8	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000119408	NA	NA	NA	NEK6	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000120156	NA	NA	NA	TEK	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000120253	NA	NA	NA	NUP43	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000120438	NA	NA	NA	TCP1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000121057	NA	NA	NA	AKAP1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000121316	NA	NA	NA	PLBD1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000121440	NA	NA	NA	PDZRN3	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000121552	NA	NA	NA	CSTA	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000122483	NA	NA	NA	CCDC18	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000122958	NA	NA	NA	VPS26A	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000124207	NA	NA	NA	CSE1L	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000124207	NA	NA	NA	CSE1L	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000124214	NA	NA	NA	STAU1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000124839	NA	NA	NA	RAB17	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000125170	NA	NA	NA	DOK4	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000125388	NA	NA	NA	GRK4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000125630	NA	NA	NA	POLR1B	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000125652	NA	NA	NA	ALKBH7	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000125734	NA	NA	NA	GPR108	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000125877	NA	NA	NA	ITPA	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000125877	NA	NA	NA	ITPA	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000125898	NA	NA	NA	FAM110A	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000127578	NA	NA	NA	WFIKKN1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000127666	NA	NA	NA	TICAM1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000128059	NA	NA	NA	PPAT	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000128340	NA	NA	NA	RAC2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000128340	NA	NA	NA	RAC2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000129028	NA	NA	NA	THAP10	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000129187	NA	NA	NA	DCTD	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000129933	NA	NA	NA	MAU2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000130165	NA	NA	NA	ELOF1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000130312	NA	NA	NA	MRPL34	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000130312	NA	NA	NA	MRPL34	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000130312	NA	NA	NA	MRPL34	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000130475	NA	NA	NA	FCHO1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000130517	NA	NA	NA	PGPEP1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000131023	NA	NA	NA	LATS1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000131459	NA	NA	NA	GFPT2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000131778	NA	NA	NA	CHD1L	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000131781	NA	NA	NA	FMO5	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000132141	NA	NA	NA	CCT6B	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000132359	NA	NA	NA	RAP1GAP2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000132434	NA	NA	NA	LANCL2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000132530	NA	NA	NA	XAF1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000132530	NA	NA	NA	XAF1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000132581	NA	NA	NA	SDF2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000132740	NA	NA	NA	IGHMBP2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000132740	NA	NA	NA	IGHMBP2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000132842	NA	NA	NA	AP3B1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000133069	NA	NA	NA	TMCC2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000133069	NA	NA	NA	TMCC2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000133069	NA	NA	NA	TMCC2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000133243	NA	NA	NA	BTBD2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000133627	NA	NA	NA	ACTR3B	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000133687	NA	NA	NA	TMTC1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000133835	NA	NA	NA	HSD17B4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000133863	NA	NA	NA	TEX15	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000134013	NA	NA	NA	LOXL2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000134262	NA	NA	NA	AP4B1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000134470	NA	NA	NA	IL15RA	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000135046	NA	NA	NA	ANXA1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000135046	NA	NA	NA	ANXA1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000135090	NA	NA	NA	TAOK3	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000135205	NA	NA	NA	CCDC146	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000135218	NA	NA	NA	CD36	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000135314	NA	NA	NA	KHDC1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000135334	NA	NA	NA	AKIRIN2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000135525	NA	NA	NA	MAP7	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000135604	NA	NA	NA	STX11	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000135655	NA	NA	NA	USP15	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000135828	NA	NA	NA	RNASEL	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000135828	NA	NA	NA	RNASEL	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000136108	NA	NA	NA	CKAP2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000136108	NA	NA	NA	CKAP2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000136108	NA	NA	NA	CKAP2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000136141	NA	NA	NA	LRCH1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000136153	NA	NA	NA	LMO7	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000136158	NA	NA	NA	SPRY2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000136169	NA	NA	NA	SETDB2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000136243	NA	NA	NA	NUP42	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000136560	NA	NA	NA	TANK	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000136869	NA	NA	NA	TLR4	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000136891	NA	NA	NA	TEX10	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000137145	NA	NA	NA	DENND4C	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000137270	NA	NA	NA	GCM1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000137507	NA	NA	NA	LRRC32	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000137880	NA	NA	NA	GCHFR	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000138031	NA	NA	NA	ADCY3	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000138092	NA	NA	NA	CENPO	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000138380	NA	NA	NA	CARF	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000138613	NA	NA	NA	APH1B	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000138688	NA	NA	NA	KIAA1109	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000139437	NA	NA	NA	TCHP	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000139579	NA	NA	NA	NABP2	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000139832	NA	NA	NA	RAB20	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000139832	NA	NA	NA	RAB20	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000139946	NA	NA	NA	PELI2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000140365	NA	NA	NA	COMMD4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000140563	NA	NA	NA	MCTP2	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000140564	NA	NA	NA	FURIN	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000140830	NA	NA	NA	TXNL4B	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000140955	NA	NA	NA	ADAD2	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000141027	NA	NA	NA	NCOR1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
ENSG00000141068	NA	NA	NA	KSR1	ADHD	FUSION	TWASP000136	by_publication	Peripheral Blood
