symbol	dx
AC005609.17	MDD
AC005609.2	SCZ
AC005618.1	MDD
AC005757.6	AD
AC005757.7	AD
AC005779.1	AD
AC005779.2	OUD
AC005779.2	AD
AC005821.1	MDD
AC005829.1	MDD
AC006014.10	BMI
AC006014.10	MDD
AC006014.8	BMI
AC006058.1	MDD
AC006126.3	AD
AC006126.3	OUD
AC006126.4	AD
AC006252.1	MDD
AC006254.1	MDD
AC006369.2	BMI
AC006538.1	SCZ
AC006547.8	BMI
AC006953.1	AD
AC006994.2	MDD
AC006994.3	MDD
AC007000.10	BMI
AC007003.1	BMI
AC007038.7	MDD
AC007040.1	MDD
AC007040.3	MDD
AC007040.8	MDD
AC007098.1	BMI
AC007131.1	MDD
AC007131.2	BMI
AC007131.2	MDD
AC007131.3	MDD
AC007228.5	SCZ
AC007238.1	SCZ
AC007238.1	BMI
AC007238.1	MDD
AC007277.3	BMI
AC007285.6	BIP
AC007292.4	BMI
AC007319.1	BMI
AC007365.3	MDD
AC007381.2	MDD
AC007391.2	SCZ
AC007405.4	BMI
AC007405.6	BMI
AC007421.1	MDD
AC007422.1	BMI
AC007541.1	MDD
AC007560.2	MDD
AC007618.3	MDD
AC007680.2	MDD
AC007682.1	MDD
AC007682.2	MDD
AC007682.3	MDD
AC007743.1	BMI
AC007773.2	BMI
AC007879.1	MDD
AC007879.2	MDD
AC007879.3	MDD
AC007879.4	MDD
AC007879.5	SCZ
AC007879.5	MDD
AC007879.6	MDD
AC007879.7	MDD
AC007881.1	MDD
AC007881.2	MDD
AC007950.1	MDD
AC007952.5	SCZ
AC007956.1	MDD
AC008063.2	MDD
AC008074.3	MDD
AC008074.4	MDD
AC008074.5	MDD
AC008085.1	SCZ
AC008163.6	MDD
AC008267.2	MDD
AC008592.5	BMI
AC008966.2	MDD
AC008984.2	AD
AC008984.5	AD
AC008984.6	AD
AC008984.7	AD
AC009120.10	MDD
AC009120.8	MDD
AC009133.12	BMI
AC009133.17	BMI
AC009166.5	MDD
AC009234.1	MDD
AC009237.3	MDD
AC009237.8	MDD
AC009299.3	MDD
AC009299.4	MDD
AC009313.2	MDD
AC009365.3	MDD
AC009502.4	BMI
AC009506.1	MDD
AC009506.2	MDD
AC009518.2	SCZ
AC009518.3	SCZ
AC009518.4	SCZ
AC009951.1	MDD
AC009951.2	MDD
AC009961.3	MDD
AC009970.1	MDD
AC010235.1	MDD
AC010243.1	MDD
AC010295.1	SCZ
AC010455.1	MDD
AC010547.5	MDD
AC010547.9	MDD
AC010746.3	BMI
AC010761.14	MDD
AC010761.8	MDD
AC010857.1	MDD
AC010931.2	MDD
AC010931.3	MDD
AC010967.1	MDD
AC010967.3	MDD
AC010983.1	MDD
AC011330.1	MDD
AC011330.13	BMI
AC011330.5	SCZ
AC011330.5	BMI
AC011330.5	MDD
AC011363.1	MDD
AC011530.4	AD
AC011558.5	AD
AC011648.1	MDD
AC011652.1	MDD
AC011652.2	MDD
AC011816.1	SCZ
AC011816.1	BIP
AC011997.1	BMI
AC011997.1	SCZ
AC011997.1	MDD
AC012074.2	SCZ
AC012074.2	BMI
AC012146.7	AD
AC012146.7	BMI
AC012307.3	BIP
AC012362.1	MDD
AC012457.2	SCZ
AC012508.2	MDD
AC012603.1	MDD
AC012645.1	MDD
AC013264.2	SCZ
AC013264.2	MDD
AC013267.1	BMI
AC013401.1	MDD
AC013401.2	MDD
AC013467.1	SCZ
AC015971.2	BMI
AC015971.2	MDD
AC015977.6	BMI
AC016178.1	MDD
AC016178.2	MDD
AC016292.3	BMI
AC016629.3	MDD
AC016722.4	BMI
AC016734.1	MDD
AC016910.1	MDD
AC017099.1	MDD
AC018512.1	SCZ
AC018641.7	BMI
AC018641.7	MDD
AC018720.10	BMI
AC018730.4	MDD
AC018797.2	ADHD
AC019185.2	MDD
AC019185.3	MDD
AC019185.4	MDD
AC020550.7	BMI
AC020550.7	MDD
AC021593.1	MDD
AC023271.1	BMI
AC023347.1	MDD
AC023347.2	MDD
AC023347.2	AD
AC023886.1	MDD
AC024028.1	MDD
AC024619.2	MDD
AC024908.1	MDD
AC024937.2	BMI
AC025165.1	MDD
AC025165.5	MDD
AC025165.8	MDD
AC025171.1	BMI
AC025171.1	ADHD
AC025918.2	AD
AC026191.1	MDD
AC026202.5	MDD
AC026954.6	MDD
AC040174.1	MDD
AC048351.1	MDD
AC053503.4	BMI
AC058791.1	AD
AC062032.1	SCZ
AC064836.3	MDD
AC064874.1	BMI
AC067968.3	AD
AC068039.1	MDD
AC068039.1	Panic
AC068039.4	MDD
AC068134.8	MDD
AC068135.1	MDD
AC068490.1	MDD
AC068490.2	SCZ
AC068499.10	BMI
AC068506.1	MDD
AC068570.1	MDD
AC068768.1	ADHD
AC068768.1	MDD
AC068831.1	MDD
AC069257.8	BMI
AC073043.1	BMI
AC073063.10	BMI
AC073071.1	MDD
AC073109.2	MDD
AC073215.1	MDD
AC073283.7	BMI
AC073326.3	SCZ
AC073343.13	BMI
AC073626.2	MDD
AC073842.19	AD
AC073934.6	SCZ
AC073987.1	BMI
AC073987.1	MDD
AC073987.2	MDD
AC074091.13	SCZ
AC074117.10	SCZ
AC074212.3	AD
AC074212.5	AD
AC074212.6	AD
AC074286.1	MDD
AC074289.1	MDD
AC074389.1	MDD
AC074389.5	BMI
AC074389.6	MDD
AC074389.7	MDD
AC074391.1	ADHD
AC078778.1	MDD
AC078842.3	SCZ
AC078846.1	MDD
AC078883.3	MDD
AC078883.4	MDD
AC079154.1	MDD
AC079315.1	MDD
AC079602.1	MDD
AC079610.1	BMI
AC079779.4	BMI
AC079799.2	MDD
AC079807.4	SCZ
AC083873.4	SCZ
AC083884.8	BMI
AC083899.1	MDD
AC084018.1	MDD
AC084125.2	ADHD
AC084125.2	MDD
AC084219.3	AD
AC084219.4	AD
AC087477.1	Panic
AC087491.2	SCZ
AC087501.1	BMI
AC090559.1	AD
AC090559.2	MDD
AC090559.2	AD
AC090616.2	BMI
AC090617.1	BMI
AC090772.3	MDD
AC090945.1	MDD
AC091133.1	BMI
AC091962.3	MDD
AC091969.1	MDD
AC091969.1	SCZ
AC092066.1	AD
AC092066.6	AD
AC092155.4	MDD
AC092159.2	BMI
AC092159.3	BMI
AC092171.4	BMI
AC092573.2	MDD
AC092625.1	SCZ
AC092651.1	BMI
AC092651.1	MDD
AC092652.1	BMI
AC092652.1	MDD
AC092661.1	BIP
AC092667.2	BMI
AC092687.4	ADHD
AC092849.1	AD
AC093107.7	MDD
AC093326.3	BMI
AC093375.1	MDD
AC093510.1	MDD
AC093590.1	MDD
AC093673.5	AD
AC093702.1	BMI
AC093734.1	MDD
AC093818.1	MDD
AC096586.1	MDD
AC096664.1	MDD
AC096664.3	MDD
AC097463.1	MDD
AC097463.2	MDD
AC097468.4	BMI
AC097662.2	MDD
AC097713.3	MDD
AC097713.4	MDD
AC097713.5	MDD
AC097724.3	BMI
AC098848.1	MDD
AC099668.5	MDD
AC099684.1	BMI
AC099778.1	MDD
AC100830.4	MDD
AC100830.5	MDD
AC102941.1	MDD
AC102953.6	MDD
AC103965.1	BIP
AC103965.1	SCZ
AC104076.3	BMI
AC104448.1	MDD
AC104451.2	SCZ
AC104600.1	MDD
AC104695.4	BMI
AC104794.2	MDD
AC104801.1	MDD
AC104801.1	SCZ
AC105049.1	SCZ
AC105053.4	MDD
AC105393.1	BMI
AC105393.2	BMI
AC106876.2	MDD
AC107068.1	MDD
AC107983.2	MDD
AC108032.1	SCZ
AC108056.1	SCZ
AC108057.1	MDD
AC108137.1	MDD
AC108456.1	MDD
AC108475.1	MDD
AC110781.3	BMI
AC110781.3	SCZ
AC110781.3	ADHD
AC110781.3	MDD
AC110781.3	BIP
AC110926.4	AD
AC111200.1	MDD
AC111200.7	MDD
AC111200.8	MDD
AC113167.1	MDD
AC113167.2	MDD
AC114284.1	MDD
AC114752.1	MDD
AC115522.3	AD
AC116609.1	BMI
AC116609.3	BMI
AC116614.1	BMI
AC120049.1	MDD
AC120114.1	MDD
AC120120.1	MDD
AC124016.2	MDD
AC125232.1	MDD
AC127459.2	MDD
AC129492.1	MDD
AC131097.2	MDD
AC131571.1	MDD
AC131571.2	MDD
AC134772.1	MDD
AC135048.13	BMI
AC135050.5	AD
AC135721.2	ADHD
AC136289.1	SCZ
AC137932.4	BMI
AC137932.5	BMI
AC138472.4	AD
AC138472.6	AD
AC138783.12	MDD
AC139451.1	MDD
AC139712.1	MDD
AC140132.1	MDD
AC140912.1	MDD
AC141928.1	MDD
AC144521.1	MDD
AC145123.2	SCZ
AC145124.2	BMI
AC145343.2	BMI
AC156455.1	BMI
AC156455.1	SCZ
AC159540.1	SCZ
AC159540.1	MDD
AC159540.14	MDD
AC226119.4	MDD
AC226119.5	MDD
AC243562.2	MDD
ACA59	MDD
ACAA1	AD
ACAA2	BMI
ACACA	BMI
ACACB	BMI
ACAD11	ADHD
ACAD8	SCZ
ACAD9	NDD
ACADL	BMI
ACADL	MDD
ACADM	BMI
ACADM	OCD
ACADM	NDD
ACADS	OUD
ACADS	MDD
ACADVL	BMI
ACADVL	SCZ
ACAP1	MDD
ACAP1	OCD
ACAP2	BMI
ACAP2-IT1	BMI
ACAP3	BMI
ACAT1	BMI
ACAT2	BMI
ACBD5	NDD
ACBD6	BMI
ACBD6	NDD
ACD	SCZ
ACE	AD
ACE	ASD
ACE	SCZ
ACE	AUD
ACE2	NDD
ACE3P	BMI
ACE3P	AD
ACER3	BMI
ACHE	SCZ
ACHE	ASD
ACHE	AD
ACHE	BMI
ACHE	NDD
ACIN1	BMI
ACIN1	NDD
ACKR1	BMI
ACKR2	BMI
ACKR4	BMI
ACLY	BMI
ACO2	BMI
ACO2	SCZ
ACO2	MDD
ACO2	OCD
ACO2	NDD
ACOT1	BMI
ACOT13	BMI
ACOT4	AD
ACOT6	SCZ
ACOT9	BMI
ACOT9	NDD
ACOX1	ADHD
ACOX1	BMI
ACOX1	NDD
ACOX2	BMI
ACOX3	AD
ACP1	BMI
ACP1	MDD
ACP1	SCZ
ACP2	SCZ
ACP2	BMI
ACP2	AD
ACP2	MDD
ACP3	BMI
ACP4	MDD
ACP4	BMI
ACP4	BIP
ACP4	ADHD
ACP4	SCZ
ACP4	OCD
ACP5	BMI
ACP6	AD
ACP6	MDD
ACPP	BMI
ACRC	BMI
ACSBG1	BMI
ACSF2	OCD
ACSL1	BMI
ACSL3	BMI
ACSL3	MDD
ACSL4	NDD
ACSL4	MDD
ACSL5	BMI
ACSL5	ADHD
ACSL6	BMI
ACSL6	SCZ
ACSM1	BMI
ACSM1	MDD
ACSM1	SCZ
ACSM3	BMI
ACSM5	BMI
ACSS1	BMI
ACSS2	BMI
ACTA2	BMI
ACTB	ASD
ACTB	NDD
ACTB	SCZ
ACTBP13	BMI
ACTBP13	MDD
ACTBP13	PTSD
ACTG1	BMI
ACTG1	NDD
ACTG1P15	SCZ
ACTG1P17	SCZ
ACTG1P22	SCZ
ACTL11P	BMI
ACTL6A	NDD
ACTL6B	ASD
ACTL6B	NDD
ACTN1	BMI
ACTN2	OUD
ACTN3	BMI
ACTN4	BMI
ACTN4	ASD
ACTR1A	BMI
ACTR1A	SCZ
ACTR1A	MDD
ACTR1B	BMI
ACTR1B	SCZ
ACTR1B	MDD
ACTR2	SCZ
ACTR3B	ADHD
ACTR5	SCZ
ACTR5	MDD
ACTR6	BMI
ACTRT1	BMI
ACVR1	BMI
ACVR1	MDD
ACVR1B	BMI
ACVR1B	MDD
ACVR2A	BMI
ACVRL1	MDD
ACY1	SCZ
ACY1	BMI
ACY1	ASD
ACY1	NDD
ACY3	BMI
ACYP1	MDD
ACYP2	BMI
ADA	BMI
ADA	ASD
ADA2	BMI
ADAD2	ADHD
ADAM10	BMI
ADAM10	SCZ
ADAM10	AD
ADAM12	MDD
ADAM12	SCZ
ADAM15	SCZ
ADAM15	BMI
ADAM17	BMI
ADAM17	AD
ADAM19	BMI
ADAM20	SCZ
ADAM20P2	MDD
ADAM23	BMI
ADAM8	BMI
ADAM9	BMI
ADAM9	ADHD
ADAMTS1	AD
ADAMTS12	SCZ
ADAMTS15	SCZ
ADAMTS19	ADHD
ADAMTS19	BMI
ADAMTS3	BMI
ADAMTS3	SCZ
ADAMTS7	SCZ
ADAMTS7P1	SCZ
ADAMTS8	SCZ
ADAMTS9	Panic
ADAMTSL3	SCZ
ADAMTSL4	BMI
ADAMTSL4	BIP
ADAMTSL4-AS1	SCZ
ADAMTSL4-AS1	MDD
ADAMTSL5	SCZ
ADAP1	BMI
ADAP1	MDD
ADAP2	BMI
ADAR	ADHD
ADAR	MDD
ADAR	NDD
ADARB1	BMI
ADARB1	MDD
ADARB1	SCZ
ADARB2	ADHD
ADARB2	MDD
ADAT2	MDD
ADAT3	BMI
ADCK3	MDD
ADCK5	BIP
ADCK5	ADHD
ADCK5	SCZ
ADCY10P1	AD
ADCY2	MDD
ADCY2	BIP
ADCY3	BMI
ADCY3	ADHD
ADCY3	MDD
ADCY3	ASD
ADCY5	ASD
ADCY5	MDD
ADCY5	AUD
ADCY7	MDD
ADCY7	AUD
ADCY7	SCZ
ADCY8	MDD
ADCY9	BMI
ADCYAP1	MDD
ADCYAP1	SCZ
ADCYAP1R1	BMI
ADCYAP1R1	SCZ
ADD1	BMI
ADD1	OUD
ADD2	BMI
ADD3	BIP
ADGRA1	BMI
ADGRA1-AS1	BMI
ADGRB1	SCZ
ADGRB1	BMI
ADGRB2	BMI
ADGRB3	BMI
ADGRB3	SCZ
ADGRD2	BMI
ADGRE3	BMI
ADGRF4	SCZ
ADGRG1	NDD
ADGRG3	BMI
ADGRG6	BMI
ADGRG6	ASD
ADGRL1	ADHD
ADGRL3	ADHD
ADH1A	BMI
ADH1A	AUD
ADH1B	AUD
ADH1B	BMI
ADH1C	AUD
ADH4	AUD
ADH5	AUD
ADH5P2	MDD
ADH5P4	MDD
ADH6	AUD
ADH7	AUD
ADHFE1	BMI
ADIPOQ	BMI
ADIPOR1	BMI
ADIPOR2	SCZ
ADIPOR2	BIP
ADK	BMI
ADK	MDD
ADK	Anorexia
ADK	ASD
ADK	SCZ
ADK	NDD
ADM	SCZ
ADNP	ASD
ADNP	NDD
ADNP	SCZ
ADNP2	SCZ
ADO	MDD
ADORA1	ADHD
ADORA1	SCZ
ADORA2A	ASD
ADORA2A	MDD
ADORA2A	SCZ
ADORA2A	Panic
ADORA2A	GAD
ADORA2B	BMI
ADORA3	ASD
ADPGK	BMI
ADPGK-AS1	BMI
ADPRS	SCZ
ADPRS	NDD
ADRA1A	AD
ADRA1A	MDD
ADRA1A	SCZ
ADRA1D	MDD
ADRA2A	MDD
ADRA2A	AUD
ADRA2A	SCZ
ADRA2A	Panic
ADRA2B	BIP
ADRA2B	NDD
ADRA2C	BMI
ADRA2C	MDD
ADRB1	MDD
ADRB1	BMI
ADRB2	BMI
ADRB2	ASD
ADRB3	BMI
ADRBK1	BMI
ADRBK2	BMI
ADSL	BMI
ADSL	SCZ
ADSL	MDD
ADSL	ASD
ADSL	NDD
ADSS	BMI
ADSS2	ASD
ADSS2	SCZ
ADTRP	ASD
ADTRP	MDD
AE000661.37	BMI
AEBP1	ADHD
AEBP1	AD
AEN	AD
AEN	OCD
AES	BMI
AF064858.11	BMI
AF064858.6	BMI
AF064860.7	BMI
AF127577.12	SCZ
AF129408.17	MDD
AF131215.2	BMI
AF131215.3	BMI
AF131215.4	BMI
AF131215.4	ASD
AF131215.8	BMI
AF131215.9	BMI
AF131216.5	BMI
AF131216.6	BMI
AF131216.7	BMI
AF178030.2	BMI
AF213884.2	MDD
AF224669.3	BMI
AFAP1	BMI
AFAP1	MDD
AFF1	BMI
AFF2	ASD
AFF2	NDD
AFF3	BMI
AFF3	NDD
AFF4	NDD
AFF4	BMI
AFG3L1P	MDD
AFG3L1P	SCZ
AGA	NDD
AGA	SCZ
AGAP1	ASD
AGAP10P	AD
AGAP2	BMI
AGAP2	MDD
AGAP2	ASD
AGAP2-AS1	MDD
AGAP3	BMI
AGAP4	MDD
AGAP6	BMI
AGBL1	MDD
AGBL2	BMI
AGBL2	AD
AGBL2	BIP
AGBL2	SCZ
AGBL2	MDD
AGBL3	MDD
AGBL4	BMI
AGBL4	MDD
AGBL4	ASD
AGBL4	SCZ
AGBL4-IT1	MDD
AGBL5	BMI
AGBL5	GAD
AGBL5-IT1	BMI
AGER	BMI
AGER	SCZ
AGER	MDD
AGER	AD
AGFG1	SCZ
AGFG2	AD
AGK	NDD
AGMO	ASD
AGMO	NDD
ago-01	SCZ
ago-03	SCZ
ago-04	SCZ
AGO1	ASD
AGO1	AUD
AGO1	NDD
AGO2	ASD
AGO2	AUD
AGO3	BMI
AGO3	OCD
AGO3	ASD
AGO4	ASD
AGPAT1	BMI
AGPAT1	SCZ
AGPAT1	AD
AGPAT1	BIP
AGPAT2	BMI
AGPAT3	BMI
AGPAT4	BMI
AGPAT4	MDD
AGPAT4-IT1	BMI
AGPAT9	BMI
AGPS	NDD
AGRN	AD
AGRP	BMI
AGT	MDD
AGTPBP1	BMI
AGTPBP1	NDD
AGTR2	ASD
AGTRAP	BMI
AGTRAP	ADHD
AHCY	BMI
AHCYL2	BMI
AHDC1	BMI
AHDC1	ASD
AHDC1	NDD
AHI1	ASD
AHI1	NDD
AHI1	SCZ
AHNAK	BMI
AHNAK	ASD
AHR	BMI
AHSA1	BMI
AHSA2	MDD
AHSP	BMI
AIF1	BMI
AIF1	SCZ
AIF1	AD
AIFM1	NDD
AIG1	MDD
AIG1	SCZ
AIM2	AD
AIMP1	OCD
AIMP1	NDD
AIMP2	BMI
AIMP2	MDD
AIP	BMI
AIRN	BMI
AK1	BMI
AK4	BMI
AK4	OUD
AK5	BMI
AKAP1	ADHD
AKAP1	BMI
AKAP10	BMI
AKAP10	SCZ
AKAP10	MDD
AKAP11	BMI
AKAP11	SCZ
AKAP12	BMI
AKAP13	BMI
AKAP17A	BMI
AKAP2	BIP
AKAP3	BMI
AKAP5	MDD
AKAP6	SCZ
AKAP6	NDD
AKAP8	BMI
AKAP8	MDD
AKAP9	MDD
AKAP9	ASD
AKIRIN1	BMI
AKIRIN2	ADHD
AKIRIN2	BMI
AKIRIN2	OUD
AKNA	BMI
AKNAD1	BMI
AKR1A1	BMI
AKR1A1	MDD
AKR1A1	AUD
AKR1A1	SCZ
AKR1C3	AUD
AKR1C3	BMI
AKR1C4	AUD
AKR1E2	BMI
AKR7A2	MDD
AKR7L	BMI
AKT1	BMI
AKT1	MDD
AKT1	Cannabis
AKT1	SCZ
AKT2	BMI
AKT3	SCZ
AKT3	MDD
AKT3	NDD
AKTIP	ADHD
AKTIP	BMI
AL021546.6	MDD
AL021917.1	MDD
AL022328.4	MDD
AL022393.7	MDD
AL022393.9	SCZ
AL022476.2	SCZ
AL022476.2	BIP
AL031118.1	MDD
AL031320.1	MDD
AL031594.1	MDD
AL035106.1	MDD
AL035681.1	MDD
AL035681.1	TS
AL049840.1	MDD
AL049840.3	MDD
AL049840.4	MDD
AL080317.3	MDD
AL109767.1	MDD
AL109806.1	AD
AL117209.1	MDD
AL121845.3	MDD
AL121897.1	MDD
AL121914.1	AD
AL121932.1	MDD
AL121944.1	MDD
AL121983.2	MDD
AL132709.1	BMI
AL132780.1	MDD
AL133338.1	MDD
AL133465.1	ADHD
AL133493.2	MDD
AL136001.1	MDD
AL137127.1	MDD
AL137251.1	MDD
AL138762.1	ADHD
AL138762.1	MDD
AL139300.1	MDD
AL158155.1	MDD
AL159169.2	MDD
AL160175.1	MDD
AL160269.1	MDD
AL161790.1	MDD
AL162151.4	MDD
AL162458.1	MDD
AL353629.1	MDD
AL354928.1	MDD
AL355312.2	MDD
AL355353.1	AD
AL355994.3	MDD
AL358933.1	MDD
AL360297.1	MDD
AL365205.1	MDD
AL391152.1	MDD
AL450226.2	BMI
AL450226.2	SCZ
AL450998.1	MDD
AL512428.1	MDD
AL513329.1	MDD
AL583839.1	MDD
AL589765.7	MDD
AL590235.1	MDD
AL590867.1	OUD
AL591845.1	MDD
AL591848.2	MDD
AL592528.1	MDD
AL645730.1	MDD
AL645730.2	MDD
AL662890.1	MDD
AL662890.3	MDD
AL691452.1	AD
AL844908.2	MDD
AL928768.3	AD
ALAD	BMI
ALAS1	BIP
ALAS1	SCZ
ALAS1	BMI
ALAS2	BMI
ALB	MDD
ALCAM	BMI
ALDH16A1	ADHD
ALDH16A1	MDD
ALDH18A1	NDD
ALDH1A1	BMI
ALDH1A1	AUD
ALDH1A1	SCZ
ALDH1A2	SCZ
ALDH1A3	ASD
ALDH1A3	NDD
ALDH1L1	BMI
ALDH1L1-AS1	ADHD
ALDH2	AUD
ALDH3A1	SCZ
ALDH3A2	NDD
ALDH3B1	SCZ
ALDH3B2	AUD
ALDH4A1	NDD
ALDH5A1	BMI
ALDH5A1	ASD
ALDH5A1	NDD
ALDH6A1	BMI
ALDH7A1	SCZ
ALDH7A1	NDD
ALDH9A1	BMI
ALDOA	BMI
ALDOA	SCZ
ALG1	NDD
ALG10	MDD
ALG11	BMI
ALG11	NDD
ALG12	SCZ
ALG12	NDD
ALG13	BMI
ALG13	NDD
ALG14	MDD
ALG14	NDD
ALG1L11P	BMI
ALG1L13P	BMI
ALG1L13P	SCZ
ALG1L7P	MDD
ALG2	NDD
ALG3	NDD
ALG5	MDD
ALG6	BMI
ALG6	ASD
ALG6	NDD
ALG8	NDD
ALG8	MDD
ALG9	NDD
ALK	MDD
ALK	AUD
ALK	SCZ
ALKAL2	BMI
ALKBH3	BMI
ALKBH4	BMI
ALKBH5	SCZ
ALKBH5	BMI
ALKBH5	AD
ALKBH6	BMI
ALKBH7	ADHD
ALKBH8	BMI
ALKBH8	NDD
ALMS1	BMI
ALMS1	SCZ
ALMS1	NDD
ALMS1-IT1	SCZ
ALMS1P	SCZ
ALMS1P1	SCZ
ALOX12	SCZ
ALOX15B	BMI
ALOX15B	ADHD
ALOX5	BMI
ALOX5AP	BMI
ALOX5AP	BIP
ALOXE3	MDD
ALPK2	ASD
ALPK3	SCZ
ALPL	BMI
ALS2	BMI
ALS2	NDD
ALS2CL	BMI
ALS2CL	SCZ
ALS2CR12	BMI
ALX4	OCD
AMACR	SCZ
AMBRA1	BMI
AMBRA1	SCZ
AMBRA1	MDD
AMD1	BMI
AMD1P3	MDD
AMDHD2	BMI
AMFR	BMI
AMFR	AD
AMIGO1	BMI
AMIGO1	MDD
AMIGO1	Lefthanded
AMIGO3	ADHD
AMIGO3	OUD
AMIGO3	MDD
AMIGO3	Anorexia
AMMECR1L	AD
AMMECR1LP1	MDD
AMN	BMI
AMN	MDD
AMN1	BMI
AMPD1	ASD
AMPD2	BMI
AMPD2	MDD
AMPD2	NDD
AMPD3	BMI
AMPH	MDD
AMT	GAD
AMT	SCZ
AMT	BMI
AMT	ADHD
AMT	MDD
AMT	BIP
AMT	OUD
AMT	PTSD
AMT	Anorexia
AMT	ASD
AMT	NDD
AMY2A	BMI
AMZ1	BMI
AMZ1	MDD
AMZ2	BMI
ANAPC1	NDD
ANAPC1	AUD
ANAPC10	BMI
ANAPC11	BMI
ANAPC16	BMI
ANAPC2	MDD
ANAPC4	BMI
ANAPC4	AD
ANAPC5	MDD
ANAPC7	BMI
ANAPC7	SCZ
ANAPC7	OUD
ANGEL1	ASD
ANGEL2	BMI
ANGPT1	BMI
ANGPT4	BMI
ANGPTL1	BMI
ANGPTL4	BMI
ANGPTL7	BMI
ANK1	BMI
ANK2	AD
ANK2	ASD
ANK3	BMI
ANK3	AD
ANK3	BIP
ANK3	ASD
ANK3	SCZ
ANKDD1B	BMI
ANKFY1	SCZ
ANKH	BMI
ANKH	AD
ANKH	NDD
ANKHD1	SCZ
ANKHD1	BMI
ANKHD1	MDD
ANKHD1-EIF4EBP3	SCZ
ANKHD1-EIF4EBP3	MDD
ANKIB1	BIP
ANKIB1	MDD
ANKK1	SCZ
ANKK1	MDD
ANKK1	BMI
ANKK1	Anorexia
ANKK1	OUD
ANKK1	AUD
ANKLE2	BMI
ANKRA2	BMI
ANKRD11	BMI
ANKRD11	SCZ
ANKRD11	ASD
ANKRD11	NDD
ANKRD12	SCZ
ANKRD13B	BMI
ANKRD13B	BIP
ANKRD13D	BMI
ANKRD17	BMI
ANKRD17	ASD
ANKRD17	NDD
ANKRD19P	MDD
ANKRD20A1	BIP
ANKRD20A1	GAD
ANKRD20A8P	BMI
ANKRD26	SCZ
ANKRD26P4	MDD
ANKRD27	BMI
ANKRD28	BMI
ANKRD30BL	AD
ANKRD31	BMI
ANKRD32	MDD
ANKRD33	MDD
ANKRD33B	BMI
ANKRD36	BMI
ANKRD36	MDD
ANKRD36	SCZ
ANKRD36B	SCZ
ANKRD36B	MDD
ANKRD36BP1	BMI
ANKRD37	BMI
ANKRD39	BIP
ANKRD39	SCZ
ANKRD42	SCZ
ANKRD44	ADHD
ANKRD44	SCZ
ANKRD44	MDD
ANKRD44	BMI
ANKRD44-IT1	SCZ
