gene	clus	fdr	logFC	bjm_annot	bjm_misc_notes
OTOGL	X3	0.000508223	1.929181284	Oligodendrocyte_Precursor_cells_(OPC)	
BMP8B	X3	5.47e-07	1.794314415	Oligodendrocyte_Precursor_cells_(OPC)	
POU6F2	X3	0.000935664	1.76100319	Oligodendrocyte_Precursor_cells_(OPC)	
TMEM132C	X3	2.59e-06	1.758291679	Oligodendrocyte_Precursor_cells_(OPC)	
SSTR1	X3	0.000508223	1.72252498	Oligodendrocyte_Precursor_cells_(OPC)	
UGT8	X3	0.018892279	1.644644533	Oligodendrocyte_Precursor_cells_(OPC)	
BRINP3	X3	0.000125715	1.568353105	Oligodendrocyte_Precursor_cells_(OPC)	
DCC	X3	9.68e-05	1.557339391	Oligodendrocyte_Precursor_cells_(OPC)	
COL12A1	X3	0.011944716	1.54420222	Oligodendrocyte_Precursor_cells_(OPC)	
SORCS1	X3	0.000611275	1.449609886	Oligodendrocyte_Precursor_cells_(OPC)	
SOX4	X3	2.09e-08	1.395730807	Oligodendrocyte_Precursor_cells_(OPC)	
CDH13	X3	0.01631173	1.374266757	Oligodendrocyte_Precursor_cells_(OPC)	
PLCE1	X3	0.046847054	1.176569569	Oligodendrocyte_Precursor_cells_(OPC)	
NTNG1	X3	4.81e-05	1.127116078	Oligodendrocyte_Precursor_cells_(OPC)	
MEIS2	X3	0.047150566	1.081892229	Oligodendrocyte_Precursor_cells_(OPC)	
LRRK2	X3	0.005819213	1.012878721	Oligodendrocyte_Precursor_cells_(OPC)	
PLD5	X3	0.078439712	0.915868936	Oligodendrocyte_Precursor_cells_(OPC)	
IDH1	X3	0.0001512	0.897792347	Oligodendrocyte_Precursor_cells_(OPC)	
PCDH7	X3	0.049125944	0.807206137	Oligodendrocyte_Precursor_cells_(OPC)	
SLC24A3	X3	0.014122018	0.687926605	Oligodendrocyte_Precursor_cells_(OPC)	
SOX11	X3	0.014122018	0.622252321	Oligodendrocyte_Precursor_cells_(OPC)	
GAD2	X4	0.036939384	1.725766375	Diffuse_GABAergic_TRH	
TRH	X4	0.036939384	1.69801954	Diffuse_GABAergic_TRH	
PECAM1	X5	1.94e-18	5.335103588	Endothelium	
FLT1	X5	8.08e-26	5.278660972	Endothelium	
KLF2	X5	1.82e-15	4.855756652	Endothelium	
KLF4	X5	5e-13	4.15238734	Endothelium	
RNF144B	X5	1.53e-16	3.966263645	Endothelium	
CEMIP2	X5	1.25e-20	3.960339888	Endothelium	
IGFBP4	X5	1.49e-10	3.692262503	Endothelium	
IFITM3	X5	2e-15	3.349534856	Endothelium	
CAV1	X5	8.16e-09	3.332904691	Endothelium	
IL18R1	X5	5.74e-07	3.128565426	Endothelium	
THSD4	X5	2.28e-11	3.103003462	Endothelium	
PHLDB2	X5	1.14e-10	3.052453365	Endothelium	
CDK1	X5	1.99e-08	3.012812896	Endothelium	
CALCRL	X5	5.21e-07	2.886479234	Endothelium	
LEPR	X5	2.55e-08	2.856494671	Endothelium	
DCN	X5	9.92e-07	2.830579668	Endothelium	
ANXA1	X5	0.000537745	2.75609282	Endothelium	
NRP1	X5	3.89e-09	2.616898776	Endothelium	
TRPC6	X5	0.000435108	2.529124041	Endothelium	
GPER1	X5	8.55e-07	2.24770863	Endothelium	
CD163	X5	0.001939318	2.217363846	Endothelium	
SHANK3	X5	8.08e-26	2.164102007	Endothelium	
NES	X5	1.82e-07	2.163243283	Endothelium	
HES1	X5	9.92e-07	2.152876176	Endothelium	
MT2A	X5	8.27e-05	2.097629253	Endothelium	
NOTCH1	X5	1.48e-09	2.058518228	Endothelium	
LHX6	X5	3.67e-07	2.05065203	Endothelium	
LAMA2	X5	0.004266617	1.916214271	Endothelium	
CEMIP	X5	0.001590216	1.770982657	Endothelium	
TGFBI	X5	0.010305396	1.71010809	Endothelium	
CD52	X5	0.008317663	1.696137179	Endothelium	
CNTNAP3B	X5	2.23e-05	1.687994958	Endothelium	
LYVE1	X5	0.004240639	1.671018467	Endothelium	
GAS2L3	X5	0.006177135	1.618473393	Endothelium	
DDR2	X5	2.32e-05	1.612938779	Endothelium	
CTSH	X5	0.000214675	1.586824308	Endothelium	
TGFB1	X5	0.000308259	1.505475695	Endothelium	
MAN1A1	X5	0.00047892	1.467558992	Endothelium	
NR4A2	X5	0.0396887	1.45037495	Endothelium	
NR2F2	X5	0.016684912	1.368831962	Endothelium	
RNF152	X5	2.08e-06	1.367382901	Endothelium	
HLA-DMB	X5	0.049287097	1.3439271	Endothelium	
ADAMTS16	X5	0.033542157	1.342114632	Endothelium	
FILIP1	X5	0.008317663	1.333846043	Endothelium	
VIP	X5	0.02111368	1.310697516	Endothelium	
NPNT	X5	0.040870521	1.275245367	Endothelium	
IGFBP5	X5	0.002016713	1.272259325	Endothelium	
CTSS	X5	0.02111368	1.241252254	Endothelium	
UNC5B	X5	2.13e-06	1.21931588	Endothelium	
ABCC9	X5	0.023478756	1.214871317	Endothelium	
STXBP2	X5	0.025061846	1.161445643	Endothelium	
TMEM132C	X5	0.004266617	1.157365761	Endothelium	
CD68	X5	0.060413082	1.122970712	Endothelium	
RFTN1	X5	0.005144944	0.967013532	Endothelium	
LRRK2	X5	0.007733044	0.945160863	Endothelium	
CDH6	X5	0.002554997	0.855352337	Endothelium	
TP53	X5	0.008896992	0.825064253	Endothelium	
SNTB2	X5	0.002839615	0.745801654	Endothelium	
STAT3	X5	0.002871254	0.699853173	Endothelium	
PSEN2	X5	0.095870506	0.641399503	Endothelium	
KRT8	X5	0.05568821	0.586239173	Endothelium	
KLK6	X6	1.29e-13	4.95301832	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
MAG	X6	4.03e-15	4.924533836	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CNDP1	X6	1.01e-15	4.795806567	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
MYRF	X6	5.07e-17	4.672712469	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
UGT8	X6	4.61e-18	4.590747909	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CLDN11	X6	5.07e-17	4.31203576	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
MOG	X6	4.39e-17	4.235561717	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
ERBB3	X6	5.07e-17	4.159198506	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
PCSK6	X6	1.21e-23	4.05393554	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
ST18	X6	3.91e-19	3.907171256	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CNTN2	X6	7.93e-20	3.866090132	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
ERMN	X6	1.76e-16	3.841320161	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
HHATL	X6	5.83e-20	3.555051833	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
MAL	X6	5.41e-18	3.549724354	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CAPN3	X6	2.53e-13	3.528114194	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
SOX10	X6	5.21e-14	3.374547807	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
MOBP	X6	2.9e-17	3.314339362	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CTNNA3	X6	7.58e-15	3.25018916	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
OPALIN	X6	9.68e-11	3.051278051	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CDH1	X6	2.15e-07	2.791264738	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
ANKRD18A	X6	5.44e-21	2.771076583	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
EFHD1	X6	7.93e-20	2.628888659	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
FGFR2	X6	6.68e-15	2.573150766	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
OLIG2	X6	2.75e-07	2.386018888	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
GZMA	X6	0.000144393	2.346083664	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
LINC01615	X6	1.19e-05	2.127650147	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
SLC6A3	X6	3.94e-05	2.046477812	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
OLIG1	X6	1.23e-10	1.960243494	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
PROKR1	X6	5.53e-11	1.902905455	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
SERPINA3	X6	0.00021064	1.889303501	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CENPF	X6	1.85e-05	1.886355924	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
PVALB	X6	0.000790777	1.877974699	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
TLL2	X6	0.00021064	1.873950006	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CD48	X6	3.67e-05	1.772852604	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CRHBP	X6	3.38e-07	1.749770824	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
PROX1	X6	5.5e-07	1.716374407	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
ADAMTS12	X6	0.000926497	1.69945667	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
FASLG	X6	0.004707974	1.683957587	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
ROS1	X6	0.000345451	1.680130179	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CD52	X6	0.004467915	1.65774748	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
PSEN1	X6	1.87e-17	1.656314175	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
THEMIS	X6	0.001452018	1.580196058	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
CCL5	X6	0.040979793	1.553370206	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
PTCHD4	X6	2.47e-06	1.540226711	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
TOP2A	X6	0.008766387	1.468272537	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
MKI67	X6	0.0046254	1.429297532	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
TMIGD3	X6	0.00128561	1.384277994	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
UNC5B	X6	2.9e-08	1.372220514	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
LY86	X6	0.038337194	1.271081417	Oligodendrocyte_1	Mostly in large WM tract landmark. Interestingly, the top enriched Allen Brain Atlas area brain-wide for markers of cluster is """"upper dirsal lateral hypothalamus""""
