gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank	n_naSamps
ENSG00000008988	RPS20	687	1062	336	1136	NA	NA	NA	815	807.2	3
ENSG00000009307	CSDE1	NA	455	NA	NA	NA	NA	505	NA	480	6
ENSG00000009413	REV3L	NA	1933	NA	NA	NA	NA	NA	NA	1933	7
ENSG00000009694	TENM1	NA	NA	NA	400	NA	58	1618	NA	692	5
ENSG00000009844	VTA1	NA	1543	NA	NA	NA	NA	NA	NA	1543	7
ENSG00000009954	BAZ1B	NA	2078	NA	NA	NA	NA	NA	NA	2078	7
ENSG00000010017	RANBP9	NA	686	1234	NA	NA	NA	1658	NA	1192.66666666667	5
ENSG00000010219	DYRK4	NA	1060	NA	NA	NA	NA	NA	NA	1060	7
ENSG00000010270	STARD3NL	NA	NA	NA	572	NA	NA	1765	1158	1165	5
ENSG00000010278	CD9	1274	NA	468	NA	NA	NA	NA	NA	871	6
ENSG00000010322	NISCH	809	2085	NA	NA	NA	NA	821	NA	1238.33333333333	5
ENSG00000010404	IDS	NA	NA	601	1489	NA	NA	NA	NA	1045	6
ENSG00000010438	PRSS3	NA	NA	1889	NA	NA	NA	NA	NA	1889	7
ENSG00000010626	LRRC23	516	NA	NA	NA	NA	NA	NA	NA	516	7
ENSG00000011201	ANOS1	582	NA	881	NA	NA	NA	NA	NA	731.5	6
ENSG00000011243	AKAP8L	NA	1501	NA	NA	NA	NA	NA	NA	1501	7
ENSG00000011275	RNF216	NA	1538	NA	NA	NA	NA	NA	NA	1538	7
ENSG00000011295	TTC19	NA	902	NA	1500	NA	NA	1297	NA	1233	5
ENSG00000011332	DPF1	NA	977	NA	NA	NA	NA	1595	NA	1286	6
ENSG00000011405	PIK3C2A	NA	NA	1489	NA	NA	NA	NA	NA	1489	7
ENSG00000011465	DCN	29	917	27	133	NA	NA	587	NA	338.6	3
ENSG00000011523	CEP68	1417	NA	NA	NA	NA	NA	1001	NA	1209	6
ENSG00000011566	MAP4K3	NA	2370	NA	NA	NA	NA	NA	NA	2370	7
ENSG00000011677	GABRA3	1389	NA	1848	NA	NA	NA	NA	NA	1618.5	6
ENSG00000012174	MBTPS2	NA	1529	1906	NA	NA	NA	NA	NA	1717.5	6
ENSG00000012660	ELOVL5	1225	2318	1425	NA	NA	NA	NA	1164	1533	4
ENSG00000012822	CALCOCO1	835	1584	NA	NA	NA	NA	1216	NA	1211.66666666667	5
ENSG00000013275	PSMC4	NA	NA	NA	NA	NA	NA	992	NA	992	7
ENSG00000013288	MAN2B2	NA	2707	NA	NA	NA	NA	802	NA	1754.5	6
ENSG00000013293	SLC7A14	NA	208	1544	207	NA	NA	NA	NA	653	5
ENSG00000013297	CLDN11	232	NA	283	NA	NA	NA	NA	NA	257.5	6
ENSG00000013374	NUB1	NA	NA	NA	NA	NA	NA	NA	1095	1095	7
ENSG00000013392	RWDD2A	NA	2704	NA	NA	NA	NA	1809	NA	2256.5	6
ENSG00000013441	CLK1	NA	527	572	361	NA	NA	714	1056	646	3
ENSG00000013561	RNF14	NA	1815	NA	NA	NA	NA	1213	NA	1514	6
ENSG00000013583	HEBP1	NA	NA	NA	NA	NA	NA	NA	1118	1118	7
ENSG00000013619	MAMLD1	NA	851	1574	NA	NA	NA	1153	1019	1149.25	4
ENSG00000014123	UFL1	NA	NA	NA	1660	NA	NA	NA	NA	1660	7
ENSG00000014641	MDH1	403	277	309	433	NA	NA	85	271	296.333333333333	2
ENSG00000014824	SLC30A9	NA	NA	NA	NA	NA	NA	1304	NA	1304	7
ENSG00000015153	YAF2	NA	NA	NA	NA	NA	NA	NA	926	926	7
ENSG00000015171	ZMYND11	NA	2652	1313	NA	NA	NA	NA	NA	1982.5	6
ENSG00000015592	STMN4	573	419	1021	271	NA	NA	NA	NA	571	4
ENSG00000015676	NUDCD3	NA	NA	NA	NA	NA	NA	1657	NA	1657	7
ENSG00000016082	ISL1	919	490	335	193	NA	NA	1005	1233	695.833333333333	2
ENSG00000016864	GLT8D1	NA	NA	NA	1045	NA	NA	1482	NA	1263.5	6
ENSG00000017260	ATP2C1	NA	1171	NA	NA	NA	NA	1673	350	1064.66666666667	5
ENSG00000018189	RUFY3	1388	1491	855	NA	NA	NA	1145	1186	1213	3
ENSG00000018236	CNTN1	527	740	540	443	NA	NA	894	885	671.5	2
ENSG00000018625	ATP1A2	642	248	688	263	NA	NA	1072	111	504	2
ENSG00000019144	PHLDB1	NA	1811	NA	NA	NA	NA	NA	NA	1811	7
ENSG00000019505	SYT13	1328	NA	1361	NA	NA	NA	NA	NA	1344.5	6
ENSG00000019582	CD74	405	336	307	329	NA	NA	157	NA	306.8	3
ENSG00000019995	ZRANB1	NA	2124	NA	NA	NA	NA	NA	NA	2124	7
ENSG00000020129	NCDN	NA	2598	941	1044	120	NA	NA	NA	1175.75	4
ENSG00000020426	MNAT1	NA	NA	NA	NA	NA	NA	1861	NA	1861	7
ENSG00000021300	PLEKHB1	727	196	484	164	NA	NA	1667	255	582.166666666667	2
ENSG00000021355	SERPINB1	NA	1988	1286	NA	NA	NA	NA	NA	1637	6
ENSG00000021645	NRXN3	NA	NA	NA	NA	NA	NA	687	369	528	6
ENSG00000022267	FHL1	98	NA	65	1206	NA	NA	270	NA	409.75	4
ENSG00000022355	GABRA1	468	NA	NA	NA	NA	NA	NA	NA	468	7
ENSG00000022840	RNF10	NA	NA	NA	NA	NA	NA	1197	NA	1197	7
ENSG00000023191	RNH1	NA	NA	NA	NA	NA	NA	1932	NA	1932	7
ENSG00000023734	STRAP	690	860	NA	770	265	NA	186	610	563.5	2
ENSG00000023902	PLEKHO1	742	NA	530	NA	NA	NA	NA	NA	636	6
ENSG00000024862	CCDC28A	1293	929	NA	NA	NA	NA	1819	NA	1347	5
ENSG00000025423	HSD17B6	783	NA	261	NA	NA	NA	NA	NA	522	6
ENSG00000025796	SEC63	NA	1840	NA	NA	NA	NA	NA	NA	1840	7
ENSG00000026025	VIM	5	367	6	71	84	NA	140	184	122.428571428571	1
ENSG00000026508	CD44	NA	NA	412	NA	NA	NA	NA	NA	412	7
ENSG00000026652	AGPAT4	NA	843	NA	1680	NA	NA	NA	NA	1261.5	6
ENSG00000027697	IFNGR1	1200	NA	NA	NA	NA	NA	NA	NA	1200	7
ENSG00000027847	B4GALT7	NA	NA	NA	NA	NA	NA	1653	NA	1653	7
ENSG00000028203	VEZT	NA	2004	1817	NA	NA	NA	NA	NA	1910.5	6
ENSG00000028277	POU2F2	NA	602	NA	564	NA	NA	1236	NA	800.666666666667	5
ENSG00000028839	TBPL1	NA	1396	NA	1165	NA	NA	503	NA	1021.33333333333	5
ENSG00000029363	BCLAF1	NA	2075	981	NA	227	NA	413	NA	924	4
ENSG00000029364	SLC39A9	NA	NA	NA	NA	NA	NA	723	NA	723	7
ENSG00000029993	HMGB3	NA	1205	NA	449	NA	NA	NA	NA	827	6
ENSG00000030582	GRN	NA	NA	NA	NA	NA	NA	1711	NA	1711	7
ENSG00000031698	SARS	1127	1152	NA	1150	NA	NA	150	492	814.2	3
ENSG00000032219	ARID4A	NA	1468	NA	NA	NA	NA	NA	NA	1468	7
ENSG00000032389	EIPR1	NA	1878	NA	NA	NA	NA	893	555	1108.66666666667	5
ENSG00000032444	PNPLA6	NA	NA	NA	NA	NA	NA	1935	NA	1935	7
ENSG00000032742	IFT88	NA	NA	1472	NA	NA	NA	NA	NA	1472	7
ENSG00000033100	CHPF2	NA	NA	NA	1124	NA	NA	NA	NA	1124	7
ENSG00000033122	LRRC7	NA	224	NA	NA	NA	NA	NA	NA	224	7
ENSG00000033178	UBA6	NA	480	NA	NA	NA	NA	NA	NA	480	7
ENSG00000033627	ATP6V0A1	NA	NA	NA	NA	NA	NA	1222	1088	1155	6
ENSG00000034053	APBA2	NA	NA	1237	1417	NA	NA	1880	NA	1511.33333333333	5
ENSG00000034239	EFCAB1	45	NA	62	NA	NA	NA	NA	NA	53.5	6
ENSG00000034510	TMSB10	230	318	290	296	60	NA	103	124	203	1
ENSG00000034713	GABARAPL2	605	NA	1339	973	NA	NA	373	279	713.8	3
ENSG00000035403	VCL	NA	1531	NA	NA	NA	NA	NA	NA	1531	7
ENSG00000035862	TIMP2	NA	1790	1646	NA	NA	NA	721	1092	1312.25	4
ENSG00000035928	RFC1	NA	NA	NA	1729	NA	NA	NA	NA	1729	7
ENSG00000037042	TUBG2	805	NA	NA	NA	NA	NA	NA	1116	960.5	6
ENSG00000037241	RPL26L1	NA	NA	NA	1416	NA	NA	1311	NA	1363.5	6
ENSG00000038274	MAT2B	NA	2626	NA	NA	NA	NA	1308	NA	1967	6
ENSG00000038358	EDC4	NA	NA	NA	NA	NA	NA	NA	1130	1130	7
ENSG00000038382	TRIO	1137	783	NA	747	NA	NA	1753	NA	1105	4
ENSG00000039123	MTREX	NA	1777	NA	NA	NA	NA	NA	NA	1777	7
ENSG00000039523	RIPOR1	NA	1963	NA	1763	NA	NA	NA	NA	1863	6
ENSG00000040731	CDH10	NA	1082	NA	NA	NA	NA	NA	NA	1082	7
ENSG00000041353	RAB27B	NA	NA	NA	NA	NA	77	NA	NA	77	7
ENSG00000041982	TNC	389	NA	208	NA	NA	NA	NA	NA	298.5	6
ENSG00000042493	CAPG	1204	NA	1614	NA	NA	NA	NA	NA	1409	6
ENSG00000042753	AP2S1	NA	NA	NA	NA	NA	NA	1229	NA	1229	7
ENSG00000044115	CTNNA1	NA	NA	1550	1501	NA	NA	NA	NA	1525.5	6
ENSG00000044574	HSPA5	916	509	548	270	91	NA	141	527	428.857142857143	1
ENSG00000046653	GPM6B	209	201	165	217	NA	132	122	94	162.857142857143	1
ENSG00000046889	PREX2	1155	1953	586	1514	NA	NA	NA	995	1240.6	3
ENSG00000047249	ATP6V1H	NA	2505	1656	NA	NA	NA	NA	NA	2080.5	6
ENSG00000047315	POLR2B	NA	NA	NA	1536	NA	NA	1309	NA	1422.5	6
ENSG00000047346	FAM214A	NA	635	NA	NA	NA	NA	NA	NA	635	7
ENSG00000047410	TPR	NA	NA	986	1627	NA	NA	NA	NA	1306.5	6
ENSG00000047648	ARHGAP6	NA	989	NA	NA	NA	NA	1185	766	980	5
ENSG00000047849	MAP4	NA	NA	NA	1266	NA	NA	NA	NA	1266	7
ENSG00000047932	GOPC	NA	2392	NA	NA	NA	NA	NA	NA	2392	7
ENSG00000048052	HDAC9	NA	NA	1007	NA	NA	NA	NA	NA	1007	7
ENSG00000048540	LMO3	NA	1166	NA	797	NA	123	NA	NA	695.333333333333	5
ENSG00000048544	MRPS10	NA	NA	1808	NA	NA	NA	1741	NA	1774.5	6
ENSG00000048828	FAM120A	NA	2045	NA	NA	NA	NA	NA	NA	2045	7
ENSG00000049245	VAMP3	1020	NA	NA	NA	NA	NA	760	NA	890	6
ENSG00000049246	PER3	NA	NA	1740	NA	NA	NA	NA	NA	1740	7
ENSG00000049449	RCN1	NA	2309	NA	1375	NA	NA	NA	NA	1842	6
ENSG00000049656	CLPTM1L	NA	1003	1765	NA	NA	NA	1954	1152	1468.5	4
ENSG00000049759	NEDD4L	NA	2663	NA	NA	NA	NA	NA	NA	2663	7
ENSG00000050030	NEXMIF	NA	1311	NA	NA	NA	NA	1947	NA	1629	6
ENSG00000050130	JKAMP	NA	1223	NA	1392	NA	NA	NA	932	1182.33333333333	5
ENSG00000050165	DKK3	NA	634	599	504	NA	NA	1032	1106	775	3
ENSG00000050393	MCUR1	NA	NA	1723	NA	NA	NA	NA	NA	1723	7
ENSG00000050438	SLC4A8	1124	NA	NA	NA	NA	NA	NA	NA	1124	7
ENSG00000050628	PTGER3	NA	303	NA	428	NA	NA	NA	NA	365.5	6
ENSG00000051108	HERPUD1	NA	NA	NA	NA	189	NA	NA	NA	189	7
ENSG00000051523	CYBA	1030	NA	685	422	NA	NA	NA	NA	712.333333333333	5
ENSG00000052795	FNIP2	NA	800	NA	NA	NA	NA	1970	NA	1385	6
ENSG00000052802	MSMO1	NA	1518	791	NA	NA	NA	NA	NA	1154.5	6
ENSG00000053438	NNAT	49	181	41	220	NA	68	482	1243	326.285714285714	1
ENSG00000053770	AP5M1	NA	1483	1684	NA	NA	NA	NA	NA	1583.5	6
ENSG00000054118	THRAP3	NA	NA	1791	NA	NA	NA	1486	NA	1638.5	6
ENSG00000054148	PHPT1	1355	NA	NA	NA	NA	NA	NA	NA	1355	7
ENSG00000054267	ARID4B	NA	NA	NA	1784	NA	NA	NA	NA	1784	7
ENSG00000054356	PTPRN	233	674	399	1609	NA	NA	203	452	595	2
ENSG00000054523	KIF1B	NA	1734	NA	NA	NA	NA	NA	NA	1734	7
ENSG00000054793	ATP9A	NA	898	NA	NA	NA	NA	659	NA	778.5	6
ENSG00000054803	CBLN4	NA	767	NA	543	NA	NA	34	60	351	4
ENSG00000054965	FAM168A	NA	NA	1014	NA	NA	NA	NA	NA	1014	7
ENSG00000055044	NOP58	NA	NA	NA	NA	NA	NA	1590	NA	1590	7
ENSG00000055118	KCNH2	NA	348	1730	1361	NA	NA	NA	NA	1146.33333333333	5
ENSG00000055130	CUL1	NA	2389	NA	NA	NA	NA	865	NA	1627	6
ENSG00000055208	TAB2	NA	956	NA	NA	NA	NA	NA	NA	956	7
ENSG00000055211	GINM1	1432	1504	NA	1542	NA	NA	NA	NA	1492.66666666667	5
ENSG00000055332	EIF2AK2	NA	NA	639	NA	NA	NA	NA	NA	639	7
ENSG00000055609	KMT2C	NA	NA	1451	NA	NA	NA	NA	NA	1451	7
ENSG00000055813	CCDC85A	NA	NA	NA	1725	NA	NA	NA	NA	1725	7
ENSG00000055917	PUM2	NA	NA	NA	1172	NA	NA	NA	NA	1172	7
ENSG00000056050	HPF1	1314	1954	NA	NA	NA	NA	NA	NA	1634	6
ENSG00000057608	GDI2	NA	NA	1210	NA	NA	NA	656	NA	933	6
ENSG00000057757	PITHD1	716	969	NA	697	NA	NA	1193	1191	953.2	3
ENSG00000057935	MTA3	NA	NA	NA	NA	NA	NA	575	NA	575	7
ENSG00000058272	PPP1R12A	NA	2602	NA	NA	NA	NA	NA	NA	2602	7
ENSG00000058335	RASGRF1	NA	2310	NA	NA	NA	NA	NA	NA	2310	7
ENSG00000058404	CAMK2B	824	NA	NA	NA	NA	NA	NA	NA	824	7
ENSG00000058668	ATP2B4	NA	NA	1330	NA	NA	NA	NA	NA	1330	7
ENSG00000059122	FLYWCH1	NA	1944	NA	NA	NA	NA	NA	NA	1944	7
ENSG00000059588	TARBP1	816	877	1604	1467	NA	NA	NA	NA	1191	4
ENSG00000059758	CDK17	NA	NA	NA	NA	NA	NA	1975	NA	1975	7
ENSG00000059804	SLC2A3	913	1017	1353	NA	NA	NA	NA	NA	1094.33333333333	5
ENSG00000059915	PSD	NA	1762	NA	NA	NA	NA	NA	NA	1762	7
ENSG00000060237	WNK1	NA	2079	NA	NA	NA	NA	NA	NA	2079	7
ENSG00000060339	CCAR1	NA	1661	NA	NA	219	NA	NA	NA	940	6
ENSG00000060656	PTPRU	NA	2049	NA	NA	NA	NA	NA	NA	2049	7
ENSG00000060709	RIMBP2	NA	1308	1376	1414	NA	NA	1286	NA	1346	4
ENSG00000060718	COL11A1	NA	NA	NA	NA	NA	NA	232	193	212.5	6
ENSG00000060982	BCAT1	NA	NA	NA	NA	184	NA	NA	NA	184	7
ENSG00000061676	NCKAP1	NA	1899	NA	NA	NA	NA	1957	NA	1928	6
ENSG00000061794	MRPS35	NA	NA	NA	NA	NA	NA	1497	NA	1497	7
ENSG00000061918	GUCY1B1	340	NA	NA	1033	NA	NA	NA	NA	686.5	6
ENSG00000061987	MON2	NA	1144	NA	NA	NA	NA	NA	NA	1144	7
ENSG00000062194	GPBP1	NA	2381	NA	NA	NA	NA	1441	NA	1911	6
ENSG00000062485	CS	NA	797	NA	NA	NA	NA	1384	NA	1090.5	6
ENSG00000062582	MRPS24	NA	NA	NA	NA	NA	NA	1494	NA	1494	7
ENSG00000062716	VMP1	NA	2355	NA	NA	NA	NA	NA	NA	2355	7
ENSG00000063046	EIF4B	NA	2548	NA	NA	NA	NA	NA	NA	2548	7
ENSG00000063177	RPL18	206	213	706	228	NA	NA	534	759	441	2
ENSG00000063660	GPC1	NA	1445	NA	NA	NA	NA	1519	NA	1482	6
ENSG00000063761	ADCK1	310	NA	351	NA	NA	NA	NA	NA	330.5	6
ENSG00000063854	HAGH	NA	1947	NA	NA	NA	NA	296	NA	1121.5	6
ENSG00000064115	TM7SF3	881	1094	NA	670	NA	NA	NA	NA	881.666666666667	5
ENSG00000064199	SPA17	632	NA	912	NA	NA	NA	NA	NA	772	6
ENSG00000064393	HIPK2	NA	1923	1533	978	NA	NA	736	887	1211.4	3
ENSG00000064601	CTSA	NA	NA	NA	NA	NA	NA	1676	NA	1676	7
ENSG00000064607	SUGP2	NA	1184	NA	885	NA	NA	1769	NA	1279.33333333333	5
ENSG00000064651	SLC12A2	1317	NA	NA	NA	NA	NA	NA	NA	1317	7
ENSG00000064787	BCAS1	371	NA	181	NA	114	NA	91	NA	189.25	4
ENSG00000064989	CALCRL	NA	NA	77	NA	NA	NA	NA	NA	77	7
ENSG00000065000	AP3D1	NA	NA	NA	871	NA	NA	NA	NA	871	7
ENSG00000065154	OAT	NA	811	1521	NA	NA	NA	NA	NA	1166	6
ENSG00000065427	KARS	NA	NA	NA	NA	NA	NA	1475	NA	1475	7
ENSG00000065518	NDUFB4	286	NA	NA	NA	NA	NA	420	566	424	5
ENSG00000065559	MAP2K4	NA	1611	NA	1038	NA	NA	NA	NA	1324.5	6
ENSG00000065609	SNAP91	NA	2042	NA	NA	NA	NA	1221	NA	1631.5	6
ENSG00000065665	SEC61A2	NA	1167	NA	984	NA	NA	1037	598	946.5	4
ENSG00000065802	ASB1	NA	NA	NA	NA	NA	NA	NA	1282	1282	7
ENSG00000065833	ME1	NA	NA	NA	NA	NA	NA	1913	550	1231.5	6
ENSG00000065923	SLC9A7	NA	NA	NA	1436	NA	NA	1264	844	1181.33333333333	5
ENSG00000065978	YBX1	1282	731	NA	1770	NA	NA	NA	NA	1261	5
ENSG00000066032	CTNNA2	879	NA	1546	NA	NA	NA	NA	NA	1212.5	6
ENSG00000066044	ELAVL1	NA	1264	NA	NA	NA	NA	NA	NA	1264	7
ENSG00000066382	MPPED2	NA	2710	NA	NA	NA	83	NA	NA	1396.5	6
ENSG00000066583	ISOC1	NA	NA	1861	1671	NA	NA	NA	NA	1766	6
ENSG00000066651	TRMT11	NA	2670	NA	NA	NA	NA	NA	NA	2670	7
ENSG00000066654	THUMPD1	NA	NA	NA	1334	NA	NA	NA	NA	1334	7
ENSG00000066739	ATG2B	NA	2534	NA	NA	NA	NA	NA	NA	2534	7
ENSG00000066777	ARFGEF1	NA	2358	NA	NA	NA	NA	NA	NA	2358	7
ENSG00000066926	FECH	NA	2512	NA	NA	NA	NA	NA	NA	2512	7
ENSG00000067057	PFKP	886	791	NA	617	NA	NA	1561	NA	963.75	4
ENSG00000067064	IDI1	NA	2314	NA	NA	NA	NA	NA	NA	2314	7
ENSG00000067167	TRAM1	NA	1572	1281	NA	NA	NA	1433	NA	1428.66666666667	5
ENSG00000067191	CACNB1	NA	NA	NA	NA	NA	NA	NA	1211	1211	7
ENSG00000067225	PKM	NA	1596	1261	NA	NA	NA	303	934	1023.5	4
ENSG00000067369	TP53BP1	NA	489	1071	NA	NA	NA	454	981	748.75	4
ENSG00000067445	TRO	NA	1096	1699	289	NA	NA	530	1167	956.2	3
ENSG00000067606	PRKCZ	NA	NA	NA	NA	NA	NA	1713	NA	1713	7
ENSG00000067715	SYT1	96	763	144	397	226	73	NA	231	275.714285714286	1
ENSG00000067836	ROGDI	NA	NA	NA	NA	NA	NA	NA	1134	1134	7
ENSG00000067840	PDZD4	NA	NA	1651	1198	NA	NA	NA	NA	1424.5	6
ENSG00000067992	PDK3	NA	NA	1741	NA	NA	NA	NA	NA	1741	7
ENSG00000068078	FGFR3	697	613	481	267	NA	NA	1476	716	708.333333333333	2
ENSG00000068305	MEF2A	NA	1348	NA	565	NA	NA	NA	NA	956.5	6
ENSG00000068308	OTUD5	NA	1715	1061	NA	NA	NA	NA	NA	1388	6
ENSG00000068323	TFE3	NA	NA	NA	NA	NA	NA	NA	1028	1028	7
ENSG00000068366	ACSL4	1435	NA	NA	NA	NA	NA	NA	NA	1435	7
ENSG00000068400	GRIPAP1	NA	2198	NA	NA	NA	NA	NA	NA	2198	7
ENSG00000068615	REEP1	1360	2219	696	NA	NA	NA	641	713	1125.8	3
ENSG00000068697	LAPTM4A	971	587	NA	NA	NA	NA	278	NA	612	5
ENSG00000068745	IP6K2	901	1336	1365	713	169	NA	1798	NA	1047	2
ENSG00000068903	SIRT2	1303	NA	NA	1434	NA	NA	NA	NA	1368.5	6
ENSG00000068912	ERLEC1	NA	754	776	1000	NA	NA	NA	730	815	4
ENSG00000069275	NUCKS1	NA	1662	NA	NA	NA	NA	1367	NA	1514.5	6
ENSG00000069329	VPS35	869	NA	NA	NA	NA	NA	NA	721	795	6
ENSG00000069345	DNAJA2	NA	2651	NA	NA	NA	NA	NA	NA	2651	7
ENSG00000069482	GAL	34	8	29	9	6	20	17	13	17	0
ENSG00000069509	FUNDC1	NA	2108	NA	NA	NA	NA	NA	NA	2108	7
ENSG00000069535	MAOB	974	NA	NA	575	NA	NA	1872	NA	1140.33333333333	5
ENSG00000069702	TGFBR3	1110	352	759	NA	NA	NA	NA	NA	740.333333333333	5
ENSG00000069849	ATP1B3	NA	1828	NA	NA	NA	NA	1776	NA	1802	6
ENSG00000069956	MAPK6	NA	2306	NA	NA	NA	NA	NA	NA	2306	7
