gene_id	gene_name	V12D07-075_D1	V13M13-362_A1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V13M13-362_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	meanrank	samples_signif
ENSG00000004142	POLDIP2					5645	5329	4190	4996	6232	2709	4850.16666666667	7
ENSG00000004455	AK2	3572			2547	4482	5906		5219	6557		4713.83333333333	7
ENSG00000004468	CD38									6981		6981	2
ENSG00000004478	FKBP4	807	1267	1085	2574	1529	1321	1882	1557	1431	1560	1501.3	11
ENSG00000004487	KDM1A	2766			2352	3432	3318		2776	5033	1634	3044.42857142857	8
ENSG00000004534	RBM6	2928				4496	5746		5298	5555		4804.6	6
ENSG00000004660	CAMKK1	3123			2935	4820	2258			4878		3602.8	6
ENSG00000004700	RECQL			2135								2135	2
ENSG00000004766	VPS50					5211	5075			5623		5303	4
ENSG00000004777	ARHGAP33						6240					6240	2
ENSG00000004779	NDUFAB1	491	1322	850	620	658	1263	629	550	640	777	780	11
ENSG00000004799	PDK4				2926					6651	1044	3540.33333333333	4
ENSG00000004838	ZMYND10								223	246		234.5	3
ENSG00000004866	ST7					5596				4822		5209	3
ENSG00000004897	CDC27	3667	2743	2445	2643	3315	4814	2548	3991	4045		3356.77777777778	10
ENSG00000004948	CALCR	321			111	754	305	635			708	472.333333333333	7
ENSG00000005007	UPF1	3043		3247	3842	5219	3756	4311	3251	4995	2865	3836.55555555556	10
ENSG00000005020	SKAP2			2881		5277	3297	2845	5150	5776		4204.33333333333	7
ENSG00000005022	SLC25A5	3597		2660	3883	3403	4486	2752	3209	4466	2853	3478.77777777778	10
ENSG00000005075	POLR2J	2611	2679	2431	2253	2973	6023	4101	2855	5376		3478	10
ENSG00000005108	THSD7A						4146					4146	2
ENSG00000005175	RPAP3					3625	5292					4458.5	3
ENSG00000005194	CIAPIN1	2096			3104	5430	5900	3135	3216	4758	2658	3787.125	9
ENSG00000005206	SPPL2B									5141		5141	2
ENSG00000005238	FAM214B	4200		1822			5604			6943		4642.25	5
ENSG00000005249	PRKAR2B	2608	2498	2558		1579	1952	1815	1982	1764		2094.5	9
ENSG00000005302	MSL3	4136			3686	5810	5996		5595	4742		4994.16666666667	7
ENSG00000005339	CREBBP		2013			5521	5630		4554	5566		4656.8	6
ENSG00000005379	TSPOAP1					4887	3234	2772	2196	2604		3138.6	6
ENSG00000005448	WDR54	2503		1821	2868	2962	3151	1716	1371	1811		2275.375	9
ENSG00000005483	KMT2E		3162	3489		5679	5503			6670		4900.6	6
ENSG00000005486	RHBDD2	80	172	162	124	137	133	54	78	102	112	115.4	11
ENSG00000005513	SOX8	2276					3799	688	3913	4144		2964	6
ENSG00000005700	IBTK	4533			1636	4267	5859			6827		4624.4	6
ENSG00000005810	MYCBP2	1924	2011	2003	2070	1545	1582	986	902	1511	1786	1632	11
ENSG00000005812	FBXL3	4668				4383		5079	5545	6514		5237.8	6
ENSG00000005882	PDK2					5243	4447	3610	4302	4628		4446	6
ENSG00000005884	ITGA3	3794			1673	2439	3429		2944	4127		3067.66666666667	7
ENSG00000005889	ZFX									6776		6776	2
ENSG00000005893	LAMP2	496	1274	267	644	801	472	217	2187	3056	1331	1074.5	11
ENSG00000006007	GDE1					4512	5127	3152	5511	6650		4990.4	6
ENSG00000006015	REX1BD	1608	2508	1789	3267	2709	2016	1926	2173	2635	2570	2320.1	11
ENSG00000006016	CRLF1				465	359	437		33	35	123	242	7
ENSG00000006042	TMEM98							959		6213		3586	3
ENSG00000006118	TMEM132A	1035	795	1382	3004	1916	1501	1315	1961	1772	1384	1606.5	11
ENSG00000006125	AP2B1	2321	1079	2527	2938	3044	4391	2063	3116	2065	2850	2639.4	11
ENSG00000006128	TAC1	148	26	200	52	87	124	672	85	108	327	182.9	11
ENSG00000006210	CX3CL1	1094	1062	2506	798	2424	1485	1314	1550	1559	2188	1598	11
ENSG00000006282	SPATA20	4147	2855			5823	5183	4107	3697	5313	2543	4208.5	9
ENSG00000006327	TNFRSF12A			2883							12	1447.5	3
ENSG00000006432	MAP3K9						4233					4233	2
ENSG00000006451	RALA					5980		5045		6933		5986	4
ENSG00000006468	ETV1	4524			1462	900	422		2140	1143		1765.16666666667	7
ENSG00000006530	AGK					3678	5206	3711				4198.33333333333	4
ENSG00000006625	GGCT	3776				5919	5943		3887	4946		4894.2	6
ENSG00000006652	IFRD1	4447			3913	4902	4418			6307		4797.4	6
ENSG00000006712	PAF1					5562			5734			5648	3
ENSG00000006715	VPS41		1625			4134	5816	2460	3716	5036		3797.83333333333	7
ENSG00000006740	ARHGAP44	4211			3303	2552	2831	1741		3423		3010.16666666667	7
ENSG00000006744	ELAC2								5720			5720	2
ENSG00000006757	PNPLA4				3945	3727	3809	3705	3569	2186		3490.16666666667	7
ENSG00000006831	ADIPOR2							1709	5358			3533.5	3
ENSG00000007047	MARK4					5490	5420	4172		3852		4733.5	5
ENSG00000007080	CCDC124				2632	5580	5522	4508	4665	5001		4651.33333333333	7
ENSG00000007168	PAFAH1B1	569	720	651	908	689	772	456	549	636	517	646.7	11
ENSG00000007174	DNAH9									1558		1558	2
ENSG00000007202	KIAA0100					4499	5538	3585	3466	4421		4301.8	6
ENSG00000007237	GAS7	4293	359	1779	2337	3206	2242	2255	5594	6115		3131.11111111111	10
ENSG00000007264	MATK					4234	1558					2896	3
ENSG00000007392	LUC7L	3846				4891	4368			5405		4627.5	5
ENSG00000007402	CACNA2D2	2309	2282	2908	2207	2807	2633	1230	2598	1994	1617	2258.5	11
ENSG00000007516	BAIAP3	89	58	133	141	156	107	64	68	87	161	106.4	11
ENSG00000007520	TSR3	4506								6857		5681.5	3
ENSG00000007541	PIGQ	3897			2608	4814	4699		3328	2944		3715	7
ENSG00000007923	DNAJC11						6087					6087	2
ENSG00000008018	PSMB1	730	1203	1618	485	1189	2544	1472	1215	1756	1017	1322.9	11
ENSG00000008056	SYN1	565	660	426	818	514	390	209	176	190	403	435.1	11
ENSG00000008086	CDKL5		1817			4030	4357					3401.33333333333	4
ENSG00000008118	CAMK1G	1039		832	266	835	638	1206	501	729		755.75	9
ENSG00000008130	NADK						5667			6209		5938	3
ENSG00000008277	ADAM22	3729	2084	2993		3171	2378	3322	3410	3368	1880	2926.11111111111	10
ENSG00000008282	SYPL1	1338	2843	954	2102	2010	2133	1220	3867	3315		2198	10
ENSG00000008283	CYB561	627	510	955	759	1431	1373	858	564	548	1243	886.8	11
ENSG00000008294	SPAG9	3926		2476		5471		1813	5521	5404		4101.83333333333	7
ENSG00000008324	SS18L2					4608	4934	4828	5296	5366		5006.4	6
ENSG00000008394	MGST1	1442	953	1204	1851	165	153	1819	1475	1114	1466	1164.2	11
ENSG00000008441	NFIX	1172	871	2915	1507	1398	817	1737	1494	2573	794	1527.8	11
ENSG00000008710	PKD1	1710	1738	3619	1308	1758	1387	1736	2384	2588	1416	1964.4	11
ENSG00000008735	MAPK8IP2	967	964	759	1504	882	703	269	425	321	893	768.7	11
ENSG00000008838	MED24					3964	5846	3009	4984	4520		4464.6	6
ENSG00000008869	HEATR5B						5536					5536	2
ENSG00000008952	SEC62	1202	1140	1093	2008	2012	3329	2453	3253	3896	1667	2205.3	11
ENSG00000008988	RPS20	628	2083	906	984	435	597	798	947	1640	1712	1073	11
ENSG00000009307	CSDE1	1896	1869	1893	2230	1822	4843	2691	2527	3072		2538.11111111111	10
ENSG00000009335	UBE3C					5576	6125	3707	5392	5785		5317	6
ENSG00000009413	REV3L					4469	5054			6300		5274.33333333333	4
ENSG00000009694	TENM1	3709	1095	3012	2245	1884	1136	2974	1784	2263		2233.55555555556	10
ENSG00000009844	VTA1		3017	3821		4435	5273	4011	5226	4753		4362.28571428572	8
ENSG00000009954	BAZ1B	4688		3348		5031			4326	5561		4590.8	6
ENSG00000010017	RANBP9	2787	1992	3544		2319	3272	2550	2972	3063	2405	2767.11111111111	10
ENSG00000010219	DYRK4				2836	4229	4540			5014		4154.75	5
ENSG00000010244	ZNF207	2815	3071		3320	3354	3854	4126	4053	4108		3587.625	9
ENSG00000010256	UQCRC1	4015	3273	1732		2965	2140	1738	2128	1496	2796	2475.88888888889	10
ENSG00000010270	STARD3NL	957	946	1316	656	1408	1628	2266	1105	1116	1778	1317.6	11
ENSG00000010278	CD9	756	2053	851		1497	890	444	2805	1570	872	1304.22222222222	10
ENSG00000010282	HHATL	896						502		3159		1519	4
ENSG00000010322	NISCH	732	945	916	1417	912	1148	544	620	789	1007	903	11
ENSG00000010404	IDS	254	268	101	324	178	267	128	178	204	281	218.3	11
ENSG00000010438	PRSS3				2870	2719	2599	1305	1454	1548		2082.5	7
ENSG00000010626	LRRC23								1947	4702		3324.5	3
ENSG00000010810	FYN	3528	2366	4009	2869	4283	5542	3737	3721	4828	2578	3746.1	11
ENSG00000010818	HIVEP2						4646	4383	3676	4527		4308	5
ENSG00000011009	LYPLA2					5160	4616	2427		3787		3997.5	5
ENSG00000011021	CLCN6	3299	1765	2318		3415	3412	1650	2407	2768	1790	2536	10
ENSG00000011028	MRC2						913		1737	1236		1295.33333333333	4
ENSG00000011201	ANOS1	3639	865	1823	480	1330	1510	2163	3757	2499		2007.33333333333	10
ENSG00000011243	AKAP8L					4199	5378	3385	3500	5073		4307	6
ENSG00000011260	UTP18				2876	3784	5395			6371		4606.5	5
ENSG00000011275	RNF216					4006	6100		3670	5023		4699.75	5
ENSG00000011295	TTC19	1027	1634	2644	1915	2160	2217	1970	1832	1543	1112	1805.4	11
ENSG00000011304	PTBP1						2316		3282	3174		2924	4
ENSG00000011332	DPF1	2530			1909	2296	2460	2473	1864	2240		2253.14285714286	8
ENSG00000011347	SYT7	1012	1584	1337	1601	3038	2284	3305	714	1177		1783.55555555556	10
ENSG00000011405	PIK3C2A	4142				3269	1403		4884	5038		3747.2	6
ENSG00000011426	ANLN	142		83				175	712	656		353.6	6
ENSG00000011454	RABGAP1	3842	2640	3909				3614	4576	4503		3847.33333333333	7
ENSG00000011465	DCN	1480	2473	449	1741	13	11	2283	55	51	90	864.6	11
ENSG00000011485	PPP5C	3649	1742	2985	3125	3702	3847	3008	2289	2776	2775	2989.8	11
ENSG00000011523	CEP68	2957			3180	5303	4820			3936		4039.2	6
ENSG00000011566	MAP4K3					5386	4627	4413		6982		5352	5
ENSG00000011600	TYROBP						1878		2959	2728		2521.66666666667	4
ENSG00000011677	GABRA3	1635	840	1131	937	2711	3029	1173	1359	1609	1072	1549.6	11
ENSG00000012061	ERCC1	3837		2954	3264	4822		3846	3894	6085		4100.28571428571	8
ENSG00000012171	SEMA3B							765		3605		2185	3
ENSG00000012174	MBTPS2					4551						4551	2
ENSG00000012232	EXTL3					4961		3957		6435		5117.66666666667	4
ENSG00000012660	ELOVL5	2988	1547	699	3272	1096	664	2649	4748	3360	943	2196.6	11
ENSG00000012822	CALCOCO1	2736				3986	5496		5505	4491	1806	4003.33333333333	7
ENSG00000013016	EHD3	4452	2106	2751		4565	3931	2572	3860	5050		3660.875	9
ENSG00000013275	PSMC4	2915	3137	3629	3663	4525	4735	4314	3035	4764		3857.44444444444	10
ENSG00000013288	MAN2B2					3569	4704	4150	4115	3997		4107	6
ENSG00000013293	SLC7A14	1676	1084	1925	1744	504	763	792	2061	1312	1153	1301.4	11
ENSG00000013297	CLDN11	103	2066	43	173	1200	331	55	711	695	217	559.4	11
ENSG00000013306	SLC25A39	3044			2825	3996	4990	4629	4392	4608		4069.14285714286	8
ENSG00000013364	MVP									3928		3928	2
ENSG00000013374	NUB1		3106	3873	2532	5345	4293		4955	6583		4383.85714285714	8
ENSG00000013375	PGM3									6783		6783	2
ENSG00000013392	RWDD2A	2660			2323	3500	4535			3268		3257.2	6
ENSG00000013441	CLK1	3003		3184	2144	2628	2208	3744	3789	3343	1653	2855.11111111111	10
ENSG00000013561	RNF14	3757	2588	3359		4991	6028	4763	4553	5306		4418.125	9
ENSG00000013583	HEBP1	3800	2974		3471	4696	6179		5417	6198		4676.42857142857	8
ENSG00000013619	MAMLD1	1829			1386	2339	2572		2307	2706	1406	2077.85714285714	8
ENSG00000014123	UFL1			3231	3638		5359			5793		4505.25	5
ENSG00000014216	CAPN1	3756			2559	4048	3357	2401	3503	5471		3585	8
ENSG00000014641	MDH1	179	563	222	238	107	131	137	102	103	156	193.8	11
ENSG00000014824	SLC30A9	1440	1965	2606		3120	2868	2583	2901	2524	1973	2442.22222222222	10
ENSG00000014919	COX15									6595		6595	2
ENSG00000015153	YAF2	4681		3059		3754	3090	2604	5165	4546		3842.71428571429	8
ENSG00000015171	ZMYND11	2741	3124	3411		4055	4476	4526	3950	4398	2685	3707.33333333333	10
ENSG00000015592	STMN4	753	2102	401	1227	996	911	1084	2731	3182	975	1436.2	11
ENSG00000015676	NUDCD3	2711	1752	1912	3701	2797	2020	3082	2650	2653	2453	2573.1	11
ENSG00000016082	ISL1	339			311	404	486	1327	715	439	1075	637	9
ENSG00000016864	GLT8D1	2667			2467	3444	3640	3968	4354	2703		3320.42857142857	8
ENSG00000017260	ATP2C1	1571	2397	2504	1463	2595	2786	2951	2225	3844	2715	2505.1	11
ENSG00000017483	SLC38A5	1341								3813		2577	3
ENSG00000017797	RALBP1			3672		5570		3993	4669	6235		4827.8	6
ENSG00000018189	RUFY3	1410	1292	2116	1326	798	1101	1429	1270	1398	1013	1315.3	11
ENSG00000018236	CNTN1	697	437	765	1347	338	374	708	575	635	527	640.3	11
ENSG00000018408	WWTR1	243		432					2933	1980		1397	5
ENSG00000018510	AGPS									6785		6785	2
ENSG00000018610	CXorf56							4590				4590	2
ENSG00000018625	ATP1A2	1316	297	676	240	204	239	915	806	799	967	645.9	11
ENSG00000019144	PHLDB1	4275			3315	5819	5153	1037	4023			3937	7
ENSG00000019505	SYT13	667	317	428	800	857	796	344	419	459	608	569.5	11
ENSG00000019582	CD74	72	302	182	453	94	142	1346	448	543	71	365.3	11
ENSG00000019995	ZRANB1		2401			3786	5882	4941	4801	4879		4448.33333333333	7
ENSG00000020129	NCDN	276	59	316	299	228	173	174	131	155	317	212.8	11
ENSG00000020426	MNAT1				3907	5723				4790		4806.66666666667	4
ENSG00000020577	SAMD4A	4497		1356		3724	3251	3566	5693	6298		4055	8
ENSG00000021300	PLEKHB1	230	354	457	481	422	378	327	880	804	299	463.2	11
ENSG00000021355	SERPINB1					2346	2628		3617	4236		3206.75	5
ENSG00000021574	SPAST					4534	5773					5153.5	3
ENSG00000021645	NRXN3	751	1094	922	353	482	431	1907	2932	2336	1245	1245.3	11
ENSG00000021776	AQR									6477		6477	2
ENSG00000022267	FHL1	297	421	430	1223	722	706	590	236	209	739	557.3	11
ENSG00000022277	RTF2			3611	3792	4475	5504	2508	4612			4083.66666666667	7
ENSG00000022355	GABRA1	602	326	419	340	284	414	336	329	344	421	381.5	11
ENSG00000022840	RNF10	4584				5374	5304	3669	5514	5758	2684	4698.14285714286	8
ENSG00000023171	GRAMD1B					5255		3215	3189	4620		4069.75	5
ENSG00000023191	RNH1	2440		3052	2782	4687		1909	4923	6039	2996	3603.5	9
ENSG00000023228	NDUFS1			3901	2649	3311	5152	2681	2526	2387	2151	3094.75	9
ENSG00000023287	RB1CC1	4420				3919	5203	3877	4283	5295		4499.5	7
ENSG00000023318	ERP44	4550				5447	5769		5677	5662		5421	6
ENSG00000023330	ALAS1					5090	5005	4901		6383		5344.75	5
ENSG00000023516	AKAP11	3059	1513	1478	2417	2295	1892	1467	2525	2392	2588	2162.6	11
ENSG00000023572	GLRX2	4604		3556		4106	4370	4749	4598	5572		4507.85714285714	8
ENSG00000023697	DERA									5755		5755	2
ENSG00000023734	STRAP	525	1180	989	845	736	905	815	644	713	944	829.6	11
ENSG00000023902	PLEKHO1			2641		4263	2737		2315	2925		2976.2	6
ENSG00000023909	GCLM	4203		3056			6152	4280	3482	6812		4664.16666666667	7
ENSG00000024048	UBR2				3879	5054				6846		5259.66666666667	4
ENSG00000024422	EHD2									5698		5698	2
ENSG00000024862	CCDC28A	1235	1912	1933	1299	1511	2150	1340	1511	2327		1690.88888888889	10
ENSG00000025039	RRAGD									5917		5917	2
ENSG00000025156	HSF2						3828					3828	2
ENSG00000025293	PHF20							4830	5543			5186.5	3
ENSG00000025423	HSD17B6								2606	1451		2028.5	3
ENSG00000025770	NCAPH2						4214			5196		4705	3
ENSG00000025772	TOMM34	2409	1360	1714	2773	2682	2884	2202	2402	3145		2396.77777777778	10
ENSG00000025796	SEC63	3701		3664	3862	4946	4068	3840	4796	6139		4377	9
ENSG00000025800	KPNA6	3867		3811	3740	5399	4197		5414	5027		4493.57142857143	8
ENSG00000026025	VIM	77	943	294	215	14	14	779	52	43	10	244.1	11
ENSG00000026297	RNASET2					5705	6134	4611	4700	6973		5624.6	6
ENSG00000026508	CD44	208	386	149	193	295	357	345	741	849	260	378.3	11
ENSG00000026652	AGPAT4	4078				4545	5391	3626				4410	5
ENSG00000027697	IFNGR1	4023		1857		5891		4070	5666	6446		4658.83333333333	7
ENSG00000027847	B4GALT7				3733		4004		3761	4442		3985	5
ENSG00000028203	VEZT	2859		3955		3507	3248	3964	4403	4337	2944	3652.125	9
ENSG00000028277	POU2F2	2661			1926	2332	1705			3910		2506.8	6
ENSG00000028528	SNX1	4468		3137			5912	2930	5602			4409.8	6
ENSG00000028839	TBPL1	2301	1393	3523	1743	2022	2119	1607	1951	3055	1531	2124.5	11
ENSG00000029363	BCLAF1	2442	1771	2427		2900	2866	2579	3695	3102	2594	2708.44444444444	10
ENSG00000029364	SLC39A9	2927				3987		2694	4922	5892		4084.4	6
ENSG00000029725	RABEP1			4029		4655	5236	3048	5647	5453		4678	7
ENSG00000029993	HMGB3					2547	3700	2909		5821		3744.25	5
ENSG00000030582	GRN			3057	3494	2877	3616	4111	3239	3700		3442	8
ENSG00000031003	FAM13B	3426	2386	2803	3204	4314	2487	1468	2472	2543	1713	2681.6	11
ENSG00000031698	SARS	1222	1466	1662	971	948	1292	1219	752	1028	1279	1183.9	11
ENSG00000031823	RANBP3	4228	2667			5921		4316	5538	5344		4669	7
ENSG00000032219	ARID4A	2908		3389	3952	4203	6089	4090	5687	5710		4503.5	9
ENSG00000032389	EIPR1	1506	3257	3548	1270	3577	3916	1943	2651	2696	1988	2635.2	11
ENSG00000032444	PNPLA6	3852				4231	5086	4534	3139	3722		4094	7
ENSG00000032742	IFT88						4321		3760	3879		3986.66666666667	4
ENSG00000033050	ABCF2				3139	5062	5777	4213	4694	3893		4463	7
ENSG00000033100	CHPF2				3839	4784	4457			4638		4429.5	5
ENSG00000033122	LRRC7		393		3439	1406	2359					1899.25	5
ENSG00000033170	FUT8						5695	3521				4608	3
ENSG00000033178	UBA6	3496				4497	5107		4725	6738		4912.6	6
ENSG00000033627	ATP6V0A1	740	1034	1209	1192	893	826	638	707	769	1596	960.4	11
ENSG00000033800	PIAS1		2587			4217	6166		5357	5221		4709.6	6
ENSG00000034053	APBA2	3822		3806	3955	2805	3300	4049	5457	5431	2371	3888.44444444444	10
ENSG00000034239	EFCAB1								373	322		347.5	3
ENSG00000034510	TMSB10	75	434	251	46	97	106	52	172	191	142	156.6	11
ENSG00000034677	RNF19A									6428		6428	2
ENSG00000034713	GABARAPL2	615	697	675	501	1012	1023	1284	1548	1278	604	923.7	11
ENSG00000035141	FAM136A					3961	3007	2910	3418	5258		3710.8	6
ENSG00000035403	VCL			3930	2431	5217	3374		3556	3651	882	3291.57142857143	8
ENSG00000035687	ADSS	4309	2748		3032	4323	4783	3211	5300			3958	8
ENSG00000035862	TIMP2	499	278	364	600	544	479	769	696	894	994	611.7	11
ENSG00000035928	RFC1			3092		5987				6951		5343.33333333333	4
ENSG00000036054	TBC1D23									6497		6497	2
ENSG00000036257	CUL3	3702		3487		5241	4097	3640	4258	5220	2934	4072.375	9
ENSG00000036530	CYP46A1	2579	381	1596	2191	2974	3002	969	1806	1682	1718	1889.8	11
ENSG00000036549	AC118549.1					5356				5649		5502.5	3
ENSG00000037042	TUBG2	2923	2221	2629	3769	2947	3397	2759	2400	2607	3078	2873	11
ENSG00000037241	RPL26L1	2425			3427	3865	4821	3460	2876	5875	2949	3712.25	9
ENSG00000037637	FBXO42						5729			4910		5319.5	3
ENSG00000038002	AGA									2643		2643	2
ENSG00000038219	BOD1L1	4313				5973	5272		5690			5312	5
ENSG00000038274	MAT2B	2486	2012	1820		3202	3820	2123	3033	3010	2328	2648.22222222222	10
ENSG00000038358	EDC4	3879	2831		3669	4502	5061	3695	3931	4416		3998	9
ENSG00000038382	TRIO	2717	2551	2416		2725	2419	2201	2723	3594	2346	2632.44444444444	10
ENSG00000038427	VCAN	1600							2831	2901		2444	4
ENSG00000039123	MTREX				2888	2871	4833	4404	4513	6168		4279.5	7
ENSG00000039319	ZFYVE16				3389	5953		4157		6842		5085.25	5
ENSG00000039523	RIPOR1	3435	3105		3101	2854	3625	3796	3819	4096	2468	3366.55555555556	10
ENSG00000040199	PHLPP2						4632					4632	2
ENSG00000040341	STAU2	3886	1984	3541		5073	3445	3688	3115	4178		3613.75	9
ENSG00000040633	PHF23								5139	5437		5288	3
ENSG00000040731	CDH10					3948	3564			4449		3987	4
ENSG00000040933	INPP4A	2460	3027	3177		2986	3071	1832	2826	2356	2992	2747.44444444444	10
ENSG00000041353	RAB27B						2861	2686				2773.5	3
ENSG00000041357	PSMA4	1705	2030	2270	2436	2141	2971	1654	2041	3917	3188	2435.3	11
ENSG00000041982	TNC			1770		810	1237		2190	2676		1736.6	6
ENSG00000042445	RETSAT									6823		6823	2
ENSG00000042493	CAPG								4304	5211		4757.5	3
ENSG00000042753	AP2S1	861	2593	807	1445	1496	1108	500	780	756	1319	1166.5	11
ENSG00000043093	DCUN1D1								5649	6991		6320	3
ENSG00000043143	JADE2	4357	3081		3629	4014	4573	3253		5421		4046.85714285714	8
ENSG00000043355	ZIC2		77			537	447					353.666666666667	4
ENSG00000044115	CTNNA1	2011		2358	3118	2790	1548	1664	4940	3894	2109	2714.66666666667	10
ENSG00000044574	HSPA5	327	689	503	432	651	991	973	834	745	919	706.4	11
ENSG00000046651	OFD1	3579								6086		4832.5	3
ENSG00000046653	GPM6B	57	307	86	90	93	82	143	147	208	114	132.7	11
ENSG00000046889	PREX2	4195			1589	3701	4241	4398	4718	4726	1562	3641.25	9
ENSG00000047056	WDR37	3960		3919	3641	4010	3013	2934		4660		3733.85714285714	8
ENSG00000047249	ATP6V1H	1007	2295	797	2048	1236	1412	481	923	953	1218	1237	11
ENSG00000047315	POLR2B	2435		3700	3957	2688	3919	2628	2961	2725	2925	3104.22222222222	10
ENSG00000047346	FAM214A					4948	4596					4772	3
ENSG00000047365	ARAP2			4016								4016	2
ENSG00000047410	TPR	3508		3686		5200	5820	4230		6314		4793	7
ENSG00000047457	CP					149	144					146.5	3
ENSG00000047579	DTNBP1					3579	3345		4124	3109		3539.25	5
ENSG00000047597	XK					2936	4385					3660.5	3
ENSG00000047648	ARHGAP6	1711			1716	2454	3157		2835	6567		3073.33333333333	7
ENSG00000047849	MAP4	1837	624	2073	1494	2156	2571	1924	2774	3809	1915	2117.7	11
ENSG00000047932	GOPC	3349				4247	3074	4029	4800	6346		4307.5	7
ENSG00000048052	HDAC9					3220	4438			3546		3734.66666666667	4
ENSG00000048162	NOP16						5388					5388	2
ENSG00000048342	CC2D2A									5411		5411	2
ENSG00000048392	RRM2B					5885	5594		5520	6166		5791.25	5
ENSG00000048540	LMO3	836	231	317	439	886	830	2314	1171	1268	1606	989.8	11
ENSG00000048544	MRPS10	3286		3221	2365	3486	4901	3891	4491	3578		3652.375	9
ENSG00000048649	RSF1	3442		2795		5573	5561		4952	6790		4852.16666666667	7
ENSG00000048707	VPS13D							5019		6327		5673	3
ENSG00000048740	CELF2	1555	1030	1271	418	2405	2658	2149	2584	3108	3102	2028	11
ENSG00000048828	FAM120A	4074		4006		5513	3470	4978	4810	4253		4443.42857142857	8
ENSG00000048991	R3HDM1					3275	3722	4300		4122		3854.75	5
ENSG00000049089	COL9A2						1608		3293	2468		2456.33333333333	4
ENSG00000049245	VAMP3	1742		1192	961	3172	1757	978	3764	4477	1565	2178.66666666667	10
ENSG00000049246	PER3	4406					4608		5118			4710.66666666667	4
ENSG00000049449	RCN1	4176	1082	2438		2769	3638	1358	3635	4441	2943	2942.22222222222	10
ENSG00000049540	ELN								3405	2739		3072	3
ENSG00000049618	ARID1B				2674	5957	5823	4512	4715	6364		5007.5	7
ENSG00000049656	CLPTM1L	2033	3033	2229	1935	1903	1965	2199	1931	1699	1541	2046.8	11
ENSG00000049759	NEDD4L	3659	1438	1776	2027	1768	1184	1091	2688	2749		2042.22222222222	10
ENSG00000049769	PPP1R3F	3294			3196	3257	5988		3275	4567		3929.5	7
ENSG00000049860	HEXB	3310				3593	2281	3573	2987	2930		3112.33333333333	7
ENSG00000050030	NEXMIF	1996		1910		1913	1999		1908	1847		1928.83333333333	7
ENSG00000050130	JKAMP	1451	1208	2928	802	1925	2063	3729	1602	2306	1411	1942.5	11
ENSG00000050165	DKK3	313	154	166	719	355	477	78	275	293	199	302.9	11
ENSG00000050393	MCUR1		2733			4446			4798	6473		4612.5	5
ENSG00000050426	LETMD1					5014		4187	4802	5648		4912.75	5
ENSG00000050438	SLC4A8		1047	3775	3634	2945	2038	4554	2719	3323	1468	2833.66666666667	10
ENSG00000050555	LAMC3								802	331		566.5	3
ENSG00000050628	PTGER3	684	336		388	361	280	2479	740	841		763.625	9
ENSG00000050748	MAPK9	1581	1375	1044	2966	1376	1063	781	1317	1103	1113	1371.9	11
ENSG00000050820	BCAR1	4022				4298		4841	4977	5737		4775	6
ENSG00000051108	HERPUD1	1151	2873	1301		4636	4162	5042	2881	3262	1484	2976.88888888889	10
ENSG00000051382	PIK3CB	4695				5795	3658	3712		6239		4819.8	6
