"label" "pval" "genesource_alldxes_domain_FDR" "signature" "geneset" "overlap" "background" "hits" "spdomain_sex" "genesource" "globalfdr"
"37" "ASD" 0.00048 0.0086 31 919 8 14750 "KANSL1-AS1,AGAP2,AUTS2,CHD8,CLASP1,DNMT3A,PON1,UBN2" "x3_MaleUp" "gwas" 0.0356352
"38" "SCZ" 0.057 0.51 31 418 3 14750 "DNMT3A,KANSL1-AS1,MMP16" "x3_MaleUp" "gwas" 0.608180790960452
"39" "MDD" 0.39 1 31 1947 5 14750 "ZNF84,CDKL2,KANSL1-AS1,CSMD3,AGAP2" "x3_MaleUp" "gwas" 1
"40" "NDD" 0.39 1 31 1071 3 14750 "AUTS2,DNMT3A,CHD8" "x3_MaleUp" "gwas" 1
"41" "OCD" 0.44 1 31 273 1 14750 "CHD8" "x3_MaleUp" "gwas" 1
"42" "ADHD" 1 1 31 125 0 14750 "" "x3_MaleUp" "gwas" 1
"43" "AUD" 1 1 31 28 0 14750 "" "x3_MaleUp" "gwas" 1
"44" "OUD" 1 1 31 170 0 14750 "" "x3_MaleUp" "gwas" 1
"45" "CannabisUseDisorder" 1 1 31 9 0 14750 "" "x3_MaleUp" "gwas" 1
"46" "PTSD" 1 1 31 38 0 14750 "" "x3_MaleUp" "gwas" 1
"47" "AD" 1 1 31 319 0 14750 "" "x3_MaleUp" "gwas" 1
"48" "Anorexia" 1 1 31 64 0 14750 "" "x3_MaleUp" "gwas" 1
"49" "Lefthanded" 1 1 31 34 0 14750 "" "x3_MaleUp" "gwas" 1
"50" "BIP" 1 1 31 150 0 14750 "" "x3_MaleUp" "gwas" 1
"51" "GAD" 1 1 31 25 0 14750 "" "x3_MaleUp" "gwas" 1
"52" "Panic" 1 1 31 47 0 14750 "" "x3_MaleUp" "gwas" 1
"53" "TS" 1 1 31 33 0 14750 "" "x3_MaleUp" "gwas" 1
"54" "BMI" 1 1 31 62 0 14750 "" "x3_MaleUp" "gwas" 1
"55" "TS" 0.0042 0.076 126 34 3 13043 "PAM,TMCC2,PRKAR2A" "x4_MaleUp" "gwas" 0.152847058823529
"56" "OCD" 0.035 0.24 126 252 6 13043 "TOB1,LONRF1,PAM,MEDAG,FOXP1,PRKAR2A" "x4_MaleUp" "gwas" 0.506181818181818
"57" "ASD" 0.041 0.24 126 869 14 13043 "AP1S2,CACNA1D,CLCN4,DLG4,DLL1,ELAVL2,EPC2,FOXP1,GBE1,GPR85,SLC24A2,TAOK2,UNC13A,ZSWIM6" "x4_MaleUp" "gwas" 0.539687943262411
"58" "Anorexia" 0.11 0.5 126 59 2 13043 "PRKAR2A,FOXP1" "x4_MaleUp" "gwas" 0.788262548262548
"59" "OUD" 0.2 0.73 126 161 3 13043 "PRKAR2A,PLCL2,TAOK2" "x4_MaleUp" "gwas" 0.99175572519084
"60" "ADHD" 0.29 0.86 126 110 2 13043 "CCDC184,FOXP1" "x4_MaleUp" "gwas" 1
"61" "BMI" 0.41 0.98 126 55 1 13043 "DNAJC27" "x4_MaleUp" "gwas" 1
"62" "MDD" 0.45 0.98 126 1770 18 13043 "ELAVL2,ARRDC4,TAOK2,TANGO2,GPR85,ABCA5,NUCB2,MYH15,ZBTB11-AS1,EPC2,ZCCHC7,FOXP1,PRKAR2A,MBNL1,MTRR,ZSWIM6,PRRG4,NR4A1" "x4_MaleUp" "gwas" 1
"63" "SCZ" 0.53 0.98 126 391 4 13043 "FOXP1,PLCL2,TAOK2,ZSWIM6" "x4_MaleUp" "gwas" 1
"64" "NDD" 0.54 0.98 126 1031 10 13043 "CACNA1D,AP1S2,MTRR,PEX6,NDE1,AP4E1,FOXP1,CLCN4,TANGO2,DLG4" "x4_MaleUp" "gwas" 1
"65" "BIP" 0.75 1 126 141 1 13043 "CERS6" "x4_MaleUp" "gwas" 1
"66" "AD" 0.79 1 126 297 2 13043 "TAOK2,FOSB" "x4_MaleUp" "gwas" 1
"67" "AUD" 1 1 126 23 0 13043 "" "x4_MaleUp" "gwas" 1
"68" "CannabisUseDisorder" 1 1 126 8 0 13043 "" "x4_MaleUp" "gwas" 1
"69" "PTSD" 1 1 126 34 0 13043 "" "x4_MaleUp" "gwas" 1
"70" "Lefthanded" 1 1 126 29 0 13043 "" "x4_MaleUp" "gwas" 1
"71" "GAD" 1 1 126 22 0 13043 "" "x4_MaleUp" "gwas" 1
"72" "Panic" 1 1 126 44 0 13043 "" "x4_MaleUp" "gwas" 1
"73" "ASD" 4.7e-08 8.4e-07 181 906 33 14060 "MACROD2,NTM,KANSL1-AS1,LRRC37A2,NMT1,ADNP,AGAP2,AGO3,AHDC1,ANKRD17,ATRX,BAZ2B,CELF2,CHD8,CLASP1,CREBBP,DNMT3A,EXOC6B,GABRG3,GRID1,IQSEC2,KAT6A,KDM5B,MARK2,MEF2C,NAA15,NRXN2,RASSF5,RUNX1T1,SYNGAP1,TNRC6B,TNRC6C,ZC3H4" "x5_MaleUp" "gwas" 1.74994285714286e-05
"74" "Lefthanded" 0.0072 0.065 181 31 3 14060 "LRRC37A2,NMT1,BCR" "x5_MaleUp" "gwas" 0.2336
"75" "SCZ" 0.044 0.25 181 417 10 14060 "DNMT3A,GATAD2B,KANSL1-AS1,KIAA1549,LINC01004,LRRC37A2,MEF2C,MIR137HG,NAB2,TCF25" "x5_MaleUp" "gwas" 0.555537414965986
"76" "OCD" 0.056 0.25 181 265 7 14060 "CHD8,ASMTL,CHD4,MSL2,GABRB1,AGO3,BORCS6" "x5_MaleUp" "gwas" 0.608180790960452
"77" "NDD" 0.13 0.48 181 1055 18 14060 "IQSEC2,KAT6A,SOX11,DNMT3A,NRXN2,ATRX,GATAD2B,MEF2C,ADNP,SYNGAP1,CHD8,AHDC1,CREBBP,KDM5B,CHD4,BPTF,CELF2,ANKRD17" "x5_MaleUp" "gwas" 0.852579505300353
"78" "MDD" 0.19 0.56 181 1900 29 14060 "IQCE,BPTF,BAZ2B,NRXN2,NAV1,LINC00622,LRRC37A2,GABRB1,CDKL2,ZCCHC2,KANSL1-AS1,GOLPH3L,AL022328.4,ISLR2,CSNK1G1,RUNX1T1,MEF2C,SYT9,MGAT5B,NKAIN4,CIR1,NTM,MIR137HG,NAA15,AVL9,WNT2,LPL,AGAP2,TNRC6B" "x5_MaleUp" "gwas" 0.979555555555556
"79" "AUD" 0.27 0.58 181 24 1 14060 "BPTF" "x5_MaleUp" "gwas" 1
"80" "GAD" 0.27 0.58 181 24 1 14060 "LRRC37A2" "x5_MaleUp" "gwas" 1
"81" "BIP" 0.3 0.58 181 150 3 14060 "MARK2,ZNF318,WIPF3" "x5_MaleUp" "gwas" 1
"82" "AD" 0.36 0.58 181 308 5 14060 "CSNK1G1,VARS2,ZCWPW1,ZKSCAN1,ZNF652" "x5_MaleUp" "gwas" 1
"83" "TS" 0.36 0.58 181 34 1 14060 "ZNF382" "x5_MaleUp" "gwas" 1
"84" "PTSD" 0.39 0.58 181 38 1 14060 "LRRC37A2" "x5_MaleUp" "gwas" 1
"85" "ADHD" 0.8 1 181 123 1 14060 "MEF2C" "x5_MaleUp" "gwas" 1
"86" "OUD" 1 1 181 169 0 14060 "" "x5_MaleUp" "gwas" 1
"87" "CannabisUseDisorder" 1 1 181 9 0 14060 "" "x5_MaleUp" "gwas" 1
"88" "Anorexia" 1 1 181 64 0 14060 "" "x5_MaleUp" "gwas" 1
"89" "Panic" 1 1 181 49 0 14060 "" "x5_MaleUp" "gwas" 1
"90" "BMI" 1 1 181 61 0 14060 "" "x5_MaleUp" "gwas" 1
"91" "ASD" 0.016 0.29 121 920 14 15022 "HDAC4,KANSL1-AS1,AGO1,ANKRD17,CACNA1C,CDC42BPB,LRRC4,NOVA2,NRXN2,NUAK1,RASSF5,SCN9A,TNRC6B,UBN2" "x6_MaleUp" "gwas" 0.333662921348315
"92" "SCZ" 0.12 1 121 419 6 15022 "CACNA1C,CPEB1,KANSL1-AS1,KDM4A,LRRC4,TCF25" "x6_MaleUp" "gwas" 0.815824175824176
"93" "OCD" 0.18 1 121 275 4 15022 "ASMTL,FBXW4,PEX5L,CSDC2" "x6_MaleUp" "gwas" 0.954514285714286
"94" "Lefthanded" 0.25 1 121 35 1 15022 "BCR" "x6_MaleUp" "gwas" 1
"95" "MDD" 0.41 1 121 1962 17 15022 "LIN28B,IQCE,NRXN2,CSDC2,FILIP1,KCTD7,SCN9A,KANSL1-AS1,SLC4A8,AL022328.4,SYT9,ZFYVE1,LRRC4,CACNA1C,CNOT4,NOL4,TNRC6B" "x6_MaleUp" "gwas" 1
"96" "NDD" 0.64 1 121 1070 8 15022 "SLC13A5,NRXN2,KCNH5,KCTD7,SOS1,HDAC4,NOVA2,ANKRD17" "x6_MaleUp" "gwas" 1
"97" "ADHD" 0.65 1 121 128 1 15022 "KDM4A" "x6_MaleUp" "gwas" 1
"98" "BIP" 0.72 1 121 155 1 15022 "CACNA1C" "x6_MaleUp" "gwas" 1
"99" "AD" 0.74 1 121 326 2 15022 "RNF111,ZNF285" "x6_MaleUp" "gwas" 1
"100" "AUD" 1 1 121 26 0 15022 "" "x6_MaleUp" "gwas" 1
"101" "OUD" 1 1 121 173 0 15022 "" "x6_MaleUp" "gwas" 1
"102" "CannabisUseDisorder" 1 1 121 10 0 15022 "" "x6_MaleUp" "gwas" 1
"103" "PTSD" 1 1 121 38 0 15022 "" "x6_MaleUp" "gwas" 1
"104" "Anorexia" 1 1 121 64 0 15022 "" "x6_MaleUp" "gwas" 1
"105" "GAD" 1 1 121 25 0 15022 "" "x6_MaleUp" "gwas" 1
"106" "Panic" 1 1 121 48 0 15022 "" "x6_MaleUp" "gwas" 1
"107" "TS" 1 1 121 36 0 15022 "" "x6_MaleUp" "gwas" 1
"108" "BMI" 1 1 121 62 0 15022 "" "x6_MaleUp" "gwas" 1
"109" "ASD" 1.2e-08 2.2e-07 361 791 57 10974 "MACROD2,MAPT,KANSL1-AS1,NSF,CADPS,CDC27,AKAP9,ANK2,ANK3,ANKRD17,AP1S2,BRAF,CACNA2D1,CAMK4,CDKL5,CELF4,CNKSR2,ELAVL2,GABRG3,GPD2,GRIN2B,GRM5,HNRNPUL2,ICA1,ITPR1,KCND2,KCND3,LRRC4,LRRC4C,MAP1A,MYCBP2,MYH10,MYO5A,MYT1L,NEXMIF,NLGN1,NRXN1,NRXN2,PCLO,PRKN,PSD3,PTCHD1,PTPN4,RAPGEF4,RBFOX1,RGS7,RIMS1,RUNX1T1,SCN2A,SMARCA2,SYN2,SYNE1,SYT1,TANC2,UNC13A,UNC80,USP45" "x7_MaleUp" "gwas" 7.424e-06
"110" "GAD" 0.0037 0.033 361 20 4 10974 "NSF,IP6K1,MAPT,STX1B" "x7_MaleUp" "gwas" 0.14014693877551
"111" "MDD" 0.0056 0.034 361 1589 70 10974 "RAB27B,IP6K1,SYT4,ELAVL2,NICN1,MAPT,RABGAP1L,NCKIPSD,MAP9,SLC30A9,PPP1R13B,ADARB1,NRXN2,ERC2,CACNB4,CSDC2,TEX10,THAP9-AS1,MAP2,DNAJC6,RHOF,PDP1,AKAP9,B4GALT6,UBE2Z,GABRB1,BRD8,FAXC,NLGN1,NCALD,KIAA1109,TANC2,ARHGEF7,KANSL1-AS1,RBFOX1,CAPRIN2,PCLO,TMEM161B,LRRC7,RUNX1T1,SCAI,CPEB3,ORC4,CADPS,TUBA4A,LRRC4,AMPH,GDPD1,BSN,GRM5,NRXN1,CELF4,NCS1,UBE2M,ETV1,KIF5A,ELAVL4,ZYG11B,DNM3,BRINP3,REEP1,UBE2QL1,OTP,GABRG2,HIST1H4C,HABP4,SYT7,ATG2A,HSPH1,WDR7" "x7_MaleUp" "gwas" 0.192474074074074
"112" "PTSD" 0.014 0.064 361 29 4 10974 "MAPT,NSF,IP6K1,RAB27B" "x7_MaleUp" "gwas" 0.316878048780488
"113" "OUD" 0.019 0.068 361 142 10 10974 "HSPH1,BSN,NICN1,PPP1R13B,PLCL2,DNAJC6,SCAI,NCKIPSD,YWHAG,IP6K1" "x7_MaleUp" "gwas" 0.383304347826087
"114" "Anorexia" 0.086 0.26 361 51 4 10974 "NCKIPSD,BSN,IP6K1,NICN1" "x7_MaleUp" "gwas" 0.730642533936652
"115" "NDD" 0.11 0.29 361 973 39 10974 "CAMTA1,SCN2A,PRRT2,AP1S2,SYT1,ARL6,NRXN2,ORC4,GRIN2B,ELOVL4,STX1B,BRAF,SYNE1,SMARCA2,PTCHD1,IDS,NRXN1,PAK3,CNKSR2,ACSL4,ITPR1,RAB3GAP1,NEXMIF,MYO5A,TRIM37,CDKL5,SCN3A,RTN4IP1,UNC80,FRRS1L,FGF12,USP27X,YWHAG,SPTBN2,RIMS2,FGF14,NAPB,FGF13,ANKRD17" "x7_MaleUp" "gwas" 0.788262548262548
"116" "SCZ" 0.17 0.39 361 348 15 10974 "DNM3,BRD8,CNKSR2,ELAVL4,GRAMD1B,KANSL1-AS1,LRRC4,MAPT,MYT1L,NRGN,NSF,PLCL2,PPP1R13B,QPCT,TMEM161B" "x7_MaleUp" "gwas" 0.936261127596439
"117" "Lefthanded" 0.21 0.42 361 26 2 10974 "NSF,MAPT" "x7_MaleUp" "gwas" 0.99175572519084
"118" "TS" 0.25 0.44 361 29 2 10974 "NCKIPSD,MYT1L" "x7_MaleUp" "gwas" 1
"119" "OCD" 0.33 0.54 361 227 9 10974 "ASMTL,ATP2B1,GPRIN1,RABGAP1L,GABRB1,SGSM1,NRXN1,NCKIPSD,CSDC2" "x7_MaleUp" "gwas" 1
"120" "BIP" 0.59 0.89 361 125 4 10974 "SYNE1,SPTBN2,ZNF318,ANK3" "x7_MaleUp" "gwas" 1
"121" "BMI" 0.84 1 361 54 1 10974 "TEX10" "x7_MaleUp" "gwas" 1
"122" "ADHD" 0.85 1 361 101 2 10974 "BSN,SYT4" "x7_MaleUp" "gwas" 1
"123" "AD" 0.92 1 361 252 5 10974 "ICA1,ANK3,STX1B,FAM81A,OPLAH" "x7_MaleUp" "gwas" 1
"124" "AUD" 1 1 361 19 0 10974 "" "x7_MaleUp" "gwas" 1
"125" "CannabisUseDisorder" 1 1 361 6 0 10974 "" "x7_MaleUp" "gwas" 1
"126" "Panic" 1 1 361 41 0 10974 "" "x7_MaleUp" "gwas" 1
"127" "ASD" 0.0012 0.022 411 917 41 15085 "KANSL1-AS1,LRRC37A2,DCAKD,AGAP1,AGO1,AGO3,ANK2,ANK3,BTRC,CACNA1I,CAMK4,CDH8,CHMP1A,CLCN4,CNTN6,DNMT3A,DCC,ELAVL2,EXOC6B,GABRA3,GRIN2A,GRIP1,GUCY1A2,HS3ST5,KATNAL1,KCNQ3,MTSS2,NAV3,NBEA,NRXN3,NTRK3,NUAK1,ROBO2,RPS6KA3,SAMD11,SATB1,SCFD2,SLC22A15,STK39,TBL1X,TCF7L2" "x8_MaleUp" "gwas" 0.0601945945945946
"128" "SCZ" 0.021 0.19 411 418 19 15085 "XPO7,GRIN2A,AKAP6,AKT3,C1orf216,CACNA1I,CHMP1A,CPEB1,DCC,DNMT3A,GATAD2B,GRM3,KANSL1-AS1,LRRC37A2,METTL15,NAB2,NSUN6,ZMAT2,ZNF365" "x8_MaleUp" "gwas" 0.401814432989691
"129" "Lefthanded" 0.069 0.42 411 35 3 15085 "LRRC37A2,CHMP1A,BCR" "x8_MaleUp" "gwas" 0.650071065989848
"130" "ADHD" 0.13 0.5 411 126 6 15085 "CDH8,DCC,ROBO2,BDNF,B4GALT2,VRK1" "x8_MaleUp" "gwas" 0.852579505300353
"131" "GAD" 0.14 0.5 411 24 2 15085 "ESR1,LRRC37A2" "x8_MaleUp" "gwas" 0.869030100334448
"132" "TS" 0.24 0.71 411 34 2 15085 "FBXL17,ZNF382" "x8_MaleUp" "gwas" 1
"133" "MDD" 0.34 0.88 411 1977 57 15085 "DENND1B,DCC,ELAVL2,ZMAT2,OXR1,ADARB1,STOML1,LOXL1-AS1,CSDC2,THAP5,LINC00622,LARP6,NAP1L4,IFI44,METTL15,BTRC,LRRC37A2,FAXC,CDKL2,ZCCHC2,MUC20,MAPK10,TRIM36,ARHGEF7,SYCE1,AKT3,KANSL1-AS1,IL21R-AS1,BEND4,ORC4,ZFYVE1,TMEM117,AMPH,FRMPD1,HS3ST5,ESR1,ROBO2,KIF2A,CSMD3,RRAGC,CRYZ,RXRG,DYSF,SPR,NFKB1,WNT2,HABP4,TCF7L2,BDNF,KATNAL1,SPTB,RASGRP1,TPM1,NTRK3,CDR2,WDR7,CERK" "x8_MaleUp" "gwas" 1
"134" "AUD" 0.53 1 411 27 1 15085 "FAM43B" "x8_MaleUp" "gwas" 1
"135" "BIP" 0.59 1 411 151 4 15085 "SSBP2,GRIN2A,ZNF365,ANK3" "x8_MaleUp" "gwas" 1
"136" "OCD" 0.63 1 411 275 7 15085 "NRXN3,PIGH,CLGN,AGO3,NEFH,RARS,CSDC2" "x8_MaleUp" "gwas" 1
"137" "PTSD" 0.64 1 411 37 1 15085 "LRRC37A2" "x8_MaleUp" "gwas" 1
"138" "Panic" 0.74 1 411 49 1 15085 "SYT10" "x8_MaleUp" "gwas" 1
"139" "NDD" 0.76 1 411 1072 26 15085 "RPS6KA3,VRK1,DNMT3A,SACS,GNAO1,ORC4,GRIN2A,SHH,AASS,CHMP1A,GATAD2B,KCNH5,KIF2A,SOS1,CUL4B,AKT3,SPR,RAB23,CLCN4,DCC,KCNK4,NBEA,OXR1,PIGH,FGF13,SEMA3A" "x8_MaleUp" "gwas" 1
"140" "AD" 0.8 1 411 329 7 15085 "BMPR2,HS3ST5,ANK3,PLEKHA1,CD2AP,GNAO1,NYAP1" "x8_MaleUp" "gwas" 1
"141" "Anorexia" 0.83 1 411 65 1 15085 "NEFH" "x8_MaleUp" "gwas" 1
"142" "OUD" 0.99 1 411 174 1 15085 "KIF2A" "x8_MaleUp" "gwas" 1
"143" "CannabisUseDisorder" 1 1 411 10 0 15085 "" "x8_MaleUp" "gwas" 1
"144" "BMI" 1 1 411 62 0 15085 "" "x8_MaleUp" "gwas" 1
"145" "ASD" 6.5e-08 1.2e-06 277 882 44 13187 "WNT3,KANSL1-AS1,CDC27,RALGAPA2,AGAP1,AGO3,AHI1,AKAP9,ANK3,BAZ2B,BIRC6,CAMK2A,CDH13,CDK13,CGNL1,CHD2,CUX1,DLG4,ELAVL2,EPC2,FMR1,GABRA3,GDA,HIVEP2,HNRNPUL2,KCNQ3,KDM5B,KMT2C,MEMO1,MYCBP2,MYT1L,NBEA,PARD3B,PCDH9,RBFOX1,RIMS1,RSRC1,SETD2,STK39,TCF7L2,TLK2,TNRC6B,TSC1,ZNF713" "x9_MaleUp" "gwas" 1.74994285714286e-05
"146" "TS" 0.029 0.26 277 32 3 13187 "MYT1L,FBXL17,ZNF382" "x9_MaleUp" "gwas" 0.464
"147" "NDD" 0.11 0.64 277 1042 28 13187 "ALG11,SOX11,WNT3,SACS,FMR1,GATAD2B,FAR1,KCNH5,SOS1,AKT3,ACSL4,TSC1,CHD2,SCN3A,AHI1,KDM5B,PDE10A,CDK13,HIVEP2,DLG4,BPTF,CAMK2A,SETD2,DDX6,SOX4,NBEA,RSRC1,EIF5A" "x9_MaleUp" "gwas" 0.788262548262548
"148" "AUD" 0.37 0.97 277 22 1 13187 "BPTF" "x9_MaleUp" "gwas" 1
"149" "GAD" 0.4 0.97 277 24 1 13187 "WNT3" "x9_MaleUp" "gwas" 1
"150" "PTSD" 0.52 0.97 277 35 1 13187 "WNT3" "x9_MaleUp" "gwas" 1
"151" "AD" 0.58 0.97 277 291 6 13187 "CCDC6,ANK3,CELF1,NYAP1,ZKSCAN1,ZNF230" "x9_MaleUp" "gwas" 1
"152" "BIP" 0.58 0.97 277 142 3 13187 "BCL11B,CERS6,ANK3" "x9_MaleUp" "gwas" 1
"153" "SCZ" 0.6 0.97 277 396 8 13187 "AKT3,BCL11B,GATAD2B,KANSL1-AS1,MYT1L,PPP1R21,TCF25,WNT3" "x9_MaleUp" "gwas" 1
"154" "MDD" 0.63 0.97 277 1831 37 13187 "TTC12,ZNF638,ELAVL2,POLR3H,LATS1,MAP9,BPTF,BAZ2B,BID,AKAP9,S100A13,PTPRS,MAPK10,AKT3,KANSL1-AS1,RBFOX1,RSRC1,PDE10A,EPC2,VKORC1L1,CDH13,SGCZ,PCDH9,TENM2,UBE2M,ZRANB2,C2orf66,CREB1,HIST1H4C,HIVEP2,TCF7L2,CELF1,MALAT1,UGGT2,FCF1,NOL4,TNRC6B" "x9_MaleUp" "gwas" 1
"155" "OCD" 0.64 0.97 277 261 5 13187 "MSANTD4,ASMTL,ATP2B1,AGO3,POLR3H" "x9_MaleUp" "gwas" 1
"156" "Panic" 0.64 0.97 277 48 1 13187 "FAR1" "x9_MaleUp" "gwas" 1
"157" "OUD" 0.97 1 277 164 1 13187 "IFI6" "x9_MaleUp" "gwas" 1
"158" "ADHD" 1 1 277 115 0 13187 "" "x9_MaleUp" "gwas" 1
"159" "CannabisUseDisorder" 1 1 277 8 0 13187 "" "x9_MaleUp" "gwas" 1
"160" "Anorexia" 1 1 277 60 0 13187 "" "x9_MaleUp" "gwas" 1
"161" "Lefthanded" 1 1 277 29 0 13187 "" "x9_MaleUp" "gwas" 1
"162" "BMI" 1 1 277 61 0 13187 "" "x9_MaleUp" "gwas" 1
"163" "ASD" 0.00014 0.0025 161 791 26 10613 "KANSL1-AS1,AKAP9,ANK2,CGNL1,CLASP1,DLGAP1,DNMT3A,GIGYF2,ITPR1,MAOB,MED13,MED13L,MEGF11,NRXN2,NTRK3,PHF21A,PHIP,PTCHD1,SEMA5A,SYNGAP1,TAF1,TCF7L2,TLE3,ZBTB20,ZBTB7A,ZNF804A" "x10_MaleUp" "gwas" 0.0123733333333333
"164" "NDD" 0.068 0.61 161 926 20 10613 "LRAT,MED13L,PHF21A,DNMT3A,NRXN2,TECPR2,SOX3,PTCHD1,KCNH5,PHIP,BCKDHB,SYNGAP1,ITPR1,ZBTB20,TAF1,USP27X,DDX6,PHACTR1,MED13,EIF5A" "x10_MaleUp" "gwas" 0.650071065989848
"165" "ADHD" 0.18 0.78 161 97 3 10613 "KDM4A,GIGYF2,B4GALT2" "x10_MaleUp" "gwas" 0.954514285714286
"166" "AUD" 0.25 0.78 161 19 1 10613 "SREK1IP1" "x10_MaleUp" "gwas" 1
"167" "SCZ" 0.27 0.78 161 344 7 10613 "DNMT3A,GIGYF2,KANSL1-AS1,KDM4A,PPP1R21,RBMS3,ZNF804A" "x10_MaleUp" "gwas" 1
"168" "Lefthanded" 0.3 0.78 161 23 1 10613 "BCR" "x10_MaleUp" "gwas" 1
"169" "BIP" 0.3 0.78 161 127 3 10613 "RBMS3,ZNF804A,MSH3" "x10_MaleUp" "gwas" 1
"170" "TS" 0.36 0.81 161 29 1 10613 "PCDH7" "x10_MaleUp" "gwas" 1
"171" "BMI" 0.54 1 161 50 1 10613 "CPNE4" "x10_MaleUp" "gwas" 1
"172" "Anorexia" 0.57 1 161 55 1 10613 "ZNF804A" "x10_MaleUp" "gwas" 1
"173" "AD" 0.86 1 161 228 2 10613 "ZCWPW1,ZNF652" "x10_MaleUp" "gwas" 1
"174" "OUD" 0.87 1 161 134 1 10613 "IFI6" "x10_MaleUp" "gwas" 1
"175" "MDD" 0.96 1 161 1510 16 10613 "GIGYF2,ZNF804A,NRXN2,UBXN2A,AKAP9,S100A13,TRIM36,KANSL1-AS1,TOX3,RBMS3,NKAIN4,MEGF11,AVIL,TCF7L2,FCF1,NTRK3" "x10_MaleUp" "gwas" 1
"176" "OCD" 0.96 1 161 212 1 10613 "ASMTL" "x10_MaleUp" "gwas" 1
"177" "CannabisUseDisorder" 1 1 161 5 0 10613 "" "x10_MaleUp" "gwas" 1
"178" "PTSD" 1 1 161 31 0 10613 "" "x10_MaleUp" "gwas" 1
"179" "GAD" 1 1 161 19 0 10613 "" "x10_MaleUp" "gwas" 1
"180" "Panic" 1 1 161 39 0 10613 "" "x10_MaleUp" "gwas" 1
