gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_D1	V12Y31-080_A1	V13M13-362_A1	V13M13-362_D1	nsigsamps	meanrank
ENSG00000021776	AQR	833									1	833
ENSG00000022267	FHL1						368				1	368
ENSG00000022355	GABRA1		204		164	79					3	149
ENSG00000022567	SLC45A4							670			1	670
ENSG00000023041	ZDHHC6									1092	1	1092
ENSG00000023516	AKAP11	439									1	439
ENSG00000023608	SNAPC1		998								1	998
ENSG00000025772	TOMM34				446						1	446
ENSG00000025800	KPNA6								439		1	439
ENSG00000026025	VIM	155	89	80	323				362	615	6	270.666666666667
ENSG00000026297	RNASET2		440								1	440
ENSG00000026508	CD44			118	840	542		96			4	399
ENSG00000026652	AGPAT4		895								1	895
ENSG00000026950	BTN3A1			409							1	409
ENSG00000028839	TBPL1									332	1	332
ENSG00000029153	ARNTL2							436			1	436
ENSG00000029363	BCLAF1				947	634					2	790.5
ENSG00000029534	ANK1			445							1	445
ENSG00000030066	NUP160					284	429				2	356.5
ENSG00000031698	SARS	417									1	417
ENSG00000033327	GAB2								201		1	201
ENSG00000033627	ATP6V0A1									1189	1	1189
ENSG00000034053	APBA2						212				1	212
ENSG00000034510	TMSB10	21	19	16	10	165	40	61		80	8	51.5
ENSG00000034713	GABARAPL2									1185	1	1185
ENSG00000035403	VCL		474			579					2	526.5
ENSG00000035862	TIMP2	84	676	47	149	227				820	6	333.833333333333
ENSG00000036530	CYP46A1			420						596	2	508
ENSG00000037042	TUBG2									884	1	884
ENSG00000037241	RPL26L1						284				1	284
ENSG00000038382	TRIO					216					1	216
ENSG00000038532	CLEC16A						127				1	127
ENSG00000039523	RIPOR1								410		1	410
ENSG00000040531	CTNS			513							1	513
ENSG00000040608	RTN4R									1080	1	1080
ENSG00000040933	INPP4A				1119						1	1119
ENSG00000041982	TNC					214					1	214
ENSG00000042088	TDP1	266									1	266
ENSG00000042493	CAPG					446					1	446
ENSG00000042753	AP2S1	349								626	2	487.5
ENSG00000043093	DCUN1D1	572									1	572
ENSG00000043355	ZIC2								6		1	6
ENSG00000043591	ADRB1	724									1	724
ENSG00000044574	HSPA5	848	312	406	1000	224		630		139	7	508.428571428572
ENSG00000046653	GPM6B		424	279	236		131	102		473	6	274.166666666667
ENSG00000047249	ATP6V1H		881								1	881
ENSG00000047597	XK	569	760								2	664.5
ENSG00000047621	C12orf4									1180	1	1180
ENSG00000047648	ARHGAP6					416					1	416
ENSG00000047849	MAP4	286							150		2	218
ENSG00000048162	NOP16			561							1	561
ENSG00000048540	LMO3	893	276		609						3	592.666666666667
ENSG00000048740	CELF2	100			690						2	395
ENSG00000049089	COL9A2									892	1	892
ENSG00000049130	KITLG		426			241					2	333.5
ENSG00000049449	RCN1		1119								1	1119
ENSG00000049656	CLPTM1L	236	1184								2	710
ENSG00000049759	NEDD4L		903						372		2	637.5
ENSG00000050130	JKAMP	699	1052					520			3	757
ENSG00000050165	DKK3	391		337				371	113	1113	5	465
ENSG00000050438	SLC4A8	291			572						2	431.5
ENSG00000050628	PTGER3		557								1	557
ENSG00000050748	MAPK9									1201	1	1201
ENSG00000051009	FAM160A2								184		1	184
ENSG00000051620	HEBP2					613	95				2	354
ENSG00000052802	MSMO1				536						1	536
ENSG00000052841	TTC17		934								1	934
ENSG00000053108	FSTL4								404		1	404
ENSG00000053438	NNAT	69	265				267		32	379	5	202.4
ENSG00000054148	PHPT1						398	421		362	3	393.666666666667
ENSG00000054267	ARID4B		629								1	629
ENSG00000054282	SDCCAG8			443							1	443
ENSG00000054356	PTPRN	124	413	232	259	438					5	293.2
ENSG00000054690	PLEKHH1									844	1	844
ENSG00000054793	ATP9A				1140						1	1140
ENSG00000054803	CBLN4		84		94	133	198	88	95	95	7	112.428571428571
ENSG00000055070	SZRD1							242			1	242
ENSG00000055118	KCNH2			324							1	324
ENSG00000055163	CYFIP2	805									1	805
ENSG00000055211	GINM1								399		1	399
ENSG00000055483	USP36								300		1	300
ENSG00000056972	TRAF3IP2			481							1	481
ENSG00000057704	TMCC3					653					1	653
ENSG00000057757	PITHD1									544	1	544
ENSG00000058091	CDK14	834								549	2	691.5
ENSG00000058404	CAMK2B							430		773	2	601.5
ENSG00000058453	CROCC		1143								1	1143
ENSG00000058668	ATP2B4	422	334		270			512		907	5	489
ENSG00000058799	YIPF1		797								1	797
ENSG00000058866	DGKG							385		819	2	602
ENSG00000059588	TARBP1					567					1	567
ENSG00000059758	CDK17	61									1	61
ENSG00000059915	PSD		773						298		2	535.5
ENSG00000060138	YBX3					407					1	407
ENSG00000060140	STYK1	359									1	359
ENSG00000060237	WNK1									1203	1	1203
ENSG00000060762	MPC1			586							1	586
ENSG00000061676	NCKAP1	167									1	167
ENSG00000061794	MRPS35			577							1	577
ENSG00000061918	GUCY1B1			328	372						2	350
ENSG00000061936	SFSWAP				1139						1	1139
ENSG00000061938	TNK2		870								1	870
ENSG00000062194	GPBP1					430	299				2	364.5
ENSG00000062282	DGAT2									1075	1	1075
ENSG00000062582	MRPS24				838						1	838
ENSG00000062598	ELMO2									954	1	954
ENSG00000063015	SEZ6								78		1	78
ENSG00000063046	EIF4B							467			1	467
ENSG00000063176	SPHK2								204		1	204
ENSG00000063177	RPL18	141	111			242	463	359			5	263.2
ENSG00000063180	CA11								279		1	279
ENSG00000063241	ISOC2							561			1	561
ENSG00000063322	MED29		1086			223					2	654.5
ENSG00000063660	GPC1				1065						1	1065
ENSG00000064042	LIMCH1							711			1	711
ENSG00000064115	TM7SF3					376					1	376
ENSG00000064393	HIPK2		345								1	345
ENSG00000064419	TNPO3							631		505	2	568
ENSG00000064607	SUGP2									758	1	758
ENSG00000064651	SLC12A2								445		1	445
ENSG00000064787	BCAS1		174	558	496			464			4	423
ENSG00000065054	SLC9A3R2									763	1	763
ENSG00000065150	IPO5				526						1	526
ENSG00000065183	WDR3									1094	1	1094
ENSG00000065361	ERBB3						300				1	300
ENSG00000065518	NDUFB4		484		415			153			3	350.666666666667
ENSG00000065534	MYLK							269			1	269
ENSG00000065559	MAP2K4									1197	1	1197
ENSG00000065609	SNAP91	750							419	742	3	637
ENSG00000065613	SLK				949						1	949
ENSG00000065665	SEC61A2				941						1	941
ENSG00000065675	PRKCQ			508							1	508
ENSG00000065717	TLE2		860							537	2	698.5
ENSG00000065802	ASB1							380			1	380
ENSG00000065882	TBC1D1		1012								1	1012
ENSG00000065923	SLC9A7	419									1	419
ENSG00000065989	PDE4A		1027								1	1027
ENSG00000066032	CTNNA2	892							311		2	601.5
ENSG00000066136	NFYC						242				1	242
ENSG00000066248	NGEF								68		1	68
ENSG00000066322	ELOVL1									825	1	825
ENSG00000066382	MPPED2				570					899	2	734.5
ENSG00000066422	ZBTB11		404								1	404
ENSG00000066468	FGFR2	598									1	598
ENSG00000066583	ISOC1			359							1	359
ENSG00000066739	ATG2B									1056	1	1056
ENSG00000067057	PFKP	869	368	277	789				228		5	506.2
ENSG00000067064	IDI1			425							1	425
ENSG00000067082	KLF6	548									1	548
ENSG00000067208	EVI5						341				1	341
ENSG00000067225	PKM									984	1	984
ENSG00000067369	TP53BP1		963								1	963
ENSG00000067445	TRO									1090	1	1090
ENSG00000067596	DHX8		1067								1	1067
ENSG00000067606	PRKCZ					649	375				2	512
ENSG00000067704	IARS2	521									1	521
ENSG00000067715	SYT1		644		903		226			174	4	486.75
ENSG00000067836	ROGDI			414			401				2	407.5
ENSG00000067900	ROCK1									772	1	772
ENSG00000067955	CBFB									986	1	986
ENSG00000067992	PDK3									426	1	426
ENSG00000068024	HDAC4		536								1	536
ENSG00000068078	FGFR3				398			230	321		3	316.333333333333
ENSG00000068366	ACSL4							506			1	506
ENSG00000068650	ATP11A				885					1126	2	1005.5
ENSG00000068697	LAPTM4A		637							944	2	790.5
ENSG00000068831	RASGRP2				766				190		2	478
ENSG00000068912	ERLEC1		835	347							2	591
ENSG00000068971	PPP2R5B									639	1	639
ENSG00000068976	PYGM				223						1	223
ENSG00000069248	NUP133				716						1	716
ENSG00000069329	VPS35		688							329	2	508.5
ENSG00000069345	DNAJA2				325						1	325
ENSG00000069482	GAL		14	38	9	125	14	16	308	87	8	76.375
ENSG00000069535	MAOB					192			315	137	3	214.666666666667
ENSG00000069849	ATP1B3				377						1	377
ENSG00000069966	GNB5	727									1	727
ENSG00000070061	ELP1	604									1	604
ENSG00000070182	SPTB		703			295					2	499
ENSG00000070214	SLC44A1									883	1	883
ENSG00000070413	DGCR2				675				137		2	406
ENSG00000070718	AP3M2							481			1	481
ENSG00000070729	CNGB1	201	1135			666					3	667.333333333333
ENSG00000070756	PABPC1					302					1	302
ENSG00000070808	CAMK2A		913		500	659		471			4	635.75
ENSG00000070831	CDC42	164		457	638					514	4	443.25
ENSG00000070961	ATP2B1									345	1	345
ENSG00000071054	MAP4K4		832								1	832
ENSG00000071082	RPL31		260	352	169	122		260		1164	6	387.833333333333
ENSG00000071127	WDR1			528							1	528
ENSG00000071242	RPS6KA2		478								1	478
ENSG00000071243	ING3						394				1	394
ENSG00000071246	VASH1									664	1	664
ENSG00000071282	LMCD1					645					1	645
ENSG00000071539	TRIP13	225									1	225
ENSG00000071626	DAZAP1						280				1	280
ENSG00000071794	HLTF							346			1	346
ENSG00000071889	FAM3A						228				1	228
ENSG00000072041	SLC6A15	790	701		771						3	754
ENSG00000072042	RDH11				565						1	565
ENSG00000072062	PRKACA				492						1	492
ENSG00000072110	ACTN1		470							1033	2	751.5
ENSG00000072121	ZFYVE26					565					1	565
ENSG00000072133	RPS6KA6		983								1	983
ENSG00000072501	SMC1A									347	1	347
ENSG00000072506	HSD17B10							737			1	737
ENSG00000072518	MARK2					453					1	453
ENSG00000072657	TRHDE				850						1	850
ENSG00000072682	P4HA2				533						1	533
ENSG00000072756	TRNT1		459			396			379		3	411.333333333333
ENSG00000072778	ACADVL									277	1	277
ENSG00000072832	CRMP1	340						252			2	296
ENSG00000072858	SIDT1				252						1	252
ENSG00000073578	SDHA							610			1	610
ENSG00000073969	NSF	172	497	138	85			330		915	6	356.166666666667
ENSG00000074054	CLASP1				1145						1	1145
ENSG00000074071	MRPS34				1106						1	1106
ENSG00000074317	SNCB		781		550	272		487	304		5	478.8
ENSG00000074319	TSG101							683			1	683
ENSG00000074696	HACD3		657						368	460	3	495
ENSG00000074800	ENO1	315									1	315
ENSG00000074964	ARHGEF10L			518							1	518
ENSG00000075043	KCNQ2				794						1	794
ENSG00000075089	ACTR6		838				240				2	539
ENSG00000075142	SRI							544			1	544
ENSG00000075151	EIF4G3	680	960		1022						3	887.333333333333
ENSG00000075223	SEMA3C			484	312					141	3	312.333333333333
ENSG00000075234	TTC38	403									1	403
ENSG00000075239	ACAT1		946								1	946
ENSG00000075240	GRAMD4					563					1	563
ENSG00000075292	ZNF638						306				1	306
ENSG00000075336	TIMM21		1054								1	1054
ENSG00000075413	MARK3				968						1	968
ENSG00000075415	SLC25A3					368		522			2	445
ENSG00000075461	CACNG4				1010						1	1010
ENSG00000075539	FRYL	571						210			2	390.5
ENSG00000075618	FSCN1					432					1	432
ENSG00000075624	ACTB		1039	206	913		112			966	5	647.2
ENSG00000075711	DLG1	781								731	2	756
ENSG00000075785	RAB7A									1123	1	1123
ENSG00000075945	KIFAP3	721	755								2	738
ENSG00000076108	BAZ2A	381									1	381
ENSG00000076382	SPAG5									828	1	828
ENSG00000076554	TPD52				854						1	854
ENSG00000076685	NT5C2				728						1	728
ENSG00000076864	RAP1GAP	242									1	242
ENSG00000076928	ARHGEF1	635									1	635
ENSG00000077097	TOP2B		405								1	405
ENSG00000077147	TM9SF3				955						1	955
ENSG00000077348	EXOSC5								305		1	305
ENSG00000077522	ACTN2								34		1	34
ENSG00000077549	CAPZB							243			1	243
ENSG00000077585	GPR137B									865	1	865
ENSG00000077942	FBLN1		51		439						2	245
ENSG00000078018	MAP2	70	1053	46	620	156			380	1206	7	504.428571428571
ENSG00000078070	MCCC1	691									1	691
ENSG00000078114	NEBL	835	596								2	715.5
ENSG00000078328	RBFOX1	58		205	455						3	239.333333333333
ENSG00000078369	GNB1							417			1	417
ENSG00000078403	MLLT10									803	1	803
ENSG00000078596	ITM2A							358			1	358
ENSG00000078668	VDAC3				996						1	996
ENSG00000078699	CBFA2T2					587					1	587
ENSG00000078902	TOLLIP				670					817	2	743.5
ENSG00000079215	SLC1A3		776			264	54			46	4	285
ENSG00000079308	TNS1		476								1	476
ENSG00000079337	RAPGEF3									559	1	559
ENSG00000079432	CIC							552			1	552
ENSG00000079459	FDFT1				748			456			2	602
ENSG00000079689	SCGN								36		1	36
ENSG00000079841	RIMS1			480							1	480
ENSG00000079999	KEAP1									1112	1	1112
ENSG00000080823	MOK	205									1	205
ENSG00000080824	HSP90AA1	555				49		173		157	4	233.5
ENSG00000081019	RSBN1		623								1	623
ENSG00000081026	MAGI3				581						1	581
ENSG00000081087	OSTM1		594								1	594
ENSG00000081138	CDH7							292			1	292
ENSG00000081154	PCNP		437								1	437
ENSG00000081181	ARG2							723			1	723
ENSG00000081189	MEF2C		541	180		332		433			4	371.5
ENSG00000081377	CDC14B					411					1	411
ENSG00000081665	ZNF506			160							1	160
ENSG00000081913	PHLPP1				861						1	861
ENSG00000082014	SMARCD3	931								355	2	643
ENSG00000082068	WDR70								355		1	355
ENSG00000082175	PGR		255		589		69	52		71	5	207.2
ENSG00000082196	C1QTNF3									580	1	580
ENSG00000082397	EPB41L3				772						1	772
ENSG00000082556	OPRK1	68			303						2	185.5
ENSG00000082641	NFE2L1					641					1	641
ENSG00000082805	ERC1					426					1	426
ENSG00000083067	TRPM3					617					1	617
ENSG00000083123	BCKDHB					596					1	596
ENSG00000083444	PLOD1							462			1	462
ENSG00000083544	TDRD3			364							1	364
ENSG00000083720	OXCT1	747					311			1059	3	705.666666666667
ENSG00000083838	ZNF446								183		1	183
ENSG00000084090	STARD7									1128	1	1128
ENSG00000084112	SSH1	461									1	461
ENSG00000084207	GSTP1		575			562	190		143	875	5	469
ENSG00000084234	APLP2	854	381								2	617.5
ENSG00000084444	FAM234B				147						1	147
ENSG00000084623	EIF3I	388									1	388
ENSG00000084652	TXLNA		595						353		2	474
ENSG00000084693	AGBL5									921	1	921
ENSG00000084731	KIF3C				1061						1	1061
ENSG00000084733	RAB10									623	1	623
ENSG00000084764	MAPRE3	199				603				690	3	497.333333333333
ENSG00000085063	CD59		149								1	149
ENSG00000085365	SCAMP1		396		582					1099	3	692.333333333333
ENSG00000085382	HACE1		559								1	559
ENSG00000085433	WDR47				355						1	355
ENSG00000085449	WDFY1									1184	1	1184
ENSG00000085721	RRN3				1004						1	1004
ENSG00000085831	TTC39A									1088	1	1088
ENSG00000086015	MAST2						183				1	183
ENSG00000086061	DNAJA1				460	348		739		422	4	492.25
ENSG00000086289	EPDR1	182			445				293	834	4	438.5
ENSG00000086300	SNX10								257		1	257
ENSG00000086712	TXLNG					450					1	450
ENSG00000086758	HUWE1					621				454	2	537.5
ENSG00000086848	ALG9		737							697	2	717
ENSG00000087053	MTMR2								234		1	234
ENSG00000087076	HSD17B14		1085								1	1085
ENSG00000087085	ACHE				808		399			486	3	564.333333333333
ENSG00000087086	FTL					414			109		2	261.5
ENSG00000087152	ATXN7L3									1183	1	1183
ENSG00000087250	MT3	815	614	439	42	113		67	231		7	331.571428571429
ENSG00000087258	GNAO1					573			261	625	3	486.333333333333
ENSG00000087263	OGFOD1								393		1	393
ENSG00000087269	NOP14							720			1	720
ENSG00000087274	ADD1	486									1	486
ENSG00000087302	RTRAF		663								1	663
ENSG00000087448	KLHL42				1054						1	1054
ENSG00000087460	GNAS	104	23	61	8	44	39	38	3	48	9	40.8888888888889
ENSG00000087470	DNM1L				782						1	782
ENSG00000088035	ALG6								110		1	110
ENSG00000088038	CNOT3				1130						1	1130
ENSG00000088256	GNA11									996	1	996
ENSG00000088451	TGDS			571							1	571
ENSG00000088727	KIF9		192								1	192
ENSG00000088808	PPP1R13B				801						1	801
ENSG00000088832	FKBP1A	261		193	394			409			4	314.25
ENSG00000088833	NSFL1C									363	1	363
ENSG00000088970	KIZ			272						361	2	316.5
ENSG00000088986	DYNLL1	224	293	225	116		63	111	276	784	8	261.5
ENSG00000089009	RPL6				197		75				2	136
ENSG00000089050	RBBP9						486				1	486
ENSG00000089053	ANAPC5	742									1	742
ENSG00000089091	DZANK1						318				1	318
ENSG00000089094	KDM2B	509								1152	2	830.5
ENSG00000089157	RPLP0		585		168					502	3	418.333333333333
ENSG00000089199	CHGB	144			208		158	81		433	5	204.8
ENSG00000089248	ERP29		356								1	356
ENSG00000089250	NOS1							294		783	2	538.5
ENSG00000089280	FUS		1013							560	2	786.5
ENSG00000089472	HEPH							311			1	311
ENSG00000089486	CDIP1				879				384		2	631.5
ENSG00000089737	DDX24									781	1	781
ENSG00000089775	ZBTB25				625						1	625
ENSG00000089876	DHX32				435						1	435
ENSG00000090060	PAPOLA	405									1	405
ENSG00000090061	CCNK				1104						1	1104
ENSG00000090238	YPEL3				921		396				2	658.5
ENSG00000090263	MRPS33							679			1	679
ENSG00000090266	NDUFB2	153	222				474				3	283
ENSG00000090273	NUDC					196					1	196
ENSG00000090565	RAB11FIP3	783									1	783
ENSG00000090615	GOLGA3			356							1	356
ENSG00000090686	USP48		893								1	893
ENSG00000090932	DLL3									326	1	326
ENSG00000090975	PITPNM2								170		1	170
ENSG00000091129	NRCAM		543		523						2	533
ENSG00000091136	LAMB1	926									1	926
ENSG00000091157	WDR7	578									1	578
ENSG00000091436	MAP3K20					309					1	309
ENSG00000091513	TF			307	260			182		180	4	232.25
ENSG00000091592	NLRP1		635								1	635
ENSG00000091622	PITPNM3				1059						1	1059
ENSG00000091640	SPAG7				1127						1	1127
ENSG00000091664	SLC17A6	230	59	321	113	308		227	139	9	8	175.75
ENSG00000091831	ESR1		305				447	135			3	295.666666666667
ENSG00000091947	TMEM101			565	780						2	672.5
ENSG00000091972	CD200	757					233				2	495
ENSG00000092010	PSME1	689									1	689
ENSG00000092051	JPH4	175		220							2	197.5
ENSG00000092054	MYH7		805		493						2	649
ENSG00000092096	SLC22A17		256		519	120		73	196	286	6	241.666666666667
ENSG00000092108	SCFD1		752			307					2	529.5
ENSG00000092148	HECTD1	803	1114								2	958.5
ENSG00000092330	TINF2	546									1	546
ENSG00000092421	SEMA6A	901									1	901
ENSG00000092621	PHGDH		1008		430						2	719
ENSG00000092758	COL9A3				882						1	882
ENSG00000092841	MYL6		987		484	417	51			901	5	568
ENSG00000092964	DPYSL2	382	1178		46						3	535.333333333333
ENSG00000092978	GPATCH2			365	1009						2	687
ENSG00000093072	ADA2				1016						1	1016
ENSG00000094916	CBX5		964								1	964
ENSG00000095203	EPB41L4B	709									1	709
ENSG00000095209	TMEM38B		394								1	394
ENSG00000095397	WHRN					251				972	2	611.5
ENSG00000095587	TLL2	454			907					385	3	582
ENSG00000095596	CYP26A1		30		35					55	3	40
ENSG00000095787	WAC				710					415	2	562.5
ENSG00000095794	CREM									757	1	757
ENSG00000095906	NUBP2					343			390		2	366.5
ENSG00000096092	TMEM14A		1016							239	2	627.5
ENSG00000096384	HSP90AB1	94	343	143	314		316	122		476	7	258.285714285714
ENSG00000097021	ACOT7				712						1	712
ENSG00000099139	PCSK5					591					1	591
ENSG00000099194	SCD		104	366	62			156	49		5	147.4
ENSG00000099246	RAB18		520								1	520
ENSG00000099308	MAST3		876								1	876
ENSG00000099326	MZF1		1194								1	1194
ENSG00000099365	STX1B	197								1217	2	707
ENSG00000099622	CIRBP	930	154				251				3	445
ENSG00000099624	ATP5F1D			450			434				2	442
ENSG00000099715	PCDH11Y							211			1	211
ENSG00000099795	NDUFB7					299					1	299
ENSG00000099797	TECR									438	1	438
ENSG00000099849	RASSF7									693	1	693
ENSG00000099860	GADD45B		617		1116	31					3	588
ENSG00000099864	PALM			384							1	384
ENSG00000099889	ARVCF	784		549					169		3	500.666666666667
ENSG00000099949	LZTR1				623						1	623
ENSG00000099968	BCL2L13						433				1	433
ENSG00000099977	DDT						129		332		2	230.5
ENSG00000099991	CABIN1					419					1	419
ENSG00000099994	SUSD2	112						142			2	127
ENSG00000100027	YPEL1	700									1	700
ENSG00000100028	SNRPD3	487									1	487
ENSG00000100030	MAPK1		103	235	818	315					4	367.75
ENSG00000100095	SEZ6L	60	213	524	475	94	296			110	7	253.142857142857
ENSG00000100097	LGALS1				376			315		77	3	256
ENSG00000100138	SNU13	356	1044		596			636		245	5	575.4
ENSG00000100142	POLR2F				230					900	2	565
ENSG00000100154	TTC28									447	1	447
ENSG00000100207	TCF20				678						1	678
ENSG00000100234	TIMP3				369						1	369
ENSG00000100241	SBF1		551								1	551
ENSG00000100242	SUN2			468						1135	2	801.5
ENSG00000100243	CYB5R3	884		462						753	3	699.666666666667
ENSG00000100258	LMF2									530	1	530
ENSG00000100266	PACSIN2	938									1	938
ENSG00000100276	RASL10A						454				1	454
ENSG00000100281	HMGXB4		383								1	383
ENSG00000100284	TOM1							308			1	308
ENSG00000100285	NEFH				663						1	663
ENSG00000100302	RASD2								243		1	243
ENSG00000100316	RPL3		220		285	71				1036	4	403
ENSG00000100321	SYNGR1									1182	1	1182
ENSG00000100324	TAB1				871						1	871
ENSG00000100336	APOL4					173					1	173
ENSG00000100346	CACNA1I	787									1	787
ENSG00000100348	TXN2									1022	1	1022
ENSG00000100359	SGSM3				709					1200	2	954.5
ENSG00000100387	RBX1	339									1	339
ENSG00000100401	RANGAP1									879	1	879
ENSG00000100403	ZC3H7B							714			1	714
ENSG00000100410	PHF5A			355							1	355
ENSG00000100416	TRMU		578								1	578
ENSG00000100417	PMM1		774								1	774
ENSG00000100425	BRD1				1094						1	1094
ENSG00000100442	FKBP3									520	1	520
ENSG00000100473	COCH		624	490	380					524	4	504.5
ENSG00000100478	AP4S1									760	1	760
ENSG00000100504	PYGL			274							1	274
ENSG00000100519	PSMC6		862								1	862
ENSG00000100554	ATP6V1D	703	488								2	595.5
ENSG00000100564	PIGH	570									1	570
ENSG00000100567	PSMA3					560					1	560
ENSG00000100568	VTI1B							563			1	563
ENSG00000100604	CHGA		290	383		568		386		582	5	441.8
ENSG00000100626	GALNT16	563	695	332			213	579			5	476.4
ENSG00000100644	HIF1A		351						392		2	371.5
ENSG00000100650	SRSF5					317					1	317
ENSG00000100678	SLC8A3									667	1	667
ENSG00000100731	PCNX1									977	1	977
ENSG00000100804	PSMB5		671							273	2	472
ENSG00000100811	YY1	756				636			146		3	512.666666666667
ENSG00000100815	TRIP11									1144	1	1144
ENSG00000100852	ARHGAP5	935						275			2	605
ENSG00000100867	DHRS2									1053	1	1053
ENSG00000100902	PSMA6		443					678			2	560.5
ENSG00000100908	EMC9			560							1	560
ENSG00000100911	PSME2		856								1	856
ENSG00000100979	PLTP									1142	1	1142
ENSG00000100994	PYGB									620	1	620
ENSG00000100997	ABHD12	932									1	932
ENSG00000101040	ZMYND8				829						1	829
ENSG00000101079	NDRG3	361									1	361
ENSG00000101084	RAB5IF							484			1	484
ENSG00000101126	ADNP			550							1	550
ENSG00000101138	CSTF1								423		1	423
ENSG00000101144	BMP7					259					1	259
ENSG00000101150	TPD52L2									920	1	920
ENSG00000101152	DNAJC5	550			569						2	559.5
ENSG00000101160	CTSZ					467					1	467
