NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
CHR2P11	213	32		
CHR2P12	56		Rejected!	
CHR2P13	140	53		
CHR2P14	63	18		
CHR2P15	44	15		
CHR2P16	119	23		
CHR2P21	80	22		
CHR2P22	103	33		
CHR2P23	149	56		
CHR2P24	80	15		
CHR2P25	126	33		
CHR2Q11	152	41		
CHR2Q12	82		Rejected!	
CHR2Q13	59		Rejected!	
CHR2Q14	164	34		
CHR2Q21	150	20		
CHR2Q22	70		Rejected!	
CHR2Q23	53	17		
CHR2Q24	128	28		
CHR2Q31	178	48		
CHR2Q32	111	27		
CHR2Q33	203	55		
CHR2Q34	45		Rejected!	
CHR2Q35	131	42		
CHR2Q36	85	19		
CHR2Q37	226	62		
CHR20P11	150	27		
CHR20P12	108	26		
CHR20P13	120	40		
CHR20Q11	245	70		
CHR20Q12	25		Rejected!	
CHR20Q13	410	127		
CHR21P11	38		Rejected!	
CHR21P12	15		Rejected!	
CHR21Q11	47		Rejected!	
CHR21Q21	121	21		
CHR21Q22	370	83		
CHR22Q11	401	69		
CHR22Q12	221	74		
CHR22Q13	320	117		
CHR3P11	25		Rejected!	
CHR3P12	73		Rejected!	
CHR3P13	47		Rejected!	
CHR3P14	141	36		
CHR3P21	316	115		
CHR3P22	185	51		
CHR3P23	10		Rejected!	
CHR3P24	113	20		
CHR3P25	155	60		
CHR3P26	48		Rejected!	
CHR3Q11	54		Rejected!	
CHR3Q12	53		Rejected!	
CHR3Q13	221	48		
CHR3Q21	160	45		
CHR3Q22	135	32		
CHR3Q23	62	17		
CHR3Q24	46		Rejected!	
CHR3Q25	179	33		
CHR3Q26	219	42		
CHR3Q27	127	34		
CHR3Q28	36		Rejected!	
CHR3Q29	139	33		
CHR4P11	19		Rejected!	
CHR4P12	26		Rejected!	
CHR4P13	31		Rejected!	
CHR4P14	67	16		
CHR4P15	134	30		
CHR4P16	220	64		
CHR4Q12	84	25		
CHR4Q13	153	16		
CHR4Q21	133	41		
CHR4Q22	73	18		
CHR4Q23	36		Rejected!	
CHR4Q24	59	16		
CHR4Q25	90	16		
CHR4Q26	55		Rejected!	
CHR4Q27	31		Rejected!	
CHR4Q28	81	16		
CHR4Q31	163	37		
CHR4Q32	119	26		
CHR4Q33	15		Rejected!	
CHR4Q34	60		Rejected!	
CHR4Q35	115	22		
CHR5P12	32		Rejected!	
CHR5P13	139	37		
CHR5P14	37		Rejected!	
CHR5P15	204	42		
CHR5Q11	95	17		
CHR5Q12	66	19		
CHR5Q13	151	37		
CHR5Q14	136	42		
CHR5Q15	60	17		
CHR5Q21	68		Rejected!	
CHR5Q22	59	22		
CHR5Q23	115	21		
CHR5Q31	297	92		
CHR5Q32	78	18		
CHR5Q33	118	35		
CHR5Q34	40		Rejected!	
CHR5Q35	231	74		
CHR6P11	9		Rejected!	
CHR6P12	135	25		
CHR6P21	487	168		
CHR6P22	364	54		
CHR6P23	16		Rejected!	
CHR6P24	63	16		
CHR6P25	84	23		
CHR6Q11	6		Rejected!	
CHR6Q12	24		Rejected!	
CHR6Q13	64		Rejected!	
CHR6Q14	96	25		
CHR6Q15	51		Rejected!	
CHR6Q16	56	15		
CHR6Q21	122	35		
CHR6Q22	126	39		
CHR6Q23	118	20		
CHR6Q24	77	19		
CHR6Q25	161	39		
CHR6Q26	15		Rejected!	
CHR6Q27	79	18		
CHR7P11	86		Rejected!	
CHR7P12	64		Rejected!	
CHR7P13	52	26		
CHR7P14	173	41		
CHR7P15	101	23		
CHR7P21	87	21		
CHR7P22	132	50		
CHR7Q11	268	57		
CHR7Q21	176	48		
CHR7Q22	219	82		
CHR7Q31	137	32		
CHR7Q32	97	27		
CHR7Q33	58	16		
CHR7Q34	184	22		
CHR7Q35	65		Rejected!	
CHR7Q36	156	49		
CHR8P11	102	32		
CHR8P12	70		Rejected!	
CHR8P21	135	47		
CHR8P22	47		Rejected!	
CHR8P23	233	19		
CHR8Q11	76		Rejected!	
CHR8Q12	90	20		
CHR8Q13	75	17		
CHR8Q21	190	46		
CHR8Q22	164	51		
CHR8Q23	50		Rejected!	
CHR8Q24	353	102		
CHR9P11	51		Rejected!	
CHR9P12	17		Rejected!	
CHR9P13	174	53		
CHR9P21	124	20		
CHR9P22	52		Rejected!	
CHR9P23	20		Rejected!	
CHR9P24	105	26		
CHR9Q12	8		Rejected!	
CHR9Q13	55		Rejected!	
CHR9Q21	198	46		
CHR9Q22	198	51		
CHR9Q31	136	33		
CHR9Q32	50	20		
CHR9Q33	136	47		
CHR9Q34	323	144		
MT	37		Rejected!	
CHRXP11	374	86		
CHRXP21	82		Rejected!	
CHRXP22	245	61		
CHRXQ11	29		Rejected!	
CHRXQ12	26		Rejected!	
CHRXQ13	164	31		
CHRXQ21	142	18		
CHRXQ22	171	41		
CHRXQ23	89		Rejected!	
CHRXQ24	81	21		
CHRXQ25	48		Rejected!	
CHRXQ26	172	34		
CHRXQ27	91		Rejected!	
CHRXQ28	212	58		
CHRYP11	122		Rejected!	
CHRYQ11	311		Rejected!	
GLI1_UP.V1_DN	17		Rejected!	
GLI1_UP.V1_UP	24	20		
GCNP_SHH_UP_EARLY.V1_DN	167	99		
GCNP_SHH_UP_LATE.V1_DN	178	109		
RAPA_EARLY_UP.V1_DN	186	115		
RAPA_EARLY_UP.V1_UP	167	89		
HINATA_NFKB_MATRIX	11		Rejected!	
CYCLIN_D1_KE_.V1_UP	188	122		
CYCLIN_D1_UP.V1_UP	187	108		
CSR_EARLY_UP.V1_DN	126	92		
VEGF_A_UP.V1_UP	195	111		
BCAT_GDS748_DN	45	31		
BCAT_GDS748_UP	48	27		
BCAT.100_UP.V1_DN	41	18		
BCAT.100_UP.V1_UP	49	23		
ATF2_S_UP.V1_UP	193	80		
ATF2_UP.V1_UP	190	77		
WNT_UP.V1_UP	176	84		
ATM_DN.V1_DN	146	40		
ATM_DN.V1_UP	146	53		
P53_DN.V2_DN	145	64		
RELA_DN.V1_DN	139	37		
BCAT_BILD_ET_AL_DN	46	40		
BCAT_BILD_ET_AL_UP	45	29		
E2F3_UP.V1_UP	190	126		
CAMP_UP.V1_DN	199	163		
CAMP_UP.V1_UP	200	166		
PRC1_BMI_UP.V1_UP	185	71		
PRC2_EED_DN.V1_UP	191	105		
PRC2_EZH2_UP.V1_UP	192	109		
PRC2_SUZ12_UP.V1_UP	185	92		
JNK_DN.V1_DN	190	96		
JNK_DN.V1_UP	186	86		
BRCA1_DN.V1_UP	133	34		
CTIP_DN.V1_UP	135	35		
PKCA_DN.V1_DN	154	81		
MTOR_UP.N4.V1_DN	184	124		
PTEN_DN.V2_UP	139	61		
DCA_UP.V1_UP	186	67		
ESC_J1_UP_EARLY.V1_UP	178	107		
ESC_J1_UP_LATE.V1_UP	185	103		
ESC_V6.5_UP_EARLY.V1_UP	166	97		
ESC_V6.5_UP_LATE.V1_UP	184	114		
PTEN_DN.V1_DN	184	77		
NOTCH_DN.V1_DN	183	75		
EIF4E_DN	100	71		
EIF4E_UP	100	72		
CRX_DN.V1_DN	132	76		
CRX_DN.V1_UP	135	60		
CRX_NRL_DN.V1_DN	127	88		
CRX_NRL_DN.V1_UP	140	68		
NRL_DN.V1_DN	132	86		
NRL_DN.V1_UP	137	69		
RB_DN.V1_DN	123	85		
RB_P107_DN.V1_DN	126	102		
RB_P130_DN.V1_DN	136	111		
CAHOY_ASTROCYTIC	100	67		
CAHOY_NEURONAL	100	58		
CAHOY_OLIGODENDROCUTIC	100	74		
IL15_UP.V1_DN	185	71		
IL2_UP.V1_DN	193	86		
IL21_UP.V1_DN	186	67		
PDGF_ERK_DN.V1_DN	149	109		
PDGF_ERK_DN.V1_UP	145	91		
PDGF_UP.V1_DN	136	52		
PDGF_UP.V1_UP	146	112		
TGFB_UP.V1_DN	191	111		
YAP1_DN	47	22		
YAP1_UP	47	39		
SIRNA_EIF4GI_DN	98	68		
SIRNA_EIF4GI_UP	95	84		
SINGH_KRAS_DEPENDENCY_SIGNATURE	20		Rejected!	
STK33_DN	280	163		
STK33_NOMO_DN	282	163		
STK33_SKM_DN	276	144		
KRAS.DF.V1_DN	193	101		
TBK1.DN.48HRS_DN	50	43		
TBK1.DN.48HRS_UP	50	43		
NFE2L2.V2	469	217		
CORDENONSI_YAP_CONSERVED_SIGNATURE	57	39		
JAK2_DN.V1_DN	146	89		
JAK2_DN.V1_UP	183	56		
PGF_UP.V1_DN	190	91		
E2F1_UP.V1_DN	187	141		
EGFR_UP.V1_UP	192	122		
ERBB2_UP.V1_UP	190	134		
CYCLIN_D1_KE_.V1_DN	191	107		
CYCLIN_D1_UP.V1_DN	190	118		
AKT_UP_MTOR_DN.V1_DN	185	116		
AKT_UP.V1_DN	187	125		
MTOR_UP.V1_DN	182	118		
VEGF_A_UP.V1_DN	193	127		
ATF2_S_UP.V1_DN	187	104		
ATF2_UP.V1_DN	185	105		
P53_DN.V1_DN	194	121		
SNF5_DN.V1_DN	157	80		
SNF5_DN.V1_UP	173	122		
LTE2_UP.V1_UP	188	135		
MEK_UP.V1_UP	195	133		
RAF_UP.V1_UP	193	132		
MTOR_UP.N4.V1_UP	196	151		
ESC_J1_UP_EARLY.V1_DN	172	107		
ESC_J1_UP_LATE.V1_DN	168	97		
ESC_V6.5_UP_EARLY.V1_DN	162	90		
ESC_V6.5_UP_LATE.V1_DN	180	105		
RPS14_DN.V1_UP	191	99		
HOXA9_DN.V1_UP	192	136		
STK33_NOMO_UP	290	195		
STK33_SKM_UP	279	177		
STK33_UP	286	197		
KRAS.DF.V1_UP	191	123		
TBK1.DF_DN	286	240		
TBK1.DF_UP	287	214		
LEF1_UP.V1_UP	194	111		
PGF_UP.V1_UP	190	146		
E2F1_UP.V1_UP	188	142		
EGFR_UP.V1_DN	196	135		
ERBB2_UP.V1_DN	197	148		
GCNP_SHH_UP_EARLY.V1_UP	174	124		
GCNP_SHH_UP_LATE.V1_UP	181	120		
HINATA_NFKB_IMMU_INF	15		Rejected!	
CSR_EARLY_UP.V1_UP	153	117		
CSR_LATE_UP.V1_DN	147	104		
CSR_LATE_UP.V1_UP	166	113		
AKT_UP_MTOR_DN.V1_UP	178	113		
AKT_UP.V1_UP	169	102		
MTOR_UP.V1_UP	169	86		
WNT_UP.V1_DN	172	81		
P53_DN.V2_UP	148	47		
RELA_DN.V1_UP	149	71		
P53_DN.V1_UP	194	122		
E2F3_UP.V1_DN	163	65		
MYC_UP.V1_DN	172	89		
MYC_UP.V1_UP	181	115		
SRC_UP.V1_DN	170	85		
SRC_UP.V1_UP	178	73		
LTE2_UP.V1_DN	195	140		
MEK_UP.V1_DN	194	139		
RAF_UP.V1_DN	193	136		
PRC1_BMI_UP.V1_DN	187	72		
PRC2_EED_DN.V1_DN	193	125		
PRC2_EZH2_UP.V1_DN	192	84		
PRC2_SUZ12_UP.V1_DN	192	75		
BRCA1_DN.V1_DN	139	55		
CTIP_DN.V1_DN	134	57		
PKCA_DN.V1_UP	160	70		
PTEN_DN.V2_DN	143	80		
DCA_UP.V1_DN	185	109		
ALK_DN.V1_DN	139	49		
ALK_DN.V1_UP	141	45		
BMI1_DN_MEL18_DN.V1_DN	147	101		
BMI1_DN_MEL18_DN.V1_UP	145	73		
BMI1_DN.V1_DN	140	96		
BMI1_DN.V1_UP	147	78		
MEL18_DN.V1_DN	147	102		
MEL18_DN.V1_UP	141	76		
PTEN_DN.V1_UP	186	85		
NOTCH_DN.V1_UP	186	83		
RB_DN.V1_UP	116	75		
RB_P107_DN.V1_UP	130	70		
RB_P130_DN.V1_UP	130	66		
CAHOY_ASTROGLIAL	100	52		
RPS14_DN.V1_DN	186	102		
IL15_UP.V1_UP	189	96		
IL2_UP.V1_UP	190	91		
IL21_UP.V1_UP	186	79		
TGFB_UP.V1_UP	189	106		
HOXA9_DN.V1_DN	190	121		
KRAS.AMP.LUNG_UP.V1_DN	142	54		
KRAS.AMP.LUNG_UP.V1_UP	140	37		
KRAS.300_UP.V1_DN	140	46		
KRAS.300_UP.V1_UP	142	71		
KRAS.50_UP.V1_DN	47		Rejected!	
KRAS.50_UP.V1_UP	48	27		
KRAS.600_UP.V1_DN	279	80		
KRAS.600_UP.V1_UP	278	128		
KRAS.600.LUNG.BREAST_UP.V1_DN	284	104		
KRAS.600.LUNG.BREAST_UP.V1_UP	280	84		
KRAS.BREAST_UP.V1_DN	143	53		
KRAS.BREAST_UP.V1_UP	140	41		
KRAS.KIDNEY_UP.V1_DN	135	38		
KRAS.KIDNEY_UP.V1_UP	141	116		
KRAS.LUNG_UP.V1_DN	142	44		
KRAS.LUNG_UP.V1_UP	140	50		
KRAS.LUNG.BREAST_UP.V1_DN	141	50		
KRAS.LUNG.BREAST_UP.V1_UP	141	41		
KRAS.PROSTATE_UP.V1_DN	141	50		
KRAS.PROSTATE_UP.V1_UP	137	50		
LEF1_UP.V1_DN	187	111		
BUSSLINGER_ESOPHAGEAL_QUIESCENT_BASAL_CELLS	77	60		
BUSSLINGER_ESOPHAGEAL_PROLIFERATING_BASAL_CELLS	70	54		
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	79	66		
BUSSLINGER_ESOPHAGEAL_LATE_SUPRABASAL_CELLS	140	68		
BUSSLINGER_ESOPHAGEAL_DENDRITIC_CELLS	214	159		
BUSSLINGER_GASTRIC_CHIEF_CELLS	56	39		
BUSSLINGER_GASTRIC_PREZYMOGENIC_CELLS	60	41		
BUSSLINGER_GASTRIC_NECK_CELLS	36	19		
BUSSLINGER_GASTRIC_PPP1R1B_POSITIVE_CELLS	121	102		
BUSSLINGER_GASTRIC_ISTHMUS_CELLS	458	342		
BUSSLINGER_GASTRIC_METALLOTHIONEIN_CELLS	100	67		
BUSSLINGER_GASTRIC_IMMATURE_PIT_CELLS	165	103		
BUSSLINGER_GASTRIC_MATURE_PIT_CELLS	224	133		
BUSSLINGER_GASTRIC_PARIETAL_CELLS	254	207		
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	111	88		
BUSSLINGER_GASTRIC_REG3A_POSITIVE_CELLS	44	26		
BUSSLINGER_GASTRIC_D_CELLS	28	23		
BUSSLINGER_GASTRIC_G_CELLS	98	74		
BUSSLINGER_GASTRIC_X_CELLS	191	156		
BUSSLINGER_GASTRIC_TUFT_CELLS	12		Rejected!	
BUSSLINGER_GASTRIC_OXYNTIC_ENTEROCHROMAFFIN_LIKE_CELLS	85	61		
BUSSLINGER_GASTRIC_ANTRAL_ECS	12		Rejected!	
BUSSLINGER_GASTRIC_IMMUNE_CELLS	1492		Rejected!	
BUSSLINGER_DUODENAL_STEM_CELLS	311	260		
BUSSLINGER_DUODENAL_DIFFERENTIATING_STEM_CELLS	305	271		
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	194	177		
BUSSLINGER_DUODENAL_EARLY_IMMATURE_ENTEROCYTES	113	79		
BUSSLINGER_DUODENAL_LATE_IMMATURE_ENTEROCYTES	177	87		
BUSSLINGER_DUODENAL_MATURE_ENTEROCYTES	259	125		
BUSSLINGER_DUODENAL_PANETH_CELLS	15		Rejected!	
BUSSLINGER_DUODENAL_GOBLET_CELLS	16		Rejected!	
BUSSLINGER_DUODENAL_BCHE_CELLS	43	21		
BUSSLINGER_DUODENAL_TUFT_CELLS	81	44		
BUSSLINGER_DUODENAL_I_CELLS	16		Rejected!	
BUSSLINGER_DUODENAL_K_CELLS	20	16		
BUSSLINGER_DUODENAL_MX_CELLS	13		Rejected!	
BUSSLINGER_DUODENAL_EC_CELLS	31	16		
BUSSLINGER_DUODENAL_IMMUNE_CELLS	911		Rejected!	
FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	499	362		
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL	365	289		
FAN_EMBRYONIC_CTX_BIG_GROUPS_EXCITATORY_NEURON	47	38		
FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	133	129		
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	148	95		
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	371	285		
FAN_EMBRYONIC_CTX_BIG_GROUPS_INHIBITORY	12		Rejected!	
FAN_EMBRYONIC_CTX_EX_1_EXCITATORY_NEURON	7		Rejected!	
FAN_EMBRYONIC_CTX_EX_2_EXCITATORY_NEURON	16	15		
FAN_EMBRYONIC_CTX_EX_4_EXCITATORY_NEURON	166	102		
FAN_EMBRYONIC_CTX_IN_1_INTERNEURON	11		Rejected!	
FAN_EMBRYONIC_CTX_IN_2_INTERNEURON	7		Rejected!	
FAN_EMBRYONIC_CTX_IN_3_INTERNEURON	6		Rejected!	
FAN_EMBRYONIC_CTX_IN_4_INTERNEURON	10		Rejected!	
FAN_EMBRYONIC_CTX_IN_5_INTERNEURON	6		Rejected!	
FAN_EMBRYONIC_CTX_IN_6_INTERNEURON	6		Rejected!	
FAN_EMBRYONIC_CTX_ASTROCYTE_1	79	63		
FAN_EMBRYONIC_CTX_ASTROCYTE_2	154	146		
FAN_EMBRYONIC_CTX_NSC_1	18	16		
FAN_EMBRYONIC_CTX_NSC_2	233	113		
FAN_EMBRYONIC_CTX_OLIG	754		Rejected!	
FAN_EMBRYONIC_CTX_OPC	55	46		
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_1	440	330		
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2	303	234		
FAN_EMBRYONIC_CTX_MICROGLIA_1	155	53		
FAN_EMBRYONIC_CTX_MICROGLIA_2	9		Rejected!	
FAN_EMBRYONIC_CTX_MICROGLIA_3	20	16		
FAN_EMBRYONIC_CTX_BRAIN_MYELOID	139	84		
FAN_EMBRYONIC_CTX_BRAIN_B_CELL	101	45		
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL	132	55		
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	158	83		
MANNO_MIDBRAIN_NEUROTYPES_BASAL	79	77		
MANNO_MIDBRAIN_NEUROTYPES_HENDO	888		Rejected!	
MANNO_MIDBRAIN_NEUROTYPES_HPERIC	794		Rejected!	
MANNO_MIDBRAIN_NEUROTYPES_HMGL	577	373		
MANNO_MIDBRAIN_NEUROTYPES_HOPC	366	276		
MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	325	236		
MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	439	321		
MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	600	462		
MANNO_MIDBRAIN_NEUROTYPES_HRGL3	574	434		
MANNO_MIDBRAIN_NEUROTYPES_HRGL1	364	246		
MANNO_MIDBRAIN_NEUROTYPES_HPROGM	307	157		
MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	300	130		
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	322	142		
MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	354	169		
MANNO_MIDBRAIN_NEUROTYPES_HNPROG	229	107		
MANNO_MIDBRAIN_NEUROTYPES_HNBM	295	195		
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	328	221		
MANNO_MIDBRAIN_NEUROTYPES_HRN	335	244		
MANNO_MIDBRAIN_NEUROTYPES_HNBML5	465	333		
MANNO_MIDBRAIN_NEUROTYPES_HDA	506	362		
MANNO_MIDBRAIN_NEUROTYPES_HDA1	584	442		
MANNO_MIDBRAIN_NEUROTYPES_HDA2	513	378		
MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	703		Rejected!	
MANNO_MIDBRAIN_NEUROTYPES_HGABA	1106		Rejected!	
MANNO_MIDBRAIN_NEUROTYPES_HSERT	450	350		
MANNO_MIDBRAIN_NEUROTYPES_HOMTN	389	285		
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	326	294		
ZHONG_PFC_MAJOR_TYPES_EXCITATORY_NEURON	8		Rejected!	
ZHONG_PFC_MAJOR_TYPES_INTERNEURON	18		Rejected!	
ZHONG_PFC_MAJOR_TYPES_MICROGLIA	438	334		
ZHONG_PFC_MAJOR_TYPES_NPCS	142	69		
ZHONG_PFC_MAJOR_TYPES_OPC	91	80		
ZHONG_PFC_C7_ORG_UNDERGOING_NEURONAL_DIFFERENTIATION	67	53		
ZHONG_PFC_C8_ORG_PROLIFERATING	62	29		
ZHONG_PFC_C9_ORG_OTHER	83	77		
ZHONG_PFC_C3_UNKNOWN_INP	38		Rejected!	
ZHONG_PFC_C4_UNKNOWN_INP	89	71		
ZHONG_PFC_C5_BCL11B_CALB2_POS_INP	22	17		
ZHONG_PFC_HES1_POS_C1_NPC	6		Rejected!	
ZHONG_PFC_C2_UNKNOWN_NPC	76	30		
ZHONG_PFC_C1_NEUROD1_POS_EXCITATORY_NEURON	26	19		
ZHONG_PFC_C2_SOX5_BCL11B_POS_EXCITATORY_NEURON	28	18		
ZHONG_PFC_C6_PLXNA4_POS_EXCITATORY_NEURON	7		Rejected!	
ZHONG_PFC_C1_DLX5_POS_INTERNEURON	7		Rejected!	
ZHONG_PFC_C3_PROX1_CCK_POS_INTERNEURON	11		Rejected!	
ZHONG_PFC_C6_DLX5_GAD1_GAD2_POS_INTERNEURON	15		Rejected!	
ZHONG_PFC_C7_SST_LHX6_POS_PUTATIVE_MIGRATING_INTERNEURON	14		Rejected!	
ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON	84	67		
ZHONG_PFC_C1_OPC	238	110		
ZHONG_PFC_C2_THY1_POS_OPC	27	23		
ZHONG_PFC_C3_HOPX_POS_OPC	8		Rejected!	
ZHONG_PFC_C4_PTGDS_POS_OPC	147	138		
ZHONG_PFC_C1_ASTROCYTE	30	28		
ZHONG_PFC_C2_ASCL1_POS_ASTROCYTE	6		Rejected!	
