H369 clusters	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
1	NTNG1	9.17E-75	1.01966525	0.893	0.482	5.45E-70
1	SLC2A13	3.12E-74	0.78132119	0.979	0.85	1.86E-69
1	CNTN5	3.19E-74	1.50970199	0.963	0.695	1.90E-69
1	LHFPL3	5.17E-71	0.92705171	0.976	0.747	3.07E-66
1	BRINP3	5.26E-71	0.87718215	1	0.834	3.13E-66
1	NCAM2	7.04E-69	0.81175045	0.997	0.919	4.19E-64
1	RUNX1T1	7.55E-69	0.92253558	0.923	0.654	4.49E-64
1	C8orf34	5.39E-64	1.00877625	0.853	0.519	3.21E-59
1	SRGAP1	5.67E-64	0.84544032	0.888	0.644	3.37E-59
1	MARCHF3	1.45E-63	0.83818641	0.76	0.431	8.61E-59
1	GRM3	2.37E-63	1.09123231	0.739	0.436	1.41E-58
1	TMEFF2	2.30E-61	0.80195207	0.976	0.855	1.37E-56
1	PCDH10	1.52E-58	0.82968223	0.824	0.549	9.05E-54
1	IL1RAPL2	5.54E-58	1.22957639	0.488	0.184	3.29E-53
1	TRPM3	1.19E-57	0.81610187	0.928	0.584	7.10E-53
1	CDH18	1.45E-51	1.08162538	0.979	0.893	8.62E-47
1	GRIK1	7.03E-51	0.96589358	0.832	0.521	4.18E-46
1	OLFM3	2.38E-50	0.89227413	0.949	0.772	1.41E-45
1	CNTN3	6.62E-49	0.89142809	0.789	0.502	3.94E-44
1	CHSY3	1.94E-41	0.8035981	0.877	0.691	1.16E-36
1	CA10	2.19E-34	0.78815515	0.787	0.565	1.30E-29
1	AC109466.1	1.17E-33	0.88135529	0.555	0.283	6.93E-29
1	AC008415.1	1.05E-31	0.8818354	0.477	0.228	6.23E-27
1	CHRM2	9.25E-31	0.8736847	0.544	0.301	5.50E-26
2	CFAP299	0	2.08245311	1	0.24	0
2	MYO5B	0	1.5314455	0.997	0.206	0
2	LINC00410	0	1.40142712	0.942	0.104	0
2	SEMA3E	1.88E-260	1.44709859	0.994	0.264	1.12E-255
2	TAFA4	8.14E-260	1.46357298	0.994	0.268	4.84E-255
2	VCAN	1.95E-252	1.4386383	0.997	0.268	1.16E-247
2	MAMDC2	1.20E-248	1.47450439	0.997	0.32	7.11E-244
2	LTBP1	9.54E-243	1.54397086	0.997	0.275	5.68E-238
2	LHFPL6	3.93E-231	1.80058392	1	0.333	2.34E-226
2	SLC4A4	4.06E-224	2.03828233	1	0.445	2.42E-219
2	PPARGC1A	4.45E-212	1.59359897	1	0.42	2.65E-207
2	NEAT1	2.41E-197	2.29735019	0.997	0.445	1.44E-192
2	RAPGEF5	8.34E-192	1.75870367	1	0.568	4.96E-187
2	PCSK5	2.02E-187	1.49213949	1	0.41	1.20E-182
2	HS6ST3	4.21E-184	1.68581146	1	0.84	2.50E-179
2	UTRN	6.60E-181	1.69906529	1	0.602	3.92E-176
2	FAT3	2.49E-180	1.74897394	1	0.735	1.48E-175
2	CDH11	2.78E-180	1.42797378	1	0.549	1.65E-175
2	AC120193.1	9.02E-180	1.79486239	0.997	0.487	5.37E-175
2	PLXDC2	3.95E-179	1.77669927	1	0.791	2.35E-174
2	DGKB	2.57E-178	1.65181227	1	0.89	1.53E-173
2	ARPP21	3.02E-178	1.80911408	1	0.675	1.80E-173
2	TAFA1	4.25E-178	1.91541736	1	0.596	2.53E-173
2	ADCY2	3.20E-176	1.65373022	1	0.557	1.91E-171
2	CELF2	1.66E-175	1.66636052	1	0.893	9.90E-171
2	MAN2A1	1.78E-175	1.46691906	1	0.584	1.06E-170
2	TNR	2.31E-175	1.54594354	1	0.712	1.38E-170
2	GALNT13	1.89E-174	1.4745814	1	0.901	1.13E-169
2	PDE4B	6.26E-174	1.51926571	1	0.843	3.72E-169
2	AFF3	5.01E-173	1.44165069	1	0.895	2.98E-168
2	ADARB2	3.07E-171	1.96352052	1	0.568	1.83E-166
2	GABRB2	3.54E-171	1.58568708	1	0.666	2.11E-166
2	MCTP1	4.00E-171	1.61580081	1	0.704	2.38E-166
2	TAFA2	3.39E-170	1.67041252	1	0.713	2.02E-165
2	PLCL1	7.68E-170	1.68455196	1	0.726	4.57E-165
2	RBMS3	3.99E-168	1.62651749	1	0.818	2.38E-163
2	MGAT5	4.78E-164	1.42773269	1	0.751	2.85E-159
2	DIAPH2	5.93E-164	1.50628365	1	0.608	3.53E-159
2	NKAIN2	4.32E-162	1.54086923	1	0.824	2.57E-157
2	GALNTL6	5.52E-161	1.75299357	1	0.834	3.28E-156
2	ADGRL2	3.88E-160	1.45826837	1	0.783	2.31E-155
2	NTM	4.61E-160	1.49247981	1	0.806	2.74E-155
2	ALCAM	5.24E-160	1.5446499	1	0.777	3.12E-155
2	TOX	9.01E-160	1.53788758	1	0.691	5.36E-155
2	PARD3B	1.62E-158	1.38677941	1	0.54	9.63E-154
2	KIAA1217	2.17E-154	1.42361242	1	0.639	1.29E-149
2	UNC13C	3.69E-153	1.53187751	1	0.594	2.19E-148
2	PCDH9	5.93E-152	1.42356631	1	0.972	3.53E-147
2	COL25A1	1.78E-149	1.43112262	1	0.558	1.06E-144
2	AC138305.1	9.91E-145	1.58872884	0.713	0.199	5.89E-140
3	AC109466.1	0	2.80029837	0.972	0.279	0
3	NTS	0	2.76980276	0.714	0.1	0
3	AC008415.1	0	2.63627674	0.965	0.224	0
3	NFIA	0	2.59029419	0.998	0.35	0
3	NFIB	0	2.37542374	0.997	0.216	0
3	PTPRK	0	2.23888158	0.995	0.416	0
3	NTNG1	0	2.09368119	0.997	0.48	0
3	AC093765.2	0	1.87616453	0.891	0.079	0
3	AC093765.3	0	1.60534317	0.898	0.154	0
3	ANGPT1	0	1.4699199	0.809	0.175	0
3	SPON1	0	1.46240485	0.929	0.319	0
3	NDST4	0	1.31107034	0.889	0.252	0
3	ZEB2	0	1.20949072	0.882	0.115	0
3	PTH2R	0	1.17036372	0.668	0.126	0
3	OTX2-AS1	0	1.16294493	0.729	0.061	0
3	AC092640.1	0	1.15369482	0.628	0.05	0
3	AL589740.1	1.36E-296	1.83779243	0.998	0.518	8.10E-292
3	VAV3	1.67E-293	1.18405432	0.854	0.251	9.93E-289
3	UNC13C	6.76E-288	1.90610722	0.997	0.593	4.02E-283
3	MIR99AHG	6.74E-271	1.44927035	0.998	0.9	4.01E-266
3	NWD2	2.00E-263	1.12953698	0.832	0.249	1.19E-258
3	CACNA2D1	2.66E-263	1.5367412	1	0.838	1.58E-258
3	TRPC5	6.10E-262	1.36223994	0.925	0.359	3.63E-257
3	CSGALNACT1	1.99E-261	1.08383774	0.83	0.249	1.19E-256
3	AF228730.5	9.09E-248	1.09136947	0.825	0.298	5.41E-243
3	PTPRD	2.13E-238	1.298178	1	0.969	1.27E-233
3	CNTN4	3.04E-229	1.58986997	0.995	0.713	1.81E-224
3	KCNIP1	3.80E-228	1.61476933	0.932	0.467	2.26E-223
3	GTDC1	1.33E-227	1.24854427	0.958	0.675	7.91E-223
3	PTPRT	1.08E-225	1.4442099	0.986	0.514	6.40E-221
3	PDGFD	3.18E-219	1.05698341	0.767	0.231	1.89E-214
3	BACH1	2.67E-209	1.6177103	0.885	0.477	1.59E-204
3	GRIK1	4.29E-205	1.57001239	0.972	0.519	2.55E-200
3	AC110296.1	4.49E-199	1.21013498	0.873	0.414	2.67E-194
3	GRM7	6.74E-198	1.22294334	1	0.934	4.01E-193
3	PCDH11X	3.64E-197	1.38486081	0.997	0.659	2.17E-192
3	ERBB4	6.24E-190	1.28960498	0.998	0.619	3.71E-185
3	SEMA5A	4.20E-188	1.67729767	0.878	0.464	2.50E-183
3	GHR	3.96E-183	1.0754823	0.899	0.424	2.35E-178
3	AC077690.1	2.51E-178	1.18344044	0.932	0.548	1.49E-173
3	SLC44A5	1.80E-173	1.20415778	0.96	0.557	1.07E-168
3	CHN2	2.16E-173	1.11028351	0.932	0.539	1.28E-168
3	RBFOX1	1.04E-165	1.1589813	1	0.855	6.21E-161
3	C8orf34	7.42E-154	1.09179297	0.936	0.518	4.42E-149
3	CHSY3	4.91E-145	1.0931096	0.958	0.69	2.92E-140
3	PRR16	1.15E-136	1.05532211	0.962	0.673	6.83E-132
3	CHRM3	3.73E-131	1.30925869	0.903	0.525	2.22E-126
3	PDZRN4	1.14E-128	1.1698903	0.635	0.236	6.79E-124
3	GRM8	1.98E-118	1.34362214	0.816	0.443	1.18E-113
3	CNTN5	4.41E-50	1.09634661	0.877	0.695	2.62E-45
4	ARHGAP42	0	1.20711227	0.628	0.063	0
4	FEZF1	0	1.19433377	0.7	0.058	0
4	ANKRD34B	3.61E-297	1.99699104	0.922	0.2	2.15E-292
4	NPTX2	1.69E-274	1.6547829	0.867	0.17	1.01E-269
4	CCBE1	5.00E-252	1.27738066	0.706	0.105	2.97E-247
4	IGFBP5	2.91E-215	1.38447589	0.693	0.13	1.73E-210
4	PALMD	1.27E-214	1.21967449	0.775	0.165	7.56E-210
4	NRGN	1.47E-213	2.41497614	0.945	0.307	8.76E-209
4	AC110023.1	1.50E-190	2.23152335	0.983	0.419	8.92E-186
4	NR2F2	9.32E-184	1.11101545	0.826	0.19	5.54E-179
4	NR2F2-AS1	2.13E-179	1.34772892	0.904	0.227	1.27E-174
4	HS3ST4	1.25E-160	1.73852897	0.904	0.299	7.44E-156
4	GPR149	5.83E-152	1.63809149	0.898	0.321	3.47E-147
4	AC091078.1	1.74E-139	1.60862233	0.887	0.383	1.03E-134
4	CDH13	2.83E-138	1.71143834	0.99	0.477	1.68E-133
4	LINC01579	5.29E-138	1.23465198	0.679	0.179	3.15E-133
4	FIGN	2.13E-124	1.12043022	0.867	0.282	1.27E-119
4	CNTN5	3.18E-124	1.91336904	0.997	0.696	1.89E-119
4	NECTIN3	5.07E-118	1.43407033	0.833	0.348	3.02E-113
4	MACROD2	4.55E-116	1.36842146	1	0.97	2.71E-111
4	SLIT3	1.15E-102	1.20504059	0.942	0.446	6.85E-98
4	RBFOX1	1.32E-102	1.36765554	1	0.855	7.83E-98
4	RASGRF2	4.60E-102	1.38956945	0.908	0.539	2.74E-97
4	AC005999.2	1.21E-100	1.02448997	0.737	0.271	7.20E-96
4	FAM126A	7.02E-96	1.01020647	0.717	0.28	4.18E-91
4	MT-ND4	4.89E-89	1.39290276	1	0.92	2.91E-84
4	AC007368.1	2.27E-87	1.20856748	0.904	0.426	1.35E-82
4	MT-ND3	9.01E-86	1.31374563	0.997	0.901	5.36E-81
4	TENM2	3.47E-83	1.09139873	1	0.916	2.06E-78
4	SEMA5A	3.30E-80	1.04978312	0.894	0.466	1.96E-75
4	ITPR1	1.93E-75	1.06348749	0.84	0.557	1.15E-70
4	HS6ST2	9.42E-75	1.10590332	0.833	0.449	5.60E-70
4	MAP3K5	3.08E-74	1.1029887	0.877	0.561	1.83E-69
4	CTXN1	5.27E-74	1.07612195	0.884	0.51	3.14E-69
4	MT-ATP6	3.08E-73	1.12840393	0.993	0.895	1.83E-68
4	CNGB1	9.97E-73	0.95814822	0.792	0.43	5.93E-68
4	CNTN4	4.76E-71	1.22930805	0.973	0.714	2.83E-66
4	MT-CYB	3.52E-70	1.18458348	0.997	0.931	2.09E-65
4	CHRM5	8.44E-69	1.19812491	0.795	0.449	5.02E-64
4	TUBA1B	1.98E-65	1.06632857	0.973	0.865	1.18E-60
4	NNAT	7.87E-64	1.07527445	0.922	0.566	4.68E-59
4	SLC9A9	6.21E-62	1.091755	0.812	0.521	3.70E-57
4	NR6A1	2.04E-59	1.03768059	0.816	0.64	1.22E-54
4	MT-CO2	3.15E-59	1.01097334	1	0.969	1.87E-54
4	SNCG	1.38E-53	1.00895239	0.928	0.663	8.19E-49
4	MT-CO3	2.53E-52	1.01350269	1	0.946	1.50E-47
4	CLU	6.52E-52	1.24177571	0.945	0.772	3.88E-47
4	SDK1	1.34E-48	0.97271696	0.846	0.545	7.99E-44
4	TUBB2A	1.57E-36	1.0752455	0.894	0.803	9.35E-32
4	B2M	4.44E-24	1.6177472	0.546	0.352	2.64E-19
5	HCRT	0	6.56989445	0.522	0.08	0
5	RERGL	0	2.72166292	0.736	0.102	0
5	LINC01470	0	2.28974753	0.641	0.123	0
5	NPVF	0	1.90107168	0.177	0	0
5	PIK3C2G	0	1.60097185	0.504	0.076	0
5	CRYM	0	1.48888234	0.554	0.125	0
5	LHX9	0	1.42564803	0.574	0.006	0
5	SLC17A8	0	0.97373541	0.362	0.046	0
5	PDYN	0	0.96004615	0.379	0.033	0
5	GPM6A	3.38E-256	1.23835175	0.994	0.977	2.01E-251
5	CDH9	7.28E-239	1.57125174	0.83	0.385	4.33E-234
5	FOXP2	2.02E-226	1.51428544	0.724	0.24	1.20E-221
5	NEK7	3.90E-199	1.46966278	0.704	0.345	2.32E-194
5	RFX4	9.21E-186	1.79536811	0.655	0.301	5.48E-181
5	CD47	1.11E-179	1.41614775	0.914	0.823	6.58E-175
5	CNTN5	4.18E-166	1.51050006	0.932	0.695	2.48E-161
5	PCSK1N	1.93E-164	1.63248773	0.969	0.904	1.15E-159
5	DLGAP1	5.98E-155	1.46660927	0.967	0.896	3.56E-150
5	PPP3CA	3.21E-153	1.04253262	0.979	0.968	1.91E-148
5	SYT6	2.16E-138	0.99329853	0.495	0.183	1.28E-133
5	RORB	6.88E-135	1.26311832	0.632	0.263	4.09E-130
5	PTPRZ1	3.40E-131	1.09521939	0.672	0.334	2.02E-126
5	NNAT	8.84E-131	1.34742338	0.847	0.565	5.26E-126
5	PTPRT	3.10E-127	1.14700964	0.84	0.514	1.84E-122
5	CALY	6.08E-118	0.98077787	0.986	0.956	3.62E-113
5	TMEM59L	7.18E-117	1.12771236	0.941	0.9	4.27E-112
5	LY6H	5.66E-114	1.06504348	0.917	0.839	3.37E-109
5	KCNC2	5.34E-106	1.08281542	0.85	0.658	3.17E-101
5	CLU	9.29E-106	1.06649014	0.89	0.772	5.52E-101
5	HSP90AB1	4.46E-102	1.2774086	0.935	0.902	2.65E-97
5	SOX4	6.51E-102	1.28745927	0.615	0.339	3.87E-97
5	TUBA1A	4.95E-96	1.18315399	0.89	0.82	2.94E-91
5	ITM2B	8.09E-96	1.01436474	0.925	0.894	4.81E-91
5	RIMS1	9.30E-95	1.03338502	0.919	0.948	5.53E-90
5	PELI2	1.22E-90	1.11519989	0.547	0.294	7.23E-86
5	RAB3B	5.04E-89	0.98070752	0.665	0.473	3.00E-84
5	RNPC3	1.50E-88	1.02008643	0.825	0.801	8.95E-84
5	PARM1	3.96E-85	0.9716843	0.593	0.357	2.35E-80
5	RNASEK	1.88E-81	1.08834208	0.819	0.708	1.12E-76
5	GSTP1	2.33E-81	1.07825708	0.662	0.442	1.38E-76
5	FTH1	2.11E-79	0.96005753	0.909	0.82	1.25E-74
5	NDN	3.90E-79	1.11796947	0.76	0.581	2.32E-74
5	TUBB2A	5.99E-76	1.02880197	0.881	0.803	3.57E-71
5	PRKD1	5.52E-74	0.95665578	0.713	0.532	3.28E-69
5	SCG2	1.70E-66	1.00783458	0.857	0.837	1.01E-61
5	HNRNPH1	1.04E-64	0.95950477	0.815	0.793	6.18E-60
5	HSPA8	3.53E-64	1.05683165	0.744	0.623	2.10E-59
5	SERPINE2	1.74E-58	0.95628927	0.464	0.267	1.04E-53
5	PCDH9-AS1	1.53E-56	0.98401495	0.587	0.408	9.10E-52
5	PEG10	1.61E-17	1.08026993	0.751	0.749	9.58E-13
6	AVP	0	6.15984756	0.976	0.28	0
6	CRH	0	5.2503407	0.923	0.024	0
6	CARTPT	0	5.0534149	0.968	0.127	0
6	PENK	0	3.60002668	0.949	0.12	0
6	RAMP1	0	2.98863555	0.92	0.172	0
6	FOS	0	2.7536106	0.693	0.073	0
6	RASD1	0	2.39565253	0.883	0.18	0
6	AGTR1	0	1.77995495	0.723	0.027	0
6	DAPL1	0	1.5915293	0.773	0.139	0
6	PRDM8	0	1.4970345	0.749	0.069	0
6	PGF	0	1.37468708	0.709	0.022	0
6	B2M	2.63E-257	2.45163075	0.955	0.35	1.56E-252
6	CST3	8.45E-248	2.31026021	0.976	0.364	5.02E-243
6	JUNB	3.50E-246	1.6425946	0.64	0.122	2.08E-241
6	AL589740.1	2.32E-227	2.28490993	0.997	0.519	1.38E-222
6	CITED1	5.55E-211	1.24165299	0.728	0.178	3.30E-206
6	TENT5A	9.43E-210	1.44864205	0.755	0.192	5.61E-205
6	SSR4	1.03E-204	1.68021449	0.877	0.322	6.15E-200
6	TRPC5	2.38E-197	1.85489827	0.907	0.36	1.42E-192
6	NR3C1	2.80E-197	1.99666664	0.963	0.64	1.66E-192
6	GNAS	1.80E-181	1.68811561	1	0.972	1.07E-176
6	FIGN	1.49E-171	1.3673063	0.853	0.282	8.85E-167
6	NELL2	3.34E-166	1.50975773	0.989	0.766	1.99E-161
6	NPFFR1	5.60E-163	1.28220627	0.632	0.18	3.33E-158
6	CDH12	1.60E-159	1.70832011	0.981	0.493	9.54E-155
6	CADPS2	9.36E-158	1.55387941	0.96	0.494	5.57E-153
6	DMD	1.67E-145	1.45867193	0.995	0.779	9.95E-141
6	PPA1	2.44E-141	1.54193841	0.915	0.669	1.45E-136
6	RNASEK	2.97E-138	1.5235845	0.981	0.708	1.77E-133
6	CALY	7.93E-138	1.50058123	1	0.956	4.72E-133
6	LY6H	5.41E-126	1.41139729	0.987	0.839	3.22E-121
6	GPC6	4.12E-119	1.27354755	1	0.76	2.45E-114
6	OPRM1	2.80E-118	1.26935952	0.848	0.454	1.66E-113
6	SCG2	4.16E-118	1.4507082	0.96	0.837	2.48E-113
6	ADRA1A	4.90E-117	1.17557448	0.669	0.24	2.91E-112
6	TANK	4.71E-113	1.34012936	0.845	0.635	2.80E-108
6	RPS4X	2.85E-110	1.30057444	0.848	0.523	1.69E-105
6	VGF	4.33E-110	2.10391988	0.72	0.341	2.58E-105
6	B4GAT1	5.62E-101	1.21223631	0.925	0.636	3.34E-96
6	PCSK1N	4.12E-100	1.35003375	0.997	0.904	2.45E-95
6	NNAT	9.33E-100	1.93576487	0.936	0.566	5.55E-95
6	KCNIP1	6.60E-99	1.23668755	0.819	0.468	3.93E-94
6	CHGB	4.52E-97	1.21443674	0.88	0.608	2.69E-92
6	AFF2	4.93E-95	1.23028096	0.829	0.487	2.93E-90
6	PDE10A	7.78E-95	1.19614899	0.933	0.664	4.63E-90
6	ESR2	1.18E-94	1.1901474	0.635	0.279	7.04E-90
6	SLC2A3	1.65E-92	1.41976253	0.731	0.377	9.81E-88
6	NIPAL2	3.93E-74	1.2886366	0.725	0.5	2.34E-69
6	ZNF331	4.15E-52	1.20943634	0.731	0.541	2.47E-47
6	JUND	1.59E-50	1.204175	0.901	0.765	9.44E-46
7	EYA1	0	1.68162475	0.809	0.092	0
7	EBF3	0	1.27667198	0.846	0.118	0
7	IL1RAPL2	1.41E-296	2.69936047	0.928	0.183	8.40E-292
7	STXBP6	1.53E-192	1.78272188	0.99	0.365	9.12E-188
7	PCP4	8.38E-180	1.77743092	0.973	0.369	4.99E-175
7	NWD2	3.12E-161	1.47180472	0.86	0.251	1.85E-156
7	LHX1	2.70E-150	1.05301906	0.836	0.24	1.61E-145
7	CACNA2D1	3.36E-149	1.79519332	1	0.838	2.00E-144
7	MYO1B	4.62E-148	0.95903445	0.73	0.193	2.75E-143
7	CHRM3-AS2	3.85E-142	1.46544806	0.703	0.189	2.29E-137
7	RMST	5.54E-133	1.53416166	1	0.805	3.29E-128
7	KCNH5	8.46E-131	1.49810236	0.962	0.523	5.03E-126
7	MGAT4C	2.78E-124	1.77336957	0.993	0.706	1.65E-119
7	RUNX1T1	1.71E-123	1.43858769	0.99	0.654	1.02E-118
7	CRHBP	2.36E-122	1.36280625	0.614	0.163	1.41E-117
7	SEMA3C	6.56E-118	1.07647305	0.744	0.217	3.90E-113
7	LINC01322	3.49E-104	1.22706579	0.962	0.542	2.08E-99
7	AL354771.1	8.66E-102	1.15614682	0.86	0.394	5.15E-97
7	KLHL1	2.07E-101	1.51131796	0.966	0.581	1.23E-96
7	AC091885.2	8.22E-101	0.94575885	0.788	0.299	4.89E-96
7	ZNF536	7.38E-100	0.9746115	0.949	0.416	4.39E-95
7	PRR16	2.38E-96	1.47719288	0.966	0.674	1.42E-91
7	AC109466.1	9.09E-96	1.61883208	0.778	0.282	5.41E-91
7	CAVIN2-AS1	1.11E-93	1.02304436	0.771	0.316	6.63E-89
7	AC008415.1	3.00E-93	1.52022001	0.703	0.227	1.78E-88
7	ERBB4	3.14E-93	1.43002721	0.993	0.62	1.87E-88
7	LRRC3B	4.33E-92	1.00230872	0.894	0.479	2.58E-87
7	GRID1	6.01E-92	1.1779183	0.973	0.818	3.57E-87
7	GLRA3	1.46E-91	1.19587442	0.911	0.573	8.71E-87
7	AC117461.1	3.50E-91	0.9479414	0.727	0.28	2.08E-86
7	CHN2	4.48E-91	1.07515548	0.945	0.541	2.66E-86
7	C12orf40	2.20E-86	1.04708991	0.765	0.351	1.31E-81
7	TMEM163	2.37E-84	0.95405537	0.956	0.524	1.41E-79
7	AC008591.1	1.54E-83	1.22030428	0.795	0.365	9.17E-79
7	NTNG1	3.18E-82	1.14763939	0.942	0.482	1.89E-77
7	ZBTB20	1.34E-81	1.01389058	0.997	0.935	7.98E-77
7	CALB2	2.11E-78	0.98381707	0.962	0.62	1.25E-73
7	MIR99AHG	4.96E-78	0.94072702	0.986	0.9	2.95E-73
7	CHSY3	4.19E-77	1.30301569	0.976	0.691	2.49E-72
7	TMEFF2	4.82E-74	0.99667955	0.983	0.855	2.87E-69
7	CHRM3	1.32E-72	1.63407534	0.85	0.526	7.87E-68
7	ADAMTS19	1.97E-72	0.97502322	0.809	0.398	1.17E-67
7	CDH10	2.05E-70	0.98322723	0.945	0.654	1.22E-65
7	CNTN3	6.03E-70	1.01166027	0.881	0.502	3.59E-65
7	LINC02223	6.29E-70	1.01085057	0.867	0.508	3.74E-65
7	OPCML	9.61E-68	0.94701274	0.993	0.903	5.72E-63
7	TENM3-AS1	1.02E-61	1.14290422	0.758	0.404	6.05E-57
7	PRKG1	1.53E-61	0.98090332	0.986	0.809	9.11E-57
7	BACH1	4.86E-59	1.07053393	0.805	0.479	2.89E-54
7	SLC44A5	2.23E-53	1.06512648	0.887	0.558	1.32E-48
8	EYA1	0	1.7968844	0.821	0.092	0
8	SIM1	1.13E-296	1.7773246	0.95	0.183	6.74E-292
