Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to11,Feature log2 fold change topic 4to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000116237,ICMT,37,-0.1385,31,-0.4080,20,-1.0983,44,0.34981,47,0.23454,39,-0.0852
ENSG00000097021,ACOT7,77,-2.4000,143,-1.4808,481,0.36935,485,1.18013,228,-0.7874,140,-1.5107
ENSG00000171680,PLEKHG5,9,-0.9944,13,-0.4364,3,-2.5493,22,0.82077,11,-0.7432,24,0.44280
ENSG00000162408,NOL9,15,-1.0475,26,-0.2567,19,-0.6995,36,0.77099,20,-0.6628,26,-0.2542
ENSG00000204859,ZBTB48,3,-2.5688,44,1.48006,0,-5.9428,19,0.30104,10,-0.9255,21,0.25949
ENSG00000162413,KLHL21,7,-3.0496,106,0.96299,6,-3.1998,40,-1.1306,76,0.41234,243,2.49256
ENSG00000116273,PHF13,11,-1.4936,69,1.29989,2,-3.9430,30,-0.1047,33,0.11720,46,0.63612
ENSG00000041988,THAP3,7,-1.7392,31,0.43540,8,-1.5812,25,0.24102,18,-0.4256,41,0.90230
ENSG00000007923,DNAJC11,25,-0.4020,31,-0.1086,27,-0.2898,38,0.55846,19,-0.8032,24,-0.4502
ENSG00000171735,CAMTA1,69,-1.3438,115,-0.5758,91,-0.9234,205,0.94445,108,-0.6726,149,-0.1771
ENSG00000049245,VAMP3,76,0.33335,121,1.08476,21,-1.6396,45,-0.9880,141,1.34443,87,0.53283
ENSG00000049246,PER3,36,-0.3932,26,-0.8848,13,-1.9065,47,0.06470,74,0.75661,76,0.79141
ENSG00000116288,PARK7,290,-0.5273,409,-0.0004,360,-0.1952,433,0.22381,412,0.01431,380,-0.1123
ENSG00000116285,ERRFI1,48,0.39275,184,2.84529,0,-7.3403,25,-1.1752,6,-2.6350,48,0.38876
ENSG00000162426,SLC45A1,23,-0.8192,38,-0.0682,18,-1.1652,49,1.00838,20,-1.0017,22,-0.9075
ENSG00000142599,RERE,24,-2.3247,122,0.11123,60,-0.9764,134,0.70932,98,-0.2338,105,-0.1292
ENSG00000074800,ENO1,515,-0.4480,875,0.38069,678,-0.0230,639,-0.2591,613,-0.1798,1146,0.81868
ENSG00000171612,SLC25A33,88,0.30147,61,-0.2822,19,-1.9994,55,-0.8675,120,0.79472,218,1.83197
ENSG00000188807,TMEM201,15,-0.5278,20,-0.1084,22,0.05089,22,0.02530,24,0.17125,25,0.22632
ENSG00000171603,CLSTN1,165,-1.4601,310,-0.5157,440,0.02362,478,0.40260,340,-0.3729,552,0.38265
ENSG00000178585,CTNNBIP1,26,-1.0167,70,0.51067,28,-0.9009,52,0.08823,57,0.17546,63,0.34685
ENSG00000162441,LZIC,52,0.87071,28,-0.1161,18,-0.7913,23,-0.7622,62,1.18260,41,0.50802
ENSG00000130939,UBE4B,19,-1.2822,42,-0.0978,37,-0.2983,51,0.53445,44,-0.0523,34,-0.4308
ENSG00000054523,KIF1B,117,-0.8693,130,-0.7072,170,-0.2995,217,0.18869,278,0.47202,255,0.33214
ENSG00000142657,PGD,65,-0.5181,76,-0.2805,35,-1.4601,102,0.45716,110,0.28855,85,-0.1059
ENSG00000160049,DFFA,35,0.20950,29,-0.0917,33,0.11504,32,0.15764,24,-0.3581,22,-0.5218
ENSG00000142655,PEX14,18,-0.7107,17,-0.7851,20,-0.5863,35,0.87830,10,-1.6208,30,0.06515
ENSG00000120948,TARDBP,20,-1.8716,131,1.02758,29,-1.3224,70,0.04723,66,-0.0771,93,0.47737
ENSG00000116649,SRM,59,-1.2157,109,-0.2777,140,0.10363,150,0.58716,76,-0.8331,116,-0.1922
ENSG00000171824,EXOSC10,20,-0.9071,51,0.51515,15,-1.3175,39,0.21993,40,0.12945,40,0.14485
ENSG00000198793,MTOR,2,-4.1110,43,0.04266,38,-0.1233,49,0.70802,25,-0.7555,40,-0.0443
ENSG00000204624,DISP3,9,-0.7527,6,-1.3284,0,-6.0683,18,0.84401,15,0.01525,20,0.41662
ENSG00000116661,FBXO2,739,1.65213,84,-1.7790,221,-0.3318,251,-0.3069,282,0.05026,225,-0.3035
ENSG00000132879,FBXO44,58,-1.2457,66,-1.0573,106,-0.3421,168,1.14875,82,-0.7383,66,-1.0694
ENSG00000116663,FBXO6,1,-3.5658,14,-0.3988,6,-1.6735,23,0.92950,13,-0.5337,24,0.42698
ENSG00000116670,MAD2L2,60,1.06189,44,0.54042,41,0.41740,27,-0.4296,21,-0.6154,20,-0.6925
ENSG00000177674,AGTRAP,70,1.57856,70,1.57064,10,-1.4906,14,-1.7523,33,0.30785,56,1.17093
ENSG00000177000,MTHFR,8,-1.0007,38,1.38358,0,-6.1539,16,-0.1478,19,0.20821,22,0.44015
ENSG00000011021,CLCN6,24,-2.0452,33,-1.5566,117,0.35558,118,1.15079,46,-1.0696,46,-1.0857
ENSG00000116685,KIAA2013,62,0.22930,50,-0.0920,13,-2.0850,53,-0.0417,64,0.27597,83,0.69771
ENSG00000083444,PLOD1,33,-0.4399,89,1.12186,18,-1.3651,47,0.21581,29,-0.6569,33,-0.4646
ENSG00000116688,MFN2,50,-1.0417,72,-0.4931,74,-0.4538,114,0.59480,89,-0.1615,92,-0.1201
ENSG00000116691,MIIP,17,-0.3898,37,0.77908,1,-4.1535,22,-0.0970,23,0.05853,39,0.85805
ENSG00000028137,TNFRSF1B,77,2.34525,44,1.31526,0,-6.4135,13,-1.2226,17,-0.1974,14,-0.5098
ENSG00000048707,VPS13D,37,-0.2953,47,0.08357,49,0.13695,40,-0.3810,75,0.82091,53,0.27707
ENSG00000162496,DHRS3,132,1.73436,131,1.73272,1,-4.7094,24,-1.7368,52,0.17466,92,1.11101
ENSG00000162493,PDPN,64,1.73996,65,1.75957,19,-0.2190,8,-2.5264,33,0.63398,48,1.22998
ENSG00000116731,PRDM2,38,0.47313,44,0.71268,13,-1.1019,29,0.07326,11,-1.4421,30,0.09429
ENSG00000189337,KAZN,54,-0.0098,11,-2.3018,15,-1.9683,64,0.68934,57,0.05431,61,0.17101
ENSG00000142634,EFHD2,39,-0.4734,68,0.38595,22,-1.3048,66,1.03588,24,-1.1896,7,-2.9168
ENSG00000132906,CASP9,54,2.02875,24,0.61723,0,-6.1368,11,-1.1779,6,-1.3629,39,1.45622
ENSG00000116138,DNAJC16,8,-1.5770,9,-1.4884,3,-2.9901,27,0.45236,45,0.97904,33,0.50983
ENSG00000197312,DDI2,4,-2.0949,28,0.75297,0,-6.2268,17,0.05871,12,-0.5054,40,1.35980
ENSG00000116786,PLEKHM2,32,-0.6531,84,0.85768,30,-0.7255,49,-0.0345,42,-0.2185,60,0.31565
ENSG00000065526,SPEN,27,-0.2167,50,0.76247,42,0.49080,26,-0.5728,33,0.09345,42,0.48636
ENSG00000185519,FAM131C,33,0.31285,5,-2.5114,33,0.33067,23,-0.5037,91,2.03206,4,-2.7114
ENSG00000037637,FBXO42,32,-0.2763,33,-0.1913,76,1.11395,36,-0.1337,29,-0.4118,31,-0.3188
ENSG00000055070,SZRD1,76,1.07455,130,2.04288,9,-2.0635,22,-1.5148,62,0.74865,47,0.31261
ENSG00000157191,NECAP2,46,1.14645,53,1.41051,0,-6.6097,15,-1.2323,29,0.39307,47,1.17422
ENSG00000219481,NBPF1,37,0.59204,13,-1.0566,11,-1.1874,29,0.58394,23,-0.1275,12,-1.0779
ENSG00000058453,CROCC,28,0.53511,27,0.47534,0,-6.4377,17,-0.4341,11,-0.8155,52,1.58583
ENSG00000238142,BX284668.5,21,-0.0195,25,0.29715,17,-0.3222,22,0.17830,5,-1.9382,28,0.46550
ENSG00000159363,ATP13A2,114,-0.9828,69,-1.7215,228,0.07863,268,0.99360,143,-0.6437,119,-0.9167
ENSG00000117118,SDHB,67,-0.4403,57,-0.6774,54,-0.7576,105,0.71596,73,-0.3157,68,-0.4230
ENSG00000117115,PADI2,460,3.43398,25,-1.6265,9,-3.0969,13,-3.6470,298,2.41459,67,-0.1617
ENSG00000179051,RCC2,38,0.60997,46,0.90968,21,-0.3119,24,-0.2799,19,-0.4583,21,-0.3057
ENSG00000074964,ARHGEF10L,33,0.12511,53,0.84977,24,-0.3717,28,-0.2903,14,-1.2148,50,0.76657
ENSG00000117154,IGSF21,23,-0.8883,29,-0.5399,39,-0.0849,47,0.54746,41,0.00833,28,-0.6011
ENSG00000159423,ALDH4A1,42,0.82688,16,-0.6119,14,-0.8567,18,-0.9649,43,0.87625,62,1.51528
ENSG00000169991,IFFO2,8,-1.0334,26,0.67568,25,0.59608,15,-0.4638,15,-0.2372,29,0.82264
ENSG00000127463,EMC1,17,-1.4855,64,0.57156,46,0.04272,49,0.34706,19,-1.2787,45,0.02409
ENSG00000053372,MRTO4,29,-0.3303,41,0.20073,7,-2.3425,42,0.64499,35,-0.0155,20,-0.8680
ENSG00000053371,AKR7A2,74,0.07402,53,-0.4341,89,0.37449,63,-0.3837,79,0.17689,117,0.80167
ENSG00000040487,SLC66A1,13,-0.2400,20,0.41849,9,-0.7623,18,0.66940,7,-1.1425,6,-1.2976
ENSG00000077549,CAPZB,218,0.25132,255,0.50434,108,-0.8215,190,0.09546,141,-0.4190,167,-0.1596
ENSG00000173436,MICOS10,87,-1.6529,184,-0.5242,308,0.27034,307,0.75147,177,-0.5839,155,-0.7842
ENSG00000158747,NBL1,584,1.97245,304,0.82275,35,-2.4469,166,-0.3248,51,-1.8950,64,-1.5738
ENSG00000169914,OTUD3,14,-0.2553,25,0.66292,0,-5.4794,19,0.70214,5,-1.7895,15,-0.1398
ENSG00000162545,CAMK2N1,163,-1.2731,179,-1.1340,245,-0.6590,456,0.85880,513,0.48938,154,-1.3560
ENSG00000090432,MUL1,14,-1.7817,50,0.11138,51,0.12699,50,0.27438,28,-0.7698,64,0.48483
ENSG00000183114,FAM43B,10,-1.9466,14,-1.5464,16,-1.3203,53,1.52576,26,-0.6230,23,-0.7949
ENSG00000158828,PINK1,249,-0.1702,118,-1.3006,407,0.60754,296,0.25835,276,-0.0116,189,-0.5887
ENSG00000244038,DDOST,32,-0.0363,61,0.96155,2,-3.6781,33,-0.0751,34,0.04077,42,0.36316
ENSG00000117245,KIF17,7,-1.4296,6,-1.5202,11,-0.6929,24,1.35254,3,-2.5096,17,-0.0406
ENSG00000189410,SH2D5,0,-7.3567,0,-5.8169,7,-1.6172,32,3.18193,4,-2.3007,5,-2.0767
ENSG00000127483,HP1BP3,80,-0.7756,122,-0.1212,56,-1.3009,145,0.38085,120,-0.1473,179,0.47875
ENSG00000075151,EIF4G3,37,-1.3466,67,-0.4638,144,0.74605,103,0.53298,49,-0.9182,56,-0.7221
ENSG00000117298,ECE1,43,-0.0279,321,3.89020,12,-1.9197,17,-2.3682,19,-1.2422,46,0.05324
ENSG00000076864,RAP1GAP,16,-3.0553,32,-2.0922,62,-1.1196,180,1.82042,69,-0.9659,73,-0.8767
ENSG00000090686,USP48,32,-0.5986,45,-0.0857,27,-0.8535,52,0.34581,64,0.47434,35,-0.4673
ENSG00000218510,LINC00339,13,-0.4781,21,0.19480,2,-3.2952,21,0.53702,13,-0.5418,22,0.33271
ENSG00000070831,CDC42,203,-0.7555,273,-0.3030,251,-0.4329,379,0.54951,270,-0.3226,295,-0.1843
ENSG00000162552,WNT4,45,0.21317,27,-0.5730,0,-7.2131,52,1.51352,9,-2.0756,9,-2.1438
ENSG00000173372,C1QA,250,3.05957,190,2.43463,3,-3.8138,19,-2.2670,6,-2.8902,7,-2.6651
ENSG00000159189,C1QC,129,2.84765,90,2.07881,0,-6.8263,12,-1.9840,13,-1.0659,13,-1.0893
ENSG00000173369,C1QB,354,2.86635,223,1.91072,0,-8.2646,32,-2.0327,71,-0.0119,24,-1.6580
ENSG00000133216,EPHB2,7,-1.3420,17,-0.0680,22,0.28445,20,0.39468,11,-0.7678,18,0.02076
ENSG00000004487,KDM1A,29,-1.0894,70,0.27051,37,-0.6956,69,0.63059,20,-1.6184,64,0.12324
ENSG00000169641,LUZP1,24,-0.0149,28,0.19389,14,-0.8475,28,0.52212,5,-2.3609,26,0.05751
ENSG00000125944,HNRNPR,38,-1.6692,129,0.16751,63,-0.9299,125,0.31941,102,-0.2010,171,0.61384
ENSG00000117318,ID3,639,3.33393,138,0.40022,19,-2.5708,40,-2.4189,195,0.95670,85,-0.3599
ENSG00000142676,RPL11,1227,1.06789,1249,1.09900,346,-0.9273,504,-0.7382,745,0.25244,643,0.02099
ENSG00000011007,ELOA,25,0.26647,23,0.17490,0,-6.4968,23,0.41111,32,0.68875,6,-1.8039
ENSG00000057757,PITHD1,86,-1.7583,101,-1.5227,313,0.19619,333,0.85826,233,-0.2648,187,-0.5993
ENSG00000011009,LYPLA2,13,-1.7719,84,1.12038,67,0.74770,41,-0.0566,29,-0.5466,21,-0.9992
ENSG00000117308,GALE,8,-1.0837,34,1.06179,26,0.61282,17,-0.1852,10,-0.8310,16,-0.1110
ENSG00000117305,HMGCL,29,-0.1725,50,0.68306,52,0.74507,29,-0.4245,39,0.29934,23,-0.5527
ENSG00000179163,FUCA1,15,-1.1562,34,0.03925,24,-0.4963,40,0.84956,11,-1.5927,26,-0.3862
ENSG00000189266,PNRC2,42,-0.2032,105,1.26538,49,0.04431,38,-0.7220,57,0.26055,65,0.46774
ENSG00000188529,SRSF10,10,-2.7409,114,0.93950,35,-0.9182,63,-0.0097,62,-0.0452,99,0.69886
ENSG00000001461,NIPAL3,53,-0.1694,21,-1.5440,147,1.50345,55,-0.2556,85,0.58762,21,-1.5251
ENSG00000117602,RCAN3,9,-1.6246,7,-1.9624,54,1.12571,32,0.69416,12,-1.1797,15,-0.9244
ENSG00000133226,SRRM1,60,0.00467,49,-0.3021,29,-1.1010,62,0.14547,69,0.22648,73,0.32207
ENSG00000169504,CLIC4,181,2.00349,190,2.09844,9,-2.5780,19,-2.5840,121,1.27472,68,0.32202
ENSG00000117614,SYF2,55,-0.1269,65,0.12663,40,-0.6101,65,0.32202,44,-0.4547,54,-0.1482
ENSG00000117616,RSRP1,35,-0.6446,133,1.46650,30,-0.9020,51,-0.2182,46,-0.2423,53,-0.0459
ENSG00000183726,TMEM50A,47,-0.6290,109,0.69213,23,-1.6777,69,-0.0987,84,0.26764,106,0.63504
ENSG00000204178,MACO1,8,-2.0187,22,-0.5619,60,0.99539,34,0.19707,21,-0.6592,36,0.18728
ENSG00000117643,MAN1C1,75,2.00840,16,-0.5271,11,-1.1147,20,-0.4768,14,-0.7142,22,-0.0595
ENSG00000162430,SELENON,77,0.80639,114,1.48077,0,-6.4172,32,-1.1253,46,-0.0197,111,1.43672
ENSG00000117640,MTFR1L,116,0.41235,131,0.60674,54,-0.7806,88,-0.0405,71,-0.3654,83,-0.1068
ENSG00000182749,PAQR7,26,0.47265,37,1.04864,13,-0.5102,17,-0.3127,19,0.00976,13,-0.5553
ENSG00000117632,STMN1,843,-0.3745,411,-1.4571,1817,0.84432,1139,0.23359,1169,0.13271,605,-0.8785
ENSG00000142684,ZNF593,75,0.46167,90,0.75829,92,0.78850,50,-0.3731,28,-1.0539,41,-0.4779
ENSG00000142669,SH3BGRL3,454,0.80414,302,0.15109,546,1.11437,227,-0.6227,230,-0.2720,219,-0.3520
ENSG00000158062,UBXN11,5,-2.9715,52,0.44586,22,-0.9137,42,0.23389,30,-0.4381,69,0.89622
ENSG00000117682,DHDDS,24,-0.0493,18,-0.5070,52,1.18886,24,-0.0816,14,-0.8663,21,-0.2659
ENSG00000198830,HMGN2,172,-0.5549,424,0.87474,26,-3.3138,245,-0.0173,248,0.01230,369,0.64635
ENSG00000117713,ARID1A,53,-0.2648,39,-0.7084,29,-1.1418,66,0.24659,69,0.15828,90,0.57128
ENSG00000204160,ZDHHC18,52,0.25619,42,-0.0720,27,-0.7569,49,0.44528,11,-2.0568,48,0.13833
ENSG00000142751,GPN2,29,0.10743,33,0.26689,28,0.04315,28,0.08483,25,-0.1536,17,-0.7086
ENSG00000090273,NUDC,105,-0.7101,154,-0.1185,132,-0.3541,186,0.45260,113,-0.5944,174,0.06632
ENSG00000253368,TRNP1,48,-0.0552,22,-1.1944,60,0.30879,61,0.95583,14,-1.8935,12,-2.1200
ENSG00000090020,SLC9A1,1,-4.0655,17,-0.3255,16,-0.4046,27,1.06876,16,-0.4855,13,-0.7615
ENSG00000142784,WDTC1,22,-0.5701,33,0.04823,16,-1.0094,34,0.30259,37,0.25319,30,-0.0658
ENSG00000186501,TMEM222,67,-0.8225,128,0.16654,94,-0.3182,128,0.44746,81,-0.5416,100,-0.2156
ENSG00000158195,WASF2,39,0.18271,62,0.90062,5,-2.8569,18,-1.7437,76,1.26262,127,2.20568
ENSG00000126705,AHDC1,27,-0.8079,33,-0.5181,23,-1.0972,55,0.75461,27,-0.8559,54,0.21828
ENSG00000126709,IFI6,62,-3.1717,1950,2.27392,301,-0.8400,413,-0.7523,117,-2.2442,1050,1.13474
ENSG00000009780,FAM76A,26,-0.1469,15,-0.9947,11,-1.3787,30,0.17210,23,-0.3895,59,1.14708
ENSG00000117758,STX12,111,-0.0106,150,0.45537,74,-0.6327,111,-0.0538,122,0.13155,117,0.05927
ENSG00000117751,PPP1R8,21,-0.6184,29,-0.1589,0,-5.8241,37,0.63826,29,-0.1152,38,0.29326
ENSG00000130775,THEMIS2,36,1.14164,35,1.07498,1,-3.6094,14,-0.6641,31,0.91535,11,-0.6528
ENSG00000117748,RPA2,24,-1.4100,42,-0.5674,29,-1.1279,71,0.64305,40,-0.6654,92,0.64847
ENSG00000126698,DNAJC8,89,-0.4401,114,-0.0557,37,-1.7537,134,0.53169,104,-0.1880,119,0.01109
ENSG00000130770,ATP5IF1,188,-1.9391,400,-0.8114,763,0.18151,850,1.05797,304,-1.2227,384,-0.8750
ENSG00000242125,SNHG3,17,-0.7132,67,1.40905,14,-1.0031,29,0.06807,18,-0.7001,20,-0.5114
ENSG00000180098,TRNAU1AP,39,0.63412,18,-0.5850,1,-4.6943,28,0.26283,21,-0.3261,37,0.56584
ENSG00000197989,SNHG12,5,-2.1272,65,1.83116,3,-2.5692,19,-0.4696,15,-0.5244,42,1.05863
ENSG00000120656,TAF12,0,-6.5457,18,-0.0137,52,1.78860,16,-0.2610,6,-1.6231,23,0.43425
ENSG00000198492,YTHDF2,29,-1.4117,39,-0.9681,81,0.13019,84,0.51000,61,-0.3034,84,0.19268
ENSG00000159023,EPB41,4,-1.9627,17,-0.0680,20,0.24935,21,0.87850,10,-0.7531,5,-1.8961
ENSG00000116350,SRSF4,27,-0.7682,70,0.70751,7,-2.7514,50,0.44069,32,-0.5129,48,0.08992
ENSG00000116353,MECR,17,-1.2311,41,0.14427,31,-0.3060,40,0.22409,44,0.23079,38,0.01632
ENSG00000060656,PTPRU,45,0.24597,28,-0.4852,73,1.04988,38,0.00971,24,-0.6710,20,-0.9992
ENSG00000162511,LAPTM5,247,1.98371,238,1.91107,17,-2.2245,46,-1.4118,70,-0.1429,50,-0.6544
ENSG00000162512,SDC3,243,-0.0240,80,-1.6901,163,-0.6370,262,0.24360,291,0.25924,331,0.46296
ENSG00000134644,PUM1,23,-2.6548,76,-0.8860,96,-0.5361,166,0.93087,90,-0.6372,151,0.16583
ENSG00000060688,SNRNP40,16,-1.2987,44,0.18223,16,-1.3224,44,0.51064,50,0.40339,27,-0.5387
ENSG00000121766,ZCCHC17,84,-0.3048,57,-0.8931,90,-0.1914,113,0.42318,103,0.01944,87,-0.2406
ENSG00000121769,FABP3,22,-1.1584,28,-0.7976,73,0.68756,53,0.45689,39,-0.2883,30,-0.6957
ENSG00000162517,PEF1,39,-1.1723,96,0.18183,95,0.16569,92,0.28713,63,-0.4674,82,-0.0528
ENSG00000084636,COL16A1,19,-1.3765,121,1.54469,51,0.11352,23,-1.8786,58,0.32250,182,2.31461
ENSG00000121753,ADGRB2,26,-1.8453,32,-1.5584,65,-0.5146,115,1.11589,80,-0.1982,60,-0.6383
ENSG00000184007,PTP4A2,152,0.12523,166,0.26175,64,-1.1806,124,-0.4188,302,1.24906,146,0.06650
ENSG00000121774,KHDRBS1,74,-1.0026,217,0.65864,104,-0.4986,152,0.23842,124,-0.2179,126,-0.2013
ENSG00000121775,TMEM39B,22,0.19547,15,-0.3147,4,-2.2391,23,0.78769,18,-0.0593,6,-1.7297
ENSG00000025800,KPNA6,37,-0.0566,38,-0.0094,28,-0.4528,42,0.33409,24,-0.7326,38,-0.0254
ENSG00000084652,TXLNA,29,-1.1596,145,1.35944,67,0.10945,61,-0.1235,34,-0.9415,56,-0.1718
ENSG00000084623,EIF3I,96,-0.2635,160,0.53370,138,0.30376,115,0.02106,90,-0.3631,81,-0.5322
ENSG00000116478,HDAC1,13,-1.0065,82,1.97133,0,-6.7732,25,0.00999,16,-0.6394,15,-0.8119
ENSG00000175130,MARCKSL1,247,-0.3192,95,-1.7465,55,-2.5614,264,-0.4851,1124,2.24979,324,0.10035
ENSG00000225828,FAM229A,6,-1.7822,31,0.58828,13,-0.7365,22,0.02627,14,-0.6283,41,1.04289
ENSG00000160058,BSDC1,28,-1.2293,46,-0.5044,84,0.41851,70,0.32523,45,-0.5482,74,0.22727
ENSG00000176261,ZBTB8OS,31,-0.9965,69,0.20709,68,0.17359,65,0.27429,29,-1.1181,71,0.24667
ENSG00000162521,RBBP4,90,-0.3517,107,-0.0959,69,-0.7511,120,0.23034,101,-0.1745,145,0.38294
ENSG00000162522,KIAA1522,3,-2.3530,41,1.55610,0,-6.0517,18,0.55023,11,-0.5791,6,-1.3252
ENSG00000134684,YARS,49,-1.1983,120,0.16689,106,-0.0262,123,0.54491,73,-0.5986,72,-0.6174
ENSG00000116497,S100PBP,21,-0.7220,21,-0.7501,6,-2.5151,42,0.95709,17,-1.0412,42,0.33219
ENSG00000160097,FNDC5,9,-0.8030,20,0.42964,11,-0.5530,16,0.20641,12,-0.4138,18,0.28615
ENSG00000121905,HPCA,11,-2.0692,2,-4.2916,33,-0.4938,62,1.51975,44,-0.0774,15,-1.6319
