Publication	PMID	Title	Journal	Year	DOI
TWASP000028	30561910	Integrative analysis of transcriptome-wide association study and mRNA expression profiles identifies candidate genes associated with autism spectrum disorders	2019	Autism Research	10.1002/aur.2048
TWASP000029	30334361	Transcriptome-wide association study identifies multiple genes and pathways associated with pancreatic cancer	2018	Cancer Medecine	10.1002/cam4.1836
TWASP000030	30984102	Identification of shared genes between ischemic stroke and Parkinson's disease using genome-wide association studies	2019	Frontiers in Neuroendocrinology	10.3389/fneur.2019.00297
TWASP000031	30864331	Influence of tissue context on gene prioritization for predicted transcriptome-wide association studies	2019	Pacific Symposium on Biocomputing	10.1142/9789813279827_0027
TWASP000032	30692607	Prioritizing Crohn's disease genes by integrating association signals with gene expression implicates monocyte subsets	2019	Genes and Immunity	10.1038/s41435-019-0059-y
TWASP000033	30827500	GRIK5 genetically regulated expression associated with eye and vascular phenomes: discovery through iteration among biobanks, electronic health records, and zebrafish	2019	American Journal of Human Genetics	10.1016/j.ajhg.2019.01.017
TWASP000034	31392102	Integrative analysis of transcriptome-wide association study and gene expression profiling identifies candidate genes associated with stroke	2019	PeerJ	10.7717/peerj.7435
TWASP000035	31101764	Identification of novel susceptibility loci and genes for prostate cancer risk: a transcriptome-wide association study in over 140,000 European descendants	2019	Cancer Research	10.1158/0008-5472.CAN-18-3536
TWASP000036	31065785	Integrative analysis of transcriptome-wide association study data and mRNA expression profiles identified candidate genes and pathways associated with atrial fibrillation	2019	Heart and Vessels	10.1007/s00380-019-01418-w
TWASP000037	31009124	Integrative analysis of transcriptome-wide association study data and messenger RNA expression profiles identified candidate genes and pathways for inflammatory bowel disease	2019	Journal of Cellular Biochemistry	10.1002/jcb.28744
TWASP000038	30993394	Integrating transcriptome-wide association study and mRNA expression profiling identifies novel genes associated with bone mineral density	2019	Osteoporos International	10.1007/s00198-019-04958-z
TWASP000039	29848177	Transcriptome-wide association study identifies susceptibility  loci and genes for age at natural menopause	2019	Reproductive Sciences	10.1177/1933719118776788
TWASP000040	30709929	Transcriptome-wide association study identifies new candidate susceptibility  genes for glioma	2019	Cancer Research	10.1158/0008-5472.CAN-18-2888
TWASP000041	31420334	Genomic and transcriptomic association studies identify 16 novel susceptibility loci for venous thromboembolism	2019	Blood	10.1182/blood.2019000435
TWASP000042	31230729	Novel insight into the etiology of autism spectrum disorder gained by integrating expression data with genome-wide association statistics	2019	Biological Psychiatry	10.1016/j.biopsych.2019.04.034
TWASP000043	31216018	MSH3 modifies somatic instability and disease severity in Huntington's and myotonic dystrophy type 1	2019	Brain	10.1093/brain/awz115
TWASP000044	31055733	Genetic heterogeneity of Alzheimer's disease in subjects with and without hypertension	2019	Geroscience	10.1007/s11357-019-00071-5
TWASP000045	31393916	Genetically regulated gene expression underlies lipid traits in Hispanic cohorts	2019	Plos One	10.1371/journal.pone.0220827
TWASP000046	31429796	Transcriptome-wide association study of multiple myeloma identifies candidate susceptibility genes	2019	Human Genomics	10.1186/s40246-019-0231-5
TWASP000047	30820706	Genetic variant predictors of gene expression provide new insight into risk of colorectal cancer	2021	Human Genomics	10.1007/s00439-019-01989-8
TWASP000048	32141789	Genetic association analyses highlight IL6, ALPL, and NAV1 as 3 new susceptibility  genes underlying calcific aortic valve stenosis	2019	Circulation-Genomic and Precision Medicine	10.1161/CIRCGEN.119.002617
TWASP000049	31451708	Mapping eGFR loci to the renal transcriptome and phenome in the VA Million Veteran Program	2019	Nature Communications	10.1038/s41467-019-11704-w
TWASP000050	32302575	Genetic control of expression and splicing in developing human brain informs disease mechanisms	2020	Cell	10.1016/j.cell.2020.04.003
TWASP000051	31455417	Integrating transcriptome-wide study and mRNA expression profiles yields novel insights into the biological mechanism of chondropathies	2019	Arthritis Research & Therapy	10.1186/s13075-019-1978-8
TWASP000052	29411426	Integrating eQTL data with GWAS summary statistics in pathway-based analysis with application to schizophrenia	2018	Genetic Epidemiology	10.1002/gepi.22110
TWASP000053	29808603	Transcriptome-wide association studies accounting for colocalization using Egger regression	2021	Genetic Epidemiology	10.1002/gepi.22131
TWASP000054	29739930	Exploring the phenotypic consequences of tissue specific gene expression variation inferred from GWAS summary statistics	2018	Nature Communications	10.1038/s41467-018-03621-1
TWASP000055	30988301	Genome-wide association and transcriptome studies identify target genes and risk loci for breast cancer	2019	Nature Communications	10.1038/s41467-018-08053-5
TWASP000056	30668570	Integrating predicted transcriptome from multiple tissues improves association detection	2019	Plos Genetics	10.1371/journal.pgen.1007889
TWASP000057	30596636	Genetic regulation of the placental transcriptome underlies birth weight and risk of childhood obesity	2018	Plos Genetics	10.1371/journal.pgen.1007799
TWASP000058	30096133	Genetic architecture of gene expression traits across diverse populations	2018	Plos Genetics	10.1371/journal.pgen.1007586
TWASP000059	29976976	Comparison of methods for transcriptome imputation through application to two common complex diseases	2018	European Journal of Human Genetics	10.1038/s41431-018-0176-5
TWASP000060	29727690	A mixed-effects model for powerful association tests in integrative functional genomics	2018	American Journal of Human Genetics	10.1016/j.ajhg.2018.03.019
TWASP000061	29566699	Integrative genomics identifies new genes associated with severe COPD and emphysema	2018	Respiratory Research	10.1186/s12931-018-0744-9
TWASP000062	28362817	Cis-eQTL-based trans-ethnic meta-analysis reveals novel genes associated with breast cancer risk	2017	Plos One	10.1371/journal.pgen.1006690
TWASP000063	27625022	Peripheral blood transcriptomic signatures of fasting glucose and insulin concentrations	2016	Diabetes	10.2337/db16-0470
TWASP000064	27019110	Integration of summary data from GWAS and eQTL studies predicts complex trait gene targets	2021	Nature Genetics	10.1038/ng.3538
TWASP000065	26258848	A gene-based association method for mapping traits using reference transcriptome data	2021	Nature Genetics	10.1038/ng.3367
TWASP000066	25882670	Integrative network analysis reveals molecular mechanisms of blood pressure regulation	2015	Molecular Systems Biology	10.15252/msb.20145399
TWASP000067	32179489	Integrating transcriptome-wide association study and copy number variation study identifies candidate genes and pathways for diffuse non-Hodgkin's lymphoma	2020	Cancer Genetics	10.1016/j.cancergen.2020.02.005
TWASP000068	32100139	Evaluating the genetic correlations between left-handedness and mental disorder using linkage disequilibrium score regression and transcriptome-wide association study	2021	Calcified Tissue International	10.1007/s00223-019-00640-y
TWASP000069	32574393	Transcriptome-wide association study for persistent hepatitis B virus infection and related hepatocellular carcinoma	2020	Liver International	10.1111/liv.14577
TWASP000070	31696517	Transcriptome-wide association study reveals candidate causal genes for lung cancer	2021	Biochemical Genetics	10.1002/ijc.32771
TWASP000071	32435465	Integration of transcriptome-wide association study and messenger RNA expression profile to identify genes associated with osteoarthritis	2021	Bone and Joint Research	10.1302/2046-3758.93.BJR-2019-0137.R1
TWASP000072	31685286	An integrative analysis of transcriptome-wide association study and mRNA expression profile identified candidate genes for attention-deficit/ hyperactivity disorder	2021	Psychiatry Research	10.1016/j.psychres.2019.112639
TWASP000073	31691811	A transcriptome-wide association study implicates specific pre- and post-synaptic abnormalities in schizophrenia	2020	Human Molecular Genetics	10.1093/hmg/ddz253
TWASP000074	32005911	A transcriptome-wide association study based on 27 tissues identifies 106 genes potentially relevant for disease pathology in age-related macular degeneration	2020	Scientific Reports	10.1038/s41598-020-58510-9
TWASP000075	32651461	Transcriptome-wide association study for restless legs syndrome identifies new susceptibility genes	2020	Communications Biology	10.1038/s42003-020-1105-z
TWASP000076	33058866	Identifying novel susceptibility  genes for colorectal cancer risk from a transcriptome-wide association study of 125,478 subjects	2020	Gastroenterology	10.1053/j.gastro.2020.08.062
TWASP000077	33020666	A unified framework for joint-tissue transcriptome-wide association and Mendelian randomization analysis	2021	Nature Genetics	10.1038/s41588-020-0706-2
TWASP000078	32978944	A tissue-specific collaborative mixed model for jointly analyzing multiple tissues in transcriptome-wide association studies	2020	Nucleic Acids Research	10.1093/nar/gkaa767
TWASP000079	32961112	Bayesian genome-wide TWAS method to leverage both cis- and trans-eQTL information through summary statistics	2020	American Journal of Human Genetics	10.1016/j.ajhg.2020.08.022
TWASP000080	32907841	A transcriptome-wide association study identifies candidate susceptibility  genes for pancreatic cancer risk	2020	American Association of Cancer Research	10.1158/0008-5472.CAN-20-1353
TWASP000081	32818884	The integration of transcriptome-wide association study and mRNA expression profiling data to identify candidate genes and gene sets associated with dental caries	2021	Archives of Oral Biology	10.1016/j.archoralbio.2020.104863
TWASP000082	32541925	Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ethnic meta-analysis	2020	Nature Genetics	10.1038/s41588-020-0637-y
TWASP000083	32366953	Cis-effects on gene expression in the human prenatal brain associated with genetic risk for neuropsychiatric disorders	2020	Nature Molecular Psychiatry	10.1038/s41380-020-0743-3
TWASP000084	32358547	Genome-wide association study of MRI markers of cerebral small vessel disease in 42,310 participants	2020	Nature Communications	10.1038/s41467-020-15932-3
TWASP000085	31917448	A transcriptome-wide association study (TWAS) identifies novel candidate susceptibility  genes for pancreatic cancer	2021	Cancer Medicine	10.1093/jnci/djz246
TWASP000086	32115800	Transcriptome-wide association study of breast cancer risk by estrogen-receptor status	2020	Genetic Epidemiology	10.1002/gepi.22288
TWASP000087	32103259	Tissue specific regulation of transcription in endometrium and association with disease	2020	Human Reproduction	10.1093/humrep/dez279
TWASP000088	31978332	A multi-tissue transcriptome anlysis of human metabolites guides interpretability of associations based on multi-SNP models for gene expression	2020	American Journal of Human Genetics	10.1016/j.ajhg.2020.01.003
TWASP000089	7015848	Integrating DNA sequencing and transcriptomic data for association analyses of low-frequency variants and lipid traits	2020	Human Molecular Genetics	10.1093/hmg/ddz314
TWASP000090	31341166	Mendelian randomization integrating GWAS and eQTL data reveals genetic determinants of complex and clinical traits	2019	Nature Communications	10.1038/s41467-019-10936-0
TWASP000091	5142122	Colocalization of GWAS and eQTL signals detects target genes	2016	American Journal of Human Genetics	10.1016/j.ajhg.2016.10.003
TWASP000092	30771789	Integration of GWAS and brain eQTL identifies FLOT1 as a risk gene for major depressive disorder	2019	Neropsychopharmacology	10.1038/s41386-019-0345-4
TWASP000093	6346739	Integration of summary data from GWAS and eQTL studies identified novel causal BMD genes with functional predictions	2018	Bone	10.1016/j.bone.2018.05.012
TWASP000094	33604698	Multi-omics highlights ABO plasma protein as causal risk factor for COVID-19	2021	Human Genetics	10.1007/s00439-021-02264-5
TWASP000095	33516273	Convergent lines of evidence support BIN1 as a risk gene of Alzheimer's disease	2021	Human Genomics	10.1186/s40246-021-00307-6
TWASP000096	33173895	Multi-ancestry genetic study in 5,876 patients identifies an association between excitotoxic genes and early outcomes after acute ischemic stroke	2020	MedRxiv	10.1101/2020.10.29.20222257
TWASP000097	32791513	Independent replications and integrative analyses confirm TRANK1 as a susceptibility gene for bipolar disorder	2020	Neuropsychopharmacology	10.1038/s41386-020-00788-4
TWASP000098	32684367	Refining attention-deficit/hyperactivity disorder and autism spectrum disorder genetic loci by integrating summary data from genome-wide association, gene expression, and DNA methylation studies	2020	Biological Psychiatry	10.1016/j.biopsych.2020.05.002
TWASP000099	32580138	Identification of susceptibility variants to benign childhood epilepsy with centro-temporal spikes (BECTS) in Chinese Han population	2021	EBioMedicine	10.1016/j.ebiom.2020.102840
TWASP000100	32425817	Integrated analysis of summary statistics to identify pleiotropic genes and pathways for the comorbidity of schizophrenia and cardiometabolic disease	2020	Frontiers in Psychiatry	10.3389/fpsyt.2020.00256
TWASP000101	32184385	Further confirmation of netrin 1 receptor (DCC) as a depression risk gene via integrations of multi-omics data	2020	Translational Psychiatry	10.1038/s41398-020-0777-y
TWASP000102	32093658	Disentangling the genetics of sarcopenia prioritization of NUDT3 and KLF5 as genes for lean mass & HLA-DQB1-AS1 for hand grip strength with the associated enhancing SNPs & a scoring system	2020	BMC Medical Genetics	10.1186/s12881-020-0977-6
TWASP000103	32090785	Integrating genome-wide association study and expression quantitative trait loci data identifies NEGR1 as a causal risk gene of major depression disorder	2021	EBioMedicine	10.1016/j.jad.2019.11.116
TWASP000104	32038707	Integrating multi-omics data to identify novel disease genes and single-neucleotide polymorphisms	2020	Frontiers in Genetics	10.3389/fgene.2019.01336
TWASP000105	31723243	The genome-wide risk alleles for psychiatric disorders at 3p21.1 show convergent effects on mRNA expression, cognitive function, and mushroom dendritic spine	2020	Molecular Psychiatry	10.1038/s41380-019-0592-0
TWASP000106	31708967	Integrate GWAS, eQTL, and mQTL data to identify Alzheimer's disease-related genes	2019	Frontiers in Genetics	10.3389/fgene.2019.01021
TWASP000107	30740125	Identification of Alzheimer's disease-related genes based on data integration method	2019	Frontiers in Genetics	10.3389/fgene.2018.00703
TWASP000108	29483533	Comprehensive integrative analyses identify GLT8D1 and CSNK2B as schizophrenia risk genes	2018	Nature Communications	10.1038/s41467-018-03247-3
TWASP000109	29476167	A novel variant associated with HDL-C levels by modifying DAGLB expression levels: an annotation-based genome-wide association study	2018	European Journal of Human Genetics	10.1038/s41431-018-0108-4
TWASP000110	28744461	Integrating genome-wide association and eQTLs studies identifies the genes and gene sets associated with diabetes	2017	BioMed Research International	10.1155/2017/1758636
TWASP000111	28639078	A genome-wide expression association analysis identifies genes and pathways associated with amyotrophic lateral sclerosis	2017	Cellular and Molecular Neurobiology	10.1007/s10571-017-0512-2
TWASP000112	28552732	Integrating genome-wide association study and expression quantitative trait loci data identifies multiple genes and gene set associated with neuroticism	2017	Progress in Neuropsychopharmacology & Biological Psychiatry	10.1016/j.pnpbp.2017.05.017
TWASP000113	27506385	Predicting gene targets from integrative analyses of summary data from GWAS and eQTL studies for 28 human complex traits	2016	Genome Medicine	10.1186/s13073-016-0338-4
TWASP000114	33619490	Association of CXCR6 with COVID-19 severity: delineating the host genetic factors in transcriptomic regulation	2021	BioRxiv	10.1101/2021.02.17.431554
TWASP000115	33603775	Integrative anlysis of transcriptome-wide association study and mRNA expression profiles identified candidate genes and pathways associated with acute myocardial infarction	2021	Frontiers in Genetics	10.3389/fgene.2021.616492
TWASP000116	33588072	Genetic predictors of gene expression associated with psychiatric comorbidity in patients with inflammatory bowel disease :a pilot study	2021	Genomics	10.1016/j.ygeno.2021.02.001
TWASP000117	33539344	Transcriptome-wide transmission disequilibrium analysis identifies novel risk genes for autism spectrum disorder	2021	Plos Genetics	10.1371/journal.pgen.1009309
TWASP000118	33523105	Identification of candidate Parkinson disease genes by integrating genome-wide association study, expression, and epigenetic data sets	2021	JAMA Neurology	10.1001/jamaneurol.2020.5257
TWASP000119	33504897	Transcriptome-wide Mendelian randomization study prioritising novel tissue-dependent genes for glioma susceptibility	2021	Scientific Reports	10.1038/s41598-021-82169-5
TWASP000120	33495110	Integrating genomics and transcriptomics: towards deciphering ADHD	2021	European Neuropsychopharmacology	10.1016/j.euroneuro.2021.01.002
TWASP000121	33482886	Transcriptome-wide association study identifies susceptibility  genes for rheumatoid arthritis	2021	Arthritis Research & Therapy	10.1186/s13075-021-02419-9
TWASP000122	33472578	The transcriptome-wide association search for genes and genetic variants which associate with BMI and gestational weight gain in women with type 1 diabetes	2021	Molecular Medicine	10.1186/s10020-020-00266-z
TWASP000123	29632383	Transcriptome-wide association study of schizophrenia and chromatin activity yields mechanistic disease insights	2021	Nature Genetics	10.1038/s41588-018-0092-1
TWASP000124	33481009	Multi-omics analyses of cognitive traits and psychiatric disorders highlights brain-dependent mechanisms	2021	Human Molecular Genetics	10.1093/hmg/ddab016
TWASP000125	33313492	Population-matched transcriptome prediction increases TWAS discovery and replication rate	2020	iScience	10.1016/j.isci.2020.101850
TWASP000126	33403041	New novel non-MHC genes were identified for cervical cancer with an integrative analysis approach of transcriptome-wide association study	2021	Journal of Cancer	10.7150/jca.47918
TWASP000127	33369784	Multi-tissue transcriptome-wide association studies	2020	Genetic Epidemiology	10.1002/gepi.22374
TWASP000128	33362862	Integrative anlysis of transcriptome-wide association study and mRNA expression profiles identifies candidate genes associated with idiopathic pulmonary fibrosis	2020	Frontiers in Genetics	10.3389/fgene.2020.604324
TWASP000129	33340029	Functional annotation of genetic associations by transcriptome-wide association analysis provides insights into neutrophil development regulation	2020	Communications Biology	10.1038/s42003-020-01527-7
TWASP000130	33329728	Multiple-tissue integrative transcriptome-wide association studies discovered new genes associated with amyotrophic lateral slerosis	2020	Frontiers in Genetics	10.3389/fgene.2020.587243
TWASP000131	33684137	MOSTWAS: multi-omic strategies for transcriptome-wide association studies	2021	Plos Genetics	10.1371/journal.pgen.1009398
TWASP000132	33654266	Identification of genetic factors influencing metabolic dysregulation and retinal support for MacTel, a retinal disorder	2021	Communications Biology	10.1038/s42003-021-01788-w
TWASP000133	33637304	Gene expression imputation across multiple tissue types provides insight Into the genetic architecture of frontotemporal dementia and its clinical subtypes	2021	Biological Psychiatry	10.1016/j.biopsych.2020.12.023
TWASP000134	33630843	Brain hippocampal transcriptome-wide association study and neurobiological pathway anlysis for Alzheimer's disease	2021	Plos Genetics	10.1371/journal.pgen.1009363
TWASP000135	33279206	Delineating the genetic component of gene expression in major depression	2021	Biological Psychiatry	10.1016/j.biopsych.2020.09.010
TWASP000136	33155823	Genetic correlation anlysis and transcriptome-wide association study suggest the overlapped genetic mechanism between gout and attention-deficit hyperactivity disorder	2020	Canadian Journal of Psychiatry	10.1177/0706743720970844
TWASP000137	33137956	Secondary genome-wide association study using novel analytical strategies disentangle genetic components of cleft lip and/or cleft palate in 1	2020	Genes	10.3390/genes11111280
TWASP000138	33137096	Leveraging functional annotation to identify genes associated with complex diseases	2020	Plos Computational Biology	10.1371/journal.pcbi.1008315
TWASP000139	33109261	The landscape of host genetic factors involved in immune response to common viral infections	2020	Genome Medicine	10.1186/s13073-020-00790-x
TWASP000140	32986714	Multi-ethnic transcriptome-wide association study of prostate cancer	2020	Plos One	10.1371/journal.pone.0236209
TWASP000141	32912253	PTWAS: investigating tissue-relevant causal molecular mechanisms of complex traits using probabilistic TWAS analysis	2020	Genome Biology	10.1186/s13059-020-02026-y
TWASP000142	32898862	Gene expression profiles complement the analysis of genomic modifiers of the clinical onset of Huntington disease	2020	Human Molecular Genetics	10.1093/hmg/ddaa184
TWASP000143	32827035	Gene expression and RNA splicing imputation identifies novel candidate genes associated with osteoporosis	2020	The Journal of Clinical Endocrinology & Metabolism	10.1210/clinem/dgaa572
TWASP000144	32581322	An integrated genomic and transcriptomic anlysis reveals candidates of susceptibility  genes for Crohn's disease in Japanese populations	2020	Scientific Reports	10.1038/s41598-020-66951-5
TWASP000145	32366958	Genome-wide association study of emotional empathy in children	2020	Scientific Reports	10.1038/s41598-020-62693-6
TWASP000146	32088307	Transcriptome-wide and differential expression network analyses of childhood asthma in nasal epithelium	2020	The Journal of Allergy and Clinical Immunology	10.1016/j.jaci.2020.02.005
TWASP000147	31821614	Integrating germline and somatic genetics to identify genes associated with lung cancer	2021	Genetic Epidemiology	10.1002/gepi.22275
TWASP000148	30804563	A statistical framework for cross-tissue transcriptome-wide association analysis	2021	Nature Genetics	10.1038/s41588-019-0345-7
TWASP000149	31699293	Convergent evidence for predispositional effects of brain gray matter volume on alcohol consumption	2020	Biological Psychiatry	10.1016/j.biopsych.2019.08.029
TWASP000150	31648709	Genome-wide assessment for resting heart rate and shared genetics with cardiometabolic traits and type 2 diabetes	2019	Journal of the American College of Cardiology	10.1016/j.jacc.2019.08.1055
TWASP000151	31308362	Association of imputed prostate cancer transcriptome with disease risk reveals novel mechanisms	2019	Nature Communications	10.1038/s41467-019-10808-7
TWASP000152	33679896	Integrative anlysis of omics data reveals regulatory network of CDK10 in vitiligo risk	2021	Frontiers in Genetics	10.3389/fgene.2021.634553
TWASP000153	33691763	Integrating transcriptome-wide association study and mRNA expression profile identified candidate genes related to hand osteoarthritis	2021	Arthritis Research & Therapy	10.1186/s13075-021-02458-2
TWASP000154	34103634	Prioritization of candidate causal genes for asthma in susceptibility loci derived from UK biobank	2021	Communications Biology	10.1038/s42003-021-02227-6
TWASP000155	34071263	Deep learning improves pancreatic cancer diagnosis using RNA-based variants	2021	Cancers	10.3390/cancers13112654
TWASP000156	34045744	Bi-ancestral depression GWAS in the Million Veteran Program and meta-analysis in >1.2 million individuals highlight new therapeutic directions	2021	Nature Neuroscience	10.1038/s41593-021-00860-2
TWASP000157	34021165	Transcriptome-wide association study uncovers the role of essential genes in anthracycline-induced cardiotoxicity	2021	Nature Partner Journals Genomic Medicine	10.1038/s41525-021-00199-4
TWASP000158	34021117	Transcriptome-wide association study identifies new susceptibility genes and pathways for depression	2021	Translational Psychiatry	10.1038/s41398-021-01411-w
TWASP000159	34001886	Transcriptome-wide association analysis of brain structures yields insights into pleiotropy with complex neuropsychiatric traits	2021	Nature Communications	10.1038/s41467-021-23130-y
TWASP000160	33998598	Transcriptome-wide association analysis identifies DACH1 as a kidney disease risk gene that contributes to fibrosis	2021	Journal of Clinical Investigation	10.1172/JCI141801
TWASP000161	33947463	Multi-tissue neocortical transcriptome-wide association study implicates 8 genes across 6 genomic loci in Alzheimer's disease	2021	Genomic Medicine	10.1186/s13073-021-00890-2
TWASP000162	33931583	UTMOST, a single and cross-tissue TWAS (transcriptome wide association study), reveals new ASD (autism spectrum disorder) associated genes	2021	Translational Psychiatry	10.1038/s41398-021-01378-8
TWASP000163	33910581	Shared genetic etiology and causality between body fat percentage and cardiovascular diseases: a large-scale genome-wide cross-trait analysis	2021	BMC Medicine	10.1186/s12916-021-01972-z
TWASP000164	33901188	Tissue specificity-aware TWAS (TSA-TWAS) framework identifies novel associations with metabolic, immunologic, and virologic traits in HIV-positive adults	2021	Plos Genetics	10.1371/journal.pgen.1009464
TWASP000165	33831007	Leveraging expression from multiple tissues using sparse canonical correlation analysis and aggregate tests improves the power of transcriptome-wide association studies	2021	Plos Genetics	10.1371/journal.pgen.1008973
TWASP000166	33809961	An integrative transcriptome-wide analysis of amyotrophic lateral sclerosis for the identification of potential genetic markers and drug candidates	2021	International Journal of Molecular Sciences	10.3390/ijms22063216
TWASP000167	33798195	Novel variance-component TWAS method for studying complex human diseases with applications to Alzheimer's dementia	2021	Plos Genetics	10.1371/journal.pgen.1009482
TWASP000168	33773637	Genetic basis of lacunar stroke: a pooled analysis of individual patient data and genome-wide association studies	2021	Lancet Neurology	10.1016/S1474-4422(21)00031-4
TWASP000169	33909040	A cross-tissue transcriptome-wide association study identifies novel susceptibility genes for lung cancer in Chinese populations	2021	Human Molecular Genetics	10.1093/hmg/ddab119
TWASP000170	34520569	A transcriptome-wide association study identifies novel candidate susceptibility genes for prostate cancer risk	2021	International Journal of Cancer	10.1002/ijc.33808
TWASP000171	34504106	A transcriptome-wide association study identifies susceptibility genes for Parkinson's disease	2021	Nature Partner Journals Parkison's Disease	10.1038/s41531-021-00221-7
TWASP000172	34470669	A transcriptome-wide association study of Alzheimer's disease using prediction models of relevant tissues identifies novel candidate susceptibility genes	2021	Genome Medicine	10.1186/s13073-021-00959-y
TWASP000173	33959712	Defining functional variants associated with Alzheimer's disease in the induced immune response	2021	Brain Communication	10.1093/braincomms/fcab083
TWASP000174	33772305	Epigenetic element-based transcriptome-wide association study identifies novel genes for bipolar disorder	2021	Schizophrenia Bulletin	10.1093/schbul/sbab023
TWASP000175	34163523	Integrating transcriptome-wide association study and mRNA expression profiling identifies novel genes associated with osteonecrosis of the femoral head	2021	Frontiers in Genetics	10.3389/fgene.2021.663080
TWASP000176	34650599	Transcriptome-wide association study provides insights into the genetic component of gene expression in anxiety	2021	Frontiers in Genetics	10.3389/fgene.2021.740134
TWASP000177	33720009	Genetic association and causal inference converge on hyperglycaemia as a modifiable factor to improve lung function	2021	Elife	10.7554/eLife.63115
TWASP000178	34380480	Genome-wide association study followed by trans-ancestry meta-analysis identify 17 new risk loci for schizophrenia	2021	BMC Medicine	10.1186/s12916-021-02039-9
TWASP000179	34409462	A transcriptome-wide association study identifies novel susceptibility genes for psoriasis	2021	Human Molecular Genetics	10.1093/hmg/ddab237
