gene_symbol	xenium_gene	disorders	tested_tf	xpr_vVMH	xpr_vVMH_M	xpr_vVMH_F	xpr_vARC	xpr_vARC_M	xpr_vARC_F	vARC_sexDE_fdrsig	vVMH_sexDE_fdrsig	vARC_sexDE_nomsig	vVMH_sexDE_nomsig	xARC_sexDE_FDRpt1clusts	xVMH_sexDE_FDRpt1clusts
FAAP20	No	BMI, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL590822.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SKI	No	BIP, BMI, ASD, NDD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
AL590822.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MORN1	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL589739.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL513477.2	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
RER1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
PEX10	No	ADHD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLCH2	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL139246.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PANK4	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
HES5	No		YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL139246.5	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
TNFRSF14-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TNFRSF14	No	BMI	NO	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	NO
AL139246.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRXL2B	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MMEL1	No	ADHD, SCZ, BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL831784.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TTC34	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC242022.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC242022.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL592464.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL592464.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL589702.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRDM16-DT	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PRDM16	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AL590438.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL354743.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL354743.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ARHGEF16	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL512413.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MEGF6	No	SCZ	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL513320.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TPRG1L	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
WRAP73	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TP73	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL136528.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL136528.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CCDC27	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SMIM1	No	BMI	NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LRRC47	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL365330.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CEP104	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DFFB	No	BMI	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
C1orf174	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01134	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01346	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
LINC02780	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL805961.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01777	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL355602.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01646	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AJAP1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
Z98886.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02781	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL139823.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Z98259.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL365255.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NPHP4	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
KCNAB2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CHD5	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
RPL22	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031847.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RNF207	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ICMT	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC00337	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GPR153	No	BMI, SCZ	NO	YES	YES	YES	NO	YES	YES	NO	NO	NO	YES	NO	NO
ACOT7	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031848.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HES2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ESPN	No	BMI, AD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TNFRSF25	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLEKHG5	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NOL9	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TAS1R1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZBTB48	No	BMI, SCZ	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
KLHL21	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PHF13	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
THAP3	No	BMI, SCZ	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DNAJC11	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01672	No	SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL591163.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CAMTA1-DT	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CAMTA1	No	NDD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL512330.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CAMTA1-IT1	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Z97987.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL365194.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL359881.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL359881.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL359881.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
VAMP3	No	ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
Z98884.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PER3	No	MDD, AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
Z98884.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UTS2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TNFRSF9	No	ADHD, BMI, MDD, OCD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PARK7	No	BMI, SCZ, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL034417.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL034417.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ERRFI1	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL034417.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01714	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC45A1	No	SCZ, MDD, ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RERE	No	SCZ, MDD, BMI, ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RERE-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL357552.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ENO1	No	MDD, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ENO1-AS1	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CA6	No	ASD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC2A5	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GPR157	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MIR34AHG	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LNCTAM34A	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
H6PD	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SPSB1	No	ADHD	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
BX323043.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02606	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC25A33	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TMEM201	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PIK3CD	No	BMI	NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
PIK3CD-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PIK3CD-AS2	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
CLSTN1	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CTNNBIP1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL357140.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL357140.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LZIC	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL357140.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NMNAT1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RBP7	No		NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
UBE4B	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
KIF1B	No	AD, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL139424.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL139424.2	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
PGD	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL139424.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CENPS	No		YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CORT	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DFFA	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL354956.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PEX14	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CASZ1	No	ASD	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AL139423.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C1orf127	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TARDBP	No	BMI	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MASP2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL109811.2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SRM	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EXOSC10	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL109811.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EXOSC10-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MTOR	No	BMI, ASD, NDD, MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MTOR-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ANGPTL7	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UBIAD1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031291.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DISP3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL590989.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01647	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL031731.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FBXO2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FBXO44	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FBXO6	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
MAD2L2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DRAXIN	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AGTRAP	No	BMI, ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C1orf167	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MTHFR	No	ASD, NDD, AUD, AD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CLCN6	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NPPA	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NPPB	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL021155.5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KIAA2013	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLOD1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL096840.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MFN2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MIIP	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TNFRSF8	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TNFRSF1B	No	MDD, SCZ, BMI	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
VPS13D	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC02766	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
