gene	cluster_set	cluster
PCDH19	hvg10_SNNk5	5
DIRAS3	hvg10_SNNk5	5
LAMP5	hvg10_SNNk5	5
CD24	hvg10_SNNk5	5
VSTM2A	hvg10_SNNk5	5
TAC1	hvg10_SNNk5	5
NPTX2	hvg10_SNNk5	5
GABRA5	hvg10_SNNk5	5
NR2F2	hvg10_SNNk5	5
HS3ST4	hvg10_SNNk5	5
GABRG2	hvg10_SNNk5	5
TENM2	hvg10_SNNk5	5
AUXG01000058.1	hvg10_SNNk5	5
RBP4	hvg10_SNNk5	5
CHGA	hvg10_SNNk5	5
LBHD2	hvg10_SNNk5	5
DOC2A	hvg10_SNNk5	5
VSNL1	hvg10_SNNk5	5
SCN2A	hvg10_SNNk5	5
GABRA1	hvg10_SNNk5	5
NGB	hvg10_SNNk5	5
CBLN1	hvg10_SNNk5	5
SEZ6L	hvg10_SNNk5	5
CALB2	hvg10_SNNk5	5
SYT4	hvg10_SNNk5	5
FXYD7	hvg10_SNNk5	5
PNCK	hvg10_SNNk5	5
MYT1L	hvg10_SNNk5	5
CARTPT	hvg10_SNNk5	5
GPX3	hvg10_SNNk5	5
PRKAR1B	hvg10_SNNk5	5
CACNA2D1	hvg10_SNNk5	5
PENK	hvg10_SNNk5	5
GDA	hvg10_SNNk5	5
GNG2	hvg10_SNNk5	5
CA10	hvg10_SNNk5	5
TMEM35A	hvg10_SNNk5	5
RAB3B	hvg10_SNNk5	5
TMEM158	hvg10_SNNk5	5
TAGLN3	hvg10_SNNk5	5
CNR1	hvg10_SNNk5	5
NEFL	hvg10_SNNk5	5
CELF5	hvg10_SNNk5	5
TMEM163	hvg10_SNNk5	5
PTPRN	hvg10_SNNk5	5
SYT13	hvg10_SNNk5	5
SLC2A3	hvg10_SNNk5	5
PCSK2	hvg10_SNNk5	5
CBLN4	hvg10_SNNk5	5
HRH3	hvg10_SNNk5	5
CCK	hvg10_SNNk5	5
SCN2B	hvg10_SNNk5	5
EFNB3	hvg10_SNNk5	5
NPTX1	hvg10_SNNk5	5
ZCCHC12	hvg10_SNNk5	5
HS6ST2	hvg10_SNNk5	5
SYN2	hvg10_SNNk5	5
SNCA	hvg10_SNNk5	5
PCSK1	hvg10_SNNk5	5
CDKN2D	hvg10_SNNk5	5
CAMKV	hvg10_SNNk5	5
FGF12	hvg10_SNNk5	5
GLRA3	hvg10_SNNk5	5
CPNE2	hvg10_SNNk5	5
PCDH7	hvg10_SNNk5	5
CAMK2B	hvg10_SNNk5	5
PIANP	hvg10_SNNk5	5
CDK5R1	hvg10_SNNk5	5
CAMK2A	hvg10_SNNk5	5
LONRF2	hvg10_SNNk5	5
PGAP1	hvg10_SNNk5	5
RAB3C	hvg10_SNNk5	5
MRTFB	hvg10_SNNk5	5
PLPPR3	hvg10_SNNk5	5
SLC12A5	hvg10_SNNk5	5
UBE2QL1	hvg10_SNNk5	5
TSPYL4	hvg10_SNNk5	5
DNM1	hvg10_SNNk5	5
INA	hvg10_SNNk5	5
CLSTN3	hvg10_SNNk5	5
LMO3	hvg10_SNNk5	5
HPCAL4	hvg10_SNNk5	5
CAMK1G	hvg10_SNNk5	5
GRIA2	hvg10_SNNk5	5
SYT1	hvg10_SNNk5	5
CHGB	hvg10_SNNk5	5
L1CAM	hvg10_SNNk5	5
NNAT	hvg10_SNNk5	5
ITPR1	hvg10_SNNk5	5
AC107398.3	hvg10_SNNk5	5
TSPAN13	hvg10_SNNk5	5
FGF14	hvg10_SNNk5	5
VSTM2L	hvg10_SNNk5	5
ENC1	hvg10_SNNk5	5
BEX5	hvg10_SNNk5	5
PNMA6F	hvg10_SNNk5	5
SNCB	hvg10_SNNk5	5
AHI1	hvg10_SNNk5	5
RALYL	hvg10_SNNk5	5
CTXN1	hvg10_SNNk5	5
NUDT11	hvg10_SNNk5	5
SLIT1	hvg10_SNNk5	5
TTC9B	hvg10_SNNk5	5
SULT4A1	hvg10_SNNk5	5
QPCT	hvg10_SNNk5	5
GALNT16	hvg10_SNNk5	5
NDN	hvg10_SNNk5	5
NSG2	hvg10_SNNk5	5
CELF4	hvg10_SNNk5	5
PCLO	hvg10_SNNk5	5
GRIN1	hvg10_SNNk5	5
NOL4	hvg10_SNNk5	5
SYN1	hvg10_SNNk5	5
CALB1	hvg10_SNNk5	5
NT5DC3	hvg10_SNNk5	5
NSF	hvg10_SNNk5	5
MLLT11	hvg10_SNNk5	5
RTP5	hvg10_SNNk5	5
MAGEE1	hvg10_SNNk5	5
BASP1	hvg10_SNNk5	5
NCDN	hvg10_SNNk5	5
EEF1A2	hvg10_SNNk5	5
PNMA3	hvg10_SNNk5	5
EPDR1	hvg10_SNNk5	5
JPH4	hvg10_SNNk5	5
KCNIP4	hvg10_SNNk5	5
MEG3	hvg10_SNNk5	5
PLPPR4	hvg10_SNNk5	5
GUCY1B1	hvg10_SNNk5	5
SNAP91	hvg10_SNNk5	5
NSG1	hvg10_SNNk5	5
PHYHIP	hvg10_SNNk5	5
PACSIN1	hvg10_SNNk5	5
HSPH1	hvg10_SNNk5	5
SYBU	hvg10_SNNk5	5
FKBP1A	hvg10_SNNk5	5
PAK3	hvg10_SNNk5	5
HPRT1	hvg10_SNNk5	5
SYNGR3	hvg10_SNNk5	5
PNMA8B	hvg10_SNNk5	5
PEG10	hvg10_SNNk5	5
GABBR2	hvg10_SNNk5	5
CHST1	hvg10_SNNk5	5
ATCAY	hvg10_SNNk5	5
SSBP4	hvg10_SNNk5	5
NAPB	hvg10_SNNk5	5
ATP6V1A	hvg10_SNNk5	5
CAMK2N2	hvg10_SNNk5	5
PGM2L1	hvg10_SNNk5	5
PNMA8A	hvg10_SNNk5	5
NRXN1	hvg10_SNNk5	5
NAP1L2	hvg10_SNNk5	5
NELL2	hvg10_SNNk5	5
FBXL16	hvg10_SNNk5	5
GABRB3	hvg10_SNNk5	5
JPH3	hvg10_SNNk5	5
SUSD4	hvg10_SNNk5	5
STXBP1	hvg10_SNNk5	5
TUBA4A	hvg10_SNNk5	5
GLRB	hvg10_SNNk5	5
STX1B	hvg10_SNNk5	5
SYT5	hvg10_SNNk5	5
RAP1GAP	hvg10_SNNk5	5
PNMA8C	hvg10_SNNk5	5
CSRNP3	hvg10_SNNk5	5
CNIH2	hvg10_SNNk5	5
RAB3A	hvg10_SNNk5	5
AKAP12	hvg10_SNNk5	5
GRIA1	hvg10_SNNk5	5
JPT1	hvg10_SNNk5	5
TMEM130	hvg10_SNNk5	5
PTPN5	hvg10_SNNk5	5
GPRASP2	hvg10_SNNk5	5
PRRT2	hvg10_SNNk5	5
MAP2K4	hvg10_SNNk5	5
MOAP1	hvg10_SNNk5	5
ATP2B4	hvg10_SNNk5	5
LPCAT4	hvg10_SNNk5	5
BAIAP3	hvg10_SNNk5	5
PLPPR2	hvg10_SNNk5	5
FKBP1B	hvg10_SNNk5	5
ARHGDIG	hvg10_SNNk5	5
NECAP1	hvg10_SNNk5	5
CNTNAP1	hvg10_SNNk5	5
ACHE	hvg10_SNNk5	5
TMEM246	hvg10_SNNk5	5
ATP1A3	hvg10_SNNk5	5
PDXP	hvg10_SNNk5	5
PSD	hvg10_SNNk5	5
NAP1L3	hvg10_SNNk5	5
PPP3CA	hvg10_SNNk5	5
CAP2	hvg10_SNNk5	5
RAB6B	hvg10_SNNk5	5
NCALD	hvg10_SNNk5	5
GPRASP1	hvg10_SNNk5	5
INPP5F	hvg10_SNNk5	5
RUNDC3A	hvg10_SNNk5	5
DNAJA4	hvg10_SNNk5	5
SYP	hvg10_SNNk5	5
ATP8A2	hvg10_SNNk5	5
MAPK8IP2	hvg10_SNNk5	5
TUSC3	hvg10_SNNk5	5
ACOT7	hvg10_SNNk5	5
NECAB2	hvg10_SNNk5	5
SV2A	hvg10_SNNk5	5
MAPRE3	hvg10_SNNk5	5
PTPRM	hvg10_SNNk5	5
SCN3B	hvg10_SNNk5	5
KIF3C	hvg10_SNNk5	5
AMPH	hvg10_SNNk5	5
HSPA4L	hvg10_SNNk5	5
ST8SIA3	hvg10_SNNk5	5
CHN1	hvg10_SNNk5	5
SNCG	hvg10_SNNk5	5
TSPYL2	hvg10_SNNk5	5
GOT1	hvg10_SNNk5	5
CMIP	hvg10_SNNk5	5
SPINT2	hvg10_SNNk5	5
TCAF1	hvg10_SNNk5	5
USP11	hvg10_SNNk5	5
MAP2K1	hvg10_SNNk5	5
DMTN	hvg10_SNNk5	5
CD200	hvg10_SNNk5	5
TBC1D9	hvg10_SNNk5	5
ELOVL4	hvg10_SNNk5	5
NPTN	hvg10_SNNk5	5
GNG3	hvg10_SNNk5	5
NAP1L5	hvg10_SNNk5	5
FRRS1L	hvg10_SNNk5	5
CRMP1	hvg10_SNNk5	5
THY1	hvg10_SNNk5	5
BLCAP	hvg10_SNNk5	5
KIF5A	hvg10_SNNk5	5
PRRT1	hvg10_SNNk5	5
VAT1L	hvg10_SNNk5	5
ATP13A2	hvg10_SNNk5	5
TMEM14A	hvg10_SNNk5	5
SEZ6L2	hvg10_SNNk5	5
PTMS	hvg10_SNNk5	5
MBOAT7	hvg10_SNNk5	5
PFKP	hvg10_SNNk5	5
BMERB1	hvg10_SNNk5	5
SCAMP5	hvg10_SNNk5	5
TSPYL1	hvg10_SNNk5	5
PAM	hvg10_SNNk5	5
PNMA2	hvg10_SNNk5	5
ABHD14A	hvg10_SNNk5	5
ENTPD6	hvg10_SNNk5	5
ATP6V1B2	hvg10_SNNk5	5
SLC9A6	hvg10_SNNk5	5
HK1	hvg10_SNNk5	5
PI4KA	hvg10_SNNk5	5
MEAF6	hvg10_SNNk5	5
AGAP3	hvg10_SNNk5	5
CYFIP2	hvg10_SNNk5	5
PTPRN2	hvg10_SNNk5	5
LY6H	hvg10_SNNk5	5
LY6E	hvg10_SNNk5	5
REEP2	hvg10_SNNk5	5
SMARCD3	hvg10_SNNk5	5
MAPK9	hvg10_SNNk5	5
RFK	hvg10_SNNk5	5
STMN3	hvg10_SNNk5	5
PODXL2	hvg10_SNNk5	5
ARHGEF9	hvg10_SNNk5	5
SCGN	hvg10_SNNk5	6
ERMN	hvg10_SNNk5	7
TRDN	hvg10_SNNk5	8
ANXA1	hvg10_SNNk5	9
AGRP	hvg10_SNNk5	10
DRD1	hvg10_SNNk5	11
FOXG1	hvg10_SNNk5	12
CAPS	hvg10_SNNk5	13
VSNL1	hvg10_SNNk5	14
HBA1	hvg10_SNNk5	15
ERMN	hvg10_SNNk5	16
WIF1	hvg10_SNNk5	17
OGN	hvg10_SNNk5	18
POMC	hvg10_SNNk5	19
GABRG2	hvg10_SNNk5	19
TBX3	hvg10_SNNk5	19
DLK1	hvg10_SNNk5	19
GHRH	hvg10_SNNk5	19
GLRA2	hvg10_SNNk5	19
GABRE	hvg10_SNNk5	19
GABRQ	hvg10_SNNk5	19
GAD1	hvg10_SNNk5	19
NPY	hvg10_SNNk5	19
GAD2	hvg10_SNNk5	19
RBP4	hvg10_SNNk5	19
GAL	hvg10_SNNk5	19
AGRP	hvg10_SNNk5	19
TMEM35A	hvg10_SNNk5	19
ARHGAP36	hvg10_SNNk5	19
SST	hvg10_SNNk5	19
FBLL1	hvg10_SNNk5	19
WIF1	hvg10_SNNk5	19
CHGA	hvg10_SNNk5	19
SHISAL2B	hvg10_SNNk5	19
TMOD1	hvg10_SNNk5	19
PGR	hvg10_SNNk5	19
SYT4	hvg10_SNNk5	19
CELF5	hvg10_SNNk5	19
MIR7-3HG	hvg10_SNNk5	19
RADX	hvg10_SNNk5	19
RAB3C	hvg10_SNNk5	19
GPX3	hvg10_SNNk5	19
FNDC9	hvg10_SNNk5	19
NGB	hvg10_SNNk5	19
GRIK1	hvg10_SNNk5	19
USP27X	hvg10_SNNk5	19
DIRAS3	hvg10_SNNk5	19
CADPS	hvg10_SNNk5	19
OTP	hvg10_SNNk5	19
AMPH	hvg10_SNNk5	19
SSTR1	hvg10_SNNk5	19
IGSF1	hvg10_SNNk5	19
ISL1	hvg10_SNNk5	19
TSPAN13	hvg10_SNNk5	19
TAC1	hvg10_SNNk5	19
FGF14	hvg10_SNNk5	19
CDKN2D	hvg10_SNNk5	19
CHGB	hvg10_SNNk5	19
SLC32A1	hvg10_SNNk5	19
AL035425.3	hvg10_SNNk5	19
QPCT	hvg10_SNNk5	19
SCN2A	hvg10_SNNk5	19
PGAP1	hvg10_SNNk5	19
PCDH7	hvg10_SNNk5	19
PCSK1	hvg10_SNNk5	19
NPTX2	hvg10_SNNk5	19
SYT13	hvg10_SNNk5	19
MDK	hvg10_SNNk5	19
TDRD9	hvg10_SNNk5	19
EFNB3	hvg10_SNNk5	19
CA8	hvg10_SNNk5	19
INA	hvg10_SNNk5	19
MAGEL2	hvg10_SNNk5	19
CELF6	hvg10_SNNk5	19
PWWP3B	hvg10_SNNk5	19
L1CAM	hvg10_SNNk5	19
ELAVL4	hvg10_SNNk5	19
RGS4	hvg10_SNNk5	19
AC107398.3	hvg10_SNNk5	19
NPY1R	hvg10_SNNk5	19
PIANP	hvg10_SNNk5	19
SCN3A	hvg10_SNNk5	19
ECEL1	hvg10_SNNk5	19
CLSTN3	hvg10_SNNk5	19
ATCAY	hvg10_SNNk5	19
SLC26A11	hvg10_SNNk5	19
TOX2	hvg10_SNNk5	19
SEZ6L	hvg10_SNNk5	19
CITED1	hvg10_SNNk5	19
TCEAL1	hvg10_SNNk5	19
CARTPT	hvg10_SNNk5	19
GRIA4	hvg10_SNNk5	19
SLC2A3	hvg10_SNNk5	19
TEX26	hvg10_SNNk5	19
LBH	hvg10_SNNk5	19
RALYL	hvg10_SNNk5	19
PLXNC1	hvg10_SNNk5	19
SLC4A10	hvg10_SNNk5	19
ENC1	hvg10_SNNk5	19
UNC5D	hvg10_SNNk5	19
IL13RA1	hvg10_SNNk5	19
PARM1	hvg10_SNNk5	19
NRSN1	hvg10_SNNk5	19
GNG2	hvg10_SNNk5	19
LINC00672	hvg10_SNNk5	19
TTC9B	hvg10_SNNk5	19
NLGN4X	hvg10_SNNk5	19
PNMA6F	hvg10_SNNk5	19
PTPRN	hvg10_SNNk5	19
MEIS3	hvg10_SNNk5	19
PTGER3	hvg10_SNNk5	19
SLC6A15	hvg10_SNNk5	19
GPRASP1	hvg10_SNNk5	19
PNMA3	hvg10_SNNk5	19
PNCK	hvg10_SNNk5	19
TSTD1	hvg10_SNNk5	19
SCN9A	hvg10_SNNk5	19
KLHDC8B	hvg10_SNNk5	19
SV2C	hvg10_SNNk5	19
AHI1	hvg10_SNNk5	19
PTS	hvg10_SNNk5	19
SYNGR3	hvg10_SNNk5	19
SYT17	hvg10_SNNk5	19
SLC12A5	hvg10_SNNk5	19
GPRASP2	hvg10_SNNk5	19
TAGLN3	hvg10_SNNk5	19
SVOP	hvg10_SNNk5	19
RASD1	hvg10_SNNk5	19
FXYD7	hvg10_SNNk5	19
C22orf42	hvg10_SNNk5	19
HPRT1	hvg10_SNNk5	19
CADM1	hvg10_SNNk5	19
NECAP1	hvg10_SNNk5	19
EPCAM	hvg10_SNNk5	19
TMEM17	hvg10_SNNk5	19
NEFH	hvg10_SNNk5	19
MAGEE1	hvg10_SNNk5	19
REEP1	hvg10_SNNk5	19
GRIA2	hvg10_SNNk5	19
ZCCHC12	hvg10_SNNk5	19
KIAA1324	hvg10_SNNk5	19
FAM174A	hvg10_SNNk5	19
PRKAR1B	hvg10_SNNk5	19
DNM1	hvg10_SNNk5	19
C1QTNF4	hvg10_SNNk5	19
CELF4	hvg10_SNNk5	19
GNG4	hvg10_SNNk5	19
SDC2	hvg10_SNNk5	19
SGSM2	hvg10_SNNk5	19
C2CD4C	hvg10_SNNk5	19
AKAP12	hvg10_SNNk5	19
TSPYL5	hvg10_SNNk5	19
SULT4A1	hvg10_SNNk5	19
HTR2C	hvg10_SNNk5	19
ZNF25	hvg10_SNNk5	19
PCBD1	hvg10_SNNk5	19
CALB2	hvg10_SNNk5	19
NNAT	hvg10_SNNk5	19
VWA5A	hvg10_SNNk5	19
JPH4	hvg10_SNNk5	19
CTXN1	hvg10_SNNk5	19
LONRF2	hvg10_SNNk5	19
CXXC4	hvg10_SNNk5	19
CDK5R1	hvg10_SNNk5	19
SYT5	hvg10_SNNk5	19
SMIM10L2B	hvg10_SNNk5	19
SNAP91	hvg10_SNNk5	19
TRO	hvg10_SNNk5	19
FGF13	hvg10_SNNk5	19
TUSC3	hvg10_SNNk5	19
CNIH2	hvg10_SNNk5	19
GABRG3	hvg10_SNNk5	19
SUSD4	hvg10_SNNk5	19
ARHGDIG	hvg10_SNNk5	19
CYB561	hvg10_SNNk5	19
PAK3	hvg10_SNNk5	19
UBE2QL1	hvg10_SNNk5	19
SYT1	hvg10_SNNk5	19
KCTD10	hvg10_SNNk5	19
CELF3	hvg10_SNNk5	19
CD200	hvg10_SNNk5	19
PACSIN1	hvg10_SNNk5	19
PDCD4	hvg10_SNNk5	19
FAM155A	hvg10_SNNk5	19
ADGRB3	hvg10_SNNk5	19
PSME2	hvg10_SNNk5	19
VAT1	hvg10_SNNk5	19
STAT1	hvg10_SNNk5	19
NSG2	hvg10_SNNk5	19
TMED8	hvg10_SNNk5	19
SSBP4	hvg10_SNNk5	19
VGF	hvg10_SNNk5	19
MEG3	hvg10_SNNk5	19
TMED3	hvg10_SNNk5	19
TSPYL4	hvg10_SNNk5	19
GALNT16	hvg10_SNNk5	19
TMEM271	hvg10_SNNk5	19
GSTA4	hvg10_SNNk5	19
ACHE	hvg10_SNNk5	19
JPH3	hvg10_SNNk5	19
SHC2	hvg10_SNNk5	19
SMARCA1	hvg10_SNNk5	19
SGSM1	hvg10_SNNk5	19
CSRNP3	hvg10_SNNk5	19
TMEM158	hvg10_SNNk5	19
MLLT11	hvg10_SNNk5	19
TMEM246	hvg10_SNNk5	19
SPINT2	hvg10_SNNk5	19
ATP6V0E1	hvg10_SNNk5	19
HSPA4L	hvg10_SNNk5	19
BEX5	hvg10_SNNk5	19
FNDC10	hvg10_SNNk5	19
IFI6	hvg10_SNNk5	19
ATP6V1A	hvg10_SNNk5	19
TTC8	hvg10_SNNk5	19
LPCAT4	hvg10_SNNk5	19
CACNA1B	hvg10_SNNk5	19
RPAIN	hvg10_SNNk5	19
JPT1	hvg10_SNNk5	19
PNMA8C	hvg10_SNNk5	19
MIAT	hvg10_SNNk5	19
DNAJA4	hvg10_SNNk5	19
NECAB2	hvg10_SNNk5	19
ECE2	hvg10_SNNk5	19
NSG1	hvg10_SNNk5	19
NRXN1	hvg10_SNNk5	19
GRIN1	hvg10_SNNk5	19
TSPYL2	hvg10_SNNk5	19
GABRB3	hvg10_SNNk5	19
GABBR2	hvg10_SNNk5	19
ST8SIA3	hvg10_SNNk5	19
CMIP	hvg10_SNNk5	19
KIF9	hvg10_SNNk5	19
CASD1	hvg10_SNNk5	19
CACNB2	hvg10_SNNk5	19
TM2D3	hvg10_SNNk5	19
RIT2	hvg10_SNNk5	19
MX1	hvg10_SNNk5	19
EPDR1	hvg10_SNNk5	19
VAT1L	hvg10_SNNk5	19
RBFOX2	hvg10_SNNk5	19
NELL2	hvg10_SNNk5	19
TCEAL6	hvg10_SNNk5	19
FNDC3A	hvg10_SNNk5	19
MBTPS1	hvg10_SNNk5	19
CD164	hvg10_SNNk5	19
SYN1	hvg10_SNNk5	19
LSM5	hvg10_SNNk5	19
GNB5	hvg10_SNNk5	19
MAEA	hvg10_SNNk5	19
RPA3	hvg10_SNNk5	19
PDXP	hvg10_SNNk5	19
CAMK2N2	hvg10_SNNk5	19
GDAP1	hvg10_SNNk5	19
TRAPPC4	hvg10_SNNk5	19
LRRN2	hvg10_SNNk5	19
KCNH2	hvg10_SNNk5	19
SNRPF	hvg10_SNNk5	19
CD46	hvg10_SNNk5	19
SLC6A17	hvg10_SNNk5	19
HSPH1	hvg10_SNNk5	19
PNMA8B	hvg10_SNNk5	19
NSF	hvg10_SNNk5	19
MEAF6	hvg10_SNNk5	19
TMEM179	hvg10_SNNk5	19
ANXA6	hvg10_SNNk5	19
MAST1	hvg10_SNNk5	19
TMTC1	hvg10_SNNk5	19
NBDY	hvg10_SNNk5	19
DGUOK	hvg10_SNNk5	19
NAP1L3	hvg10_SNNk5	19
ACOT7	hvg10_SNNk5	19
PLPPR2	hvg10_SNNk5	19
SYBU	hvg10_SNNk5	19
STXBP1	hvg10_SNNk5	19
SYNJ1	hvg10_SNNk5	19
TMEM130	hvg10_SNNk5	19
RFK	hvg10_SNNk5	19
GPR162	hvg10_SNNk5	19
OCIAD2	hvg10_SNNk5	19
NUDT11	hvg10_SNNk5	19
SV2A	hvg10_SNNk5	19
GLOD4	hvg10_SNNk5	19
GNG3	hvg10_SNNk5	19
DNAJC5	hvg10_SNNk5	19
TAF9	hvg10_SNNk5	19
CRMP1	hvg10_SNNk5	19
MAGEF1	hvg10_SNNk5	19
SCN3B	hvg10_SNNk5	19
BAIAP3	hvg10_SNNk5	19
RAB3A	hvg10_SNNk5	19
NPTXR	hvg10_SNNk5	19
MAPK8IP2	hvg10_SNNk5	19
NMNAT2	hvg10_SNNk5	19
DPCD	hvg10_SNNk5	19
GLRB	hvg10_SNNk5	19
PNMA8A	hvg10_SNNk5	19
RUNDC3A	hvg10_SNNk5	19
MOAP1	hvg10_SNNk5	19
MAP2K1	hvg10_SNNk5	19
LIN7B	hvg10_SNNk5	19
BLOC1S6	hvg10_SNNk5	19
CDIPT	hvg10_SNNk5	19
NAP1L2	hvg10_SNNk5	19
ATP13A2	hvg10_SNNk5	19
REEP2	hvg10_SNNk5	19
NAP1L5	hvg10_SNNk5	19
CCDC28A	hvg10_SNNk5	19
SLC1A4	hvg10_SNNk5	19
LYSMD2	hvg10_SNNk5	19
OGDHL	hvg10_SNNk5	19
NAPB	hvg10_SNNk5	19
NCDN	hvg10_SNNk5	19
FRRS1L	hvg10_SNNk5	19
BMERB1	hvg10_SNNk5	19
TP53BP1	hvg10_SNNk5	19
PRRT1	hvg10_SNNk5	19
KIF3C	hvg10_SNNk5	19
PTPRN2	hvg10_SNNk5	19
RGS2	hvg10_SNNk5	19
FAM131A	hvg10_SNNk5	19
NAT14	hvg10_SNNk5	19
DBN1	hvg10_SNNk5	19
DUSP26	hvg10_SNNk5	19
HK1	hvg10_SNNk5	19
CISD1	hvg10_SNNk5	19
MANEAL	hvg10_SNNk5	19
TMEM248	hvg10_SNNk5	19
OCRL	hvg10_SNNk5	19
SYP	hvg10_SNNk5	19
CCNDBP1	hvg10_SNNk5	19
HSPA13	hvg10_SNNk5	19
SULT1A1	hvg10_SNNk5	19
USP11	hvg10_SNNk5	19
SEC23A	hvg10_SNNk5	19
NISCH	hvg10_SNNk5	19
DMTN	hvg10_SNNk5	19
SHISA5	hvg10_SNNk5	19
GAS6	hvg10_SNNk5	19
B3GALNT1	hvg10_SNNk5	19
HSDL1	hvg10_SNNk5	19
PI4KA	hvg10_SNNk5	19
ABHD14A	hvg10_SNNk5	19
TCAF1	hvg10_SNNk5	19
TBC1D9	hvg10_SNNk5	19
MRPL34	hvg10_SNNk5	19
FBXL16	hvg10_SNNk5	19
PFKP	hvg10_SNNk5	19
ARL4C	hvg10_SNNk5	19
KIF5A	hvg10_SNNk5	19
MAPRE3	hvg10_SNNk5	19
SLC9A6	hvg10_SNNk5	19
TPRG1L	hvg10_SNNk5	19
PSD	hvg10_SNNk5	19
C11orf49	hvg10_SNNk5	19
PAM	hvg10_SNNk5	19
ARHGEF9	hvg10_SNNk5	19
AMPD2	hvg10_SNNk5	19
SCAMP5	hvg10_SNNk5	19
