gene_id	gene_name	V12D07-075_D1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V13M13-362_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	nsigsamps	meanrank
ENSG00000028839	TBPL1				870		364				2	617
ENSG00000029153	ARNTL2			451							1	451
ENSG00000029363	BCLAF1					983					1	983
ENSG00000030066	NUP160		182			1181					2	681.5
ENSG00000031698	SARS							279			1	279
ENSG00000032219	ARID4A				978						1	978
ENSG00000032389	EIPR1				464						1	464
ENSG00000033627	ATP6V0A1				762		204				2	483
ENSG00000034053	APBA2	454									1	454
ENSG00000034510	TMSB10	30	160	62	19	10	90	20	16	22	9	47.6666666666667
ENSG00000034713	GABARAPL2						709				1	709
ENSG00000035403	VCL				852						1	852
ENSG00000035687	ADSS							693			1	693
ENSG00000035862	TIMP2		422	715		113		88	56		5	278.8
ENSG00000036448	MYOM2									89	1	89
ENSG00000036530	CYP46A1						954		343		2	648.5
ENSG00000037241	RPL26L1									266	1	266
ENSG00000037474	NSUN2									188	1	188
ENSG00000038274	MAT2B									279	1	279
ENSG00000038382	TRIO					864					1	864
ENSG00000038532	CLEC16A	251									1	251
ENSG00000040608	RTN4R								430		1	430
ENSG00000040933	INPP4A					628	777				2	702.5
ENSG00000041515	MYO16	426									1	426
ENSG00000041982	TNC		214						351		2	282.5
ENSG00000042088	TDP1							683			1	683
ENSG00000042493	CAPG		246								1	246
ENSG00000042753	AP2S1						422	449			2	435.5
ENSG00000043093	DCUN1D1							364			1	364
ENSG00000043591	ADRB1							583			1	583
ENSG00000044574	HSPA5	293	861		321		184				4	414.75
ENSG00000046653	GPM6B	321		111	367	292			255		5	269.2
ENSG00000047188	YTHDC2				1147						1	1147
ENSG00000047597	XK							350			1	350
ENSG00000047644	WWC3							773			1	773
ENSG00000047648	ARHGAP6		409								1	409
ENSG00000047849	MAP4				800			200			2	500
ENSG00000048028	USP28		859								1	859
ENSG00000048162	NOP16								510		1	510
ENSG00000048540	LMO3				299	411		659			3	456.333333333333
ENSG00000048544	MRPS10		976			952					2	964
ENSG00000048740	CELF2		546			906	787	342			4	645.25
ENSG00000049130	KITLG		867		481						2	674
ENSG00000049449	RCN1				745					251	2	498
ENSG00000049618	ARID1B	332									1	332
ENSG00000049656	CLPTM1L		781		979			316			3	692
ENSG00000049759	NEDD4L			708	628					65	3	467
ENSG00000049860	HEXB				1194						1	1194
ENSG00000050130	JKAMP				802						1	802
ENSG00000050165	DKK3			369		879	861				3	703
ENSG00000050438	SLC4A8					629		149			2	389
ENSG00000050628	PTGER3			441	857						2	649
ENSG00000051128	HOMER3		920								1	920
ENSG00000051620	HEBP2	146								199	2	172.5
ENSG00000052802	MSMO1				824						1	824
ENSG00000053438	NNAT				446		527	48	360	385	5	353.2
ENSG00000053501	USE1									384	1	384
ENSG00000054116	TRAPPC3		432								1	432
ENSG00000054148	PHPT1			499			464				2	481.5
ENSG00000054179	ENTPD2								373		1	373
ENSG00000054282	SDCCAG8								368		1	368
ENSG00000054356	PTPRN			526	308	312		122	215		5	296.6
ENSG00000054690	PLEKHH1						601				1	601
ENSG00000054793	ATP9A					1086					1	1086
ENSG00000054803	CBLN4	144	218	83	65	107	69				6	114.333333333333
ENSG00000055070	SZRD1			289							1	289
ENSG00000055163	CYFIP2							709			1	709
ENSG00000055208	TAB2					920					1	920
ENSG00000055813	CCDC85A		594								1	594
ENSG00000056972	TRAF3IP2							672			1	672
ENSG00000056998	GYG2		476								1	476
ENSG00000058091	CDK14						521				1	521
ENSG00000058272	PPP1R12A					931					1	931
ENSG00000058404	CAMK2B				701	430					2	565.5
ENSG00000058453	CROCC				912						1	912
ENSG00000058668	ATP2B4		990		290	240					3	506.666666666667
ENSG00000058799	YIPF1				555						1	555
ENSG00000058866	DGKG			286			617				2	451.5
ENSG00000059122	FLYWCH1									132	1	132
ENSG00000059378	PARP12		669								1	669
ENSG00000059588	TARBP1		479								1	479
ENSG00000059758	CDK17							87			1	87
ENSG00000059915	PSD			595				750			2	672.5
ENSG00000060069	CTDP1					1021					1	1021
ENSG00000060138	YBX3		204								1	204
ENSG00000060339	CCAR1					1095					1	1095
ENSG00000060709	RIMBP2	294					1101				2	697.5
ENSG00000060718	COL11A1						576				1	576
ENSG00000061337	LZTS1		397							370	2	383.5
ENSG00000061794	MRPS35		637								1	637
ENSG00000061918	GUCY1B1					243					1	243
ENSG00000061938	TNK2				737						1	737
ENSG00000062194	GPBP1		889		1013						2	951
ENSG00000062282	DGAT2						531				1	531
ENSG00000062716	VMP1		858								1	858
ENSG00000063046	EIF4B			309							1	309
ENSG00000063177	RPL18		115		118	627		81			4	235.25
ENSG00000063180	CA11					618			459		2	538.5
ENSG00000063241	ISOC2			483							1	483
ENSG00000063245	EPN1		911								1	911
ENSG00000063322	MED29		463		1029						2	746
ENSG00000064102	INTS13								330		1	330
ENSG00000064115	TM7SF3		155								1	155
ENSG00000064199	SPA17								53		1	53
ENSG00000064393	HIPK2		771		317						2	544
ENSG00000064419	TNPO3			619			707				2	663
ENSG00000064651	SLC12A2					880					1	880
ENSG00000064787	BCAS1			333	131	573		597			4	408.5
ENSG00000064933	PMS1									47	1	47
ENSG00000064995	TAF11		457								1	457
ENSG00000065054	SLC9A3R2						455				1	455
ENSG00000065060	UHRF1BP1								412		1	412
ENSG00000065150	IPO5					510					1	510
ENSG00000065268	WDR18		300								1	300
ENSG00000065518	NDUFB4	379		126	441	556					4	375.5
ENSG00000065534	MYLK			682							1	682
ENSG00000065559	MAP2K4						640				1	640
ENSG00000065613	SLK					523					1	523
ENSG00000065665	SEC61A2					1056					1	1056
ENSG00000065717	TLE2						970				1	970
ENSG00000065802	ASB1			387							1	387
ENSG00000065833	ME1		652		804						2	728
ENSG00000065923	SLC9A7									223	1	223
ENSG00000066044	ELAVL1									344	1	344
ENSG00000066136	NFYC	316									1	316
ENSG00000066248	NGEF						619				1	619
ENSG00000066322	ELOVL1						815				1	815
ENSG00000066382	MPPED2					578	329				2	453.5
ENSG00000066422	ZBTB11				371						1	371
ENSG00000066697	MSANTD3	432									1	432
ENSG00000067057	PFKP				534				163		2	348.5
ENSG00000067064	IDI1	106									1	106
ENSG00000067082	KLF6		894					366			2	630
ENSG00000067113	PLPP1									219	1	219
ENSG00000067182	TNFRSF1A					658					1	658
ENSG00000067191	CACNB1		881				484				2	682.5
ENSG00000067225	PKM				654						1	654
ENSG00000067365	METTL22						1084				1	1084
ENSG00000067606	PRKCZ	129	849								2	489
ENSG00000067704	IARS2							753			1	753
ENSG00000067715	SYT1	180			363		135				3	226
ENSG00000067829	IDH3G							380			1	380
ENSG00000067836	ROGDI	365							442		2	403.5
ENSG00000067840	PDZD4				1186						1	1186
ENSG00000067900	ROCK1						1067				1	1067
ENSG00000067992	PDK3		475	523			245				3	414.333333333333
ENSG00000068078	FGFR3			222		169					2	195.5
ENSG00000068366	ACSL4		884	538							2	711
ENSG00000068654	POLR1A			737							1	737
ENSG00000068697	LAPTM4A	187			388		1043				3	539.333333333333
ENSG00000068912	ERLEC1				1142				332		2	737
ENSG00000068971	PPP2R5B				1052						1	1052
ENSG00000068976	PYGM					180					1	180
ENSG00000069248	NUP133					642	845				2	743.5
ENSG00000069329	VPS35					802	279				2	540.5
ENSG00000069345	DNAJA2					329					1	329
ENSG00000069482	GAL	16	131	19	16	9	60		46		7	42.4285714285714
ENSG00000069493	CLEC2D		807								1	807
ENSG00000069535	MAOB		301				79			302	3	227.333333333333
ENSG00000069849	ATP1B3					416					1	416
ENSG00000069998	HDHD5			573							1	573
ENSG00000070061	ELP1		396					237			2	316.5
ENSG00000070081	NUCB2								382		1	382
ENSG00000070182	SPTB				850						1	850
ENSG00000070214	SLC44A1						810				1	810
ENSG00000070404	FSTL3				1090						1	1090
ENSG00000070413	DGCR2			418							1	418
ENSG00000070614	NDST1						999				1	999
ENSG00000070718	AP3M2			665							1	665
ENSG00000070729	CNGB1				733	662		219			3	538
ENSG00000070756	PABPC1		415								1	415
ENSG00000070808	CAMK2A		444	586	821	246					4	524.25
ENSG00000070831	CDC42					779	628	138			3	515
ENSG00000071051	NCK2									138	1	138
ENSG00000071054	MAP4K4				435						1	435
ENSG00000071082	RPL31		318	317	120	285	623	217			6	313.333333333333
ENSG00000071127	WDR1								386		1	386
ENSG00000071242	RPS6KA2			655	785						2	720
ENSG00000071537	SEL1L		900								1	900
ENSG00000071539	TRIP13							143			1	143
ENSG00000071553	ATP6AP1					622					1	622
ENSG00000071626	DAZAP1	313						742	475		3	510
ENSG00000071794	HLTF				1185						1	1185
ENSG00000071889	FAM3A	349									1	349
ENSG00000071967	CYBRD1							781			1	781
ENSG00000072041	SLC6A15				423	881					2	652
ENSG00000072042	RDH11					415					1	415
ENSG00000072062	PRKACA					918					1	918
ENSG00000072110	ACTN1				440		558				2	499
ENSG00000072121	ZFYVE26		355								1	355
ENSG00000072501	SMC1A						892				1	892
ENSG00000072506	HSD17B10		550								1	550
ENSG00000072518	MARK2		280								1	280
ENSG00000072657	TRHDE					925					1	925
ENSG00000072682	P4HA2					303					1	303
ENSG00000072756	TRNT1		162								1	162
ENSG00000072778	ACADVL		554				436				2	495
ENSG00000072803	FBXW11					1013					1	1013
ENSG00000072832	CRMP1			223							1	223
ENSG00000072858	SIDT1					425					1	425
ENSG00000073008	PVR		577			1085					2	831
ENSG00000073803	MAP3K13		813								1	813
ENSG00000073910	FRY		826								1	826
ENSG00000073969	NSF		205	285	293	68	792	329	120		7	298.857142857143
ENSG00000074054	CLASP1		387								1	387
ENSG00000074211	PPP2R2C				1190						1	1190
ENSG00000074317	SNCB		172	709	1113						3	664.666666666667
ENSG00000074319	TSG101		484								1	484
ENSG00000074696	HACD3				176	704	1081			383	4	586
ENSG00000075035	WSCD2		954								1	954
ENSG00000075089	ACTR6	233			981						2	607
ENSG00000075142	SRI			752							1	752
ENSG00000075213	SEMA3A		693								1	693
ENSG00000075223	SEMA3C					505	124		338	339	4	326.5
ENSG00000075234	TTC38							363			1	363
ENSG00000075239	ACAT1				994						1	994
ENSG00000075461	CACNG4							519			1	519
ENSG00000075539	FRYL									208	1	208
ENSG00000075618	FSCN1		305								1	305
ENSG00000075624	ACTB	246			778						2	512
ENSG00000075711	DLG1						1080				1	1080
ENSG00000075785	RAB7A						724				1	724
ENSG00000075945	KIFAP3				587						1	587
ENSG00000076108	BAZ2A							202			1	202
ENSG00000076356	PLXNA2			482							1	482
ENSG00000076382	SPAG5						465				1	465
ENSG00000076554	TPD52		606			613					2	609.5
ENSG00000076685	NT5C2					959					1	959
ENSG00000076864	RAP1GAP							86			1	86
ENSG00000076928	ARHGEF1							356			1	356
ENSG00000076984	MAP2K7		916								1	916
ENSG00000077097	TOP2B				575						1	575
ENSG00000077232	DNAJC10									353	1	353
ENSG00000077264	PAK3				935	1110					2	1022.5
ENSG00000077549	CAPZB			275							1	275
ENSG00000077585	GPR137B						670				1	670
ENSG00000077942	FBLN1				74	423					2	248.5
ENSG00000078018	MAP2		141		990		1017	55	49		5	450.4
ENSG00000078053	AMPH						486				1	486
ENSG00000078070	MCCC1							546			1	546
ENSG00000078114	NEBL				375			377			2	376
ENSG00000078124	ACER3		753								1	753
ENSG00000078140	UBE2K				894						1	894
ENSG00000078328	RBFOX1			312		313		64	223		4	228
ENSG00000078369	GNB1			645	926						2	785.5
ENSG00000078596	ITM2A			379							1	379
ENSG00000078668	VDAC3					970					1	970
ENSG00000078674	PCM1	324	969								2	646.5
ENSG00000078902	TOLLIP					1016	843				2	929.5
ENSG00000079102	RUNX1T1		388	352							2	370
ENSG00000079215	SLC1A3	67	354	567	448		45			136	6	269.5
ENSG00000079257	LXN					891					1	891
ENSG00000079277	MKNK1		965								1	965
ENSG00000079332	SAR1A					1038					1	1038
ENSG00000079337	RAPGEF3						520				1	520
ENSG00000079459	FDFT1			591		649					2	620
ENSG00000080345	RIF1		812								1	812
ENSG00000080493	SLC4A4				863					96	2	479.5
ENSG00000080822	CLDND1									329	1	329
ENSG00000080823	MOK							228	266		2	247
ENSG00000080824	HSP90AA1		60	187			220				3	155.666666666667
ENSG00000080845	DLGAP4		295					690			2	492.5
ENSG00000080854	IGSF9B	463									1	463
ENSG00000081019	RSBN1				640					330	2	485
ENSG00000081087	OSTM1				996						1	996
ENSG00000081138	CDH7			199							1	199
ENSG00000081154	PCNP				693	1125					2	909
ENSG00000081181	ARG2			391							1	391
ENSG00000081189	MEF2C		367		944				396		3	569
ENSG00000081665	ZNF506								129		1	129
ENSG00000081913	PHLPP1						1020				1	1020
ENSG00000082014	SMARCD3						207	584			2	395.5
ENSG00000082175	PGR	101		50	345	259	71				5	165.2
ENSG00000082196	C1QTNF3						968				1	968
ENSG00000082397	EPB41L3		908			1000					2	954
ENSG00000082556	OPRK1					319	751	63	240		4	343.25
ENSG00000082805	ERC1		304								1	304
ENSG00000083097	DOP1A						989		451		2	720
ENSG00000083123	BCKDHB		722								1	722
ENSG00000083168	KAT6A							723			1	723
ENSG00000083312	TNPO1		503								1	503
ENSG00000083535	PIBF1				1066						1	1066
ENSG00000083720	OXCT1	265			1152			692			3	703
ENSG00000083799	CYLD					707					1	707
ENSG00000083857	FAT1	436									1	436
ENSG00000083937	CHMP2B		941								1	941
ENSG00000084092	NOA1				592						1	592
ENSG00000084207	GSTP1	266			444						2	355
ENSG00000084234	APLP2				368			502			2	435
ENSG00000084444	FAM234B					164			405		2	284.5
ENSG00000084463	WBP11			598							1	598
ENSG00000084652	TXLNA				806						1	806
ENSG00000084693	AGBL5						532				1	532
ENSG00000084731	KIF3C					563				321	2	442
ENSG00000084764	MAPRE3		529								1	529
ENSG00000085063	CD59				146						1	146
ENSG00000085224	ATRX				1184						1	1184
ENSG00000085365	SCAMP1				422	811					2	616.5
ENSG00000085382	HACE1				539						1	539
ENSG00000085433	WDR47			656		353					2	504.5
ENSG00000085449	WDFY1						813				1	813
ENSG00000085719	CPNE3						1038				1	1038
ENSG00000086015	MAST2	399									1	399
ENSG00000086061	DNAJA1		247			148	539				3	311.333333333333
ENSG00000086289	EPDR1			531		958		313			3	600.666666666667
ENSG00000086712	TXLNG		502								1	502
ENSG00000086758	HUWE1		427				260				2	343.5
ENSG00000087076	HSD17B14				1027						1	1027
ENSG00000087085	ACHE					588	866				2	727
ENSG00000087086	FTL		608				959				2	783.5
ENSG00000087087	SRRT	272									1	272
ENSG00000087191	PSMC5		1000								1	1000
ENSG00000087250	MT3		156	97	670	58		312			5	258.6
ENSG00000087258	GNAO1						961				1	961
ENSG00000087365	SF3B2								433		1	433
ENSG00000087460	GNAS	47	50	39	22	8	57	45	54		8	40.25
ENSG00000088256	GNA11						556				1	556
ENSG00000088280	ASAP3	342									1	342
ENSG00000088298	EDEM2		500								1	500
ENSG00000088448	ANKRD10				1018						1	1018
ENSG00000088538	DOCK3				988						1	988
ENSG00000088727	KIF9				200						1	200
ENSG00000088808	PPP1R13B					705					1	705
ENSG00000088832	FKBP1A		952			521		179	484		4	534
ENSG00000088833	NSFL1C						809				1	809
ENSG00000088854	C20orf194				921						1	921
ENSG00000088881	EBF4						1051				1	1051
ENSG00000088930	XRN2				959					278	2	618.5
ENSG00000088970	KIZ								354		1	354
ENSG00000088986	DYNLL1	66		123	236	156	310	652			6	257.166666666667
ENSG00000089009	RPL6	89				307		128			3	174.666666666667
ENSG00000089050	RBBP9	280									1	280
ENSG00000089057	SLC23A2									381	1	381
ENSG00000089091	DZANK1				1122						1	1122
ENSG00000089094	KDM2B							522			1	522
ENSG00000089157	RPLP0				558	196					2	377
ENSG00000089199	CHGB	133		81		247		58			4	129.75
ENSG00000089220	PEBP1					733					1	733
ENSG00000089248	ERP29						627				1	627
ENSG00000089250	NOS1			238		660	756				3	551.333333333333
ENSG00000089472	HEPH			330							1	330
ENSG00000089486	CDIP1					1167					1	1167
ENSG00000089597	GANAB									378	1	378
ENSG00000089693	MLF2						596				1	596
ENSG00000089775	ZBTB25		946			826					2	886
ENSG00000089818	NECAP1	359					559				2	459
ENSG00000089847	ANKRD24						766				1	766
ENSG00000089876	DHX32					480					1	480
ENSG00000090020	SLC9A1		866								1	866
ENSG00000090060	PAPOLA							315			1	315
ENSG00000090061	CCNK		667								1	667
ENSG00000090104	RGS1									125	1	125
ENSG00000090263	MRPS33			583							1	583
ENSG00000090266	NDUFB2				294		528				2	411
ENSG00000090273	NUDC		821								1	821
ENSG00000090615	GOLGA3								520		1	520
ENSG00000090674	MCOLN1		852								1	852
ENSG00000090686	USP48				992						1	992
ENSG00000090776	EFNB1						453				1	453
ENSG00000090932	DLL3						186				1	186
ENSG00000090989	EXOC1						867				1	867
ENSG00000091073	DTX2								406		1	406
ENSG00000091129	NRCAM				537	659		443			3	546.333333333333
ENSG00000091136	LAMB1							578			1	578
ENSG00000091157	WDR7							281			1	281
ENSG00000091436	MAP3K20		282								1	282
ENSG00000091483	FH				1141						1	1141
ENSG00000091513	TF			135	1173	420	140		151	38	6	342.833333333333
ENSG00000091592	NLRP1				524					225	2	374.5
ENSG00000091622	PITPNM3					977					1	977
ENSG00000091640	SPAG7					710					1	710
ENSG00000091656	ZFHX4		588								1	588
ENSG00000091664	SLC17A6		373	147	68	123	28	604	316		7	237
ENSG00000091831	ESR1	212		138	502						3	284
ENSG00000091947	TMEM101					732					1	732
ENSG00000091972	CD200			466		253					2	359.5
ENSG00000091986	CCDC80					1048					1	1048
ENSG00000092051	JPH4							209			1	209
ENSG00000092054	MYH7				728						1	728
ENSG00000092096	SLC22A17	341	437	67	391	750					5	397.2
ENSG00000092108	SCFD1		266		729						2	497.5
ENSG00000092148	HECTD1							666			1	666
ENSG00000092199	HNRNPC					1060					1	1060
ENSG00000092421	SEMA6A							351			1	351
ENSG00000092621	PHGDH					336					1	336
ENSG00000092758	COL9A3		808			542					2	675
ENSG00000092841	MYL6	48	188	435		204					4	218.75
ENSG00000092964	DPYSL2		507		974	62		172			4	428.75
ENSG00000093072	ADA2					1064					1	1064
ENSG00000093144	ECHDC1				1000						1	1000
ENSG00000095209	TMEM38B				889						1	889
ENSG00000095321	CRAT				795						1	795
ENSG00000095397	WHRN		224				659			290	3	391
ENSG00000095485	CWF19L1									341	1	341
ENSG00000095587	TLL2					609	711	109			3	476.333333333333
ENSG00000095596	CYP26A1				29	37	47				3	37.6666666666667
ENSG00000095713	CRTAC1					781					1	781
ENSG00000095787	WAC					807	242				2	524.5
ENSG00000095906	NUBP2		527								1	527
ENSG00000095932	SMIM24						877				1	877
ENSG00000096092	TMEM14A				763	1071	229				3	687.666666666667
ENSG00000096384	HSP90AB1	241		112	340	261		101		101	6	192.666666666667
ENSG00000096968	JAK2								477		1	477
ENSG00000097021	ACOT7					968	784				2	876
ENSG00000099194	SCD		936	117	95	66			321		5	307
ENSG00000099246	RAB18				645						1	645
ENSG00000099308	MAST3	325			1032						2	678.5
ENSG00000099326	MZF1								384		1	384
ENSG00000099365	STX1B							226			1	226
ENSG00000099622	CIRBP				209			85			2	147
ENSG00000099624	ATP5F1D		910								1	910
ENSG00000099625	CBARP		644								1	644
ENSG00000099715	PCDH11Y			161							1	161
ENSG00000099783	HNRNPM				1039						1	1039
ENSG00000099795	NDUFB7		399				906				2	652.5
ENSG00000099860	GADD45B		23								1	23
ENSG00000099864	PALM								193		1	193
ENSG00000099889	ARVCF						1097	612			2	854.5
ENSG00000099899	TRMT2A							628			1	628
ENSG00000099917	MED15							587			1	587
ENSG00000099949	LZTR1					673					1	673
ENSG00000099968	BCL2L13							658		48	2	353
ENSG00000099977	DDT	459									1	459
ENSG00000099991	CABIN1		547								1	547
ENSG00000099994	SUSD2			251	832						2	541.5
ENSG00000099998	GGT5								311		1	311
ENSG00000100014	SPECC1L	322									1	322
ENSG00000100027	YPEL1							653			1	653
ENSG00000100030	MAPK1		909		144				310		3	454.333333333333
ENSG00000100056	ESS2									193	1	193
ENSG00000100084	HIRA		630								1	630
ENSG00000100095	SEZ6L	213	161	388	125	373	127	175			7	223.142857142857
ENSG00000100097	LGALS1		286	359		540	108				4	323.25
ENSG00000100129	EIF3L		696			1131					2	913.5
ENSG00000100138	SNU13				834	784	829				3	815.666666666667
ENSG00000100142	POLR2F					189					1	189
ENSG00000100154	TTC28						569				1	569
ENSG00000100201	DDX17			681						170	2	425.5
ENSG00000100226	GTPBP1				1165						1	1165
ENSG00000100234	TIMP3					323	897			189	3	469.666666666667
ENSG00000100241	SBF1				755						1	755
ENSG00000100258	LMF2			446							1	446
ENSG00000100281	HMGXB4		587		678						2	632.5
ENSG00000100284	TOM1			353							1	353
ENSG00000100285	NEFH				1047	577			367		3	663.666666666667
ENSG00000100292	HMOX1		414								1	414
ENSG00000100307	CBX7		860								1	860
ENSG00000100316	RPL3		366	723	275	268	683	464			6	463.166666666667
ENSG00000100321	SYNGR1						618				1	618
ENSG00000100324	TAB1					935					1	935
ENSG00000100336	APOL4		174								1	174
ENSG00000100346	CACNA1I							646			1	646
ENSG00000100359	SGSM3					896					1	896
ENSG00000100372	SLC25A17					1088	741				2	914.5
ENSG00000100387	RBX1							765			1	765
ENSG00000100401	RANGAP1					900	898				2	899
ENSG00000100413	POLR3H									135	1	135
ENSG00000100416	TRMU				614						1	614
ENSG00000100417	PMM1				900						1	900
ENSG00000100439	ABHD4		534								1	534
ENSG00000100442	FKBP3						806				1	806
ENSG00000100473	COCH				527	255	361		263		4	351.5
ENSG00000100519	PSMC6				466						1	466
ENSG00000100554	ATP6V1D				486			515			2	500.5
ENSG00000100568	VTI1B			310		929					2	619.5
ENSG00000100580	TMED8								307		1	307
ENSG00000100592	DAAM1					839					1	839
ENSG00000100604	CHGA		924		288		254		425		4	472.75
ENSG00000100605	ITPK1								390		1	390
ENSG00000100626	GALNT16	354		512	775				299		4	485
ENSG00000100650	SRSF5		274					661			2	467.5
ENSG00000100678	SLC8A3						542				1	542
ENSG00000100764	PSMC1				768						1	768
ENSG00000100804	PSMB5						407				1	407
ENSG00000100813	ACIN1		685							55	2	370
ENSG00000100852	ARHGAP5		521	233		579					3	444.333333333333
ENSG00000100902	PSMA6				462						1	462
ENSG00000100916	BRMS1L						855				1	855
ENSG00000100918	REC8							783			1	783
ENSG00000100949	RABGGTA									361	1	361
ENSG00000100979	PLTP						674				1	674
ENSG00000100983	GSS					939					1	939
ENSG00000101019	UQCC1		656								1	656
ENSG00000101040	ZMYND8					512					1	512
ENSG00000101079	NDRG3				1092			144			2	618
ENSG00000101084	RAB5IF			447							1	447
ENSG00000101132	PFDN4									83	1	83
ENSG00000101144	BMP7		187								1	187
