mouse_subclass	human_domain	pcc	spearmancor
x138_STN_PSTN_Pitx2_Glut	X3	-0.145797367617495	-0.1743772484599
x290_Tanycyte_NN	X3	-0.156663432846208	-0.17431275456406
x076_PMv_TMv_Tbx3_Hist_Gaba	X3	-0.101116117669508	-0.152331410843508
x084_MEA_BST_Lhx6_Sp9_Gaba	X3	-0.0945728106719594	-0.116012537535606
x116_PVpo_VMPO_MPN_Hmx2_Gaba	X3	-0.0733649437324085	-0.135903662771168
x147_PH_an_Pitx2_Glut	X3	-0.14948433378977	-0.182683360317702
x122_DMH_LHA_Vgll2_Glut	X3	-0.0169513579773624	-0.0359778284864371
x159_SPA_SPFm_SPFp_POL_PIL_PoT_Glut	X3	-0.0492740562409955	-0.0578076393567192
x082_SCH_Gaba	X3	-0.0730721515266783	-0.109829848381688
x106a_BST_MPN_Six3_Gaba	X3	-0.117612443761539	-0.159992580671142
x134_PVa_AHN_LHA_Otp_Glut	X3	-0.0504975753613577	-0.081557927507672
x300_SMC_NN	X3	-0.151201739753912	-0.174947614206781
x126_LGv_Otx2_Gaba	X3	-0.0665014703170137	-0.0920326232055729
x133_LHA_MEA_Otp_Glut	X3	0.0625781243473973	0.0665192643063423
x142_PH_LHA_Foxb1_Glut	X3	-0.132947179177132	-0.167480928057037
x214_LGv_SPFp_SPFm_Gata3_Gaba	X3	0.101565305205029	0.128583721666364
x291_Ependymal_NN	X3	-0.0132256422741928	-0.0114604416263842
x124_VMH_Nr5a1_Glut	X3	-0.134314360903464	-0.184259303989764
x112_DMH_LHA_Gsx1_Gaba	X3	-0.123494542993405	-0.157007432295012
x137_PH_ant_Otp_Glut	X3	-0.123711973531593	-0.166759309527867
x108_AHN_SBPV_Gaba	X3	-0.0937084836990555	-0.125178834598974
x110_AHN_Onecut3_Gaba	X3	-0.0881093571440977	-0.117143472527883
x294_OPC_NN	X3	-0.128924612342635	-0.163655444411622
x135_AHN_RCH_TU_SBPV_Otp_Glut	X3	-0.0766167559391586	-0.106582874592981
x054_STR_PAL_Chst9_Gaba	X3	-0.144409366857058	-0.161542891979276
x114_TU_ARH_Otp_Six6_Gaba	X3	-0.135750759445677	-0.18669754200913
x097_PVHd_Gsc_Gaba	X3	0.00427450408506301	-0.00130231580012901
x136_PVH_PVHd_SO_Otp_Glut	X3	-0.0359707891507321	-0.0502673070930111
x074_MM_Foxb1_Glut	X3	-0.15859261671452	-0.191823242163523
x140_PH_Pitx2_Glut	X3	-0.139097724036733	-0.170175169728512
x119_DMH_Hmx2_Glut	X3	-0.098344538132558	-0.13134016757578
x117_DMH_Hmx2_Gaba	X3	-0.0993247656251461	-0.145300535271853
x047_NDB_SI_MA_STRv_Lhx8_Gaba	X3	-0.178535942142066	-0.206419361093815
x081_RT_ZI_Gnb3_Gaba	X3	-0.0479733521100136	-0.0713501942635651
x103_MPO_LPO_Lhx8_Gaba	X3	-0.0368777887607173	-0.0671739836562495
x128_ADP_MPO_Trp73_Glut	X3	-0.0437317390322862	-0.0461015502021402
x109_SBPV_PVi_Six3_Gaba	X3	-0.0770433085153384	-0.122853285092831
x104_BST_MPN_Lhx6_Zfhx3_Gaba	X3	0.0237315224493631	0.0110474685103248
x295_Oligo_NN	X3	-0.0637837849115489	-0.0929870116143888
x299_Peri_NN	X3	-0.0887719946177474	-0.122109303488106
x111_ZI_Pax6_Gaba	X3	-0.146812978935412	-0.168766185885919
x049_PAL_STR_Gaba_Chol	X3	-0.0544250709989492	-0.062057049276522
x100_MS_SF_Bsx_Glut	X3	-0.0636085297489667	-0.0685954111025382
x102_SI_MPO_LPO_Lhx8_Gaba	X3	-0.123486736444211	-0.148842821167803
x303_BAM_NN	X3	-0.0506568400840196	-0.0712495425237425
x086_MEA_BST_Lhx6_Nfib_Gaba	X3	-0.0623031695080143	-0.0847344056955485
x180_MB_HB_Lhx1_Glut	X3	-0.0701983022766286	-0.094584960946855
x113_PVHd_DMH_Lhx6_Gaba	X3	-0.121904980596555	-0.145068174522845
x302_Microglia_NN	X3	-0.0397314995216336	-0.0705274568308272
x125_LHA_Pmch_Glut	X3	-0.0489375261273669	-0.070184328805956
x105_BST_Tac2_Gaba	X3	0.0162245293700334	-0.00251240769311141
x127_PVH_LHA_Barhl2_Glut	X3	0.0384372117847295	0.0625458610410977
x096_SI_MA_NDB_Six3_Meis2_Gaba	X3	-0.000466833365399583	-0.0140718788648373
x048_GPe_Sox6_Cyp26b1_Gaba	X3	-0.11887814429489	-0.143074399887992
x129_SI_MA_LPO_Skor1_Glut	X3	-0.0228152148553499	-0.0146535697881666
x250_SNc_VTA_RAmb_Foxa1_Dopa	X3	-0.130482135426498	-0.135213568777238
x301_Endo_NN	X5	0.0118946407960266	0.00199724721792352
x298_VLMC_NN	X5	-0.0636077926364456	-0.0604085822041359
x045_STRv_Lhx8_Gaba	X5	-0.0118595527816676	-0.0249200836432357
x123_VMH_Fezf1_Glut	X5	-0.0795040355531197	-0.0901880026741899
x070_RE_Xi_Nox4_Glut	X5	-0.0724674133743409	-0.0948682119845047
x069_TH_Prkcd_Grin2c_Glut	X5	-0.0814170676581931	-0.0854149253528711
x115_TMd_Foxd2_Gaba	X5	-0.0926207761169208	-0.103894441857754
x149_IPN_IF_RL_Foxa1_Glut	X5	0.000993825142607888	-0.0143486308667878
x107_PVH_Six3_Prox1_Gaba	X5	-0.0547295290125512	-0.074367567666318
x075_PVa_ARH_Six3_Dopa_Gaba	X5	-0.018943397204794	-0.0420137711970228
x139_PM_Pitx2_Glut	X5	-0.0499269851299268	-0.0558651324784491
x121_ARH_PVp_Tbx3_Glut	X5	-0.0495333607881541	-0.0745032212385864
x088_DMH_Nkx2_4_Glut	X5	-0.0415129423667987	-0.0873096543624372
x148_PH_SUM_Foxa1_Glut	X5	-0.0578151299411969	-0.0672096591755405
x067_PVT_PT_Ntrk1_Glut	X5	-0.0432326950428453	-0.0552713036905733
x106_PVR_Six3_Gaba	X5	-0.0817631554746435	-0.0929908380483131
x073_MM_ant_Foxb1_Glut	X5	-0.0560624893101025	-0.0802518735831034
x120_ARH_PVp_Tbx3_Gaba	X5	-0.09525715392558	-0.0970300942796691
x087_DMH_Prdm13_Gaba	X5	-0.0800150192533693	-0.0934813658810152
x083_MEA_BST_Sox6_Gaba	X5	-0.0653816310066842	-0.0688459406414018
x118_MPO_MPN_Glut	X5	-0.0182055257423519	-0.0426769338717287
x080_GPi_Skor1_Gaba_Glut	X5	0.0392302852328654	0.0568793165730906
x143_PM_LHA_Foxb1_Glut	X5	-0.101140478834795	-0.090119502336505
x286_Astro_NT_NN	X5	-0.0741369193665335	-0.0893458912200823
x101_PVpo_VMPO_SFO_Tbr1_Glut	X5	-0.0354445693074779	-0.0549704503850672
x138_STN_PSTN_Pitx2_Glut	X5	-0.0457497685620256	-0.0657689481241211
x290_Tanycyte_NN	X5	-0.0848581146874051	-0.0781216008974393
x076_PMv_TMv_Tbx3_Hist_Gaba	X5	-0.0489458882562936	-0.0811296260976799
x084_MEA_BST_Lhx6_Sp9_Gaba	X5	-0.08410949248636	-0.0910125975422985
x116_PVpo_VMPO_MPN_Hmx2_Gaba	X5	-0.0407679259262966	-0.0304525949031268
x147_PH_an_Pitx2_Glut	X5	-0.0673856403002705	-0.0888120706140228
x122_DMH_LHA_Vgll2_Glut	X5	-0.0412924588188153	-0.0524369521558343
x159_SPA_SPFm_SPFp_POL_PIL_PoT_Glut	X5	-0.0203804766258686	-0.0465818578561951
x082_SCH_Gaba	X5	-0.00649813594205429	-0.0488496187506287
x106a_BST_MPN_Six3_Gaba	X5	-0.0711320751138744	-0.0820286339965688
x134_PVa_AHN_LHA_Otp_Glut	X5	-0.0619669712787959	-0.0918136357651257
x300_SMC_NN	X5	-0.0811224766706989	-0.0892075509240589
x126_LGv_Otx2_Gaba	X5	-0.0127816907694865	-0.0329520282180499
x133_LHA_MEA_Otp_Glut	X5	0.0576966547898211	0.0582336858098675
x142_PH_LHA_Foxb1_Glut	X5	-0.0825055939836449	-0.0857543420300126
x214_LGv_SPFp_SPFm_Gata3_Gaba	X5	0.0194364567083956	0.0239506904349511
x291_Ependymal_NN	X5	-0.0110876759298824	-0.00396369458538651
x124_VMH_Nr5a1_Glut	X5	-0.0453383679639649	-0.0624667820181875
x112_DMH_LHA_Gsx1_Gaba	X5	-0.106207635466921	-0.130131400201425
x137_PH_ant_Otp_Glut	X5	-0.0612556846178706	-0.0806150330672009
x108_AHN_SBPV_Gaba	X5	-0.046563770757915	-0.0644035674445107
x110_AHN_Onecut3_Gaba	X5	-0.0698312160710848	-0.0839287782352755
x294_OPC_NN	X5	-0.0908761416854611	-0.0954258633534691
x135_AHN_RCH_TU_SBPV_Otp_Glut	X5	-0.0685733693737108	-0.0802812292084816
x054_STR_PAL_Chst9_Gaba	X5	-0.10155155599746	-0.130793749377696
x114_TU_ARH_Otp_Six6_Gaba	X5	-0.0879786188088435	-0.0899150367754166
x097_PVHd_Gsc_Gaba	X5	0.0138164088909549	0.000207165306990471
x136_PVH_PVHd_SO_Otp_Glut	X5	-0.032687085090152	-0.0280405551783899
x074_MM_Foxb1_Glut	X5	-0.0870265046679055	-0.0984571469243842
x140_PH_Pitx2_Glut	X5	-0.0570242877767305	-0.0684445908646955
x119_DMH_Hmx2_Glut	X5	-0.0479635069683558	-0.0592546527028716
x117_DMH_Hmx2_Gaba	X5	-0.0797389308301306	-0.0965062870666436
x047_NDB_SI_MA_STRv_Lhx8_Gaba	X5	-0.0924013025329803	-0.104837471838661
x081_RT_ZI_Gnb3_Gaba	X5	-0.016091641842721	-0.0313195608998116
x103_MPO_LPO_Lhx8_Gaba	X5	0.00504668587956178	-0.0115660736706273
x128_ADP_MPO_Trp73_Glut	X5	-0.0178825876949686	-0.0148770099153419
x109_SBPV_PVi_Six3_Gaba	X5	-0.00161658327701685	-0.0434370535592959
x104_BST_MPN_Lhx6_Zfhx3_Gaba	X5	-0.018044491723056	-0.0266635399573939
x295_Oligo_NN	X5	-0.0326112039535527	-0.0594866422636089
x299_Peri_NN	X5	-0.0270189599475143	-0.0545298553501718
x111_ZI_Pax6_Gaba	X5	-0.111333646875728	-0.12365468139276
x049_PAL_STR_Gaba_Chol	X5	-0.0402571727095412	-0.0466482493905124
x100_MS_SF_Bsx_Glut	X5	-0.0583058212879991	-0.0601824929034585
x102_SI_MPO_LPO_Lhx8_Gaba	X5	-0.0520481025167851	-0.0576512024991901
x303_BAM_NN	X5	0.00144243500462326	-0.0245482957958186
x086_MEA_BST_Lhx6_Nfib_Gaba	X5	-0.0330995996237126	-0.0252883775272655
x180_MB_HB_Lhx1_Glut	X5	-0.00939647927765304	-0.0262072228318339
x113_PVHd_DMH_Lhx6_Gaba	X5	-0.105392215454738	-0.102342880485538
x302_Microglia_NN	X5	0.023883386890045	-0.00320108320238054
x125_LHA_Pmch_Glut	X5	-0.00701591872166975	-0.0216262340572103
x105_BST_Tac2_Gaba	X5	0.0214753874719999	0.00651426869115285
x127_PVH_LHA_Barhl2_Glut	X5	-0.0143276482860694	0.0199919945497282
x096_SI_MA_NDB_Six3_Meis2_Gaba	X5	0.0164890425153081	0.0113519862830201
x048_GPe_Sox6_Cyp26b1_Gaba	X5	-0.109074177871483	-0.120958783430116
x129_SI_MA_LPO_Skor1_Glut	X5	-0.037271119018792	-0.0472662310088668
x250_SNc_VTA_RAmb_Foxa1_Dopa	X5	-0.0971656855682108	-0.115319591987841
x301_Endo_NN	X11	0.0611623175567861	0.0746817647993644
x298_VLMC_NN	X11	-0.0582043356334316	-0.0620211787536441
x045_STRv_Lhx8_Gaba	X11	-0.0181988903248189	-0.0327855332407767
x123_VMH_Fezf1_Glut	X11	-0.138463115526549	-0.189271019528426
x070_RE_Xi_Nox4_Glut	X11	-0.178846109057162	-0.194574920692163
x069_TH_Prkcd_Grin2c_Glut	X11	-0.125709333874668	-0.148190570828053
x115_TMd_Foxd2_Gaba	X11	-0.16504861986784	-0.185277505540705
x149_IPN_IF_RL_Foxa1_Glut	X11	-0.0862989998903109	-0.106496595451864
x107_PVH_Six3_Prox1_Gaba	X11	-0.132983615551629	-0.174740068458956
x075_PVa_ARH_Six3_Dopa_Gaba	X11	-0.0652871426035218	-0.0876696162977529
x139_PM_Pitx2_Glut	X11	-0.125218984166631	-0.149988947805489
x121_ARH_PVp_Tbx3_Glut	X11	-0.130652848283918	-0.18442902414173
x088_DMH_Nkx2_4_Glut	X11	-0.185109829368274	-0.222370071320969
x148_PH_SUM_Foxa1_Glut	X11	-0.175924936981599	-0.195659494949612
x067_PVT_PT_Ntrk1_Glut	X11	-0.0990867228185827	-0.119481488489159
x106_PVR_Six3_Gaba	X11	-0.147946660471187	-0.170228625771018
x073_MM_ant_Foxb1_Glut	X11	-0.149310522214165	-0.179834121983129
x120_ARH_PVp_Tbx3_Gaba	X11	-0.145915801034432	-0.179312909227816
x087_DMH_Prdm13_Gaba	X11	-0.192417727881139	-0.214386370380414
x083_MEA_BST_Sox6_Gaba	X11	-0.0971203997992999	-0.107486779817545
x118_MPO_MPN_Glut	X11	-0.0883869178333391	-0.13213102927697
x080_GPi_Skor1_Gaba_Glut	X11	0.0840363020566402	0.0983359224948761
x143_PM_LHA_Foxb1_Glut	X11	-0.159705783789905	-0.180842483751296
x286_Astro_NT_NN	X11	-0.104456750772332	-0.119362658708504
x101_PVpo_VMPO_SFO_Tbr1_Glut	X11	-0.0980973072273856	-0.135074698606334
x138_STN_PSTN_Pitx2_Glut	X11	-0.129202465688555	-0.153781671559724
x290_Tanycyte_NN	X11	-0.133084816649627	-0.144585441837479
x076_PMv_TMv_Tbx3_Hist_Gaba	X11	-0.118342147493821	-0.15885679991418
x084_MEA_BST_Lhx6_Sp9_Gaba	X11	-0.102376987363439	-0.122744928433915
x116_PVpo_VMPO_MPN_Hmx2_Gaba	X11	-0.0955686880794603	-0.124917161579242
x147_PH_an_Pitx2_Glut	X11	-0.171878702730417	-0.192612189590535
x122_DMH_LHA_Vgll2_Glut	X11	-0.00757216964667721	-0.0358178752377635
x159_SPA_SPFm_SPFp_POL_PIL_PoT_Glut	X11	-0.0453314139345547	-0.0666916179601596
x082_SCH_Gaba	X11	-0.123648920589225	-0.153598232619494
x106a_BST_MPN_Six3_Gaba	X11	-0.12797165059999	-0.169822372115183
x134_PVa_AHN_LHA_Otp_Glut	X11	-0.0714500223982214	-0.121418001297907
x300_SMC_NN	X11	-0.111657770178459	-0.134947406741017
x126_LGv_Otx2_Gaba	X11	-0.0864455326555511	-0.108943394854326
x133_LHA_MEA_Otp_Glut	X11	0.0204584041638312	0.0253645615894106
x142_PH_LHA_Foxb1_Glut	X11	-0.118850095499908	-0.152573924421696
x214_LGv_SPFp_SPFm_Gata3_Gaba	X11	0.0976918266420293	0.118799359557806
x291_Ependymal_NN	X11	0.076929306202597	0.078989948427475
x124_VMH_Nr5a1_Glut	X11	-0.126939488457759	-0.168279973375324
x112_DMH_LHA_Gsx1_Gaba	X11	-0.113881651644108	-0.157136830346598
x137_PH_ant_Otp_Glut	X11	-0.104013249029825	-0.143482283015662
x108_AHN_SBPV_Gaba	X11	-0.111130950377398	-0.143165495279333
x110_AHN_Onecut3_Gaba	X11	-0.0742853404129542	-0.109035399042991
x294_OPC_NN	X11	-0.0983987636449864	-0.11882223743759
x135_AHN_RCH_TU_SBPV_Otp_Glut	X11	-0.0718664253167109	-0.108217340295659
x054_STR_PAL_Chst9_Gaba	X11	-0.179117843865951	-0.190703626948284
x114_TU_ARH_Otp_Six6_Gaba	X11	-0.164157868180052	-0.202124811704476
x097_PVHd_Gsc_Gaba	X11	-0.0227963506013182	-0.0336120006089071
x136_PVH_PVHd_SO_Otp_Glut	X11	-0.0512059237504423	-0.078601761708492
x074_MM_Foxb1_Glut	X11	-0.132649224554509	-0.168267478546021
x140_PH_Pitx2_Glut	X11	-0.113468244788866	-0.153919785019779
x119_DMH_Hmx2_Glut	X11	-0.11858737881515	-0.149115414240053
x117_DMH_Hmx2_Gaba	X11	-0.116529231643774	-0.168492026354695
x047_NDB_SI_MA_STRv_Lhx8_Gaba	X11	-0.154676927548125	-0.169179220705661
x081_RT_ZI_Gnb3_Gaba	X11	-0.0788933657747573	-0.104034854054432
x103_MPO_LPO_Lhx8_Gaba	X11	-0.0323415713084618	-0.0526830936776408
x128_ADP_MPO_Trp73_Glut	X11	-0.0138855804289858	-0.0134490000869713
x109_SBPV_PVi_Six3_Gaba	X11	-0.105872062926097	-0.152456101055913
x104_BST_MPN_Lhx6_Zfhx3_Gaba	X11	-0.0136383348976435	-0.0345757758624464
x295_Oligo_NN	X11	-0.0381006452694391	-0.0640691590880951
x299_Peri_NN	X11	-0.0631659137039479	-0.0830664613779013
x111_ZI_Pax6_Gaba	X11	-0.140586294324734	-0.168593288997812
x049_PAL_STR_Gaba_Chol	X11	-0.0399866402946739	-0.0416983916472446
x100_MS_SF_Bsx_Glut	X11	-0.0429067848023632	-0.0593913724680984
x102_SI_MPO_LPO_Lhx8_Gaba	X11	-0.0778639465462831	-0.105965582015198
x303_BAM_NN	X11	-0.0350249665571626	-0.0530718866550331
x086_MEA_BST_Lhx6_Nfib_Gaba	X11	-0.0543160867527604	-0.0678682484855901
x180_MB_HB_Lhx1_Glut	X11	-0.0870215643543112	-0.0970873622922535
x113_PVHd_DMH_Lhx6_Gaba	X11	-0.0998494740494311	-0.131824716680558
x302_Microglia_NN	X11	-0.0229301124638581	-0.041538184363667
x125_LHA_Pmch_Glut	X11	-0.0252906284038754	-0.0478545476472843
x105_BST_Tac2_Gaba	X11	-0.00942203081150026	-0.0288300330254971
x127_PVH_LHA_Barhl2_Glut	X11	0.0278629882450673	0.0333544222757215
x096_SI_MA_NDB_Six3_Meis2_Gaba	X11	-0.0375634800071551	-0.0472251064822747
x048_GPe_Sox6_Cyp26b1_Gaba	X11	-0.139777164712904	-0.149547854195799
x129_SI_MA_LPO_Skor1_Glut	X11	-0.0279556138773947	-0.0357118384237262
x250_SNc_VTA_RAmb_Foxa1_Dopa	X11	-0.155732766025505	-0.173569088283948
x301_Endo_NN	X2	0.129946421063602	0.140545435979851
x298_VLMC_NN	X2	-0.0981195856774091	-0.0651558497082985
x045_STRv_Lhx8_Gaba	X2	-0.115026498576566	-0.125996270671849
x123_VMH_Fezf1_Glut	X2	-0.0851261027442393	-0.103618181811228
x070_RE_Xi_Nox4_Glut	X2	-0.207743080469211	-0.198565356476622
x069_TH_Prkcd_Grin2c_Glut	X2	-0.146609773004468	-0.158177277837006
x115_TMd_Foxd2_Gaba	X2	-0.202064594508286	-0.212561453869907
x149_IPN_IF_RL_Foxa1_Glut	X2	-0.0409773610792453	-0.0589919217557507
x107_PVH_Six3_Prox1_Gaba	X2	-0.177873246712584	-0.196455552142412
x075_PVa_ARH_Six3_Dopa_Gaba	X2	-0.041889523056646	-0.0639764047560356
x139_PM_Pitx2_Glut	X2	-0.0999936018234821	-0.0678229623391789
x121_ARH_PVp_Tbx3_Glut	X2	-0.151992716135893	-0.183656599051508
x088_DMH_Nkx2_4_Glut	X2	-0.197416768784143	-0.217432263766089
x148_PH_SUM_Foxa1_Glut	X2	-0.146746156068188	-0.149998579661243
x067_PVT_PT_Ntrk1_Glut	X2	-0.147549891365606	-0.172661624923701
x106_PVR_Six3_Gaba	X2	-0.18362821988553	-0.188090365756843
x073_MM_ant_Foxb1_Glut	X2	-0.188734903668966	-0.202005349391652
x120_ARH_PVp_Tbx3_Gaba	X2	-0.172537700148654	-0.190593973108702
x087_DMH_Prdm13_Gaba	X2	-0.201812511944157	-0.217633433664313
x083_MEA_BST_Sox6_Gaba	X2	-0.0994455884773518	-0.125720003768289
x118_MPO_MPN_Glut	X2	-0.102970774944977	-0.108423680770143
x080_GPi_Skor1_Gaba_Glut	X2	0.0732320398175323	0.109528586572275
x143_PM_LHA_Foxb1_Glut	X2	-0.179460037529705	-0.19589896600655
x286_Astro_NT_NN	X2	-0.123883714031369	-0.139248128470837
x101_PVpo_VMPO_SFO_Tbr1_Glut	X2	-0.109375486938203	-0.147135837678806
x138_STN_PSTN_Pitx2_Glut	X2	-0.165095273535308	-0.145676327667914
x290_Tanycyte_NN	X2	-0.128564650853036	-0.131613621703296
x076_PMv_TMv_Tbx3_Hist_Gaba	X2	-0.132686979932703	-0.148389222597356
x084_MEA_BST_Lhx6_Sp9_Gaba	X2	-0.182649901883774	-0.223050549999963
x116_PVpo_VMPO_MPN_Hmx2_Gaba	X2	-0.0444096863420569	-0.0565110358146331
x147_PH_an_Pitx2_Glut	X2	-0.184604426102953	-0.192622686716438
x122_DMH_LHA_Vgll2_Glut	X2	-0.0637101721554363	-0.0767475806961011
x159_SPA_SPFm_SPFp_POL_PIL_PoT_Glut	X2	-0.142541389288453	-0.163595724017555
x082_SCH_Gaba	X2	-0.118504607979987	-0.139157531489153
x106a_BST_MPN_Six3_Gaba	X2	-0.209302478183174	-0.226220782666915
x134_PVa_AHN_LHA_Otp_Glut	X2	-0.189560729480654	-0.216020420130943
x300_SMC_NN	X2	-0.102092754015254	-0.109398409176909
x126_LGv_Otx2_Gaba	X2	-0.0898560004473771	-0.117994918996928
x133_LHA_MEA_Otp_Glut	X2	0.0832967625254424	0.0975139158285328
x142_PH_LHA_Foxb1_Glut	X2	-0.185995656212827	-0.198415770435722
x214_LGv_SPFp_SPFm_Gata3_Gaba	X2	0.106151773059141	0.107318855102809
x291_Ependymal_NN	X2	0.103361321984054	0.103763380598905
x124_VMH_Nr5a1_Glut	X2	-0.0879711403526734	-0.0998859952160611
x112_DMH_LHA_Gsx1_Gaba	X2	-0.255992743237181	-0.29708918590319
x137_PH_ant_Otp_Glut	X2	-0.107072241723674	-0.126449551156805
x108_AHN_SBPV_Gaba	X2	-0.118439759125604	-0.157211519900954
x110_AHN_Onecut3_Gaba	X2	-0.118853600892699	-0.150002732128702
x294_OPC_NN	X2	-0.157271604110862	-0.179856019195135
x135_AHN_RCH_TU_SBPV_Otp_Glut	X2	-0.0550495650632746	-0.110917832474846
x054_STR_PAL_Chst9_Gaba	X2	-0.244334256314709	-0.264041905151398
x114_TU_ARH_Otp_Six6_Gaba	X2	-0.147742785804062	-0.142758856608807
x097_PVHd_Gsc_Gaba	X2	-0.04005335091735	-0.0438973801437097
x136_PVH_PVHd_SO_Otp_Glut	X2	-0.0669195640428738	-0.0623508033006437
x074_MM_Foxb1_Glut	X2	-0.187408620916328	-0.190022531128315
x140_PH_Pitx2_Glut	X2	-0.140776495389864	-0.153489765782306
x119_DMH_Hmx2_Glut	X2	-0.122770186592051	-0.161072842457248
x117_DMH_Hmx2_Gaba	X2	-0.0968351748736611	-0.144629961168393
x047_NDB_SI_MA_STRv_Lhx8_Gaba	X2	-0.184591169566824	-0.189996763081438
x081_RT_ZI_Gnb3_Gaba	X2	-0.0917274955531322	-0.132853155707307
x103_MPO_LPO_Lhx8_Gaba	X2	-0.0320115808465317	-0.0364756641595267
x128_ADP_MPO_Trp73_Glut	X2	-0.0487401303392031	-0.0352158624691577
x109_SBPV_PVi_Six3_Gaba	X2	-0.099658473594495	-0.148013811353063
x104_BST_MPN_Lhx6_Zfhx3_Gaba	X2	-0.0927905847327959	-0.134054819759016
x295_Oligo_NN	X2	-0.0763663874368307	-0.0786258592117667
x299_Peri_NN	X2	-0.0774328813503757	-0.099663341864132
x111_ZI_Pax6_Gaba	X2	-0.230058018387108	-0.263693706326323
x049_PAL_STR_Gaba_Chol	X2	-0.142402542533224	-0.168550963336039
x100_MS_SF_Bsx_Glut	X2	-0.117582421941761	-0.111288492752124
x102_SI_MPO_LPO_Lhx8_Gaba	X2	-0.0844423083045325	-0.0934840901340296
x303_BAM_NN	X2	-0.0463528570316577	-0.0659892006481697
x086_MEA_BST_Lhx6_Nfib_Gaba	X2	-0.0370815788562715	-0.06776111312953
x180_MB_HB_Lhx1_Glut	X2	-0.044022356029497	-0.0520692618034416
x113_PVHd_DMH_Lhx6_Gaba	X2	-0.195621662982368	-0.220242902397024
x302_Microglia_NN	X2	0.0719461856588859	0.0658335081334137
x125_LHA_Pmch_Glut	X2	-0.00450393682939675	-0.0078724427879812
x105_BST_Tac2_Gaba	X2	-0.087575184027821	-0.0978601620824343
x127_PVH_LHA_Barhl2_Glut	X2	0.0340601549455658	0.0306946448910624
x096_SI_MA_NDB_Six3_Meis2_Gaba	X2	-0.00442212891176472	-0.00580629437716793
x048_GPe_Sox6_Cyp26b1_Gaba	X2	-0.176930021037025	-0.173060711291943
x129_SI_MA_LPO_Skor1_Glut	X2	-0.139433168547627	-0.133854475910551
x250_SNc_VTA_RAmb_Foxa1_Dopa	X2	-0.195931844504276	-0.205550352706
x301_Endo_NN	X7	0.0891948199340524	0.0855309943429206
x298_VLMC_NN	X7	-0.0995910850722931	-0.0736564196450218
x045_STRv_Lhx8_Gaba	X7	-0.0495080973382549	-0.0545141727807124
x123_VMH_Fezf1_Glut	X7	-0.0826739977003597	-0.0877974049161413
x070_RE_Xi_Nox4_Glut	X7	-0.139505495684927	-0.156143746694995
x069_TH_Prkcd_Grin2c_Glut	X7	-0.0911693257160815	-0.0910476400892645
x115_TMd_Foxd2_Gaba	X7	-0.123758510179077	-0.128900560545527
x149_IPN_IF_RL_Foxa1_Glut	X7	-0.011516038477514	-0.0243946742769388
x107_PVH_Six3_Prox1_Gaba	X7	-0.096103901418858	-0.110084944922369
x075_PVa_ARH_Six3_Dopa_Gaba	X7	0.00795730861246178	-0.031954131929815
x139_PM_Pitx2_Glut	X7	-0.0889980257600373	-0.0724916713865013
x121_ARH_PVp_Tbx3_Glut	X7	-0.0604232959569039	-0.0903586251125081
x088_DMH_Nkx2_4_Glut	X7	-0.0992113579584268	-0.118067258803003
x148_PH_SUM_Foxa1_Glut	X7	-0.0712953448037153	-0.0842314513103922
