Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000157916,RER1,87,-0.2380,149,0.59731,116,0.19437,107,0.07675,77,-0.4282,117,0.21357,87,-0.2632,65,-0.6787,112,0.15051,111,0.13654,105,0.04143,105,0.04477
ENSG00000157911,PEX10,42,0.24138,55,0.66023,24,-0.6416,39,0.12980,18,-1.0121,33,-0.1550,37,0.03131,18,-1.0629,28,-0.3750,31,-0.2543,47,0.41842,61,0.83523
ENSG00000197921,HES5,5,-2.4139,0,-8.3031,3,-3.3197,46,0.78408,79,1.71629,32,0.22870,22,-0.3688,80,1.73497,16,-0.8070,16,-0.8753,11,-1.3789,31,0.17710
ENSG00000272449,AL139246.5,0,-7.6040,2,-3.3091,0,-6.7702,16,-0.6409,69,1.67584,23,-0.1312,19,-0.4912,44,0.89076,30,0.29783,59,1.38497,19,-0.3814,26,0.03391
ENSG00000157870,PRXL2B,35,-1.1145,13,-2.5250,93,0.36233,103,0.52891,115,0.70773,130,0.91386,98,0.48873,63,-0.2428,69,-0.1080,35,-1.1149,49,-0.6081,57,-0.4011
ENSG00000158109,TPRG1L,47,-1.9939,108,-0.7545,158,-0.1779,281,0.73521,155,-0.2120,260,0.60515,250,0.60115,179,0.01170,231,0.41428,165,-0.1107,113,-0.6932,111,-0.7218
ENSG00000116213,WRAP73,7,-1.0886,18,0.17642,0,-6.1039,13,-0.2534,16,0.07157,14,-0.1886,23,0.66746,11,-0.5652,20,0.36207,14,-0.1774,27,0.84568,18,0.21161
ENSG00000130764,LRRC47,57,-0.8834,89,-0.2054,61,-0.7682,120,0.26339,124,0.31547,144,0.54939,113,0.18424,67,-0.6309,150,0.61650,107,0.08462,103,0.02238,72,-0.5359
ENSG00000116198,CEP104,12,-0.5192,30,0.89781,0,-6.1912,18,0.11930,6,-1.5085,18,0.09068,19,0.25448,5,-1.7487,27,0.77046,20,0.28941,22,0.42621,21,0.35838
ENSG00000196581,AJAP1,3,-3.2790,4,-2.9406,0,-5.5011,51,0.88077,56,1.03618,84,1.75578,55,1.14302,17,-0.7935,13,-1.1654,5,-2.3981,26,-0.1945,11,-1.4970
ENSG00000069424,KCNAB2,41,-0.6821,37,-0.8288,114,0.90998,140,1.26449,40,-0.7406,138,1.23650,81,0.39018,63,-0.0401,29,-1.2205,13,-2.3637,39,-0.7488,22,-1.5930
ENSG00000116254,CHD5,33,-1.5999,23,-2.0926,67,-0.5335,114,0.28626,193,1.14857,106,0.16559,148,0.78523,115,0.30329,98,0.04625,91,-0.0654,45,-1.1178,54,-0.8502
ENSG00000116251,RPL22,684,0.56550,702,0.60623,247,-1.0140,311,-0.6672,461,-0.0606,347,-0.4974,376,-0.4067,518,0.12073,461,-0.0608,675,0.54248,583,0.30824,492,0.04149
ENSG00000116237,ICMT,37,-0.1385,31,-0.4080,20,-1.0983,42,0.06154,46,0.19099,50,0.32354,51,0.40358,34,-0.2926,40,-0.0397,41,0.00298,47,0.23454,39,-0.0852
ENSG00000097021,ACOT7,77,-2.4000,143,-1.4808,481,0.36935,856,1.32662,349,-0.1352,529,0.52145,562,0.69075,331,-0.2147,405,0.09694,286,-0.4406,228,-0.7874,140,-1.5107
ENSG00000171680,PLEKHG5,9,-0.9944,13,-0.4364,3,-2.5493,14,-0.3503,33,0.94615,35,1.04849,15,-0.2908,25,0.50831,26,0.58779,10,-0.8142,11,-0.7432,24,0.44280
ENSG00000162408,NOL9,15,-1.0475,26,-0.2567,19,-0.6995,58,1.03519,30,-0.0194,45,0.62170,36,0.31031,40,0.42594,19,-0.7079,25,-0.3038,20,-0.6628,26,-0.2542
ENSG00000204859,ZBTB48,3,-2.5688,44,1.48006,0,-5.9428,7,-1.3183,21,0.28412,10,-0.8772,24,0.48866,14,-0.3728,32,0.91340,22,0.35301,10,-0.9255,21,0.25949
ENSG00000162413,KLHL21,7,-3.0496,106,0.96299,6,-3.1998,30,-0.9794,26,-1.2110,37,-0.6990,60,0.03934,23,-1.3640,59,0.02289,23,-1.3694,76,0.41234,243,2.49256
ENSG00000116273,PHF13,11,-1.4936,69,1.29989,2,-3.9430,11,-1.5112,52,0.82851,26,-0.2945,27,-0.2574,46,0.61936,19,-0.7567,34,0.14960,33,0.11720,46,0.63612
ENSG00000041988,THAP3,7,-1.7392,31,0.43540,8,-1.5812,23,-0.0140,13,-0.8619,16,-0.6151,39,0.93076,28,0.28827,16,-0.5429,24,0.03290,18,-0.4256,41,0.90230
ENSG00000007923,DNAJC11,25,-0.4020,31,-0.1086,27,-0.2898,29,-0.1790,37,0.18457,52,0.71956,46,0.58788,46,0.52275,22,-0.6070,22,-0.5774,19,-0.8032,24,-0.4502
ENSG00000171735,CAMTA1,69,-1.3438,115,-0.5758,91,-0.9234,201,0.28570,251,0.64438,231,0.51342,191,0.22871,215,0.39282,197,0.25916,166,-0.0160,108,-0.6726,149,-0.1771
ENSG00000049245,VAMP3,76,0.33335,121,1.08476,21,-1.6396,25,-1.3315,33,-0.9659,22,-1.5644,30,-1.1422,20,-1.6672,113,0.97367,84,0.47508,141,1.34443,87,0.53283
ENSG00000049246,PER3,36,-0.3932,26,-0.8848,13,-1.9065,24,-0.9662,63,0.48644,41,-0.1962,41,-0.2150,25,-0.9287,74,0.74328,68,0.61095,74,0.75661,76,0.79141
ENSG00000116288,PARK7,290,-0.5273,409,-0.0004,360,-0.1952,449,0.14759,437,0.10476,319,-0.3846,391,-0.0730,434,0.09597,536,0.42942,503,0.32604,412,0.01431,380,-0.1123
ENSG00000116285,ERRFI1,48,0.39275,184,2.84529,0,-7.3403,32,-0.2443,31,-0.2979,24,-0.6988,12,-1.7321,13,-1.5367,34,-0.1325,42,0.17889,6,-2.6350,48,0.38876
ENSG00000162426,SLC45A1,23,-0.8192,38,-0.0682,18,-1.1652,52,0.43808,70,0.90760,66,0.80481,62,0.78926,36,-0.1296,15,-1.3962,30,-0.4188,20,-1.0017,22,-0.9075
ENSG00000142599,RERE,24,-2.3247,122,0.11123,60,-0.9764,143,0.35207,141,0.33892,99,-0.2215,114,-0.0032,112,-0.0307,214,1.01610,136,0.28296,98,-0.2338,105,-0.1292
ENSG00000074800,ENO1,515,-0.4480,875,0.38069,678,-0.0230,829,0.29460,556,-0.3302,734,0.10142,580,-0.2867,636,-0.1226,542,-0.3696,659,-0.0664,613,-0.1798,1146,0.81868
ENSG00000171612,SLC25A33,88,0.30147,61,-0.2822,19,-1.9994,53,-0.4928,33,-1.2187,43,-0.7887,58,-0.3872,66,-0.1489,48,-0.6354,83,0.20880,120,0.79472,218,1.83197
ENSG00000188807,TMEM201,15,-0.5278,20,-0.1084,22,0.05089,27,0.35226,7,-1.5604,31,0.58718,22,0.05342,18,-0.2644,27,0.33911,18,-0.2457,24,0.17125,25,0.22632
ENSG00000171603,CLSTN1,165,-1.4601,310,-0.5157,440,0.02362,509,0.25560,558,0.39994,479,0.15933,585,0.52857,399,-0.1278,390,-0.1637,317,-0.4792,340,-0.3729,552,0.38265
ENSG00000178585,CTNNBIP1,26,-1.0167,70,0.51067,28,-0.9009,44,-0.2046,65,0.38307,26,-1.0181,49,-0.0632,72,0.54875,51,-0.0049,60,0.26835,57,0.17546,63,0.34685
ENSG00000162441,LZIC,52,0.87071,28,-0.1161,18,-0.7913,17,-0.8618,34,0.18343,18,-0.7610,11,-1.5222,32,0.08622,24,-0.3506,41,0.51033,62,1.18260,41,0.50802
ENSG00000130939,UBE4B,19,-1.2822,42,-0.0978,37,-0.2983,57,0.34955,32,-0.5504,55,0.29455,71,0.78875,41,-0.1642,49,0.11906,38,-0.2669,44,-0.0523,34,-0.4308
ENSG00000054523,KIF1B,117,-0.8693,130,-0.7072,170,-0.2995,235,0.20146,140,-0.6008,277,0.46584,241,0.26740,198,-0.0663,217,0.07567,185,-0.1670,278,0.47202,255,0.33214
ENSG00000142657,PGD,65,-0.5181,76,-0.2805,35,-1.4601,106,0.23991,88,-0.0478,155,0.84251,120,0.48303,106,0.22815,62,-0.5826,58,-0.7031,110,0.28855,85,-0.1059
ENSG00000160049,DFFA,35,0.20950,29,-0.0917,33,0.11504,55,0.92593,42,0.46880,27,-0.2339,20,-0.7310,36,0.21317,22,-0.5482,38,0.31461,24,-0.3581,22,-0.5218
ENSG00000142655,PEX14,18,-0.7107,17,-0.7851,20,-0.5863,43,0.61226,47,0.77226,38,0.40618,30,0.07847,38,0.44475,22,-0.4405,33,0.21949,10,-1.6208,30,0.06515
ENSG00000120948,TARDBP,20,-1.8716,131,1.02758,29,-1.3224,50,-0.4807,70,0.01894,60,-0.2102,80,0.26163,49,-0.5273,80,0.22695,89,0.40247,66,-0.0771,93,0.47737
ENSG00000116649,SRM,59,-1.2157,109,-0.2777,140,0.10363,91,-0.5615,105,-0.3439,252,1.05719,180,0.55861,150,0.21200,140,0.10451,105,-0.3372,76,-0.8331,116,-0.1922
ENSG00000171824,EXOSC10,20,-0.9071,51,0.51515,15,-1.3175,22,-0.8026,45,0.31798,37,0.00930,48,0.47200,21,-0.8581,43,0.25140,47,0.38428,40,0.12945,40,0.14485
ENSG00000198793,MTOR,2,-4.1110,43,0.04266,38,-0.1233,52,0.35245,38,-0.1362,47,0.18426,56,0.52204,49,0.26817,45,0.12650,48,0.22069,25,-0.7555,40,-0.0443
ENSG00000204624,DISP3,9,-0.7527,6,-1.3284,0,-6.0683,7,-1.2135,28,0.94045,25,0.79931,21,0.59149,8,-0.8797,25,0.76357,12,-0.3793,15,0.01525,20,0.41662
ENSG00000116661,FBXO2,739,1.65213,84,-1.7790,221,-0.3318,301,0.15189,177,-0.6636,181,-0.6368,260,-0.0842,169,-0.7380,323,0.26203,333,0.30840,282,0.05026,225,-0.3035
ENSG00000132879,FBXO44,58,-1.2457,66,-1.0573,106,-0.3421,173,0.41876,196,0.62062,218,0.79566,196,0.68883,123,-0.1136,142,0.10644,102,-0.3995,82,-0.7383,66,-1.0694
ENSG00000116663,FBXO6,1,-3.5658,14,-0.3988,6,-1.6735,24,0.38368,31,0.83592,16,-0.2210,18,-0.0479,8,-1.2742,42,1.34839,24,0.42667,13,-0.5337,24,0.42698
ENSG00000116670,MAD2L2,60,1.06189,44,0.54042,41,0.41740,11,-1.4942,22,-0.5508,46,0.61111,29,-0.1337,18,-0.7919,42,0.48291,22,-0.5157,21,-0.6154,20,-0.6925
ENSG00000177674,AGTRAP,70,1.57856,70,1.57064,10,-1.4906,16,-0.7658,17,-0.6695,19,-0.5008,9,-1.7081,23,-0.2016,8,-1.8261,9,-1.6066,33,0.30785,56,1.17093
ENSG00000177000,MTHFR,8,-1.0007,38,1.38358,0,-6.1539,17,0.11604,9,-0.8634,22,0.46863,12,-0.4890,7,-1.3080,27,0.77274,19,0.22856,19,0.20821,22,0.44015
ENSG00000011021,CLCN6,24,-2.0452,33,-1.5566,117,0.35558,197,1.21843,112,0.28620,123,0.43708,110,0.28066,86,-0.1291,127,0.48402,83,-0.1871,46,-1.0696,46,-1.0857
ENSG00000116685,KIAA2013,62,0.22930,50,-0.0920,13,-2.0850,63,0.25812,38,-0.5318,69,0.38916,69,0.44020,25,-1.1517,50,-0.0979,41,-0.4177,64,0.27597,83,0.69771
ENSG00000083444,PLOD1,33,-0.4399,89,1.12186,18,-1.3651,44,0.00295,31,-0.5210,101,1.34012,55,0.36236,42,-0.0879,24,-0.9207,23,-1.0139,29,-0.6569,33,-0.4646
ENSG00000116688,MFN2,50,-1.0417,72,-0.4931,74,-0.4538,177,0.93824,95,-0.0681,89,-0.1563,135,0.55097,70,-0.5370,96,-0.0444,112,0.19299,89,-0.1615,92,-0.1201
ENSG00000116691,MIIP,17,-0.3898,37,0.77908,1,-4.1535,15,-0.6397,41,0.96500,25,0.20035,16,-0.5496,17,-0.3761,26,0.21254,18,-0.3243,23,0.05853,39,0.85805
ENSG00000028137,TNFRSF1B,77,2.34525,44,1.31526,0,-6.4135,10,-1.0108,16,-0.2962,14,-0.5452,3,-2.7174,38,1.06689,4,-2.3113,14,-0.4521,17,-0.1974,14,-0.5098
ENSG00000048707,VPS13D,37,-0.2953,47,0.08357,49,0.13695,33,-0.4350,31,-0.5577,39,-0.1904,53,0.29163,50,0.17005,34,-0.4219,26,-0.8131,75,0.82091,53,0.27707
ENSG00000162496,DHRS3,132,1.73436,131,1.73272,1,-4.7094,13,-1.8715,36,-0.3995,25,-0.9317,23,-1.0908,19,-1.3156,22,-1.1507,32,-0.5578,52,0.17466,92,1.11101
ENSG00000162493,PDPN,64,1.73996,65,1.75957,19,-0.2190,6,-1.9902,4,-2.5865,8,-1.4718,1,-3.8900,27,0.27202,4,-2.5160,10,-1.1555,33,0.63398,48,1.22998
ENSG00000116731,PRDM2,38,0.47313,44,0.71268,13,-1.1019,29,0.07100,35,0.33743,31,0.13829,25,-0.1736,23,-0.3025,29,0.07375,31,0.15346,11,-1.4421,30,0.09429
ENSG00000189337,KAZN,54,-0.0098,11,-2.3018,15,-1.9683,60,0.13559,99,0.94827,89,0.77216,73,0.50076,42,-0.3990,31,-0.8782,47,-0.2317,57,0.05431,61,0.17101
ENSG00000142634,EFHD2,39,-0.4734,68,0.38595,22,-1.3048,112,1.20636,72,0.47589,81,0.67734,81,0.74730,72,0.48215,15,-1.8411,15,-1.8355,24,-1.1896,7,-2.9168
ENSG00000132906,CASP9,54,2.02875,24,0.61723,0,-6.1368,4,-1.8464,11,-0.5858,13,-0.3001,9,-0.9658,11,-0.5560,12,-0.3968,16,0.00707,6,-1.3629,39,1.45622
ENSG00000116138,DNAJC16,8,-1.5770,9,-1.4884,3,-2.9901,31,0.40170,37,0.67327,33,0.48582,30,0.37586,15,-0.7561,28,0.20320,12,-0.9993,45,0.97904,33,0.50983
ENSG00000197312,DDI2,4,-2.0949,28,0.75297,0,-6.2268,29,0.83155,24,0.49701,12,-0.4967,20,0.29258,15,-0.1739,5,-1.6764,13,-0.4236,12,-0.5054,40,1.35980
ENSG00000116786,PLEKHM2,32,-0.6531,84,0.85768,30,-0.7255,48,-0.0240,32,-0.6557,55,0.18027,47,-0.0674,50,0.01890,59,0.27711,51,0.06144,42,-0.2185,60,0.31565
ENSG00000065526,SPEN,27,-0.2167,50,0.76247,42,0.49080,20,-0.6347,42,0.47773,19,-0.7081,25,-0.3154,16,-0.9974,28,-0.1534,31,0.01189,33,0.09345,42,0.48636
ENSG00000185519,FAM131C,33,0.31285,5,-2.5114,33,0.33067,37,0.50377,24,-0.2094,28,0.03375,28,0.02921,10,-1.4354,15,-0.8552,17,-0.7169,91,2.03206,4,-2.7114
ENSG00000037637,FBXO42,32,-0.2763,33,-0.1913,76,1.11395,36,-0.0675,35,-0.1077,35,-0.1052,37,-0.0534,17,-1.2270,51,0.45667,44,0.24341,29,-0.4118,31,-0.3188
ENSG00000055070,SZRD1,76,1.07455,130,2.04288,9,-2.0635,15,-1.4236,16,-1.3091,21,-0.8970,18,-1.1974,29,-0.4482,26,-0.5854,35,-0.1514,62,0.74865,47,0.31261
ENSG00000157191,NECAP2,46,1.14645,53,1.41051,0,-6.6097,17,-0.4070,11,-1.0866,20,-0.1995,5,-2.2570,13,-0.7724,21,-0.1196,25,0.17843,29,0.39307,47,1.17422
ENSG00000219481,NBPF1,37,0.59204,13,-1.0566,11,-1.1874,25,-0.0361,55,1.21967,18,-0.5018,25,-0.0343,21,-0.3019,31,0.30305,35,0.49562,23,-0.1275,12,-1.0779
ENSG00000058453,CROCC,28,0.53511,27,0.47534,0,-6.4377,9,-1.0979,22,0.15478,12,-0.6962,18,-0.1655,16,-0.2875,27,0.50698,16,-0.3445,11,-0.8155,52,1.58583
ENSG00000238142,BX284668.5,21,-0.0195,25,0.29715,17,-0.3222,15,-0.4892,40,1.05136,13,-0.7536,16,-0.3897,24,0.19150,24,0.19560,27,0.38113,5,-1.9382,28,0.46550
ENSG00000159363,ATP13A2,114,-0.9828,69,-1.7215,228,0.07863,314,0.58570,288,0.44832,342,0.72723,323,0.70961,228,0.08023,163,-0.4414,165,-0.4198,143,-0.6437,119,-0.9167
ENSG00000117118,SDHB,67,-0.4403,57,-0.6774,54,-0.7576,111,0.34209,136,0.66768,91,0.02773,109,0.33919,99,0.15642,120,0.46462,68,-0.4230,73,-0.3157,68,-0.4230
ENSG00000117115,PADI2,460,3.43398,25,-1.6265,9,-3.0969,23,-1.7674,26,-1.5559,8,-3.2521,10,-3.0746,4,-4.2023,6,-3.5865,20,-1.9855,298,2.41459,67,-0.1617
ENSG00000179051,RCC2,38,0.60997,46,0.90968,21,-0.3119,25,-0.0776,31,0.29588,9,-1.6100,27,0.05104,24,-0.1373,23,-0.1991,27,0.04891,19,-0.4583,21,-0.3057
ENSG00000074964,ARHGEF10L,33,0.12511,53,0.84977,24,-0.3717,25,-0.3122,35,0.20025,22,-0.5333,31,0.03559,23,-0.4457,33,0.08464,26,-0.2348,14,-1.2148,50,0.76657
ENSG00000117154,IGSF21,23,-0.8883,29,-0.5399,39,-0.0849,46,0.17258,33,-0.3476,88,1.24268,60,0.67388,61,0.63018,6,-2.7795,20,-1.1033,41,0.00833,28,-0.6011
ENSG00000159423,ALDH4A1,42,0.82688,16,-0.6119,14,-0.8567,26,0.09261,11,-1.2483,27,0.15096,18,-0.5404,16,-0.6187,9,-1.4708,19,-0.4236,43,0.87625,62,1.51528
ENSG00000169991,IFFO2,8,-1.0334,26,0.67568,25,0.59608,11,-0.7142,14,-0.2978,23,0.43820,14,-0.3466,13,-0.4688,6,-1.4328,25,0.59693,15,-0.2372,29,0.82264
ENSG00000127463,EMC1,17,-1.4855,64,0.57156,46,0.04272,48,0.09318,39,-0.1959,58,0.41962,55,0.34346,46,0.05938,62,0.50368,28,-0.7319,19,-1.2787,45,0.02409
ENSG00000053372,MRTO4,29,-0.3303,41,0.20073,7,-2.3425,40,0.15756,65,0.94631,39,0.13693,35,-0.0268,28,-0.3670,45,0.35934,46,0.38906,35,-0.0155,20,-0.8680
ENSG00000053371,AKR7A2,74,0.07402,53,-0.4341,89,0.37449,58,-0.2879,44,-0.7313,64,-0.1380,65,-0.1274,45,-0.6778,78,0.15482,84,0.27569,79,0.17689,117,0.80167
ENSG00000040487,SLC66A1,13,-0.2400,20,0.41849,9,-0.7623,16,0.11669,7,-1.0931,19,0.29376,22,0.62368,14,-0.1653,32,1.18518,11,-0.4518,7,-1.1425,6,-1.2976
ENSG00000077549,CAPZB,218,0.25132,255,0.50434,108,-0.8215,279,0.65109,189,0.02889,158,-0.2517,171,-0.1390,181,-0.0349,182,-0.0321,191,0.04446,141,-0.4190,167,-0.1596
ENSG00000173436,MICOS10,87,-1.6529,184,-0.5242,308,0.27034,192,-0.4597,283,0.13951,180,-0.5593,326,0.39749,323,0.34541,409,0.72625,420,0.76987,177,-0.5839,155,-0.7842
ENSG00000158747,NBL1,584,1.97245,304,0.82275,35,-2.4469,165,-0.1463,219,0.29425,207,0.20665,147,-0.3503,168,-0.1265,143,-0.3660,127,-0.5468,51,-1.8950,64,-1.5738
ENSG00000169914,OTUD3,14,-0.2553,25,0.66292,0,-5.4794,9,-0.8811,46,1.70318,20,0.29474,16,-0.0010,13,-0.3774,19,0.22013,15,-0.1361,5,-1.7895,15,-0.1398
ENSG00000162545,CAMK2N1,163,-1.2731,179,-1.1340,245,-0.6590,412,0.14128,678,0.94602,400,0.09187,436,0.24997,509,0.47547,433,0.21870,341,-0.1555,513,0.48938,154,-1.3560
ENSG00000090432,MUL1,14,-1.7817,50,0.11138,51,0.12699,38,-0.3354,43,-0.1249,42,-0.1840,63,0.51475,64,0.48138,56,0.27783,34,-0.4948,28,-0.7698,64,0.48483
ENSG00000183114,FAM43B,10,-1.9466,14,-1.5464,16,-1.3203,44,0.16285,65,0.79311,56,0.54987,72,1.10538,36,-0.1467,42,0.11365,34,-0.2030,26,-0.6230,23,-0.7949
ENSG00000158828,PINK1,249,-0.1702,118,-1.3006,407,0.60754,446,0.75561,270,-0.0452,340,0.31702,283,0.02947,331,0.27652,204,-0.4756,216,-0.3862,276,-0.0116,189,-0.5887
