Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000171612,SLC25A33,47,-0.4212,49,-0.3604,99,0.84607,84,0.48676,53,-0.3022,21,-1.5901,78,0.36079,54,-0.2240
ENSG00000188807,TMEM201,8,-1.3068,27,0.56580,17,-0.1584,28,0.61384,21,0.22068,15,-0.3595,21,0.14425,15,-0.3623
ENSG00000171603,CLSTN1,285,-0.6615,367,-0.2739,419,-0.0745,395,-0.1612,616,0.70199,378,-0.2275,295,-0.6121,423,-0.0582
ENSG00000178585,CTNNBIP1,27,-0.9709,42,-0.2968,57,0.18815,67,0.44000,65,0.48337,16,-1.7464,51,0.00384,50,-0.0318
ENSG00000162441,LZIC,50,0.48617,28,-0.4179,50,0.53510,27,-0.4557,25,-0.6797,28,-0.4221,56,0.66874,39,0.07916
ENSG00000130939,UBE4B,36,-0.2361,58,0.52827,43,0.06948,24,-0.8264,57,0.62704,36,-0.2042,54,0.40162,17,-1.4096
ENSG00000054523,KIF1B,154,-0.9950,277,-0.0949,351,0.31151,309,0.07689,293,-0.0076,300,0.02865,267,-0.1521,322,0.15477
ENSG00000142657,PGD,52,-0.3636,55,-0.2557,77,0.28794,50,-0.4012,79,0.38092,34,-0.9979,77,0.25660,62,-0.0875
ENSG00000241563,CORT,12,-2.6143,11,-2.6523,8,-3.2451,0,-8.3481,6,-3.8337,41,-0.8016,0,-6.9750,365,5.15647
ENSG00000160049,DFFA,32,-0.1439,24,-0.6118,24,-0.6623,54,0.68067,26,-0.5327,23,-0.6729,37,0.06178,64,1.10353
ENSG00000142655,PEX14,10,-1.5343,39,0.52031,29,0.04230,40,0.55851,39,0.65998,33,0.24690,20,-0.5433,10,-1.5415
ENSG00000120948,TARDBP,71,-0.1365,102,0.43472,76,-0.0476,100,0.39089,81,0.07160,70,-0.1704,81,0.05608,58,-0.4849
ENSG00000116649,SRM,117,0.18120,95,-0.1379,94,-0.1780,78,-0.4396,117,0.22177,109,0.07221,85,-0.3184,114,0.15476
ENSG00000171824,EXOSC10,20,-0.6313,57,1.04293,32,0.08922,6,-2.2461,35,0.28343,37,0.32022,22,-0.4419,25,-0.3053
ENSG00000198793,MTOR,36,-0.2285,57,0.51340,31,-0.4959,45,0.14452,61,0.80498,44,0.11113,26,-0.7266,22,-1.0497
ENSG00000116661,FBXO2,420,0.83260,366,0.60688,322,0.44375,171,-0.5894,176,-0.6499,154,-0.7507,364,0.59867,182,-0.5424
ENSG00000132879,FBXO44,92,-0.2364,127,0.27031,80,-0.4856,67,-0.7136,129,0.36718,178,0.82113,64,-0.7907,105,-0.0378
ENSG00000116663,FBXO6,4,-2.1148,32,0.98412,17,0.03745,23,0.50012,25,0.77644,9,-0.9637,10,-0.8425,9,-1.0776
ENSG00000116670,MAD2L2,53,0.94517,36,0.30286,32,0.13131,26,-0.1574,21,-0.6265,32,0.14123,24,-0.3218,28,-0.0849
ENSG00000177000,MTHFR,20,0.44587,25,0.79213,15,0.02344,3,-2.3310,17,0.22681,15,0.00087,12,-0.3668,12,-0.3299
ENSG00000011021,CLCN6,99,-0.0911,104,-0.0223,112,0.10467,145,0.51271,133,0.47057,35,-1.6723,80,-0.4281,89,-0.2917
ENSG00000116685,KIAA2013,43,0.18592,65,0.85977,35,-0.1226,20,-0.9914,43,0.23276,27,-0.5235,38,0.01029,32,-0.2858
ENSG00000083444,PLOD1,27,0.01713,33,0.36034,33,0.36809,14,-0.9481,33,0.44265,15,-0.8261,35,0.44197,14,-1.0053
ENSG00000116688,MFN2,105,-0.3753,133,-0.0104,111,-0.3206,164,0.31735,150,0.21263,109,-0.3194,98,-0.4816,165,0.36004
ENSG00000116691,MIIP,6,-1.6087,11,-0.6675,18,0.03350,1,-4.0641,17,0.01630,29,0.82170,21,0.26395,27,0.75702
ENSG00000048707,VPS13D,26,-0.9143,41,-0.2583,52,0.13468,48,-0.0218,48,-0.0299,53,0.14225,48,-0.0087,58,0.33042
ENSG00000162496,DHRS3,3,-2.7128,21,-0.1195,72,2.44548,6,-1.8264,3,-3.1908,16,-0.5431,41,0.94295,16,-0.5524
ENSG00000162493,PDPN,16,0.03882,12,-0.4091,38,1.67897,2,-2.7810,6,-1.7164,6,-1.4647,42,1.59962,10,-0.7378
ENSG00000116731,PRDM2,15,-1.0562,31,-0.0274,28,-0.1830,5,-2.5235,31,0.01663,63,1.15774,15,-1.0955,47,0.73142
ENSG00000189337,KAZN,12,-2.3569,39,-0.6559,46,-0.4418,52,-0.2044,80,0.58640,72,0.28982,52,-0.1991,79,0.49250
ENSG00000142634,EFHD2,34,-0.0762,47,0.43269,33,-0.1273,44,0.31927,53,0.79541,8,-2.1361,20,-0.8546,26,-0.5517
ENSG00000116138,DNAJC16,26,-0.0693,28,0.01808,36,0.47595,15,-0.8702,34,0.42439,25,-0.1324,13,-1.1585,24,-0.2243
ENSG00000197312,DDI2,10,-0.7366,13,-0.3606,16,-0.0747,21,0.33865,27,0.96450,16,-0.0509,13,-0.4136,8,-1.1865
ENSG00000116786,PLEKHM2,29,-0.7148,44,-0.0734,61,0.50480,17,-1.5150,37,-0.4077,61,0.44464,37,-0.3143,65,0.63566
ENSG00000065526,SPEN,9,-2.1337,25,-0.6989,64,0.88143,51,0.41184,33,-0.3439,37,-0.0991,24,-0.7551,51,0.42949
ENSG00000116809,ZBTB17,8,-0.9489,9,-0.9450,14,-0.2550,3,-2.4523,19,0.33137,9,-0.9382,13,-0.3013,34,1.36875
ENSG00000185519,FAM131C,63,1.61993,32,0.47375,10,-1.3168,11,-1.1358,27,0.25922,5,-2.3220,37,0.69197,18,-0.4936
ENSG00000037637,FBXO42,22,-0.2955,33,0.31717,36,0.50129,30,0.16048,31,0.27378,20,-0.4461,16,-0.7900,19,-0.5983
ENSG00000055070,SZRD1,30,-0.1574,13,-1.3270,49,0.71902,16,-1.1019,20,-0.8497,35,0.12169,55,0.82904,43,0.46394
ENSG00000157191,NECAP2,18,0.14877,11,-0.6567,24,0.65692,3,-2.2730,16,-0.0178,13,-0.3247,37,1.31649,9,-0.9176
ENSG00000219481,NBPF1,33,0.76496,25,0.32468,25,0.32000,14,-0.6158,28,0.58341,4,-2.4061,15,-0.4863,12,-0.8920
ENSG00000058453,CROCC,2,-2.4184,13,-0.1045,19,0.53544,7,-1.0051,21,0.87159,15,0.14617,21,0.64285,3,-2.1647
ENSG00000159363,ATP13A2,279,0.66452,271,0.61637,113,-0.8185,191,0.05677,241,0.54160,78,-1.3104,129,-0.5544,158,-0.2595
ENSG00000117118,SDHB,72,-0.2592,105,0.32967,54,-0.7581,62,-0.4791,97,0.25614,100,0.26286,79,-0.1036,101,0.31112
ENSG00000117115,PADI2,34,-0.6376,19,-1.4875,57,0.14351,4,-3.6945,24,-1.3598,19,-1.5080,252,2.88242,56,0.11691
ENSG00000179051,RCC2,20,-0.4618,28,0.08256,26,-0.0665,38,0.53827,36,0.59234,16,-0.7735,23,-0.2563,19,-0.5857
ENSG00000074964,ARHGEF10L,43,0.09826,38,-0.1108,57,0.62065,62,0.68681,31,-0.4569,15,-1.4919,41,0.02196,39,-0.0745
ENSG00000117154,IGSF21,13,-1.5062,7,-2.3527,7,-2.5189,45,0.40459,73,1.68326,13,-1.4487,27,-0.3769,41,0.28274
ENSG00000159423,ALDH4A1,7,-1.9127,12,-1.2018,33,0.40549,24,-0.1404,14,-1.1383,41,0.72395,32,0.32255,46,1.02063
ENSG00000127463,EMC1,49,0.04269,53,0.18751,49,0.04494,23,-1.1037,65,0.62405,34,-0.5303,35,-0.4594,42,-0.1995
ENSG00000053372,MRTO4,32,-0.0824,47,0.50011,43,0.39256,37,0.11623,36,0.09155,30,-0.2168,16,-1.1181,27,-0.3636
ENSG00000053371,AKR7A2,86,0.43971,73,0.16941,70,0.11839,60,-0.1280,59,-0.1788,38,-0.8204,93,0.57631,57,-0.2205
ENSG00000077549,CAPZB,167,-0.1204,203,0.18739,212,0.28734,152,-0.2646,179,-0.0096,158,-0.2103,198,0.14637,162,-0.1866
ENSG00000173436,MICOS10,244,-0.2114,397,0.56457,310,0.18235,337,0.30158,249,-0.2160,176,-0.7125,246,-0.1933,291,0.07244
ENSG00000158747,NBL1,216,0.65806,170,0.27029,161,0.20177,48,-1.6444,137,-0.0932,118,-0.2967,141,-0.0258,148,0.04975
ENSG00000169914,OTUD3,13,-0.3236,15,-0.0592,12,-0.5058,8,-1.0649,22,0.65939,23,0.56469,10,-0.7244,16,0.04813
ENSG00000162545,CAMK2N1,244,-1.2144,470,-0.2151,449,-0.3113,417,-0.4029,498,-0.1526,1065,1.11280,412,-0.4191,738,0.56138
ENSG00000090432,MUL1,50,0.44556,58,0.67298,42,0.18878,45,0.27377,46,0.38924,17,-1.1758,23,-0.7659,19,-1.1016
ENSG00000183114,FAM43B,27,-0.5841,44,0.16724,40,0.01405,33,-0.2843,58,0.82011,37,-0.1038,21,-0.9265,28,-0.5719
ENSG00000158828,PINK1,341,-0.0204,274,-0.3577,246,-0.5709,404,0.24934,380,0.18886,396,0.21652,321,-0.1167,388,0.20251
ENSG00000244038,DDOST,37,0.45563,45,0.78581,35,0.41162,5,-2.4207,31,0.22632,25,-0.1272,16,-0.8398,20,-0.5375
ENSG00000117245,KIF17,19,0.15167,38,1.25370,34,1.23597,9,-0.9974,15,-0.2242,10,-0.7901,7,-1.2572,6,-1.7060
ENSG00000189410,SH2D5,0,-6.0175,4,-2.6225,6,-2.2498,64,1.47941,32,0.40029,90,2.11368,17,-0.6562,15,-0.8631
ENSG00000127483,HP1BP3,106,-0.8966,161,-0.2555,172,-0.1696,232,0.31528,257,0.61279,189,-0.0107,161,-0.2581,158,-0.3084
ENSG00000075151,EIF4G3,90,-0.2893,128,0.26027,78,-0.5433,177,0.79043,138,0.49284,79,-0.4935,88,-0.3276,83,-0.4394
ENSG00000117298,ECE1,24,0.23284,21,-0.0104,40,1.23847,23,0.15121,14,-0.7210,9,-1.3010,35,0.82170,8,-1.4969
ENSG00000076864,RAP1GAP,67,-1.0852,94,-0.5797,77,-0.9433,105,-0.4091,155,0.24478,483,2.18588,73,-0.9600,101,-0.5132
ENSG00000090686,USP48,48,-0.2649,80,0.55272,69,0.34543,32,-0.8751,55,-0.0638,65,0.20713,37,-0.6709,58,0.04833
ENSG00000218510,LINC00339,19,0.27668,17,0.10772,18,0.22392,14,-0.1977,16,-0.0233,14,-0.1776,13,-0.2891,15,-0.0901
ENSG00000070831,CDC42,293,-0.0475,344,0.20742,287,-0.0870,318,0.08121,401,0.57692,139,-1.1841,283,-0.0987,234,-0.4314
ENSG00000162552,WNT4,0,-7.3336,57,1.52607,36,0.82881,21,-0.0804,33,0.80651,0,-8.8666,7,-1.7505,7,-1.7572
ENSG00000173372,C1QA,6,-1.8345,10,-1.1663,29,0.50312,1,-3.7901,4,-2.7719,23,0.11997,68,1.92284,42,1.20820
ENSG00000173369,C1QB,0,-6.0385,15,-0.7674,46,1.17430,5,-2.2738,9,-1.6946,26,0.08746,50,1.14270,40,0.88597
ENSG00000004487,KDM1A,37,-0.4081,58,0.30717,52,0.13674,73,0.68056,63,0.54813,30,-0.6984,36,-0.4127,23,-1.1496
ENSG00000169641,LUZP1,25,-0.3785,22,-0.5488,28,-0.2579,20,-0.7052,50,0.92900,31,-0.0369,10,-1.7626,36,0.17586
ENSG00000125944,HNRNPR,58,-1.1667,126,0.03383,145,0.27798,91,-0.4713,133,0.13286,153,0.33498,129,0.06772,120,-0.0521
ENSG00000117318,ID3,74,1.31708,2,-3.6819,45,0.55012,19,-0.8677,24,-0.5839,7,-2.1877,100,1.87199,16,-1.1407
ENSG00000142676,RPL11,447,-0.3167,427,-0.3851,518,-0.0945,605,0.15934,421,-0.4839,511,-0.1062,818,0.64707,729,0.51274
ENSG00000011007,ELOA,10,-1.3066,23,-0.0276,28,0.31650,29,0.35847,23,0.02064,18,-0.3996,9,-1.3159,32,0.54999
ENSG00000057757,PITHD1,342,0.28153,395,0.51305,248,-0.2446,330,0.22488,341,0.34974,135,-1.1527,209,-0.4902,252,-0.2149
ENSG00000011009,LYPLA2,51,0.47543,27,-0.5045,39,0.08266,37,-0.0031,46,0.39346,59,0.73675,22,-0.8250,19,-1.1112
ENSG00000117308,GALE,13,-0.1729,17,0.24337,16,0.19639,19,0.44128,13,-0.2418,18,0.32861,17,0.21678,10,-0.6365
ENSG00000117305,HMGCL,30,0.25643,35,0.54943,23,-0.1121,36,0.55079,25,0.00629,11,-1.2270,33,0.42081,17,-0.6326
ENSG00000179163,FUCA1,6,-1.9770,28,0.29556,31,0.52730,12,-0.9345,36,0.91988,14,-0.7483,23,0.00316,12,-1.0822
ENSG00000189266,PNRC2,29,-0.9077,62,0.24366,74,0.58972,39,-0.4986,54,0.01201,59,0.15708,57,0.10809,42,-0.3957
ENSG00000188529,SRSF10,47,-0.3752,76,0.37276,86,0.64824,67,0.17669,68,0.25359,43,-0.5012,44,-0.4917,33,-0.9827
ENSG00000001461,NIPAL3,111,0.52080,45,-0.8957,50,-0.7737,93,0.23717,99,0.41279,74,-0.1266,99,0.33613,72,-0.1880
ENSG00000117602,RCAN3,70,1.10344,58,0.77541,35,-0.0192,36,0.03119,39,0.19192,9,-2.0809,23,-0.6363,21,-0.8471
ENSG00000133226,SRRM1,45,-0.3181,64,0.21040,76,0.56198,36,-0.6555,51,-0.1677,44,-0.3603,68,0.32482,52,-0.1011
ENSG00000169504,CLIC4,42,-0.3271,43,-0.2738,65,0.39178,15,-1.8652,25,-1.2500,31,-0.7761,202,2.39220,41,-0.3714
ENSG00000117614,SYF2,40,-0.8685,76,0.10517,76,0.10567,136,1.05695,60,-0.3134,52,-0.4895,69,-0.0556,75,0.08090
ENSG00000117616,RSRP1,41,-0.4837,88,0.69650,70,0.36218,26,-1.1576,57,0.00835,58,0.03422,57,0.01175,50,-0.2184
ENSG00000183726,TMEM50A,38,-0.7783,53,-0.2978,64,0.00854,52,-0.3085,70,0.16649,88,0.50735,91,0.55499,54,-0.2920
ENSG00000204178,MACO1,37,0.28122,36,0.21463,26,-0.2983,18,-0.8099,41,0.56358,29,-0.1344,32,0.02533,23,-0.4895
ENSG00000117643,MAN1C1,46,0.99041,12,-1.0849,8,-1.6989,21,-0.2124,33,0.55451,42,0.84861,20,-0.3081,20,-0.3283
ENSG00000162430,SELENON,43,0.04839,19,-1.1542,60,0.66005,26,-0.7009,36,-0.2622,53,0.37970,74,0.91671,28,-0.6652
ENSG00000117640,MTFR1L,69,-0.2267,93,0.24268,87,0.15827,72,-0.1522,84,0.09895,103,0.40301,70,-0.2125,62,-0.4259
ENSG00000182749,PAQR7,10,-0.5545,16,0.16306,20,0.56619,6,-1.1790,10,-0.6377,18,0.37618,19,0.48558,16,0.20520
ENSG00000117632,STMN1,1630,0.74858,1062,0.05607,835,-0.3468,1348,0.43735,1186,0.28835,397,-1.4433,855,-0.2822,888,-0.2445
ENSG00000175087,PDIK1L,9,-0.8434,15,-0.0520,29,1.22539,7,-1.0340,20,0.54544,7,-1.1398,6,-1.2894,10,-0.7351
ENSG00000142684,ZNF593,90,0.97960,64,0.41019,27,-0.9915,136,1.70680,42,-0.3109,18,-1.5379,29,-0.8239,38,-0.4338
ENSG00000142669,SH3BGRL3,541,1.59988,256,0.32638,109,-1.0585,161,-0.4003,174,-0.3405,168,-0.3348,233,0.17745,201,-0.0624
ENSG00000158062,UBXN11,16,-0.5741,26,0.20272,36,0.79060,11,-1.1037,24,0.05814,21,-0.1416,22,-0.0493,19,-0.3504
ENSG00000117682,DHDDS,32,0.49698,28,0.28360,28,0.36701,17,-0.4549,26,0.22671,18,-0.3946,25,0.12513,11,-1.1262
ENSG00000198830,HMGN2,76,-1.6833,310,0.45747,363,0.81068,242,0.06553,219,-0.1125,165,-0.5349,199,-0.2390,207,-0.1953
ENSG00000117713,ARID1A,30,-1.0606,53,-0.1997,82,0.53891,41,-0.6067,62,0.04316,58,-0.0559,73,0.29642,60,0.00239
ENSG00000204160,ZDHHC18,47,0.66661,36,0.23656,40,0.43923,14,-1.2205,32,0.07513,35,0.19230,17,-0.8923,23,-0.4776
ENSG00000142751,GPN2,15,-0.6087,24,0.11493,23,0.04584,28,0.36495,30,0.56782,24,0.09690,9,-1.3521,16,-0.4921
ENSG00000090273,NUDC,92,-0.8776,153,-0.0912,208,0.43519,197,0.30857,163,0.01149,114,-0.5414,127,-0.3799,180,0.17875
ENSG00000253368,TRNP1,63,0.33370,53,0.04912,33,-0.7433,65,0.36612,64,0.44779,36,-0.5378,28,-0.9149,56,0.15534
ENSG00000090020,SLC9A1,11,-0.8099,16,-0.3024,15,-0.3953,16,-0.2637,31,0.95471,28,0.57832,6,-1.6171,16,-0.3104
ENSG00000142784,WDTC1,36,-0.0661,32,-0.2674,33,-0.2201,51,0.44810,42,0.20954,40,0.07753,44,0.24015,30,-0.4167
ENSG00000186501,TMEM222,79,-0.0892,117,0.53097,107,0.43699,62,-0.4533,95,0.24441,58,-0.5739,60,-0.5200,65,-0.4259
ENSG00000158195,WASF2,8,-1.8428,21,-0.4871,46,0.85216,5,-2.4001,19,-0.7019,20,-0.5911,81,1.73025,30,0.06956
ENSG00000126705,AHDC1,10,-2.1180,42,0.01717,48,0.22316,61,0.60690,58,0.66382,28,-0.5947,46,0.14089,23,-1.0004
ENSG00000126709,IFI6,674,1.13809,802,1.44450,733,1.50655,102,-1.8071,112,-1.8765,68,-2.3964,409,0.30748,92,-2.0545
ENSG00000009780,FAM76A,15,-0.6834,22,-0.0826,33,0.60076,36,0.68799,17,-0.5487,21,-0.1647,29,0.35174,20,-0.2689
ENSG00000117758,STX12,87,-0.4492,141,0.30480,99,-0.2730,194,0.82370,120,0.05817,89,-0.4119,128,0.14764,100,-0.2624
ENSG00000117751,PPP1R8,19,-0.9573,29,-0.3438,31,-0.2347,32,-0.1781,57,0.94398,39,0.14478,40,0.17236,20,-0.9500
