gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank	n_naSamps
ENSG00000054356	PTPRN	106	NA	NA	241	NA	NA	NA	NA	173.5	6
ENSG00000054803	CBLN4	NA	126	NA	111	NA	NA	83	61	95.25	4
ENSG00000058668	ATP2B4	168	NA	NA	NA	NA	NA	NA	NA	168	7
ENSG00000059758	CDK17	135	NA	NA	NA	NA	NA	NA	NA	135	7
ENSG00000061938	TNK2	NA	179	NA	NA	NA	NA	NA	NA	179	7
ENSG00000063177	RPL18	101	152	NA	NA	94	NA	NA	NA	115.666666666667	5
ENSG00000063322	MED29	NA	NA	NA	NA	163	NA	NA	NA	163	7
ENSG00000064787	BCAS1	NA	128	NA	NA	NA	NA	NA	NA	128	7
ENSG00000065518	NDUFB4	NA	178	NA	NA	NA	NA	NA	NA	178	7
ENSG00000067560	RHOA	127	NA	NA	NA	NA	NA	NA	NA	127	7
ENSG00000067715	SYT1	NA	NA	NA	NA	112	NA	NA	NA	112	7
ENSG00000068831	RASGRP2	NA	NA	NA	317	NA	NA	NA	NA	317	7
ENSG00000069345	DNAJA2	NA	NA	NA	162	NA	NA	NA	NA	162	7
ENSG00000069482	GAL	NA	11	64	7	22	NA	16	22	23.6666666666667	2
ENSG00000069849	ATP1B3	NA	NA	NA	124	NA	NA	NA	NA	124	7
ENSG00000070061	ELP1	NA	NA	NA	NA	184	NA	NA	NA	184	7
ENSG00000070729	CNGB1	NA	NA	NA	258	NA	NA	NA	NA	258	7
ENSG00000070756	PABPC1	NA	NA	NA	NA	233	NA	NA	NA	233	7
ENSG00000070808	CAMK2A	NA	NA	NA	288	NA	NA	NA	NA	288	7
ENSG00000070831	CDC42	112	NA	NA	NA	NA	NA	NA	NA	112	7
ENSG00000071082	RPL31	NA	NA	NA	201	NA	NA	NA	NA	201	7
ENSG00000072062	PRKACA	NA	NA	NA	295	NA	NA	NA	NA	295	7
ENSG00000073969	NSF	NA	NA	NA	118	155	NA	NA	NA	136.5	6
ENSG00000074800	ENO1	95	NA	NA	NA	NA	NA	NA	NA	95	7
ENSG00000075151	EIF4G3	NA	NA	NA	140	NA	NA	NA	NA	140	7
ENSG00000076685	NT5C2	NA	NA	NA	318	NA	NA	NA	NA	318	7
ENSG00000076864	RAP1GAP	171	NA	NA	NA	NA	NA	NA	NA	171	7
ENSG00000077942	FBLN1	NA	55	NA	NA	NA	NA	NA	NA	55	7
ENSG00000078018	MAP2	35	NA	43	NA	41	NA	NA	NA	39.6666666666667	5
ENSG00000078328	RBFOX1	121	NA	NA	NA	NA	NA	NA	NA	121	7
ENSG00000079215	SLC1A3	NA	311	NA	NA	NA	NA	42	NA	176.5	6
ENSG00000079459	FDFT1	NA	NA	NA	235	NA	NA	NA	NA	235	7
ENSG00000079689	SCGN	NA	NA	NA	NA	6	4	NA	NA	5	6
ENSG00000080824	HSP90AA1	NA	NA	NA	NA	158	NA	NA	NA	158	7
ENSG00000081087	OSTM1	NA	229	NA	NA	NA	NA	NA	NA	229	7
ENSG00000081154	PCNP	NA	189	NA	NA	NA	NA	NA	NA	189	7
ENSG00000082556	OPRK1	170	NA	NA	174	NA	NA	NA	NA	172	6
ENSG00000082805	ERC1	NA	NA	NA	NA	282	NA	NA	NA	282	7
ENSG00000083067	TRPM3	NA	NA	NA	NA	278	NA	NA	NA	278	7
ENSG00000084444	FAM234B	NA	NA	NA	85	NA	NA	NA	NA	85	7
ENSG00000085063	CD59	NA	209	NA	NA	NA	NA	NA	NA	209	7
ENSG00000085365	SCAMP1	NA	233	NA	NA	NA	NA	NA	NA	233	7
ENSG00000085433	WDR47	NA	NA	NA	183	NA	NA	NA	NA	183	7
ENSG00000085733	CTTN	NA	NA	NA	NA	257	NA	NA	NA	257	7
ENSG00000086289	EPDR1	150	NA	NA	NA	NA	NA	NA	NA	150	7
ENSG00000087085	ACHE	NA	NA	NA	293	NA	NA	NA	NA	293	7
ENSG00000087250	MT3	181	NA	NA	45	NA	NA	NA	98	108	5
ENSG00000087460	GNAS	NA	20	NA	4	44	48	35	45	32.6666666666667	2
ENSG00000088727	KIF9	NA	171	NA	NA	NA	NA	NA	NA	171	7
ENSG00000088986	DYNLL1	NA	150	NA	169	NA	NA	49	73	110.25	4
ENSG00000089009	RPL6	130	NA	NA	NA	NA	NA	37	NA	83.5	6
ENSG00000089157	RPLP0	NA	248	NA	281	NA	NA	NA	NA	264.5	6
ENSG00000089199	CHGB	NA	NA	NA	164	NA	NA	NA	64	114	6
ENSG00000090266	NDUFB2	NA	137	NA	NA	NA	NA	NA	NA	137	7
ENSG00000091129	NRCAM	NA	NA	NA	275	NA	NA	NA	NA	275	7
ENSG00000091513	TF	NA	NA	NA	302	NA	NA	NA	NA	302	7
ENSG00000091592	NLRP1	NA	289	NA	NA	NA	NA	NA	NA	289	7
ENSG00000091664	SLC17A6	NA	110	NA	NA	110	NA	NA	NA	110	6
ENSG00000092096	SLC22A17	NA	NA	NA	NA	240	NA	NA	42	141	6
ENSG00000092108	SCFD1	NA	NA	NA	NA	205	NA	NA	NA	205	7
ENSG00000092841	MYL6	NA	217	NA	245	NA	NA	NA	NA	231	6
ENSG00000092964	DPYSL2	129	NA	NA	36	NA	NA	NA	NA	82.5	6
ENSG00000095596	CYP26A1	NA	23	NA	20	NA	NA	NA	NA	21.5	6
ENSG00000096384	HSP90AB1	157	NA	NA	NA	NA	NA	NA	NA	157	7
ENSG00000097021	ACOT7	NA	NA	NA	321	NA	NA	NA	NA	321	7
ENSG00000099194	SCD	NA	76	NA	59	NA	53	NA	NA	62.6666666666667	5
ENSG00000099795	NDUFB7	NA	NA	NA	NA	154	NA	NA	NA	154	7
ENSG00000099860	GADD45B	NA	NA	NA	NA	46	NA	NA	NA	46	7
ENSG00000100030	MAPK1	NA	226	NA	NA	NA	NA	NA	NA	226	7
ENSG00000100095	SEZ6L	48	NA	NA	NA	96	NA	NA	NA	72	6
ENSG00000100097	LGALS1	NA	NA	NA	184	NA	NA	NA	122	153	6
ENSG00000100138	SNU13	NA	NA	NA	150	NA	NA	NA	NA	150	7
ENSG00000100142	POLR2F	NA	NA	NA	279	NA	NA	NA	NA	279	7
ENSG00000100316	RPL3	NA	157	NA	136	92	NA	NA	NA	128.333333333333	5
ENSG00000100473	COCH	NA	NA	NA	171	NA	NA	NA	NA	171	7
ENSG00000100604	CHGA	NA	NA	NA	NA	120	NA	NA	NA	120	7
ENSG00000100644	HIF1A	NA	NA	NA	NA	275	NA	NA	NA	275	7
ENSG00000100650	SRSF5	NA	NA	NA	NA	216	NA	NA	NA	216	7
ENSG00000100911	PSME2	NA	NA	NA	NA	256	NA	NA	NA	256	7
ENSG00000101079	NDRG3	188	NA	NA	NA	NA	NA	NA	NA	188	7
ENSG00000101152	DNAJC5	155	NA	NA	NA	NA	NA	NA	NA	155	7
ENSG00000101180	HRH3	176	NA	NA	NA	115	NA	NA	NA	145.5	6
ENSG00000101182	PSMA7	NA	167	NA	NA	NA	NA	NA	NA	167	7
ENSG00000101200	AVP	3	14	1	1	3	7	51	NA	11.4285714285714	1
ENSG00000101210	EEF1A2	89	NA	NA	NA	NA	NA	52	NA	70.5	6
ENSG00000101327	PDYN	NA	NA	NA	70	55	NA	NA	NA	62.5	6
ENSG00000101333	PLCB4	NA	NA	NA	300	NA	NA	NA	NA	300	7
ENSG00000101335	MYL9	NA	158	NA	NA	NA	NA	NA	NA	158	7
ENSG00000101405	OXT	NA	256	37	146	24	16	NA	NA	95.8	3
ENSG00000101439	CST3	NA	24	39	12	63	NA	NA	41	35.8	3
ENSG00000101746	NOL4	70	NA	NA	NA	NA	NA	NA	NA	70	7
ENSG00000101856	PGRMC1	184	NA	NA	100	199	NA	NA	NA	161	5
ENSG00000101977	MCF2	NA	NA	NA	NA	197	NA	NA	NA	197	7
ENSG00000102038	SMARCA1	NA	123	NA	NA	NA	NA	NA	NA	123	7
ENSG00000102109	PCSK1N	NA	197	NA	61	146	NA	36	24	92.8	3
ENSG00000102241	HTATSF1	NA	118	NA	NA	NA	NA	NA	NA	118	7
ENSG00000102265	TIMP1	NA	NA	NA	NA	169	NA	NA	NA	169	7
ENSG00000102287	GABRE	NA	52	NA	73	NA	NA	NA	NA	62.5	6
ENSG00000102466	FGF14	NA	NA	NA	NA	NA	NA	NA	127	127	7
ENSG00000102924	CBLN1	NA	NA	NA	72	NA	NA	NA	NA	72	7
ENSG00000103653	CSK	NA	NA	NA	NA	NA	NA	81	NA	81	7
ENSG00000104112	SCG3	NA	NA	NA	NA	NA	NA	40	NA	40	7
ENSG00000104327	CALB1	NA	116	NA	314	39	NA	NA	60	132.25	4
ENSG00000104388	RAB2A	NA	304	NA	265	NA	NA	NA	NA	284.5	6
ENSG00000104435	STMN2	60	NA	NA	NA	NA	NA	NA	NA	60	7
ENSG00000104490	NCALD	NA	NA	NA	NA	277	NA	NA	128	202.5	6
ENSG00000104549	SQLE	NA	NA	NA	NA	180	NA	NA	NA	180	7
ENSG00000104722	NEFM	NA	69	NA	103	NA	NA	NA	44	72	5
ENSG00000104723	TUSC3	NA	NA	NA	220	NA	NA	NA	NA	220	7
ENSG00000104823	ECH1	NA	NA	NA	NA	NA	NA	NA	115	115	7
ENSG00000105193	RPS16	NA	163	NA	NA	NA	NA	NA	NA	163	7
ENSG00000105223	PLD3	50	NA	57	152	NA	NA	61	NA	80	4
ENSG00000105258	POLR2I	NA	276	NA	225	NA	NA	NA	NA	250.5	6
ENSG00000105270	CLIP3	NA	NA	NA	NA	NA	NA	NA	104	104	7
ENSG00000105290	APLP1	NA	NA	NA	NA	NA	NA	NA	108	108	7
ENSG00000105323	HNRNPUL1	NA	NA	NA	NA	108	NA	NA	NA	108	7
ENSG00000105409	ATP1A3	NA	321	NA	NA	NA	NA	NA	NA	321	7
ENSG00000105619	TFPT	NA	282	NA	NA	NA	NA	NA	NA	282	7
ENSG00000105640	RPL18A	NA	231	NA	178	NA	NA	NA	NA	204.5	6
ENSG00000105696	TMEM59L	NA	NA	NA	307	NA	NA	NA	NA	307	7
ENSG00000105701	FKBP8	NA	NA	NA	NA	NA	NA	58	NA	58	7
ENSG00000105819	PMPCB	NA	NA	NA	NA	125	NA	NA	NA	125	7
ENSG00000105894	PTN	NA	269	NA	NA	NA	NA	NA	NA	269	7
ENSG00000105954	NPVF	NA	NA	NA	2	NA	NA	NA	NA	2	7
ENSG00000106211	HSPB1	NA	NA	NA	NA	48	NA	NA	NA	48	7
ENSG00000106236	NPTX2	53	105	36	62	78	NA	NA	78	68.6666666666667	2
ENSG00000106245	BUD31	NA	255	NA	NA	NA	NA	NA	NA	255	7
ENSG00000106278	PTPRZ1	NA	NA	NA	153	NA	NA	NA	NA	153	7
ENSG00000106460	TMEM106B	NA	NA	NA	188	NA	NA	NA	NA	188	7
ENSG00000106624	AEBP1	NA	NA	NA	NA	NA	26	NA	NA	26	7
ENSG00000106780	MEGF9	NA	313	NA	NA	NA	NA	NA	NA	313	7
ENSG00000106799	TGFBR1	NA	NA	NA	NA	NA	NA	NA	136	136	7
ENSG00000107317	PTGDS	NA	33	42	54	NA	NA	NA	107	59	4
ENSG00000107742	SPOCK2	139	NA	NA	NA	NA	NA	NA	NA	139	7
ENSG00000107758	PPP3CB	192	266	NA	NA	NA	NA	NA	NA	229	6
ENSG00000107796	ACTA2	161	50	NA	NA	NA	NA	NA	NA	105.5	6
ENSG00000108107	RPL28	NA	NA	NA	95	NA	NA	NA	NA	95	7
ENSG00000108389	MTMR4	NA	NA	NA	217	NA	NA	NA	NA	217	7
ENSG00000108551	RASD1	NA	91	NA	39	NA	NA	NA	NA	65	6
ENSG00000108654	DDX5	NA	NA	NA	294	178	NA	NA	NA	236	6
ENSG00000108679	LGALS3BP	NA	235	NA	NA	NA	NA	NA	NA	235	7
ENSG00000108691	CCL2	NA	NA	NA	NA	47	NA	NA	NA	47	7
ENSG00000108828	VAT1	NA	170	NA	NA	NA	NA	NA	89	129.5	6
ENSG00000108854	SMURF2	NA	NA	NA	NA	64	NA	NA	NA	64	7
ENSG00000108861	DUSP3	NA	NA	NA	230	NA	NA	NA	NA	230	7
ENSG00000108946	PRKAR1A	NA	127	NA	NA	NA	NA	NA	NA	127	7
ENSG00000108947	EFNB3	NA	NA	73	NA	NA	NA	NA	NA	73	7
ENSG00000109107	ALDOC	111	NA	NA	110	NA	NA	NA	NA	110.5	6
ENSG00000109255	NMU	NA	27	NA	23	75	NA	NA	NA	41.6666666666667	5
ENSG00000109472	CPE	NA	193	54	NA	89	27	NA	NA	90.75	4
ENSG00000109475	RPL34	31	49	NA	50	242	NA	NA	NA	93	4
ENSG00000109738	GLRB	NA	200	NA	NA	NA	NA	NA	NA	200	7
ENSG00000109846	CRYAB	NA	NA	NA	NA	276	NA	NA	NA	276	7
ENSG00000109971	HSPA8	118	NA	NA	305	113	NA	71	23	126	3
ENSG00000110002	VWA5A	NA	318	NA	NA	NA	NA	NA	NA	318	7
ENSG00000110436	SLC1A2	NA	159	NA	114	58	45	53	NA	85.8	3
ENSG00000110700	RPS13	NA	154	NA	NA	NA	NA	NA	NA	154	7
ENSG00000110888	CAPRIN2	NA	NA	NA	NA	229	NA	NA	NA	229	7
ENSG00000111341	MGP	NA	21	NA	NA	119	NA	NA	NA	70	6
ENSG00000111596	CNOT2	NA	NA	NA	NA	212	NA	NA	NA	212	7
ENSG00000111640	GAPDH	NA	86	NA	313	NA	NA	39	50	122	4
ENSG00000111676	ATN1	NA	NA	NA	NA	230	NA	NA	NA	230	7
ENSG00000111678	C12orf57	NA	NA	NA	138	NA	NA	NA	NA	138	7
ENSG00000111696	NT5DC3	NA	240	NA	NA	NA	NA	NA	NA	240	7
ENSG00000111775	COX6A1	73	NA	NA	NA	NA	NA	NA	NA	73	7
ENSG00000111885	MAN1A1	NA	237	NA	208	NA	NA	NA	NA	222.5	6
ENSG00000111897	SERINC1	99	NA	NA	106	NA	NA	NA	NA	102.5	6
ENSG00000111907	TPD52L1	90	NA	NA	NA	NA	NA	NA	105	97.5	6
ENSG00000112305	SMAP1	NA	NA	NA	NA	91	NA	NA	NA	91	7
ENSG00000112306	RPS12	NA	108	NA	NA	NA	NA	NA	NA	108	7
ENSG00000112309	B3GAT2	NA	NA	NA	NA	209	NA	NA	91	150	6
ENSG00000112531	QKI	NA	NA	44	NA	NA	NA	NA	NA	44	7
ENSG00000112576	CCND3	NA	239	NA	NA	NA	NA	NA	NA	239	7
ENSG00000112697	TMEM30A	NA	NA	NA	247	NA	NA	NA	NA	247	7
ENSG00000112701	SENP6	NA	NA	NA	NA	264	NA	NA	NA	264	7
ENSG00000112902	SEMA5A	125	NA	NA	NA	NA	NA	NA	NA	125	7
ENSG00000113140	SPARC	NA	57	NA	46	81	2	79	66	55.1666666666667	2
ENSG00000113319	RASGRF2	NA	NA	66	264	NA	NA	NA	NA	165	6
ENSG00000113327	GABRG2	NA	NA	NA	269	NA	NA	NA	NA	269	7
ENSG00000113387	SUB1	NA	NA	NA	262	NA	NA	NA	NA	262	7
ENSG00000113460	BRIX1	NA	NA	NA	NA	247	NA	NA	NA	247	7
ENSG00000113645	WWC1	NA	NA	NA	NA	90	NA	NA	NA	90	7
ENSG00000114391	RPL24	NA	258	NA	128	227	NA	NA	NA	204.333333333333	5
ENSG00000115138	POMC	71	31	29	22	161	15	19	40	48.5	0
ENSG00000115268	RPS15	NA	144	NA	214	NA	NA	NA	NA	179	6
ENSG00000115355	CCDC88A	NA	NA	NA	NA	150	NA	NA	NA	150	7
ENSG00000115461	IGFBP5	32	92	51	30	43	NA	44	26	45.4285714285714	1
ENSG00000115541	HSPE1	NA	NA	NA	NA	68	NA	NA	NA	68	7
ENSG00000115756	HPCAL1	NA	221	NA	198	NA	37	NA	76	133	4
ENSG00000115828	QPCT	NA	295	NA	276	NA	NA	NA	63	211.333333333333	5
ENSG00000116014	KISS1R	120	NA	NA	NA	NA	NA	NA	NA	120	7
ENSG00000116661	FBXO2	NA	NA	NA	109	NA	NA	NA	NA	109	7
ENSG00000116675	DNAJC6	NA	NA	NA	203	NA	NA	NA	NA	203	7
ENSG00000116729	WLS	NA	181	NA	NA	NA	NA	NA	NA	181	7
ENSG00000116983	HPCAL4	83	NA	NA	NA	NA	NA	NA	NA	83	7
ENSG00000117054	ACADM	NA	NA	NA	227	NA	NA	NA	NA	227	7
ENSG00000117600	PLPPR4	NA	NA	NA	168	NA	NA	NA	NA	168	7
ENSG00000117906	RCN2	NA	205	NA	NA	NA	NA	NA	NA	205	7
ENSG00000118181	RPS25	NA	180	NA	234	NA	NA	NA	NA	207	6
ENSG00000118271	TTR	NA	36	NA	NA	NA	NA	NA	3	19.5	6
ENSG00000118432	CNR1	NA	267	NA	77	NA	NA	NA	NA	172	6
ENSG00000118702	GHRH	NA	4	NA	3	NA	NA	24	NA	10.3333333333333	5
ENSG00000118705	RPN2	NA	195	NA	NA	NA	NA	NA	NA	195	7
ENSG00000118785	SPP1	NA	NA	NA	NA	65	NA	NA	NA	65	7
ENSG00000118946	PCDH17	NA	NA	NA	NA	121	NA	NA	NA	121	7
ENSG00000119698	PPP4R4	169	NA	NA	NA	NA	NA	NA	NA	169	7
ENSG00000119782	FKBP1B	185	NA	NA	NA	NA	NA	NA	NA	185	7
ENSG00000120129	DUSP1	NA	106	NA	NA	NA	NA	NA	NA	106	7
ENSG00000120694	HSPH1	NA	NA	NA	NA	33	NA	NA	NA	33	7
ENSG00000120738	EGR1	NA	NA	NA	NA	164	NA	NA	NA	164	7
ENSG00000120837	NFYB	NA	NA	NA	NA	176	NA	NA	NA	176	7
ENSG00000120885	CLU	NA	NA	NA	NA	77	41	33	135	71.5	4
ENSG00000121413	ZSCAN18	NA	NA	NA	NA	283	NA	NA	NA	283	7
ENSG00000121957	GPSM2	NA	NA	NA	NA	133	NA	NA	NA	133	7
ENSG00000122012	SV2C	NA	NA	NA	NA	NA	22	NA	NA	22	7
ENSG00000122026	RPL21	NA	77	NA	NA	NA	NA	NA	NA	77	7
ENSG00000122068	FYTTD1	NA	164	NA	NA	NA	NA	NA	NA	164	7
ENSG00000122406	RPL5	NA	254	NA	NA	NA	NA	NA	NA	254	7
ENSG00000122585	NPY	57	35	49	14	NA	NA	NA	NA	38.75	4
ENSG00000122591	FAM126A	NA	NA	62	NA	NA	NA	NA	NA	62	7
ENSG00000122786	CALD1	NA	NA	NA	NA	95	NA	NA	NA	95	7
ENSG00000122862	SRGN	NA	NA	NA	NA	165	NA	NA	NA	165	7
ENSG00000123349	PFDN5	NA	NA	NA	212	NA	NA	NA	NA	212	7
ENSG00000123416	TUBA1B	11	43	21	37	224	NA	NA	NA	67.2	3
ENSG00000123560	PLP1	10	68	22	18	NA	46	NA	34	33	2
ENSG00000123612	ACVR1C	105	NA	NA	NA	82	NA	NA	NA	93.5	6
ENSG00000124172	ATP5F1E	68	60	NA	41	86	NA	55	NA	62	3
ENSG00000124225	PMEPA1	NA	NA	NA	NA	218	NA	NA	NA	218	7
ENSG00000124299	PEPD	NA	NA	NA	NA	253	NA	NA	NA	253	7
ENSG00000124733	MEA1	117	NA	NA	NA	NA	NA	NA	NA	117	7
ENSG00000124762	CDKN1A	NA	NA	NA	NA	204	NA	NA	NA	204	7
ENSG00000124767	GLO1	NA	309	NA	NA	NA	NA	NA	NA	309	7
ENSG00000125144	MT1G	NA	99	NA	NA	NA	NA	NA	NA	99	7
ENSG00000125148	MT2A	NA	220	NA	NA	NA	NA	NA	NA	220	7
ENSG00000125249	RAP2A	64	NA	NA	NA	NA	NA	NA	NA	64	7
ENSG00000125354	SEPTIN6	NA	NA	NA	NA	NA	NA	62	NA	62	7
ENSG00000125355	TMEM255A	69	103	60	NA	NA	NA	NA	NA	77.3333333333333	5
ENSG00000125462	C1orf61	NA	109	NA	47	280	NA	NA	126	140.5	4
ENSG00000125505	MBOAT7	134	NA	NA	NA	NA	NA	NA	NA	134	7
ENSG00000125691	RPL23	NA	NA	NA	NA	NA	NA	NA	134	134	7
ENSG00000125827	TMX4	158	NA	NA	NA	NA	NA	NA	NA	158	7
ENSG00000125841	NRSN2	NA	NA	NA	NA	136	NA	NA	NA	136	7
ENSG00000125851	PCSK2	NA	202	NA	NA	NA	NA	NA	129	165.5	6
ENSG00000125868	DSTN	NA	274	NA	NA	NA	NA	NA	NA	274	7
ENSG00000125869	LAMP5	98	NA	NA	NA	NA	NA	NA	NA	98	7
ENSG00000125931	CITED1	NA	285	NA	277	NA	NA	50	NA	204	5
ENSG00000125968	ID1	NA	NA	NA	NA	51	NA	NA	NA	51	7
ENSG00000125971	DYNLRB1	85	NA	NA	NA	NA	NA	NA	NA	85	7
ENSG00000125977	EIF2S2	NA	NA	NA	NA	262	NA	NA	NA	262	7
ENSG00000126709	IFI6	NA	175	NA	NA	213	NA	1	75	116	4
ENSG00000126767	ELK1	NA	NA	NA	215	NA	NA	74	NA	144.5	6
ENSG00000126950	TMEM35A	14	272	NA	NA	NA	NA	NA	46	110.666666666667	5
ENSG00000127022	CANX	NA	NA	63	NA	NA	NA	NA	NA	63	7
ENSG00000127184	COX7C	NA	NA	NA	60	135	NA	NA	NA	97.5	6
ENSG00000127314	RAP1B	NA	277	NA	NA	NA	NA	NA	NA	277	7
ENSG00000127561	SYNGR3	NA	NA	NA	172	NA	NA	NA	NA	172	7
ENSG00000127955	GNAI1	NA	NA	NA	NA	171	NA	NA	NA	171	7
ENSG00000128016	ZFP36	NA	1	NA	NA	NA	NA	NA	NA	1	7
ENSG00000128245	YWHAH	NA	NA	NA	117	NA	NA	NA	NA	117	7
ENSG00000128463	EMC4	NA	NA	NA	NA	285	NA	NA	NA	285	7
ENSG00000128564	VGF	43	22	46	27	38	NA	NA	30	34.3333333333333	2
ENSG00000128609	NDUFA5	115	NA	NA	NA	NA	NA	NA	NA	115	7
ENSG00000128610	FEZF1	21	236	30	219	98	42	NA	NA	107.666666666667	2
ENSG00000128656	CHN1	109	NA	75	48	236	NA	NA	NA	117	4
ENSG00000128683	GAD1	NA	56	NA	NA	NA	23	NA	138	72.3333333333333	5
ENSG00000128739	SNRPN	NA	NA	NA	NA	128	NA	NA	NA	128	7
ENSG00000129055	ANAPC13	NA	NA	NA	303	NA	NA	NA	NA	303	7
ENSG00000129235	TXNDC17	NA	NA	NA	297	NA	NA	NA	NA	297	7
ENSG00000129244	ATP1B2	NA	NA	NA	179	258	NA	NA	NA	218.5	6
ENSG00000129355	CDKN2D	NA	NA	NA	260	NA	NA	NA	NA	260	7
ENSG00000129625	REEP5	NA	NA	NA	233	NA	NA	NA	NA	233	7
ENSG00000130203	APOE	NA	88	31	71	NA	NA	NA	85	68.75	4
ENSG00000130208	APOC1	NA	NA	NA	NA	NA	NA	72	94	83	6
ENSG00000130255	RPL36	NA	291	NA	51	NA	NA	NA	NA	171	6
ENSG00000130414	NDUFA10	NA	NA	NA	240	NA	NA	NA	NA	240	7
ENSG00000130477	UNC13A	NA	NA	NA	NA	NA	47	NA	NA	47	7
ENSG00000130511	SSBP4	NA	184	NA	NA	NA	NA	NA	NA	184	7
ENSG00000130540	SULT4A1	NA	NA	NA	182	NA	NA	NA	NA	182	7
ENSG00000130643	CALY	NA	90	NA	108	93	NA	34	49	74.8	3
ENSG00000130748	TMEM160	NA	310	NA	NA	NA	NA	NA	NA	310	7
ENSG00000130770	ATP5IF1	NA	234	NA	NA	NA	NA	86	NA	160	6
ENSG00000130822	PNCK	77	NA	NA	187	NA	NA	NA	NA	132	6
ENSG00000131016	AKAP12	137	NA	NA	NA	NA	NA	NA	NA	137	7
ENSG00000131095	GFAP	5	6	4	8	20	1	21	2	8.375	0
ENSG00000131171	SH3BGRL	179	NA	NA	NA	NA	NA	NA	NA	179	7
ENSG00000131174	COX7B	116	NA	NA	NA	NA	NA	NA	NA	116	7
ENSG00000131495	NDUFA2	132	NA	NA	NA	NA	NA	NA	NA	132	7
ENSG00000131507	NDFIP1	NA	NA	NA	243	NA	NA	NA	NA	243	7
ENSG00000131711	MAP1B	107	NA	NA	NA	NA	NA	38	NA	72.5	6
ENSG00000132002	DNAJB1	NA	NA	NA	NA	30	NA	NA	NA	30	7
ENSG00000132432	SEC61G	NA	223	NA	NA	NA	NA	NA	NA	223	7
ENSG00000132639	SNAP25	NA	NA	NA	159	NA	NA	NA	NA	159	7
ENSG00000132670	PTPRA	NA	207	NA	NA	NA	NA	NA	NA	207	7
ENSG00000132821	VSTM2L	91	NA	NA	NA	NA	NA	NA	NA	91	7
ENSG00000132872	SYT4	NA	NA	NA	253	NA	NA	NA	139	196	6
ENSG00000132932	ATP8A2	NA	NA	NA	291	NA	NA	NA	NA	291	7
ENSG00000133083	DCLK1	NA	165	NA	NA	NA	NA	NA	NA	165	7
ENSG00000133112	TPT1	NA	83	NA	NA	83	NA	NA	NA	83	6
