label	pval	fdr	signature	geneset	overlap	background	hits	spdomain_sex
NDD	0.22	0.76	351	1201	38	12622	RPS6KA3 , WNT4 , VRK1 , DNMT3A , WNT3 , SACS , GNAO1 , ORC4 , ZC4H2 , TTC19 , AASS , MICU1 , BRAF , FAR1 , SLC16A2 , KIF2A , SOS1 , MBD5 , CUL4B , SPR , CERT1 , NSD1 , USP18 , DCC , DDX6 , PHACTR1 , BRD4 , OXR1 , PPP1R12A , SEMA3A , ANKRD17 , SERAC1 , ZBTB24 , ASS1 , AKAP6 , FRY , ACOT9 , SNX27	X5_MaleUp
OUD	0.3	0.76	351	162	6	12622	KIF2A , GAPVD1 , SCAI , TTC9 , PENK , NAV3	X5_MaleUp
TS	0.3	0.76	351	39	2	12622	EFNA5 , ZNF382	X5_MaleUp
OCD	0.42	0.93	351	255	8	12622	NRXN3 , GPATCH2L , CACNA2D3 , SYNRG , MSL2 , AGO3 , PRPF38B , MAGI2	X5_MaleUp
BIP	0.5	0.93	351	310	9	12622	PBRM1 , OSBPL2 , PACSIN2 , ANK3 , MICU1 , CKMT1A , GSTP1 , THSD7A , NRXN3	X5_MaleUp
CUD	0.57	0.93	351	30	1	12622	PENK	X5_MaleUp
PTSD	0.62	0.93	351	34	1	12622	WNT3	X5_MaleUp
Anorexia	0.64	0.93	351	78	2	12622	EXOC4 , ESYT1	X5_MaleUp
MDD	0.68	0.93	351	2117	56	12622	DCC , SYT4 , OXR1 , GAPVD1 , ADARB1 , NUP43 , AP1G1 , PIK3R1 , PDXDC1 , LARP6 , NAP1L4 , RELT , TTC28-AS1 , FAXC , CDKL2 , MAPK10 , TRIM36 , KANSL1-AS1 , CAPRIN2 , GNAZ , MAGI2 , SCAI , ORC4 , PIP4K2C , SYT9 , PBRM1 , ZFYVE1 , TMEM117 , TMEM155 , AMPH , HS3ST5 , KIF2A , CSMD3 , RRAGC , CRYZ , RXRG , DYSF , SPR , RPE , EFNA5 , THSD7A , ESYT1 , KATNAL1 , RASGRP1 , CDR2 , WDR7 , SNX27 , USP35 , KCTD10 , ATXN3 , EHD3 , NTS , SLIT3 , DGKB , GABRA3 , PENK	X5_MaleUp
ADHD	0.76	0.93	351	587	14	12622	DCC , SYT4 , B4GALT2 , VRK1 , EHD3 , PPP1R12A , NUP43 , RAP1GAP2 , LMO7 , PIK3R1 , SLC22A15 , MSL2 , RTL5 , HAUS3	X5_MaleUp
AD	0.77	0.93	351	593	14	12622	HS3ST5 , ANK3 , PLEKHA1 , SNX22 , GNAO1 , RNF111 , THSD7A , ZFP90 , RNF40 , GRAMD1B , MTMR3 , TMEM170B , PHACTR1 , CAMK4	X5_MaleUp
SCZ	0.93	1	351	1757	40	12622	XPO7 , MAGI2 , AKAP6 , C1orf216 , CPEB1 , DCC , DNMT3A , EFNA5 , EXOC4 , GRAMD1B , GRM3 , KANSL1-AS1 , PPP1R21 , WNT3 , MSL2 , PBRM1 , KANSL3 , ORC4 , DIP2B , KCTD10 , RNF111 , KIF2A , PFDN6 , PACSIN2 , PPP3R1 , ANK3 , NOS1AP , GNAO1 , NTS , PIK3CB , GSTP1 , PIP4K2C , UHMK1 , NRXN3 , SEMA3A , ADARB1 , ALDH1A1 , HSPA12A , KCNQ3 , SLIT3	X5_MaleUp
Lefthanded	1	1	351	30	0	12622		X5_MaleUp
BMI	1	1	351	3843	74	12622	SHTN1 , RNF40 , SAMD11 , MSL2 , EXOC4 , NEIL2 , DCUN1D4 , CACUL1 , CERT1 , PBRM1 , NAP1L4 , EIF5A2 , ARL8A , TTC19 , RASGRP1 , WSCD1 , ZFYVE1 , ALDH1A1 , GUCY1A1 , AAK1 , AP1G1 , KCTD10 , TLNRD1 , SLC22A15 , TRAK2 , ZBED1 , NRXN3 , KAT7 , OBI1 , ITCH , PLEKHA5 , ADARB1 , KCNB2 , PIAS1 , EFNA5 , CKMT1A , RALY , ST6GALNAC3 , PACSIN2 , RRAGC , RPAP2 , SPRYD3 , SNX27 , ENPP1 , FRY , SOX12 , DNMT3A , ZBTB44 , XPO7 , DDX10 , HNRNPUL2 , TFIP11 , SAMD12 , GRM3 , BRD4 , ESYT1 , RNF187 , RAB3IP , PDXDC1 , CAPRIN2 , RAP1GAP2 , DIP2B , ARFGEF1 , MTMR3 , CACNA2D3 , C8orf34 , PIP4K2C , KLHL12 , CHST1 , AGO3 , ZADH2 , MRAP2 , ACLY , CYP26B1	X5_MaleUp
ASD	3.2e-05	0.00057	52	854	14	10889	CDH13 , CNKSR2 , FRMPD4 , GDA , GGNBP2 , GRIA1 , GRIA2 , GRIN2B , GRM5 , KDM1B , KMT5B , PTPRT , UBN2 , GABRA5	X6_MaleUp
MDD	0.0047	0.042	52	1870	17	10889	GRIA1 , CSDC2 , SFXN5 , ENC1 , TOX3 , CDH13 , GRM5 , OPCML , CDH18 , SH3BP2 , NOL4 , DOCK3 , GRIN2B , MTR , GRIA2 , USP46 , DGKB	X6_MaleUp
AUD	0.01	0.062	52	179	4	10889	GRIN2B , CDH13 , GABRA5 , CDH18	X6_MaleUp
ADHD	0.032	0.12	52	504	6	10889	ACTR3B , KDM1B , ASB8 , GGNBP2 , SH3BP2 , GRM5	X6_MaleUp
SCZ	0.032	0.12	52	1586	13	10889	CNKSR2 , FRMPD4 , NRGN , OPCML , SFXN5 , GRIA1 , CSDC2 , GRIN2B , GRM5 , GRIA2 , PDE7B , GABRA5 , MTR	X6_MaleUp
NDD	0.17	0.51	52	1134	8	10889	GRIN2B , CNKSR2 , MTR , KMT5B , FRMPD4 , PUM1 , GRIA2 , GRIA1	X6_MaleUp
Anorexia	0.28	0.73	52	69	1	10889	COQ10A	X6_MaleUp
OCD	0.66	1	52	225	1	10889	CSDC2	X6_MaleUp
BMI	0.7	1	52	3421	15	10889	GGNBP2 , KSR2 , SH3BP2 , ENC1 , MAP2K4 , RCBTB2 , DOCK3 , USP46 , CDH13 , ZBTB47 , CSDC2 , SFXN5 , PTPRT , OPCML , GIT2	X6_MaleUp
OUD	1	1	52	147	0	10889		X6_MaleUp
CUD	1	1	52	29	0	10889		X6_MaleUp
PTSD	1	1	52	31	0	10889		X6_MaleUp
AD	1	1	52	513	0	10889		X6_MaleUp
Lefthanded	1	1	52	28	0	10889		X6_MaleUp
BIP	1	1	52	268	0	10889		X6_MaleUp
GAD	1	1	52	46	0	10889		X6_MaleUp
Panic	1	1	52	41	0	10889		X6_MaleUp
TS	1	1	52	34	0	10889		X6_MaleUp
SCZ	0.018	0.32	44	644	13	4002	DNM3 , LRRC4B , NRGN , CDK5R1 , PPP3CA , TLK1 , NTRK3 , CHL1 , GRIA2 , NCAN , RANBP9 , CSPG5 , AUTS2	X7_MaleUp
ASD	0.066	0.58	44	330	7	4002	AUTS2 , EIF4E , GRIA2 , MYH10 , NTRK3 , PTEN , UGP2	X7_MaleUp
BMI	0.096	0.58	44	1398	20	4002	MAST3 , PIP4K2B , HPCAL4 , USP10 , PSMC5 , ATP2B1 , NCAN , PPP3CA , MRFAP1L1 , CDK5R1 , ADGRB2 , PTEN , CSPG5 , AUTS2 , CAPRIN2 , RHOT1 , CCDC85B , LRRC4B , LSM4 , PRKACB	X7_MaleUp
CUD	0.14	0.65	44	14	1	4002	CALM1	X7_MaleUp
NDD	0.21	0.77	44	446	7	4002	AUTS2 , PTEN , PPP3CA , UGP2 , PRKACB , CHL1 , GRIA2	X7_MaleUp
MDD	0.26	0.79	44	724	10	4002	LSM4 , RANBP9 , CAPRIN2 , RHOT1 , PPP3CA , DNM3 , UGP2 , CCDC85B , NTRK3 , GRIA2	X7_MaleUp
OCD	0.64	1	44	91	1	4002	ATP2B1	X7_MaleUp
ADHD	0.88	1	44	188	1	4002	ADGRL3	X7_MaleUp
AD	0.9	1	44	205	1	4002	CALM1	X7_MaleUp
AUD	1	1	44	78	0	4002		X7_MaleUp
OUD	1	1	44	59	0	4002		X7_MaleUp
PTSD	1	1	44	11	0	4002		X7_MaleUp
Anorexia	1	1	44	29	0	4002		X7_MaleUp
Lefthanded	1	1	44	11	0	4002		X7_MaleUp
BIP	1	1	44	93	0	4002		X7_MaleUp
GAD	1	1	44	15	0	4002		X7_MaleUp
Panic	1	1	44	22	0	4002		X7_MaleUp
TS	1	1	44	15	0	4002		X7_MaleUp
ASD	0.023	0.42	121	414	17	4933	ACHE , AHI1 , AP1S2 , ASH1L , ATP1A3 , CAMK2B , CGNL1 , EEF1A2 , FRG1 , GPD2 , GRIA2 , MIB1 , PRKAR1B , RAB2A , SEZ6L2 , SLC12A5 , SYT1	X8_MaleUp
NDD	0.078	0.7	121	552	19	4933	AP1S2 , SYT1 , TUBB2A , SLC12A5 , ATP1A3 , ASH1L , MAN1B1 , PREPL , EEF1A2 , AHI1 , YWHAG , CAMK2B , ATP6V0A1 , NAPB , NCDN , GRIA2 , SCAMP5 , ACHE , KIF5A	X8_MaleUp
SCZ	0.26	1	121	776	22	4933	ASH1L , ELAVL4 , CDK5R1 , ACHE , VGF , PRKCZ , SEPTIN3 , NSG1 , SYT1 , EEF1A2 , RAB2A , RABGAP1L , TMEM245 , AHI1 , SLC12A5 , GRIA2 , SULT4A1 , VSNL1 , ENO2 , CAMK2B , CDK5 , CGNL1	X8_MaleUp
CUD	0.29	1	121	14	1	4933	CAMK2B	X8_MaleUp
Lefthanded	0.31	1	121	15	1	4933	NAP1L5	X8_MaleUp
AUD	0.34	1	121	84	3	4933	CAMK2N1 , TAGLN3 , NAP1L4	X8_MaleUp
AD	0.46	1	121	260	7	4933	JAZF1 , SEZ6L2 , RUNDC3A , YWHAH , SEC23A , VSNL1 , ACHE	X8_MaleUp
OUD	0.51	1	121	69	2	4933	RHBDD2 , YWHAG	X8_MaleUp
OCD	0.52	1	121	112	3	4933	BEX4 , RABGAP1L , NEFH	X8_MaleUp
Anorexia	0.62	1	121	39	1	4933	NEFH	X8_MaleUp
BIP	0.8	1	121	119	2	4933	ATP6V0A1 , PRKCZ	X8_MaleUp
ADHD	0.83	1	121	233	4	4933	ATP6V0B , ATP13A2 , ELAVL4 , BRWD1	X8_MaleUp
MDD	0.85	1	121	890	18	4933	RABGAP1L , DMTN , MAP2 , PJA2 , NAP1L4 , CAMK2N1 , MAN1B1 , GNAZ , AMPH , KIF5A , ATP1A3 , ELAVL4 , ECEL1 , UBE2QL1 , SLC12A5 , VGF , GRIA2 , NEFM	X8_MaleUp
BMI	0.91	1	121	1733	36	4933	CSRNP3 , NAP1L4 , RHBDD2 , CALB2 , FAHD1 , LONRF2 , TSC22D3 , DMTN , PPM1A , NSG1 , BRWD1 , PDS5B , RAB3A , RABGAP1L , TNKS , SEZ6L2 , ATP6V0A1 , NCDN , CDK5R1 , MAP1S , VPS13C , JAZF1 , PRKCZ , GPX3 , ATP13A2 , ELAVL4 , STMN2 , NECAP1 , AGAP3 , RUNDC3A , MEG3 , ATP6V0B , GRIPAP1 , VGF , MTCH1 , ACHE	X8_MaleUp
PTSD	1	1	121	12	0	4933		X8_MaleUp
GAD	1	1	121	19	0	4933		X8_MaleUp
Panic	1	1	121	21	0	4933		X8_MaleUp
TS	1	1	121	18	0	4933		X8_MaleUp
ASD	0.065	0.88	54	503	8	6258	AHI1 , AP1S2 , MYH10 , PRKAR1B , SLC9A6 , SOX6 , SYNE1 , UNC80	X9_MaleUp
PTSD	0.14	0.88	54	18	1	6258	SOX6	X9_MaleUp
OUD	0.17	0.88	54	87	2	6258	ARPC5L , CEP57	X9_MaleUp
ADHD	0.24	0.88	54	290	4	6258	SYT4 , BRWD1 , CEND1 , CALY	X9_MaleUp
NDD	0.24	0.88	54	693	8	6258	AP1S2 , SLC9A6 , SYNE1 , CEP57 , AHI1 , UNC80 , SOX6 , PUM1	X9_MaleUp
OCD	0.34	1	54	139	2	6258	ATP2B1 , CSDC2	X9_MaleUp
BIP	0.39	1	54	155	2	6258	CERS6 , SYNE1	X9_MaleUp
SCZ	0.55	1	54	917	8	6258	SEPTIN3 , LY6H , CSDC2 , MAP6 , AHI1 , VPS35 , NPTN , CALY	X9_MaleUp
AUD	0.56	1	54	95	1	6258	TAGLN3	X9_MaleUp
MDD	0.75	1	54	1088	8	6258	SYT4 , ARPC5L , CSDC2 , CEP57 , ARHGEF7 , REEP1 , NPTN , SYNE1	X9_MaleUp
AD	0.94	1	54	309	1	6258	BMPR2	X9_MaleUp
BMI	0.98	1	54	2161	12	6258	ARHGDIG , CEND1 , DNAJB14 , BRWD1 , ARHGEF7 , TIMM17A , ATP2B1 , TMEM59L , CSDC2 , NPTN , VEGFB , PRKAR2B	X9_MaleUp
CUD	1	1	54	16	0	6258		X9_MaleUp
Anorexia	1	1	54	43	0	6258		X9_MaleUp
Lefthanded	1	1	54	18	0	6258		X9_MaleUp
GAD	1	1	54	23	0	6258		X9_MaleUp
Panic	1	1	54	28	0	6258		X9_MaleUp
TS	1	1	54	18	0	6258		X9_MaleUp
AUD	0.0019	0.035	68	58	6	2933	SNCA , GABRA1 , CCK , ADCY5 , MBP , PPP1R1B	X10_MaleUp
MDD	0.076	0.46	68	554	18	2933	NDFIP2 , DYNC1I2 , GPR155 , SNCA , GABRA1 , PTPN5 , BSN , NGEF , ANO3 , AGAP2 , CRYM , CHD3 , SEZ6 , PPP1R1B , WFS1 , ADCY5 , CPLX1 , PRKCB	X10_MaleUp
ASD	0.077	0.46	68	297	11	2933	ADCY5 , AGAP2 , BCAS1 , CHD3 , HEPACAM , PPP1R1B , PPP5C , PRKCB , PTPN11 , SRSF11 , RYR2	X10_MaleUp
BIP	0.12	0.54	68	82	4	2933	PRKCB , NDFIP2 , DDN , BSN	X10_MaleUp
SCZ	0.27	0.76	68	505	14	2933	NDFIP2 , NGEF , SNCA , TMED2 , CYP46A1 , GNG7 , DYNC1I2 , PPP1R1B , MBP , CCK , CPLX1 , GABRA1 , PTPN5 , DKK3	X10_MaleUp
OUD	0.29	0.76	68	46	2	2933	BSN , ACTN2	X10_MaleUp
Panic	0.3	0.76	68	15	1	2933	DYNC1I2	X10_MaleUp
AD	0.43	0.92	68	144	4	2933	ANXA11 , NGEF , PHACTR1 , CYP46A1	X10_MaleUp
Anorexia	0.46	0.92	68	26	1	2933	BSN	X10_MaleUp
NDD	0.87	1	68	365	6	2933	GABRA1 , CHD3 , PHACTR1 , DYNC1I2 , GOT2 , WFS1	X10_MaleUp
BMI	0.9	1	68	1006	19	2933	ARPP21 , DYNC1I2 , CYP46A1 , ANO3 , PRKCB , SNCA , AK5 , GNG7 , DKK3 , PPP5C , MBP , ST8SIA3 , BSN , LAMP5 , TMEM91 , SORBS1 , HPCA , PPP1R1B , PRKAR2B	X10_MaleUp
ADHD	0.95	1	68	124	1	2933	BSN	X10_MaleUp
CUD	1	1	68	9	0	2933		X10_MaleUp
PTSD	1	1	68	9	0	2933		X10_MaleUp
Lefthanded	1	1	68	10	0	2933		X10_MaleUp
OCD	1	1	68	58	0	2933		X10_MaleUp
GAD	1	1	68	14	0	2933		X10_MaleUp
TS	1	1	68	10	0	2933		X10_MaleUp
SCZ	0.0031	0.056	158	1588	36	10993	AP3D1 , DTNB , DYNC1LI2 , EPN2 , GATAD2B , MIR137HG , NAB2 , OGFOD2 , PTPRF , TAOK2 , TCF25 , ZNF281 , MSL2 , TTC14 , DPYSL5 , GOLPH3L , CSDC2 , ABCF1 , RAI1 , MARK2 , MOV10 , RMND5A , MED28 , RNF111 , SYNGAP1 , ZNF431 , SNX11 , ANK3 , NOS1AP , SRGAP3 , ADNP , PCNT , CSMD2 , SLC38A2 , PKNOX2 , NAV1	X11_MaleUp
ASD	0.01	0.094	158	853	21	10993	NMT1 , ADNP , AHDC1 , ANK3 , ANKRD17 , CHD8 , CLASP1 , GABRG3 , IQSEC2 , KDM5B , MARK2 , MBD4 , MNT , NAA15 , NEXMIF , RAI1 , RASSF5 , SLC9A9 , SRGAP3 , SYNGAP1 , TAOK2	X11_MaleUp
BMI	0.03	0.18	158	3443	61	10993	SYT14 , MSL2 , BPTF , NRBF2 , KSR2 , SLITRK1 , GIT1 , AVL9 , RAI1 , ZFYVE1 , CENPC , NFE2L1 , DTNB , ATG14 , SRGAP3 , TRAK2 , ZBED1 , ST3GAL2 , MAP2K4 , ZMIZ2 , DPYSL5 , PDS5B , GOLGA2 , TAOK2 , ABCF1 , OGFOD2 , HMGXB4 , NKTR , MARK2 , DZIP3 , PPFIA3 , CSDC2 , ZNF655 , UBE2R2 , BTBD11 , SOX11 , MEF2D , DPP8 , SOX12 , CCDC106 , USP48 , SNX11 , SLC25A37 , AP3D1 , BCR , MBD4 , MNT , DDX10 , HECTD1 , KLHL3 , TCF25 , ASMTL , CARM1 , RASSF5 , CSMD2 , SYNGAP1 , ACVR1B , PDCD4 , RMND5A , IPPK , EPN2	X11_MaleUp
Lefthanded	0.053	0.24	158	26	2	10993	NMT1 , BCR	X11_MaleUp
TS	0.09	0.32	158	35	2	10993	ZNF382 , SLITRK1	X11_MaleUp
OCD	0.24	0.72	158	232	5	10993	CHD8 , ASMTL , MSL2 , CSDC2 , KLHL3	X11_MaleUp
NDD	0.36	0.78	158	1134	18	10993	IQSEC2 , PCNT , SOX11 , RAI1 , GATAD2B , ADNP , CPLANE1 , SYNGAP1 , CHD8 , NEXMIF , AHDC1 , KDM5B , BPTF , ANKRD17 , NAA15 , PUM1 , SRGAP3 , LETM1	X11_MaleUp
MDD	0.41	0.78	158	1911	29	10993	BPTF , NAV1 , CSDC2 , TAOK2 , LINC00622 , ZNF84 , MOV10 , DZIP3 , SRGAP3 , CDKL2 , OGFOD2 , RMND5A , GOLPH3L , CSMD2 , CSNK1G1 , GNAZ , ZFYVE1 , ATG14 , ACVR1B , MIR137HG , NAA15 , AVL9 , PXN , NAB2 , PCNT , ARRB1 , MDM4 , ATP7B , BCR	X11_MaleUp
AD	0.45	0.78	158	511	8	10993	ANK3 , CSNK1G1 , TAOK2 , RNF111 , ZFP90 , SNX11 , RSKR , CENPC	X11_MaleUp
AUD	0.48	0.78	158	179	3	10993	BPTF , PKNOX2 , GABRG3	X11_MaleUp
GAD	0.48	0.78	158	45	1	10993	RAI1	X11_MaleUp
ADHD	0.59	0.88	158	503	7	10993	PTPRF , OGFOD2 , ADGRL1 , NFE2L1 , AVL9 , MSL2 , GIT1	X11_MaleUp
Anorexia	0.65	0.9	158	72	1	10993	ARRB1	X11_MaleUp
OUD	0.88	1	158	144	1	10993	TAOK2	X11_MaleUp
BIP	0.91	1	158	276	2	10993	MARK2 , ANK3	X11_MaleUp
CUD	1	1	158	26	0	10993		X11_MaleUp
PTSD	1	1	158	30	0	10993		X11_MaleUp
Panic	1	1	158	38	0	10993		X11_MaleUp
ASD	0.00026	0.0047	95	867	18	11369	AGAP2 , ANKRD17 , CACNA1C , CACNA1E , CDKL5 , DYRK1A , EP300 , ETFB , GDA , HYDIN , KMT5B , MARK1 , MRTFB , NBEA , RBBP5 , SCN8A , SMAD4 , TAF1	X12_MaleUp
NDD	0.0012	0.011	95	1156	20	11369	SOX11 , ARL6 , EP300 , KCNH5 , DYRK1A , TK2 , ETFB , CDKL5 , SCN8A , TAF1 , KMT5B , CACNA1E , NBEA , NBAS , NKAP , WFS1 , ANKRD17 , PUM1 , ACIN1 , HTT	X12_MaleUp
GAD	0.054	0.33	95	45	2	11369	NUP85 , CACNA1C	X12_MaleUp
CUD	0.2	0.59	95	27	1	11369	MAPK14	X12_MaleUp
Lefthanded	0.2	0.59	95	26	1	11369	BCR	X12_MaleUp
PTSD	0.23	0.59	95	31	1	11369	NUP85	X12_MaleUp
TS	0.25	0.59	95	35	1	11369	EP300	X12_MaleUp
AD	0.28	0.59	95	527	6	11369	FAM117B , ICA1L , ZFP90 , GRAMD1B , ZC3H12B , MTMR3	X12_MaleUp
Panic	0.3	0.59	95	42	1	11369	INIP	X12_MaleUp
MDD	0.46	0.8	95	1942	17	11369	IQCE , MCHR1 , ICA1L , RMND5A , ZFYVE1 , TMEM117 , EP300 , CACNA1E , MLEC , CACNA1C , AGAP2 , CAMKK2 , HYDIN , DYRK1A , HTT , WFS1 , BCR	X12_MaleUp
